4983,5338,9553,2076,13616
17519,11405,139270,22779,121516
821,13869,29765,16644,100571
789,7577,16062,4499,23290
4522,9312,5969,13482,28998
16990,27168,25966,2987,65193
2861,21044,11168,7125,50196
5050,36499,2160,3230,992
5650,34718,4207,14562,203530
3904,11600,45309,106560,16041
103,4505,24969,15630,22707
612,1407,6658,32462,1165
1810,17834,2393,22823,9080
572,4818,6430,59031,17411
1146,3843,45844,54062,27042
12615,10377,9799,478,4487
6246,11220,310,6093,42861
2326,5584,928,5765,13661
4191,28796,39838,7402,45291
2933,11380,9299,41641,33725
12438,105,19686,2295,54325
2663,20783,30896,33677,66293
1168,9725,32369,21947,38600
893,3638,7791,26892,10688
3728,6255,7249,28979,4611
9457,9237,29601,58432,78029
5682,7699,27942,7200,30637
6860,2250,9589,1894,599
5389,18747,107,11272,11076
9193,2565,1659,33160,10016
1691,1822,5139,12630,37597
1782,5657,67098,23862,14795
8507,5569,60191,10009,29047
17587,1923,15875,45244,17362
2007,4444,5423,16864,38876
2591,6605,8373,31695,56760
3424,3309,10469,4631,33719
5169,488,10460,25256,13374
1256,3515,18255,30071,37431
2113,1141,6023,2241,29171
7676,7658,8393,447,11341
4297,2312,2482,7444,20204
710,5562,22794,4066,12297
9343,9999,10389,17619,367
8728,2860,17037,3516,11466
492,8635,7363,12127,93312
804,6482,6984,36237,18526
6846,24071,43565,60829,30029
3681,130,49881,51752,35699
1243,7528,18704,13959,37126
338,11693,13810,8341,106205
2307,113413,50900,97537,48868
4047,360,17288,42645,57615
2375,11324,206,28286,11153
22157,21710,51437,36371,140094
4050,4305,8643,11937,37254
283,14760,3106,31088,3837
15260,2431,27295,98275,19616
2202,3377,6999,46189,146402
134,1844,16671,9965,40876
4993,5197,52322,34141,16879
1913,3628,9445,2144,28714
1378,1923,25575,4178,12235
745,591,2639,38485,41804
439,12463,20332,59367,8558
1449,5264,43994,19877,45328
5713,65162,9521,7265,25398
536,2008,43622,61278,659
2302,19341,19366,80427,41225
4722,3870,16568,9510,29787
5206,2234,12852,5076,1164
1359,5866,5591,15457,634
1546,12424,24150,4753,16322
1883,8636,3273,2759,23255
11583,12528,26331,9760,24518
2021,4467,7746,28823,44881
3349,9307,9619,39667,68564
672,8072,5000,33460,13067
619,5725,837,2240,20293
1149,1854,63825,47980,633
4775,3554,37464,51750,46043
7987,1872,3944,8341,1800
4770,5538,5851,24108,28499
17205,25052,5995,1053,19341
807,10615,515,6315,12190
2178,16375,27601,1900,98923
90,2124,12298,47830,21456
4200,6591,10551,15119,20543
6153,2951,10578,650,20458
3666,4241,14681,64640,44260
228,5756,8110,20707,16481
21297,12169,10931,93008,71368
2638,6627,472,17151,12541
2847,5439,7494,20848,36370
7707,7225,4960,21321,16258
3145,15729,3951,17928,47842
18601,5196,2193,30316,33026
2147,3455,1971,36478,11948
19541,5811,4240,33552,18282
5507,2752,6548,58580,50980
514,2628,17130,25512,11569
1556,5670,6668,34191,11078
3101,203,282,43080,41383
5176,9425,10376,11126,14922
8084,4537,30642,14179,3080
420,21,21790,39411,23652
938,10914,21977,4340,24166
2666,1521,20245,2864,6669
15454,17095,303,180789,44172
23508,3905,961,5511,21912
937,20696,22190,49310,40428
1994,7274,37225,11420,7604
9235,24316,844,10613,41103
307,1718,57594,16607,20329
5433,4554,6846,2257,11101
2241,5083,1670,20676,53224
417,5606,6779,2850,33932
1571,187,21922,12514,5759
999,8729,37870,43331,37254
594,19590,1418,42054,7721
5053,6037,9803,29423,91950
5962,627,11326,30629,13519
10126,2436,612,283,22768
43,16159,8421,22336,38918
166,17547,49535,26376,2901
481,5667,3348,22367,45988
1360,8932,10853,32346,55133
3862,1975,19867,8243,15329
4366,8809,19692,15668,7316
1420,4232,9157,2486,38787
1690,4872,2144,16905,25950
3329,6480,3066,3181,18245
57352,5759,18471,50145,7274
189,4757,9315,8255,100
108,2438,1420,15063,11846
6003,10009,46052,68269,170656
1257,13705,30589,2964,5867
3452,22122,1440,50993,52149
949,7406,15130,37850,5613
42,6480,4146,9195,8973
8652,4170,10543,27584,17310
759,31644,21237,68380,31950
2480,3883,31551,78287,7316
1958,4255,22492,24573,13811
1231,1557,1658,35219,61603
1116,25282,5578,26019,18076
23974,4952,19739,41755,8348
597,12147,20183,38009,19073
1548,9714,2584,30759,49397
775,3340,28934,100062,15518
29512,5631,8269,5309,3972
6869,7838,7535,4170,28071
3075,12047,1434,63398,53042
19660,15300,12084,97513,29629
2695,1268,483,34854,7955
1199,13099,1227,527,5797
10968,7717,6978,7764,14658
9317,89,61295,7535,142453
1987,10474,536,19711,12238
8037,251,47947,3416,115435
502,28637,4058,8329,10502
3308,5134,632,4946,8618
2193,12861,1054,9460,40705
4023,5856,533,4330,23600
502,22190,50281,197456,3459
25876,86622,10121,35606,6965
5143,6624,39280,14268,4229
289,15945,17918,23362,30184
10752,5586,18014,6942,11167
14477,9161,8187,87870,238440
4747,9133,4644,36663,7034
5708,1934,2360,3268,8075
2372,23984,17501,7673,11008
2323,1658,19840,34234,88843
4671,673,1092,1008,38609
965,2440,11617,34640,23141
2819,4894,18173,5594,22450
202,6649,7995,7222,6732
2075,17459,27348,4207,30027
2316,1198,10004,25321,35465
1524,9474,7815,4517,4247
1899,1558,478,32857,59481
533,7791,25287,10353,65409
1076,1165,37147,3399,5549
5852,4772,3631,35835,4519
5855,7898,4583,23068,2811
7713,2664,6424,2271,10835
237,4214,7202,16504,11055
1766,7874,14343,454,14898
3565,11095,7479,89,91302
9151,1132,35530,41666,32358
6608,10353,24536,49719,48191
250,3129,28961,70330,25543
