

Data analysis for each instance 
AVG,MED,MAX,MIN
0.147,0.146,0.281,-0.015,
0.192,0.2,0.339,0,
0.178,0.195,0.203,-0.016,
0.191,0.202,0.26,0,
0.087,0.101,0.159,-0.187,
0.102,0.1,0.193,-0.006,
0.159,0.17,0.242,-0.002,
0.17,0.17,0.328,-0.038,
0.079,0.079,0.286,-0.089,
0.162,0.165,0.256,0,
0.112,0.105,0.258,-0.127,
0.085,0.089,0.242,-0.075,
0.181,0.193,0.272,-0.058,
0.295,0.315,0.348,0,
0.124,0.124,0.249,-0.042,
0.15,0.147,0.241,0,
0.323,0.349,0.364,0,
0.201,0.229,0.315,0,
0.26,0.269,0.329,0,
0.258,0.264,0.325,0,
0.245,0.256,0.305,0,
0.213,0.222,0.338,0,
0.244,0.254,0.306,0,
0.191,0.196,0.283,0,
0.12,0.128,0.242,-0.058,
0.149,0.154,0.241,0,
0.156,0.161,0.278,0,
0.203,0.19,0.306,0,
0.238,0.244,0.33,0,
0.16,0.171,0.332,-0.098,
0.318,0.327,0.364,0,
0.164,0.167,0.289,-0.168,
0.198,0.202,0.308,-0.019,
0.208,0.218,0.303,-0.01,
0.188,0.18,0.315,0,
0.053,0.053,0.204,-0.127,
0.194,0.21,0.275,0,
0.139,0.142,0.248,-0.057,
0.154,0.154,0.268,0,
0.116,0.119,0.201,-0.054,
0.211,0.221,0.306,0,
0.205,0.212,0.284,-0.059,
0.175,0.174,0.311,0,
0.194,0.203,0.293,0,
0.334,0.34,0.34,0,
0.128,0.132,0.236,-0.013,
0.194,0.21,0.276,0,
0.275,0.29,0.326,0,
0.111,0.112,0.271,-0.026,
0.307,0.329,0.34,0,
0.229,0.238,0.318,0,
0.19,0.193,0.295,0,
0.112,0.116,0.21,0,
0.304,0.312,0.346,0,
0.191,0.2,0.351,-0.019,
0.286,0.297,0.337,0,
0.282,0.288,0.353,0,
0.187,0.197,0.27,0,
0.219,0.23,0.308,0,
0.145,0.15,0.283,-0.013,
0.132,0.134,0.264,0,
0.124,0.128,0.251,-0.002,
0.19,0.194,0.32,0,
0.177,0.179,0.309,0,
0.147,0.154,0.241,0,
0.084,0.084,0.273,-0.063,
0.239,0.25,0.357,0,
