

Data analysis for each instance 
AVG,MED,MAX,MIN
5736.57,5650,13401,5012,
5364.5,5292,12016,4652,
5215.69,5176.5,11666,4530,
6967.88,6860,16268,5784,
4988.9,4906,11242,4030,
5108.06,5038.5,11753,4445,
5010.54,4965,11313,4400,
5165.03,5082.5,12115,4294,
5104.45,5076,11918,4110,
6278.39,6130.5,15177,5245,
5657.7,5530.5,13915,4765,
5519.7,5445,13341,4856,
6009.28,5882.5,14226,5040,
6813,6745.5,16371,5631,
5463.92,5341.5,12772,4805,
5114.26,5034,11699,4561,
6702.83,6600.5,15863,5102,
6178.59,6103,14316,4782,
6439.71,6340.5,14945,5050,
7271.63,7175.5,17256,5781,
5993.23,5924,13946,4919,
8026.31,7929,19241,6817,
5873.72,5763.5,13375,5151,
6770.47,6704.5,15877,5771,
4839.54,4771,11135,3710,
5889.65,5852.5,13698,5023,
5906.25,5835,13951,5168,
6489.45,6399,15215,5554,
5248.99,5157,12109,4534,
7105.08,6979,17613,6044,
6838.33,6758.5,15775,5448,
5010.93,4964.5,11154,4167,
6184.59,6097.5,14280,5287,
5101.73,5058.5,11643,4501,
6744.84,6663,15832,5746,
4807.74,4698,11396,4247,
5330.76,5251.5,12571,4458,
5842.89,5779,13211,5128,
5842.06,5753,13688,5051,
5262.41,5179.5,12132,4395,
4997.52,4887,11975,4234,
5852.71,5796,13808,4714,
5353.76,5256.5,12794,4692,
6577.41,6442,15474,5504,
6541.29,6437,15495,5380,
5689.74,5604.5,13741,4830,
6181.02,6116,14546,4903,
5725.79,5653,13265,5147,
5193.26,5132,12201,4598,
7066.69,7021,15910,5762,
7597.89,7520,17877,6516,
5626.09,5549,13185,4814,
5266.87,5182,11994,4440,
6691.2,6635.5,15362,5597,
5085.34,4952.5,11501,4301,
5481.24,5405,12970,4230,
6625.14,6508,16285,5282,
5344.53,5277,12367,4651,
5834.26,5803.5,13416,4779,
5607.83,5530.5,13167,4817,
5321.84,5235.5,12443,4548,
5917.72,5786.5,13937,5162,
5862.47,5743.5,13456,5007,
5483.49,5458,12916,4435,
5212.67,5160,11961,4509,
4852.83,4782.5,11287,4143,
7755.34,7642,18806,6345,
4972.79,4916.5,11499,3830,
7912.68,7518,20248,6685,
6086.75,6049,14572,4901,
6065.64,6001.5,14298,5107,
5665.97,5576.5,13398,4541,
5909.15,5799,13385,4816,
5590.38,5528.5,12970,4831,
6016.41,5904.5,14033,5088,
4854.09,4806,11829,4063,
5806.68,5711,13427,4721,
6080.45,6032,14387,5130,
4738.91,4654,11240,4130,
4840.26,4800,10984,3988,
5328.14,5259,12241,4427,
7177.52,7019,17207,6064,
7727.02,7620.5,18598,6173,
5560.62,5547,12658,4571,
6012.58,5896.5,13874,5293,
6072.97,5981,14304,4962,
6125.41,5990.5,14791,4821,
4797.11,4693,11509,3972,
6471.8,6260.5,15680,5230,
5596.05,5570.5,13146,4606,
6782.05,6728,15866,5700,
5226.33,5162,12305,4570,
5155.52,5063,12275,4319,
5309.01,5205.5,12335,4300,
7584.67,7399.5,18334,6389,
7724.12,7594.5,18713,6139,
5137.38,5065.5,12270,4365,
