

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.045,-0.045,0,-0.046,
-0.035,-0.036,0,-0.039,
-0.06,-0.061,0,-0.062,
-0.028,-0.034,0,-0.034,
-0.056,-0.057,0,-0.057,
-0.034,-0.034,0,-0.043,
-0.041,-0.041,0,-0.042,
-0.05,-0.051,0,-0.051,
-0.048,-0.05,0,-0.05,
0.008,0.005,0.125,-0.061,
-0.021,-0.021,0,-0.052,
-0.035,-0.027,0.006,-0.061,
-0.038,-0.038,0,-0.042,
0.153,0.172,0.201,0,
-0.031,-0.031,0,-0.032,
-0.036,-0.036,0,-0.045,
0.173,0.18,0.215,0,
-0.017,-0.015,0.04,-0.06,
0.051,0.059,0.107,-0.013,
0.078,0.079,0.079,0,
-0.033,-0.042,0,-0.044,
0.132,0.139,0.153,-0.048,
-0.028,-0.032,0.017,-0.072,
0.044,0.051,0.131,-0.011,
-0.044,-0.045,0,-0.045,
-0.036,-0.037,0,-0.037,
-0.039,-0.038,0,-0.04,
-0.022,-0.017,0.033,-0.034,
-0.054,-0.054,0,-0.055,
0.118,0.113,0.203,0,
0.21,0.216,0.246,0,
-0.048,-0.048,0,-0.05,
-0.037,-0.043,0.03,-0.044,
-0.03,-0.031,0,-0.035,
-0.018,-0.01,0.01,-0.033,
-0.04,-0.04,0,-0.041,
-0.04,-0.04,0,-0.044,
-0.03,-0.03,0,-0.035,
-0.04,-0.04,0,-0.041,
-0.036,-0.036,0,-0.037,
-0.044,-0.045,0,-0.047,
-0.02,-0.021,0.072,-0.056,
-0.027,-0.027,0,-0.035,
0.091,0.097,0.109,-0.058,
0.074,0.076,0.076,0,
-0.03,-0.03,0,-0.035,
-0.022,-0.017,0.006,-0.046,
-0.061,-0.062,0,-0.062,
-0.034,-0.034,0,-0.039,
0.21,0.222,0.238,0,
0.065,0.062,0.129,-0.003,
-0.05,-0.051,0,-0.051,
-0.041,-0.041,0,-0.041,
0.083,0.086,0.131,-0.052,
-0.047,-0.048,0,-0.048,
-0.046,-0.047,0,-0.047,
0.197,0.213,0.229,0,
-0.049,-0.05,0,-0.05,
-0.025,-0.02,0,-0.043,
-0.035,-0.036,0,-0.039,
-0.034,-0.034,0,-0.041,
-0.033,-0.033,0,-0.034,
-0.041,-0.041,0,-0.043,
-0.049,-0.05,0,-0.05,
-0.026,-0.026,0,-0.037,
-0.037,-0.037,0,-0.039,
0.194,0.209,0.225,0,
-0.054,-0.055,0,-0.055,
0.162,0.166,0.239,-0.017,
0.008,0.016,0.053,-0.055,
-0.036,-0.027,0,-0.057,
-0.047,-0.047,0,-0.047,
-0.044,-0.044,0,-0.046,
-0.037,-0.037,0,-0.038,
0.089,0.106,0.115,-0.048,
-0.061,-0.061,0,-0.062,
-0.046,-0.046,0,-0.047,
-0.041,-0.041,0,-0.043,
-0.041,-0.041,0,-0.041,
-0.061,-0.062,0,-0.064,
-0.037,-0.037,0,-0.041,
0.176,0.183,0.184,-0.005,
0.212,0.22,0.22,0,
-0.041,-0.048,0.009,-0.05,
-0.029,-0.029,0,-0.035,
-0.022,-0.019,0,-0.053,
0.019,0.015,0.132,-0.062,
-0.046,-0.047,0,-0.048,
0.113,0.116,0.168,0,
-0.05,-0.051,0,-0.052,
0.1,0.098,0.149,0,
-0.036,-0.036,0,-0.036,
-0.036,-0.036,0,-0.037,
-0.033,-0.024,0,-0.05,
0.289,0.274,0.32,0,
0.166,0.173,0.223,0,
-0.037,-0.038,0,-0.042,
-0.039,-0.039,0,-0.042,
-0.046,-0.047,0,-0.047,
-0.028,-0.025,0.004,-0.043,
-0.038,-0.038,0,-0.045,
-0.037,-0.037,0,-0.038,
-0.049,-0.05,0,-0.051,
-0.034,-0.036,0,-0.037,
0.012,0.015,0.016,-0.061,
0.021,0.022,0.067,-0.042,
-0.034,-0.046,0.015,-0.051,
-0.053,-0.054,0,-0.054,
-0.042,-0.041,0,-0.08,
-0.04,-0.04,0,-0.045,
0.284,0.29,0.329,0,
-0.035,-0.044,0.01,-0.048,
-0.036,-0.036,0,-0.037,
0.013,0.012,0.11,-0.054,
-0.033,-0.034,0,-0.041,
-0.036,-0.036,0,-0.038,
-0.041,-0.041,0,-0.041,
-0.035,-0.043,0,-0.047,
-0.053,-0.054,0,-0.055,
-0.029,-0.029,0,-0.029,
-0.032,-0.032,0,-0.033,
0.11,0.121,0.14,0,
-0.032,-0.049,0.004,-0.06,
0.098,0.107,0.158,0,
-0.012,-0.017,0.028,-0.053,
0.198,0.203,0.215,0,
-0.042,-0.043,0,-0.043,
-0.03,-0.03,0,-0.04,
-0.04,-0.04,0,-0.041,
-0.054,-0.055,0,-0.056,
-0.051,-0.052,0,-0.052,
-0.015,-0.016,0.025,-0.061,
-0.049,-0.05,0,-0.05,
-0.046,-0.047,0,-0.047,
-0.033,-0.034,0,-0.041,
-0.037,-0.037,0,-0.043,
-0.017,-0.028,0.032,-0.043,
-0.049,-0.05,0,-0.05,
0.125,0.136,0.204,-0.005,
-0.049,-0.05,0,-0.05,
0.033,0.034,0.101,-0.056,
-0.03,-0.03,0,-0.031,
-0.045,-0.045,0,-0.045,
-0.032,-0.032,0,-0.033,
0.07,0.048,0.145,0,
-0.04,-0.041,0,-0.041,
-0.044,-0.047,0,-0.069,
-0.043,-0.044,0,-0.044,
-0.011,-0.002,0.05,-0.041,
0.169,0.18,0.182,-0.054,
-0.002,-0.008,0.042,-0.041,
-0.023,-0.016,0.013,-0.044,
0.123,0.125,0.164,0,
-0.042,-0.048,0,-0.049,
-0.031,-0.031,0,-0.039,
0.014,0.018,0.085,-0.046,
-0.037,-0.037,0,-0.037,
-0.034,-0.034,0,-0.034,
-0.041,-0.041,0,-0.041,
0.139,0.141,0.235,-0.008,
-0.043,-0.044,0,-0.044,
0.221,0.235,0.236,0,
-0.036,-0.036,0,-0.036,
-0.052,-0.057,0,-0.057,
-0.048,-0.05,0.014,-0.05,
0.12,0.148,0.17,0,
-0.037,-0.038,0,-0.04,
-0.038,-0.038,0,-0.038,
-0.064,-0.065,0,-0.067,
-0.039,-0.039,0,-0.039,
-0.04,-0.04,0,-0.04,
-0.036,-0.036,0,-0.039,
-0.055,-0.055,0,-0.057,
0.141,0.14,0.173,0,
