

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.014,-0.021,0.165,-0.14,
-0.041,-0.04,0.036,-0.145,
-0.049,-0.051,0.085,-0.163,
0.033,0.032,0.115,-0.041,
-0.037,-0.032,0.061,-0.148,
-0.01,-0.016,0.055,-0.065,
-0.022,-0.019,0.078,-0.108,
-0.017,-0.021,0.089,-0.104,
-0.02,-0.024,0.078,-0.072,
0.025,0.016,0.184,-0.129,
0.021,0.019,0.221,-0.1,
0.07,0.059,0.152,-0.06,
-0.002,-0.007,0.186,-0.103,
0.162,0.161,0.318,-0.123,
-0.015,-0.024,0.082,-0.097,
-0.034,-0.035,0.056,-0.104,
0.151,0.145,0.317,-0.018,
0.002,-0.006,0.193,-0.141,
0.093,0.11,0.324,-0.118,
0.114,0.124,0.209,-0.027,
0.006,0.001,0.119,-0.143,
0.163,0.179,0.317,-0.014,
0.048,0.029,0.225,-0.107,
0.033,0.035,0.126,-0.039,
-0.037,-0.034,0.047,-0.106,
0.007,0.02,0.086,-0.077,
0.003,0.002,0.09,-0.102,
0.053,0.056,0.119,-0.011,
-0.02,-0.026,0.026,-0.094,
0.133,0.133,0.243,-0.012,
0.153,0.153,0.407,-0.132,
-0.065,-0.07,0.02,-0.147,
-0.004,-0.008,0.072,-0.083,
-0.034,-0.04,0.022,-0.068,
0.032,0.033,0.116,-0.065,
-0.02,-0.021,0.044,-0.071,
-0.022,-0.027,0.117,-0.092,
-0.044,-0.045,0.032,-0.117,
-0.013,-0.007,0.115,-0.109,
-0.005,-0.01,0.088,-0.1,
-0.024,-0.025,0.046,-0.085,
0.047,0.044,0.226,-0.139,
-0.008,-0.013,0.041,-0.058,
0.077,0.082,0.236,-0.056,
0.148,0.159,0.328,-0.063,
-0.006,-0.006,0.071,-0.068,
0.025,0.03,0.14,-0.12,
0.098,0.112,0.163,-0.094,
-0.011,-0.01,0.024,-0.042,
0.226,0.234,0.258,-0.003,
0.078,0.084,0.151,-0.013,
-0.047,-0.045,0.051,-0.118,
-0.019,-0.018,0.061,-0.099,
0.16,0.169,0.308,-0.038,
-0.062,-0.071,0.084,-0.197,
0.031,0.03,0.161,-0.116,
0.159,0.172,0.32,-0.032,
-0.035,-0.04,0.067,-0.132,
-0.013,-0.009,0.075,-0.096,
-0.027,-0.025,0.035,-0.083,
-0.014,-0.011,0.061,-0.096,
0.006,0.005,0.073,-0.045,
-0.017,-0.013,0.063,-0.099,
-0.011,-0.014,0.123,-0.114,
-0.016,-0.017,0.036,-0.069,
-0.034,-0.037,0.011,-0.079,
0.183,0.183,0.341,-0.015,
-0.042,-0.036,0.035,-0.109,
0.157,0.174,0.265,-0.109,
0.064,0.045,0.258,-0.065,
0.078,0.087,0.137,-0.049,
0.011,0.014,0.07,-0.095,
-0.006,-0.004,0.063,-0.052,
-0.007,-0.008,0.068,-0.079,
0.065,0.065,0.198,-0.096,
0.015,0.019,0.088,-0.065,
-0.005,0,0.132,-0.112,
0.016,0.016,0.111,-0.09,
-0.034,-0.035,0.005,-0.067,
-0.027,-0.022,0.035,-0.149,
-0.052,-0.054,0.06,-0.145,
0.128,0.132,0.281,-0.117,
0.07,0.068,0.261,-0.115,
-0.03,-0.028,0.045,-0.105,
-0.015,-0.016,0.05,-0.063,
0.028,0.033,0.188,-0.105,
0.175,0.191,0.255,-0.034,
-0.029,-0.038,0.036,-0.064,
0.16,0.185,0.308,-0.095,
0.026,0.031,0.15,-0.048,
0.092,0.092,0.216,-0.03,
-0.028,-0.028,0.036,-0.078,
-0.022,-0.013,0.057,-0.117,
-0.042,-0.041,0.031,-0.141,
0.355,0.371,0.429,0.04,
0.115,0.119,0.232,-0.138,
-0.006,-0.009,0.085,-0.068,
0.003,0.013,0.127,-0.123,
-0.009,-0.012,0.081,-0.102,
-0.01,-0.011,0.057,-0.068,
-0.042,-0.042,0.034,-0.123,
-0.006,-0.005,0.072,-0.077,
0.07,0.077,0.182,-0.065,
-0.01,-0.014,0.053,-0.056,
0.025,0.015,0.171,-0.1,
0.049,0.055,0.179,-0.063,
0.046,0.055,0.13,-0.071,
0.003,0.004,0.145,-0.13,
-0.026,-0.026,0.105,-0.144,
-0.024,-0.025,0.03,-0.073,
0.317,0.339,0.423,-0.047,
0.045,0.041,0.181,-0.055,
-0.014,-0.02,0.099,-0.076,
0.019,0.016,0.18,-0.142,
-0.023,-0.024,0.025,-0.053,
-0.024,-0.022,0.007,-0.051,
-0.023,-0.026,0.064,-0.085,
0.051,0.043,0.163,-0.057,
