

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.001,-0.002,0.141,-0.134,
-0.039,-0.034,0.077,-0.154,
-0.036,-0.036,0.073,-0.16,
0.004,0.002,0.122,-0.092,
-0.05,-0.054,0.091,-0.112,
-0.018,-0.019,0.063,-0.08,
-0.048,-0.059,0.081,-0.184,
-0.03,-0.037,0.113,-0.16,
-0.041,-0.035,0.093,-0.177,
0.049,0.062,0.195,-0.153,
0.035,0.033,0.187,-0.1,
0.066,0.066,0.174,-0.015,
-0.007,-0.027,0.132,-0.099,
0.173,0.183,0.312,-0.037,
-0.019,-0.015,0.073,-0.113,
-0.042,-0.033,0.059,-0.153,
0.121,0.132,0.282,-0.14,
0.026,0.035,0.2,-0.108,
0.115,0.114,0.313,-0.065,
0.089,0.087,0.224,-0.046,
-0.001,0.004,0.115,-0.141,
0.134,0.141,0.268,-0.013,
0.038,0.035,0.222,-0.084,
0.025,0.034,0.198,-0.082,
-0.052,-0.048,0.05,-0.177,
0.004,0.002,0.086,-0.084,
-0.007,-0.018,0.103,-0.074,
0.041,0.048,0.138,-0.068,
-0.015,-0.009,0.08,-0.143,
0.123,0.13,0.241,-0.021,
0.131,0.13,0.384,-0.097,
-0.067,-0.07,0.047,-0.153,
-0.013,-0.028,0.137,-0.117,
-0.037,-0.043,0.04,-0.099,
0.03,0.035,0.139,-0.07,
-0.016,-0.009,0.042,-0.099,
-0.012,-0.021,0.122,-0.137,
-0.056,-0.055,0.039,-0.154,
-0.011,-0.021,0.087,-0.109,
-0.018,-0.009,0.12,-0.147,
-0.017,-0.013,0.063,-0.113,
0.026,0.029,0.17,-0.094,
0.012,0.013,0.091,-0.067,
0.061,0.069,0.21,-0.052,
0.151,0.165,0.288,-0.084,
-0.001,-0.004,0.088,-0.094,
0.036,0.037,0.17,-0.083,
0.062,0.058,0.163,-0.072,
-0.028,-0.028,0.041,-0.124,
0.114,0.11,0.269,0.006,
0.075,0.079,0.189,-0.016,
-0.033,-0.025,0.064,-0.137,
-0.035,-0.029,0.05,-0.128,
0.053,0.051,0.177,-0.066,
-0.048,-0.049,0.093,-0.198,
0.041,0.041,0.188,-0.127,
0.174,0.188,0.331,-0.025,
-0.029,-0.038,0.055,-0.127,
-0.012,-0.016,0.11,-0.093,
-0.028,-0.029,0.064,-0.1,
-0.023,-0.019,0.056,-0.092,
0.013,0.011,0.133,-0.097,
-0.014,-0.012,0.102,-0.136,
-0.018,-0.019,0.098,-0.119,
-0.016,-0.018,0.067,-0.085,
-0.039,-0.038,0.071,-0.117,
0.134,0.15,0.396,-0.149,
-0.048,-0.052,0.089,-0.111,
0.189,0.205,0.402,-0.26,
0.029,0.022,0.203,-0.188,
0.041,0.04,0.13,-0.05,
0.008,0.003,0.12,-0.093,
-0.019,-0.018,0.066,-0.113,
-0.013,-0.011,0.07,-0.103,
0.029,0.024,0.17,-0.124,
0.007,0.011,0.106,-0.076,
-0.012,-0.004,0.082,-0.13,
-0.002,0,0.104,-0.123,
-0.032,-0.023,0.099,-0.131,
-0.045,-0.049,0.082,-0.159,
-0.056,-0.052,0.081,-0.149,
0.118,0.126,0.28,-0.119,
0.095,0.087,0.29,-0.105,
-0.055,-0.064,0.072,-0.191,
-0.013,-0.007,0.064,-0.085,
0.021,0.017,0.181,-0.109,
0.039,0.035,0.253,-0.177,
-0.045,-0.052,0.128,-0.185,
0.104,0.126,0.352,-0.13,
0.007,-0.001,0.184,-0.128,
0.063,0.061,0.25,-0.131,
-0.028,-0.033,0.064,-0.108,
-0.023,-0.018,0.072,-0.104,
-0.045,-0.052,0.159,-0.169,
0.341,0.359,0.437,-0.039,
0.105,0.128,0.254,-0.124,
-0.007,-0.013,0.089,-0.078,
-0.021,-0.029,0.15,-0.204,
0.013,0.015,0.108,-0.084,
-0.003,-0.007,0.124,-0.113,
-0.039,-0.037,0.052,-0.132,
-0.007,-0.012,0.106,-0.119,
0.061,0.064,0.182,-0.078,
-0.01,-0.007,0.074,-0.101,
0.017,0.015,0.189,-0.149,
0.048,0.05,0.175,-0.087,
0.047,0.038,0.19,-0.063,
-0.011,-0.013,0.133,-0.151,
0.023,0.031,0.254,-0.254,
-0.032,-0.026,0.035,-0.106,
0.286,0.32,0.465,-0.195,
0.058,0.06,0.205,-0.082,
0.004,0.005,0.093,-0.095,
0.007,-0.007,0.152,-0.138,
-0.017,-0.011,0.076,-0.072,
-0.039,-0.045,0.053,-0.153,
-0.03,-0.03,0.097,-0.151,
0.032,0.032,0.12,-0.084,
-0.08,-0.084,0.069,-0.225,
0.029,0.04,0.128,-0.101,
-0.007,-0.011,0.131,-0.075,
0.111,0.11,0.293,-0.018,
0.02,0.017,0.191,-0.145,
0.116,0.106,0.283,-0.022,
-0.012,-0.012,0.105,-0.117,
0.09,0.081,0.251,-0.113,
-0.043,-0.048,0.056,-0.124,
-0.028,-0.036,0.083,-0.129,
-0.022,-0.018,0.049,-0.109,
-0.047,-0.046,0.061,-0.17,
-0.043,-0.04,0.037,-0.149,
0.054,0.059,0.188,-0.06,
-0.038,-0.04,0.026,-0.12,
-0.029,-0.025,0.103,-0.155,
-0.003,0.005,0.067,-0.108,
-0.029,-0.031,0.042,-0.104,
0.021,0.016,0.152,-0.103,
-0.018,-0.015,0.064,-0.114,
0.104,0.098,0.353,-0.188,
0.004,-0.004,0.087,-0.08,
0.052,0.045,0.187,-0.025,
-0.029,-0.029,0.032,-0.094,
-0.003,-0.01,0.173,-0.101,
0.008,0.013,0.124,-0.115,
0.111,0.116,0.224,-0.009,
-0.018,-0.023,0.085,-0.077,
0.011,0.018,0.137,-0.079,
-0.018,-0.022,0.102,-0.131,
-0.002,0.003,0.145,-0.149,
0.075,0.071,0.331,-0.066,
0.025,0.019,0.148,-0.12,
0.021,0.022,0.165,-0.116,
0.218,0.234,0.467,-0.117,
0.035,0.032,0.148,-0.036,
-0.071,-0.074,0.005,-0.136,
0.064,0.072,0.149,-0.063,
-0.035,-0.037,0.058,-0.13,
0.012,0.009,0.114,-0.103,
-0.039,-0.041,0.056,-0.118,
0.136,0.142,0.349,-0.158,
-0.017,-0.014,0.093,-0.101,
0.095,0.106,0.297,-0.066,
-0.02,-0.018,0.061,-0.111,
-0.026,-0.022,0.091,-0.141,
0.031,0.043,0.142,-0.102,
0.056,0.046,0.291,-0.122,
-0.043,-0.041,0.052,-0.11,
-0.045,-0.041,0.069,-0.15,
0.016,0.013,0.216,-0.102,
0.018,0.03,0.128,-0.109,
-0.013,-0.017,0.099,-0.109,
-0.03,-0.024,0.06,-0.117,
-0.015,-0.009,0.137,-0.146,
0.119,0.115,0.3,-0.042,
-0.057,-0.059,0.028,-0.148,
