

Data analysis for each instance 
AVG,MED,MAX,MIN
0.008,-0.013,0.245,-0.184,
-0.061,-0.057,0.072,-0.203,
-0.043,-0.059,0.184,-0.335,
0.047,0.037,0.328,-0.186,
-0.045,-0.052,0.16,-0.236,
-0.016,-0.021,0.232,-0.193,
-0.083,-0.089,0.216,-0.232,
-0.036,-0.037,0.243,-0.162,
-0.092,-0.095,0.051,-0.249,
0.045,0.042,0.264,-0.154,
0.045,0.041,0.265,-0.287,
0.018,0.024,0.215,-0.242,
0.003,0.015,0.198,-0.156,
0.098,0.103,0.359,-0.181,
-0.016,-0.021,0.168,-0.173,
-0.06,-0.073,0.136,-0.189,
0.094,0.108,0.435,-0.234,
0.012,-0.003,0.336,-0.226,
0.065,0.075,0.345,-0.292,
0.097,0.098,0.399,-0.23,
-0.012,0.002,0.212,-0.257,
0.148,0.147,0.418,-0.187,
0.029,0.003,0.303,-0.234,
0.028,0.032,0.254,-0.185,
-0.091,-0.107,0.118,-0.266,
0.006,-0.007,0.154,-0.148,
-0.018,-0.011,0.177,-0.178,
0.025,0.024,0.211,-0.212,
-0.007,0,0.149,-0.181,
0.129,0.13,0.309,-0.07,
0.075,0.117,0.315,-0.222,
-0.094,-0.097,0.087,-0.283,
-0.023,-0.025,0.181,-0.235,
-0.061,-0.062,0.124,-0.206,
0.024,0.004,0.273,-0.167,
-0.018,-0.022,0.17,-0.197,
-0.016,-0.021,0.185,-0.165,
-0.037,-0.042,0.181,-0.211,
-0.024,-0.02,0.309,-0.21,
-0.044,-0.054,0.223,-0.245,
-0.039,-0.042,0.161,-0.227,
0.022,0.004,0.252,-0.269,
0.004,-0.003,0.209,-0.141,
0.061,0.052,0.365,-0.216,
0.092,0.126,0.338,-0.252,
0.018,0.028,0.192,-0.206,
-0.019,-0.043,0.316,-0.235,
0.029,0.042,0.266,-0.211,
-0.027,-0.042,0.157,-0.156,
0.129,0.118,0.349,-0.052,
0.068,0.074,0.225,-0.167,
-0.029,-0.031,0.152,-0.242,
-0.044,-0.042,0.156,-0.233,
0.068,0.07,0.367,-0.19,
-0.061,-0.076,0.152,-0.288,
-0.007,-0.03,0.302,-0.261,
0.108,0.104,0.302,-0.111,
-0.028,-0.035,0.21,-0.221,
-0.032,-0.032,0.15,-0.24,
-0.006,-0.018,0.175,-0.147,
0.005,-0.011,0.203,-0.119,
0.017,0.015,0.206,-0.171,
-0.051,-0.081,0.194,-0.245,
-0.003,0.01,0.266,-0.203,
-0.029,-0.019,0.104,-0.209,
-0.055,-0.052,0.175,-0.238,
0.135,0.149,0.519,-0.172,
-0.046,-0.015,0.151,-0.311,
0.176,0.2,0.423,-0.222,
0.01,0.004,0.338,-0.275,
0.049,0.06,0.254,-0.249,
0.008,0.018,0.28,-0.27,
-0.049,-0.034,0.199,-0.232,
-0.059,-0.061,0.192,-0.239,
-0.003,-0.014,0.274,-0.229,
-0.01,-0.026,0.295,-0.236,
-0.012,-0.016,0.262,-0.279,
-0.001,0.008,0.198,-0.21,
-0.039,-0.052,0.25,-0.27,
-0.027,-0.036,0.213,-0.22,
-0.068,-0.057,0.127,-0.295,
0.119,0.135,0.459,-0.202,
0.095,0.111,0.454,-0.16,
-0.068,-0.08,0.26,-0.274,
0.005,0.005,0.219,-0.178,
0.013,0.002,0.266,-0.165,
0.038,0.04,0.307,-0.205,
-0.033,-0.016,0.187,-0.242,
0.054,0.061,0.348,-0.264,
-0.008,-0.002,0.22,-0.283,
0.052,0.044,0.375,-0.218,
-0.037,-0.03,0.151,-0.194,
-0.002,-0.01,0.228,-0.221,
-0.013,-0.009,0.277,-0.291,
0.205,0.263,0.567,-0.27,
0.156,0.173,0.425,-0.217,
-0.008,-0.009,0.195,-0.132,
-0.034,-0.054,0.305,-0.276,
0.006,0.001,0.255,-0.196,
-0.02,-0.015,0.16,-0.2,
-0.033,-0.043,0.16,-0.194,
0.013,-0.005,0.264,-0.18,
0.071,0.048,0.282,-0.127,
0.02,0.023,0.267,-0.215,
0.005,-0.003,0.263,-0.209,
0.03,0.02,0.327,-0.154,
0.02,0.013,0.231,-0.17,
-0.039,-0.051,0.277,-0.242,
-0.022,-0.046,0.337,-0.271,
-0.029,-0.035,0.159,-0.152,
0.242,0.244,0.485,-0.094,
0.054,0.074,0.279,-0.188,
0.008,0.003,0.173,-0.139,
0.023,0.014,0.361,-0.201,
-0.03,-0.041,0.086,-0.132,
-0.044,-0.047,0.269,-0.21,
-0.023,-0.048,0.234,-0.299,
0.037,0.028,0.318,-0.175,
-0.075,-0.072,0.121,-0.293,
0.038,0.005,0.242,-0.171,
-0.002,-0.019,0.305,-0.174,
0.102,0.085,0.383,-0.087,
-0.012,-0.016,0.228,-0.228,
0.074,0.079,0.322,-0.148,
-0.029,-0.045,0.212,-0.247,
0.021,0.005,0.237,-0.201,
-0.066,-0.066,0.097,-0.178,
-0.017,-0.045,0.234,-0.194,
-0.034,-0.045,0.248,-0.254,
-0.055,-0.067,0.262,-0.232,
-0.043,-0.046,0.182,-0.217,
0.039,0.05,0.254,-0.221,
-0.028,-0.023,0.152,-0.168,
-0.059,-0.055,0.301,-0.321,
-0.013,-0.011,0.147,-0.202,
-0.035,-0.036,0.115,-0.172,
0.009,-0.018,0.287,-0.23,
-0.006,0,0.192,-0.225,
0.039,0.028,0.306,-0.25,
-0,-0.015,0.179,-0.158,
0.074,0.088,0.4,-0.206,
-0.017,-0.015,0.222,-0.2,
-0.007,0,0.215,-0.247,
0.052,0.036,0.311,-0.145,
0.072,0.073,0.336,-0.216,
-0.028,-0.029,0.123,-0.194,
0.005,-0.009,0.185,-0.244,
-0.01,0.003,0.177,-0.19,
-0.031,-0.04,0.253,-0.323,
0.082,0.098,0.358,-0.275,
0.009,0.007,0.237,-0.187,
0.031,0.033,0.262,-0.227,
0.178,0.228,0.41,-0.287,
0.02,0.032,0.166,-0.271,
-0.067,-0.062,0.072,-0.215,
0.042,0.057,0.235,-0.19,
-0.026,-0.032,0.143,-0.208,
0.024,0.025,0.208,-0.164,
-0.025,-0.038,0.138,-0.169,
0.084,0.1,0.354,-0.328,
-0.044,-0.065,0.191,-0.262,
0.077,0.07,0.396,-0.211,
-0.001,-0.002,0.203,-0.17,
-0.026,-0.046,0.208,-0.227,
0.02,0.021,0.239,-0.195,
0.025,-0.011,0.44,-0.299,
-0.035,-0.032,0.111,-0.175,
-0.082,-0.095,0.142,-0.254,
-0.007,-0.025,0.339,-0.199,
0.018,0.002,0.243,-0.181,
-0.011,0.004,0.257,-0.224,
0.005,-0.007,0.262,-0.138,
0.006,0.011,0.232,-0.282,
0.087,0.067,0.446,-0.19,
-0.059,-0.067,0.188,-0.211,
0.009,0.005,0.298,-0.234,
-0.012,0,0.155,-0.208,
-0.025,-0.029,0.137,-0.152,
-0.087,-0.098,0.1,-0.273,
0.013,0.015,0.216,-0.166,
-0.031,-0.011,0.155,-0.274,
-0.009,-0.016,0.245,-0.158,
-0.003,-0.005,0.275,-0.186,
0.019,0.032,0.217,-0.22,
-0.021,-0.025,0.191,-0.169,
-0.009,-0.018,0.263,-0.206,
0.039,0.04,0.287,-0.185,
0.014,-0.022,0.224,-0.265,
0.118,0.125,0.403,-0.23,
-0.039,-0.047,0.192,-0.213,
0.087,0.107,0.407,-0.227,
-0.03,-0.027,0.185,-0.149,
-0.029,-0.029,0.067,-0.169,
-0.031,-0.04,0.185,-0.201,
-0.021,-0.029,0.207,-0.263,
0.078,0.071,0.385,-0.208,
-0.006,-0.011,0.167,-0.187,
-0.045,-0.036,0.117,-0.297,
-0.011,-0.024,0.163,-0.172,
0.115,0.124,0.397,-0.207,
-0.059,-0.06,0.153,-0.229,
-0.034,-0.043,0.174,-0.196,
0.239,0.246,0.482,-0.272,
-0.039,-0.056,0.142,-0.241,
-0.014,-0.017,0.166,-0.227,
0.043,0.024,0.298,-0.179,
-0.01,0.01,0.206,-0.236,
0.078,0.077,0.375,-0.243,
-0.023,-0.01,0.156,-0.285,
-0.088,-0.107,0.149,-0.282,
-0.048,-0.05,0.174,-0.287,
0.019,0.002,0.359,-0.203,
0.025,0.033,0.262,-0.191,
-0.044,-0.063,0.165,-0.19,
-0.003,0.001,0.239,-0.193,
-0.004,-0.019,0.148,-0.151,
-0.043,-0.045,0.16,-0.23,
-0.045,-0.032,0.215,-0.275,
-0.024,-0.037,0.311,-0.196,
0.216,0.227,0.51,-0.189,
0.021,0.038,0.184,-0.163,
-0.045,-0.047,0.187,-0.282,
0.018,0.004,0.388,-0.209,
-0.005,-0.029,0.259,-0.238,
-0.02,-0.024,0.202,-0.204,
0.055,0.052,0.345,-0.211,
-0.027,-0.037,0.174,-0.176,
0.042,0.024,0.369,-0.287,
0.003,-0.005,0.297,-0.17,
-0.001,-0.01,0.247,-0.173,
0.003,0.003,0.33,-0.285,
-0.029,-0.012,0.168,-0.291,
-0.033,-0.039,0.195,-0.235,
0.056,0.036,0.33,-0.205,
0.06,0.055,0.333,-0.177,
0.017,0.005,0.213,-0.151,
0.126,0.133,0.354,-0.132,
-0,0.01,0.254,-0.261,
-0.059,-0.053,0.093,-0.212,
0.036,0.04,0.329,-0.218,
-0.006,-0.011,0.282,-0.214,
0.016,0.018,0.309,-0.211,
0.05,0.055,0.303,-0.259,
-0.038,-0.046,0.221,-0.237,
0.007,-0.011,0.3,-0.255,
-0.035,-0.036,0.219,-0.272,
0.066,0.104,0.315,-0.217,
0.007,0.038,0.23,-0.252,
0.022,0,0.281,-0.17,
0.013,0,0.295,-0.268,
0.064,0.075,0.308,-0.166,
-0.039,-0.036,0.093,-0.233,
-0.075,-0.083,0.23,-0.365,
-0.055,-0.052,0.128,-0.289,
0.083,0.077,0.351,-0.172,
0.098,0.109,0.324,-0.259,
0.036,0.037,0.338,-0.323,
-0.068,-0.095,0.138,-0.239,
0.117,0.129,0.358,-0.182,
