

Data analysis for each instance 
AVG,MED,MAX,MIN
0.673,0.666,1,0.647,
0.669,0.662,0.982,0.662,
0.62,0.614,0.938,0.611,
0.68,0.673,1,0.672,
0.596,0.592,0.895,0.585,
0.676,0.669,0.952,0.669,
0.646,0.639,0.941,0.633,
0.661,0.653,0.987,0.653,
0.632,0.625,0.952,0.624,
0.644,0.649,1,0.609,
0.667,0.662,1,0.657,
0.664,0.659,0.982,0.654,
0.681,0.673,1,0.673,
0.644,0.645,1,0.542,
0.685,0.678,1,0.676,
0.682,0.674,1,0.674,
0.62,0.618,0.96,0.534,
0.584,0.578,0.897,0.572,
0.631,0.634,0.983,0.592,
0.655,0.649,0.975,0.646,
0.649,0.642,0.968,0.64,
0.63,0.639,0.959,0.573,
0.636,0.628,0.988,0.609,
0.64,0.633,0.941,0.633,
0.622,0.615,0.924,0.614,
0.617,0.611,0.906,0.609,
0.678,0.672,0.998,0.669,
0.634,0.628,0.927,0.626,
0.673,0.665,1,0.665,
0.655,0.65,1,0.557,
0.637,0.629,1,0.585,
0.579,0.572,0.863,0.572,
0.671,0.663,1,0.663,
0.673,0.666,0.982,0.665,
0.631,0.624,0.927,0.623,
0.665,0.659,0.978,0.657,
0.679,0.671,1,0.671,
0.601,0.594,0.877,0.594,
0.673,0.667,1,0.664,
0.644,0.653,0.927,0.62,
0.672,0.664,1,0.664,
0.65,0.642,0.982,0.642,
0.688,0.681,1,0.659,
0.656,0.65,1,0.63,
0.652,0.644,1,0.641,
0.686,0.678,1,0.678,
0.642,0.636,0.957,0.632,
0.638,0.632,0.968,0.59,
0.68,0.672,0.994,0.672,
0.651,0.643,0.987,0.634,
0.665,0.658,0.979,0.658,
0.648,0.641,1,0.639,
0.681,0.673,1,0.673,
0.594,0.586,0.9,0.565,
0.604,0.597,0.903,0.597,
0.654,0.649,0.99,0.624,
0.621,0.61,1,0.574,
0.656,0.649,0.978,0.648,
0.631,0.624,0.935,0.624,
0.683,0.676,1,0.675,
0.681,0.673,0.996,0.673,
0.683,0.675,1,0.675,
0.677,0.669,1,0.669,
0.676,0.67,1,0.667,
0.696,0.694,1,0.682,
0.619,0.613,0.911,0.611,
0.591,0.589,0.964,0.491,
0.633,0.626,0.95,0.623,
0.642,0.639,0.996,0.55,
0.635,0.623,1,0.588,
0.662,0.655,1,0.609,
0.671,0.663,1,0.663,
0.637,0.63,0.939,0.629,
0.603,0.596,0.884,0.596,
0.641,0.637,0.953,0.63,
0.659,0.651,1,0.639,
0.629,0.623,0.933,0.621,
0.679,0.672,1,0.672,
0.676,0.668,1,0.668,
0.664,0.656,1,0.64,
0.652,0.648,0.963,0.642,
0.661,0.653,1,0.634,
0.614,0.61,0.978,0.533,
0.67,0.664,1,0.661,
0.65,0.643,0.946,0.642,
0.604,0.597,0.901,0.597,
0.609,0.604,0.94,0.527,
0.649,0.641,0.983,0.641,
0.608,0.601,0.938,0.598,
0.667,0.659,1,0.658,
0.628,0.621,0.952,0.611,
0.682,0.674,1,0.674,
0.676,0.668,1,0.668,
0.659,0.653,1,0.649,
0.617,0.61,1,0.606,
0.619,0.61,1,0.523,
0.627,0.621,0.918,0.62,
0.666,0.658,0.986,0.658,
0.674,0.668,1,0.664,
0.676,0.669,1,0.668,
0.673,0.665,0.987,0.664,
0.683,0.675,1,0.675,
0.669,0.661,1,0.661,
0.672,0.664,0.991,0.664,
0.578,0.57,0.883,0.568,
0.664,0.656,1,0.656,
0.672,0.664,1,0.664,
0.637,0.629,0.961,0.629,
0.598,0.596,0.952,0.537,
0.656,0.652,0.959,0.645,
0.617,0.618,1,0.412,
0.634,0.628,0.936,0.625,
0.675,0.669,0.985,0.663,
0.604,0.597,0.912,0.595,
0.67,0.663,0.978,0.663,
0.681,0.674,1,0.673,
0.67,0.662,1,0.662,
0.68,0.673,1,0.672,
0.553,0.547,0.83,0.546,
0.686,0.679,1,0.679,
0.664,0.655,1,0.655,
0.663,0.658,1,0.611,
0.614,0.607,0.928,0.607,
0.642,0.64,0.98,0.572,
0.645,0.637,0.967,0.637,
0.567,0.559,0.876,0.552,
0.654,0.649,0.974,0.644,
0.629,0.622,0.919,0.621,
0.669,0.664,0.986,0.659,
