

Data analysis for each instance 
AVG,MED,MAX,MIN
0.67,0.662,0.997,0.654,
0.68,0.672,1,0.672,
0.659,0.651,1,0.651,
0.68,0.672,1,0.672,
0.653,0.645,0.985,0.645,
0.682,0.674,1,0.674,
0.676,0.668,1,0.668,
0.669,0.661,1,0.661,
0.624,0.617,0.934,0.617,
0.637,0.627,1,0.582,
0.637,0.629,0.957,0.629,
0.65,0.642,0.987,0.642,
0.678,0.67,1,0.67,
0.63,0.623,0.993,0.556,
0.684,0.676,1,0.676,
0.681,0.673,1,0.673,
0.639,0.642,1,0.567,
0.643,0.634,1,0.623,
0.634,0.637,1,0.599,
0.656,0.649,0.978,0.648,
0.646,0.639,0.962,0.638,
0.643,0.643,0.975,0.609,
0.624,0.615,0.991,0.596,
0.664,0.656,0.976,0.656,
0.641,0.633,0.952,0.633,
0.645,0.638,0.95,0.638,
0.677,0.669,1,0.669,
0.665,0.657,0.977,0.657,
0.664,0.656,1,0.656,
0.648,0.642,0.994,0.594,
0.636,0.637,1,0.574,
0.659,0.651,0.987,0.651,
0.672,0.664,1,0.66,
0.68,0.672,0.994,0.672,
0.653,0.646,0.962,0.646,
0.644,0.637,0.95,0.637,
0.677,0.669,1,0.669,
0.653,0.646,0.954,0.646,
0.675,0.668,1,0.667,
0.633,0.626,0.93,0.625,
0.674,0.667,1,0.666,
0.639,0.631,0.969,0.631,
0.688,0.68,1,0.68,
0.623,0.614,0.977,0.591,
0.653,0.645,1,0.626,
0.684,0.676,0.999,0.676,
0.665,0.657,0.994,0.657,
0.655,0.649,1,0.601,
0.678,0.67,0.994,0.67,
0.633,0.625,1,0.603,
0.639,0.632,0.949,0.632,
0.668,0.66,1,0.66,
0.676,0.668,1,0.668,
0.628,0.629,0.977,0.567,
0.647,0.639,0.966,0.639,
0.627,0.623,0.949,0.6,
0.62,0.613,1,0.574,
0.669,0.661,1,0.661,
0.649,0.641,0.966,0.641,
0.68,0.672,1,0.672,
0.658,0.65,0.966,0.65,
0.637,0.63,0.936,0.63,
0.675,0.667,1,0.667,
0.67,0.662,1,0.662,
0.688,0.68,1,0.68,
0.645,0.638,0.949,0.638,
0.611,0.608,0.997,0.514,
0.664,0.656,1,0.656,
0.607,0.61,0.955,0.565,
0.608,0.599,0.94,0.586,
0.66,0.653,1,0.626,
0.67,0.662,1,0.662,
0.636,0.629,0.947,0.629,
0.619,0.612,0.912,0.612,
0.667,0.659,1,0.659,
0.657,0.65,1,0.634,
0.639,0.631,0.952,0.631,
0.64,0.632,0.948,0.632,
0.677,0.669,1,0.669,
0.657,0.65,1,0.629,
0.677,0.669,0.996,0.669,
0.614,0.613,0.955,0.572,
0.636,0.633,1,0.58,
0.668,0.661,1,0.659,
0.685,0.677,1,0.677,
0.664,0.656,1,0.656,
0.645,0.64,0.99,0.601,
0.651,0.643,0.975,0.643,
0.649,0.641,1,0.63,
0.666,0.658,1,0.655,
0.638,0.635,1,0.596,
0.635,0.628,0.933,0.628,
0.681,0.673,1,0.673,
0.66,0.659,1,0.645,
0.607,0.62,1,0.553,
0.609,0.607,1,0.536,
0.64,0.633,0.944,0.633,
0.676,0.668,1,0.668,
0.671,0.663,1,0.663,
0.675,0.667,1,0.667,
0.679,0.671,1,0.671,
0.678,0.671,1,0.67,
0.659,0.651,0.989,0.651,
0.678,0.67,1,0.67,
0.626,0.625,0.97,0.604,
0.664,0.656,1,0.656,
0.66,0.652,0.991,0.652,
0.663,0.655,1,0.655,
0.593,0.584,0.938,0.563,
0.628,0.621,0.927,0.621,
0.621,0.615,1,0.481,
0.653,0.645,0.975,0.645,
0.637,0.63,0.937,0.63,
0.646,0.639,0.981,0.628,
0.683,0.675,1,0.675,
0.681,0.673,1,0.673,
0.675,0.667,1,0.667,
0.671,0.663,1,0.663,
0.665,0.657,1,0.657,
0.685,0.677,1,0.677,
0.682,0.674,1,0.674,
0.656,0.652,1,0.613,
0.651,0.643,0.988,0.643,
0.637,0.627,1,0.581,
0.647,0.639,0.971,0.639,
0.635,0.634,0.996,0.594,
0.674,0.666,1,0.666,
0.661,0.654,0.965,0.654,
0.677,0.669,1,0.669,
0.665,0.657,1,0.657,
0.668,0.66,1,0.66,
0.656,0.649,1,0.588,
0.668,0.66,1,0.66,
0.671,0.663,1,0.663,
0.682,0.674,1,0.674,
0.623,0.616,0.918,0.616,
0.631,0.624,0.938,0.624,
0.668,0.66,1,0.66,
0.624,0.618,1,0.556,
0.637,0.63,0.953,0.629,
0.643,0.643,1,0.603,
0.667,0.66,0.975,0.66,
0.673,0.665,1,0.665,
0.682,0.674,1,0.674,
0.65,0.642,0.97,0.642,
0.67,0.662,0.991,0.662,
0.607,0.6,0.913,0.593,
0.672,0.664,1,0.664,
0.673,0.666,1,0.665,
0.642,0.637,1,0.62,
0.621,0.614,0.922,0.614,
0.642,0.635,0.959,0.632,
0.641,0.633,0.989,0.633,
0.658,0.65,0.987,0.65,
0.685,0.677,1,0.677,
0.656,0.648,0.985,0.648,
0.68,0.672,1,0.672,
0.68,0.672,1,0.672,
0.667,0.659,0.986,0.659,
0.571,0.558,1,0.491,
0.621,0.614,0.922,0.614,
0.647,0.643,1,0.626,
0.662,0.654,0.973,0.654,
0.603,0.596,0.911,0.596,
0.666,0.658,1,0.658,
0.634,0.629,1,0.58,
0.678,0.67,1,0.67,
0.623,0.616,0.918,0.616,
0.64,0.638,1,0.577,
0.677,0.669,1,0.669,
0.662,0.654,0.978,0.654,
0.636,0.629,0.934,0.629,
0.636,0.628,0.959,0.628,
0.576,0.569,0.92,0.543,
0.635,0.628,0.938,0.628,
0.662,0.654,1,0.654,
0.621,0.613,0.935,0.613,
0.66,0.652,0.97,0.652,
0.674,0.666,1,0.666,
0.673,0.665,1,0.665,
0.654,0.646,1,0.64,
0.639,0.632,0.942,0.632,
0.667,0.659,1,0.659,
0.637,0.629,0.967,0.616,
0.661,0.653,1,0.653,
0.684,0.676,1,0.676,
0.681,0.673,1,0.673,
0.663,0.656,1,0.649,
0.621,0.619,0.984,0.548,
0.68,0.672,1,0.672,
0.578,0.573,0.925,0.544,
0.68,0.672,1,0.672,
0.675,0.667,1,0.667,
0.639,0.632,0.934,0.632,
0.615,0.608,0.92,0.608,
0.626,0.616,0.984,0.547,
0.644,0.637,0.944,0.637,
0.686,0.678,1,0.678,
0.681,0.673,1,0.673,
0.613,0.608,0.981,0.559,
0.64,0.633,0.942,0.633,
0.659,0.651,0.99,0.651,
0.496,0.49,0.904,0.337,
0.679,0.671,1,0.671,
0.663,0.656,0.971,0.656,
0.648,0.641,0.978,0.606,
0.667,0.659,1,0.659,
0.669,0.665,1,0.653,
0.676,0.668,1,0.668,
0.66,0.652,0.99,0.652,
0.671,0.663,1,0.663,
0.673,0.665,1,0.665,
0.647,0.639,0.973,0.639,
0.678,0.67,1,0.67,
0.677,0.669,1,0.669,
0.66,0.652,0.97,0.652,
0.662,0.657,1,0.643,
0.622,0.618,1,0.552,
0.656,0.649,1,0.628,
0.597,0.595,0.991,0.537,
0.656,0.648,0.974,0.648,
0.67,0.662,1,0.648,
0.669,0.662,1,0.661,
0.678,0.671,1,0.665,
0.675,0.668,1,0.667,
0.667,0.66,1,0.658,
0.682,0.674,1,0.674,
0.557,0.55,0.913,0.493,
0.68,0.672,1,0.672,
0.669,0.662,1,0.661,
0.68,0.672,1,0.672,
0.662,0.654,1,0.654,
0.676,0.668,1,0.668,
0.614,0.61,0.939,0.601,
0.612,0.605,0.931,0.581,
0.676,0.668,1,0.668,
0.639,0.631,0.955,0.631,
0.662,0.654,0.994,0.654,
0.685,0.677,1,0.677,
0.647,0.643,1,0.633,
0.681,0.673,1,0.673,
0.621,0.619,1,0.567,
0.643,0.638,0.995,0.612,
0.677,0.669,1,0.669,
0.657,0.649,0.973,0.649,
0.663,0.655,1,0.651,
0.574,0.567,0.983,0.487,
0.669,0.661,1,0.66,
0.667,0.659,1,0.659,
0.668,0.661,1,0.646,
0.652,0.644,0.971,0.644,
0.671,0.663,1,0.663,
0.596,0.591,0.938,0.547,
0.673,0.665,1,0.665,
0.634,0.626,0.947,0.626,
0.657,0.649,0.97,0.649,
0.604,0.597,0.901,0.597,
0.671,0.663,1,0.663,
0.678,0.67,1,0.67,
0.66,0.652,0.976,0.652,
0.622,0.614,0.936,0.613,
0.669,0.661,1,0.661,
0.669,0.661,1,0.661,
0.675,0.667,1,0.666,
0.622,0.615,0.931,0.615,
0.603,0.6,0.92,0.578,
0.67,0.662,1,0.662,
0.673,0.665,1,0.665,
0.615,0.615,1,0.559,
0.578,0.569,1,0.492,
0.598,0.592,0.987,0.545,
0.56,0.556,0.965,0.503,
0.551,0.548,0.929,0.483,
0.579,0.578,1,0.463,
0.574,0.562,1,0.493,
0.571,0.566,0.963,0.49,
0.576,0.573,1,0.481,
0.594,0.588,1,0.535,
0.589,0.582,1,0.497,
0.6,0.592,1,0.558,
0.595,0.591,0.999,0.54,
0.586,0.58,0.981,0.509,
0.531,0.524,0.899,0.481,
0.586,0.582,0.988,0.515,
0.548,0.539,0.959,0.422,
0.586,0.577,1,0.52,
0.53,0.521,0.96,0.442,
0.568,0.56,0.969,0.525,
0.616,0.613,1,0.563,
0.568,0.56,0.941,0.523,
0.579,0.573,0.957,0.528,
0.594,0.587,0.994,0.54,
0.58,0.573,1,0.497,
0.561,0.556,0.937,0.498,
0.574,0.571,1,0.476,
0.591,0.583,1,0.529,
0.586,0.582,1,0.521,
0.554,0.546,0.961,0.482,
0.608,0.601,1,0.572,
0.603,0.597,1,0.555,
0.55,0.54,0.933,0.515,
0.611,0.601,0.999,0.573,
0.587,0.58,0.991,0.529,
0.616,0.616,1,0.546,
0.591,0.591,1,0.511,
0.576,0.569,0.986,0.504,
0.556,0.549,0.944,0.51,
0.553,0.552,0.966,0.464,
0.591,0.581,1,0.543,
0.535,0.532,0.967,0.437,
0.584,0.576,0.976,0.536,
0.598,0.595,1,0.493,
0.509,0.504,0.923,0.419,
0.574,0.581,0.953,0.496,
0.595,0.586,1,0.547,
0.601,0.592,1,0.555,
0.567,0.567,0.951,0.481,
0.581,0.575,1,0.518,
0.63,0.622,1,0.622,
0.583,0.578,0.989,0.531,
0.572,0.568,1,0.445,
0.543,0.546,0.941,0.439,
0.574,0.569,0.956,0.502,
0.59,0.581,1,0.542,
0.563,0.557,1,0.449,
0.616,0.612,1,0.564,
0.559,0.554,0.922,0.513,
0.596,0.591,1,0.521,
0.59,0.583,1,0.53,
0.584,0.578,0.969,0.531,
0.591,0.594,0.97,0.507,
0.535,0.528,0.898,0.487,
0.616,0.61,1,0.552,
0.546,0.54,0.904,0.507,
0.611,0.614,1,0.554,
0.575,0.572,0.982,0.515,
0.59,0.584,1,0.483,
0.555,0.548,0.967,0.495,
0.604,0.599,1,0.533,
0.563,0.556,0.972,0.517,
0.588,0.578,1,0.551,
0.563,0.55,1,0.491,
0.629,0.621,1,0.618,
0.584,0.574,1,0.535,
0.556,0.557,1,0.422,
0.6,0.595,1,0.545,
0.526,0.519,0.907,0.44,
0.585,0.579,0.982,0.533,
0.572,0.571,0.944,0.516,
0.601,0.595,1,0.545,
0.561,0.556,1,0.477,
0.617,0.611,1,0.552,
0.547,0.541,0.987,0.448,
0.601,0.593,1,0.547,
0.587,0.581,1,0.508,
0.6,0.591,1,0.548,
0.567,0.56,0.978,0.475,
0.552,0.548,0.913,0.486,
0.57,0.557,1,0.501,
0.602,0.595,1,0.56,
0.564,0.555,0.938,0.52,
0.604,0.595,1,0.55,
0.554,0.544,0.948,0.479,
0.593,0.599,1,0.506,
0.569,0.562,0.939,0.504,
0.598,0.588,1,0.556,
0.572,0.564,0.924,0.564,
0.562,0.555,0.947,0.502,
0.575,0.574,0.991,0.456,
0.559,0.554,0.931,0.512,
0.619,0.615,1,0.519,
0.592,0.592,0.982,0.508,
0.594,0.583,1,0.543,
0.601,0.591,1,0.536,
0.624,0.618,1,0.578,
0.589,0.594,0.984,0.535,
0.604,0.595,1,0.564,
0.614,0.614,1,0.526,
0.539,0.53,0.921,0.481,
0.606,0.601,0.993,0.543,
0.563,0.557,0.96,0.484,
0.599,0.593,1,0.534,
0.581,0.578,1,0.495,
0.597,0.595,1,0.505,
0.605,0.6,0.981,0.568,
0.596,0.588,0.964,0.588,
0.56,0.554,0.93,0.519,
0.585,0.576,1,0.549,
0.589,0.584,1,0.518,
0.585,0.591,1,0.509,
0.481,0.469,0.976,0.416,
0.578,0.575,1,0.498,
0.606,0.602,1,0.539,
0.605,0.601,1,0.542,
0.612,0.607,1,0.534,
0.581,0.578,0.992,0.52,
0.564,0.558,1,0.483,
0.585,0.577,1,0.524,
0.547,0.54,0.924,0.51,
0.604,0.597,1,0.567,
0.604,0.605,1,0.548,
0.568,0.567,1,0.471,
0.592,0.585,1,0.54,
0.579,0.579,0.936,0.521,
0.587,0.581,1,0.464,
0.613,0.607,1,0.572,
0.589,0.589,0.956,0.542,
0.534,0.524,0.895,0.488,
0.553,0.538,0.964,0.479,
0.563,0.558,0.943,0.479,
0.596,0.595,0.993,0.538,
0.554,0.546,0.973,0.445,
0.585,0.579,0.981,0.504,
0.513,0.501,0.92,0.455,
0.593,0.586,1,0.551,
0.576,0.57,1,0.451,
0.596,0.592,1,0.538,
0.532,0.522,0.952,0.479,
0.598,0.596,0.992,0.519,
0.583,0.583,0.975,0.513,
0.593,0.584,1,0.535,
0.515,0.512,0.92,0.42,
0.591,0.587,1,0.538,
0.609,0.607,1,0.55,
0.605,0.61,1,0.478,
0.586,0.579,1,0.517,
0.596,0.587,1,0.542,
0.595,0.587,1,0.547,
0.606,0.599,1,0.543,
0.566,0.561,0.991,0.476,
0.603,0.6,1,0.552,
0.59,0.579,1,0.539,
0.51,0.502,0.879,0.461,
0.596,0.591,1,0.538,
0.596,0.589,1,0.55,
