

Data analysis for each instance 
AVG,MED,MAX,MIN
0.009,0.009,0.191,-0.203,
0.004,0.004,0.196,-0.211,
0.021,0.015,0.304,-0.251,
0.057,0.05,0.327,-0.204,
-0.017,-0.021,0.241,-0.314,
-0.008,-0.017,0.224,-0.159,
0.006,0.004,0.287,-0.219,
0.041,0.038,0.399,-0.185,
0.032,0.047,0.208,-0.274,
0.081,0.087,0.39,-0.253,
0.02,0.009,0.284,-0.234,
0.029,0.03,0.354,-0.339,
0.024,0.014,0.336,-0.195,
0.105,0.121,0.516,-0.106,
-0.006,-0.002,0.259,-0.187,
-0.008,-0.019,0.349,-0.205,
0.172,0.19,0.422,-0.197,
0.04,0.023,0.302,-0.237,
0.093,0.125,0.45,-0.245,
0.066,0.067,0.396,-0.292,
0.035,0.029,0.38,-0.198,
0.165,0.162,0.418,-0.27,
0.031,0.014,0.386,-0.255,
0.043,0.03,0.327,-0.225,
-0.014,-0.011,0.199,-0.265,
-0.002,-0.01,0.25,-0.241,
0.011,0.019,0.205,-0.174,
0.019,0.038,0.261,-0.209,
0.017,0.02,0.302,-0.207,
0.154,0.151,0.492,-0.219,
0.173,0.16,0.465,-0.111,
0.028,0.032,0.298,-0.211,
0.088,0.11,0.355,-0.218,
-0.001,-0.015,0.263,-0.165,
0.068,0.048,0.314,-0.192,
-0.031,-0.037,0.19,-0.183,
-0.012,-0.013,0.262,-0.238,
-0.014,-0.013,0.265,-0.201,
0.027,0.021,0.394,-0.284,
-0.021,-0.021,0.224,-0.203,
0.002,-0.002,0.272,-0.253,
0.045,0.017,0.333,-0.293,
0.002,-0.005,0.247,-0.202,
0.081,0.084,0.442,-0.246,
0.172,0.209,0.46,-0.184,
0.002,-0.015,0.263,-0.208,
0.036,0.027,0.339,-0.213,
0.078,0.057,0.293,-0.192,
-0.005,-0.015,0.302,-0.199,
0.195,0.191,0.518,-0.089,
0.073,0.084,0.418,-0.217,
0.012,-0.003,0.295,-0.252,
0.015,0.015,0.278,-0.191,
0.113,0.097,0.398,-0.298,
-0.019,-0.022,0.299,-0.219,
0.065,0.075,0.351,-0.193,
0.143,0.159,0.452,-0.122,
0.004,-0.018,0.352,-0.19,
0.052,0.076,0.274,-0.261,
0.005,0.034,0.195,-0.209,
-0.02,-0.029,0.272,-0.171,
0.001,-0.014,0.285,-0.228,
0.015,-0.005,0.406,-0.201,
0.056,0.05,0.266,-0.129,
-0.019,-0.026,0.243,-0.191,
0,-0.005,0.211,-0.205,
0.167,0.194,0.479,-0.168,
-0.01,-0.005,0.235,-0.273,
0.176,0.176,0.422,-0.119,
0.072,0.077,0.389,-0.243,
0.095,0.083,0.436,-0.179,
0.068,0.079,0.335,-0.212,
