

Data analysis for each instance 
AVG,MED,MAX,MIN
0.071,0.079,0.208,-0.081,
0.053,0.061,0.213,-0.112,
0.074,0.066,0.225,-0.126,
0.089,0.101,0.226,-0.105,
0.061,0.066,0.24,-0.124,
0.058,0.062,0.212,-0.119,
0.043,0.051,0.187,-0.059,
0.058,0.056,0.294,-0.058,
0.035,0.029,0.242,-0.252,
0.074,0.07,0.302,-0.157,
0.07,0.09,0.215,-0.147,
0.074,0.076,0.265,-0.166,
0.081,0.075,0.245,-0.046,
0.11,0.11,0.279,-0.07,
0.058,0.04,0.259,-0.041,
0.048,0.058,0.175,-0.128,
0.118,0.126,0.327,-0.093,
0.106,0.096,0.294,-0.105,
0.116,0.114,0.294,-0.076,
0.122,0.124,0.335,-0.069,
0.087,0.091,0.335,-0.139,
0.123,0.113,0.318,-0.056,
0.096,0.118,0.252,-0.098,
0.102,0.095,0.275,-0.045,
0.059,0.051,0.259,-0.138,
0.068,0.062,0.184,-0.095,
0.061,0.057,0.221,-0.074,
0.086,0.099,0.243,-0.081,
0.075,0.079,0.228,-0.154,
0.097,0.107,0.282,-0.144,
0.139,0.147,0.296,-0.12,
0.065,0.081,0.278,-0.093,
0.086,0.099,0.217,-0.116,
0.06,0.068,0.215,-0.072,
0.08,0.077,0.241,-0.118,
0.027,0.032,0.16,-0.122,
0.065,0.066,0.26,-0.178,
0.073,0.078,0.231,-0.059,
0.08,0.075,0.23,-0.109,
0.054,0.044,0.225,-0.113,
0.062,0.058,0.212,-0.063,
0.087,0.092,0.253,-0.092,
0.087,0.097,0.182,-0.07,
0.082,0.068,0.372,-0.126,
0.119,0.112,0.298,-0.037,
0.068,0.077,0.213,-0.075,
0.078,0.084,0.281,-0.1,
0.112,0.113,0.243,-0.135,
0.051,0.038,0.179,-0.118,
0.103,0.089,0.42,-0.114,
0.098,0.11,0.252,-0.028,
0.064,0.062,0.245,-0.079,
0.058,0.07,0.198,-0.111,
0.118,0.122,0.271,-0.071,
0.064,0.053,0.272,-0.129,
0.09,0.095,0.274,-0.179,
0.125,0.134,0.3,-0.039,
0.065,0.077,0.226,-0.096,
0.054,0.068,0.304,-0.191,
0.081,0.075,0.207,-0.085,
0.056,0.068,0.174,-0.164,
0.076,0.081,0.237,-0.089,
0.088,0.08,0.3,-0.081,
0.102,0.096,0.248,-0.085,
0.048,0.05,0.19,-0.097,
0.029,0.019,0.171,-0.08,
0.099,0.088,0.38,-0.121,
0.051,0.048,0.201,-0.071,
0.063,0.049,0.376,-0.173,
0.08,0.089,0.297,-0.116,
0.107,0.107,0.293,-0.088,
0.093,0.087,0.267,-0.063,
0.061,0.063,0.263,-0.149,
0.06,0.053,0.204,-0.057,
0.102,0.106,0.291,-0.088,
0.041,0.064,0.196,-0.144,
0.079,0.075,0.244,-0.087,
0.072,0.071,0.242,-0.051,
0.064,0.061,0.185,-0.052,
0.07,0.08,0.252,-0.157,
0.047,0.039,0.207,-0.088,
0.108,0.103,0.36,-0.098,
0.116,0.101,0.369,-0.088,
0.082,0.083,0.266,-0.098,
0.077,0.072,0.26,-0.051,
0.077,0.067,0.203,-0.115,
0.083,0.098,0.291,-0.134,
0.063,0.075,0.307,-0.117,
0.128,0.113,0.355,-0.031,
0.093,0.108,0.28,-0.134,
0.105,0.104,0.302,-0.044,
0.063,0.072,0.216,-0.153,
0.065,0.067,0.17,-0.046,
0.077,0.085,0.241,-0.134,
0.127,0.141,0.347,-0.199,
0.119,0.128,0.287,-0.115,
0.036,0.038,0.223,-0.145,
0.086,0.094,0.3,-0.155,
0.074,0.09,0.198,-0.069,
0.075,0.072,0.223,-0.108,
0.03,0.028,0.155,-0.149,
0.064,0.061,0.258,-0.091,
0.106,0.097,0.278,-0.095,
0.075,0.083,0.245,-0.061,
0.099,0.107,0.241,-0.127,
0.077,0.071,0.293,-0.124,
0.078,0.076,0.209,-0.063,
0.056,0.061,0.268,-0.182,
0.097,0.1,0.333,-0.082,
0.048,0.059,0.189,-0.107,
0.136,0.136,0.324,-0.039,
0.068,0.059,0.302,-0.093,
0.059,0.064,0.177,-0.072,
0.1,0.106,0.309,-0.125,
0.032,0.027,0.138,-0.134,
0.049,0.046,0.22,-0.097,
0.075,0.074,0.271,-0.099,
0.082,0.088,0.254,-0.054,
0.073,0.075,0.223,-0.133,
0.082,0.079,0.221,-0.073,
0.087,0.068,0.293,-0.061,
0.116,0.118,0.317,-0.123,
0.07,0.089,0.313,-0.106,
0.106,0.108,0.295,-0.067,
0.082,0.081,0.256,-0.101,
0.133,0.139,0.299,-0.112,
0.036,0.044,0.164,-0.165,
0.06,0.056,0.231,-0.077,
0.05,0.074,0.241,-0.141,
0.081,0.073,0.274,-0.118,
