

Data analysis for each instance 
AVG,MED,MAX,MIN
0.071,0.074,0.251,-0.051,
0.049,0.032,0.259,-0.045,
0.074,0.061,0.204,-0.045,
0.067,0.069,0.181,-0.059,
0.052,0.052,0.211,-0.108,
0.04,0.044,0.166,-0.084,
0.038,0.041,0.175,-0.106,
0.048,0.038,0.247,-0.1,
0.047,0.048,0.199,-0.165,
0.073,0.059,0.278,-0.109,
0.063,0.072,0.187,-0.14,
0.061,0.072,0.212,-0.253,
0.043,0.034,0.157,-0.055,
0.1,0.106,0.265,-0.093,
0.044,0.034,0.171,-0.063,
0.036,0.038,0.194,-0.103,
0.123,0.13,0.267,-0.023,
0.09,0.099,0.237,-0.138,
0.108,0.102,0.259,-0.106,
0.112,0.112,0.345,-0.04,
0.074,0.083,0.357,-0.103,
0.121,0.125,0.237,-0.028,
0.082,0.08,0.24,-0.089,
0.094,0.1,0.226,-0.011,
0.057,0.062,0.197,-0.118,
0.052,0.05,0.168,-0.088,
0.05,0.041,0.22,-0.095,
0.07,0.073,0.208,-0.088,
0.058,0.06,0.207,-0.081,
0.084,0.086,0.308,-0.107,
0.126,0.131,0.287,-0.018,
0.068,0.066,0.254,-0.101,
0.082,0.093,0.22,-0.057,
0.051,0.062,0.175,-0.097,
0.066,0.072,0.207,-0.108,
0.025,0.013,0.152,-0.092,
0.045,0.049,0.197,-0.097,
0.05,0.058,0.208,-0.07,
0.057,0.068,0.226,-0.115,
0.04,0.037,0.175,-0.139,
0.053,0.051,0.194,-0.108,
0.076,0.079,0.273,-0.059,
0.061,0.061,0.205,-0.112,
0.074,0.073,0.259,-0.1,
0.128,0.134,0.298,-0.039,
0.046,0.036,0.183,-0.06,
0.06,0.067,0.21,-0.106,
0.109,0.122,0.246,-0.08,
0.038,0.021,0.174,-0.074,
0.094,0.107,0.406,-0.056,
0.079,0.069,0.24,-0.036,
0.05,0.048,0.209,-0.073,
0.045,0.044,0.168,-0.093,
0.115,0.113,0.326,-0.065,
0.057,0.058,0.228,-0.075,
0.094,0.089,0.266,-0.053,
0.094,0.09,0.264,-0.104,
0.051,0.06,0.176,-0.093,
0.06,0.062,0.275,-0.2,
0.055,0.042,0.235,-0.087,
0.042,0.05,0.2,-0.101,
0.052,0.056,0.231,-0.095,
0.07,0.075,0.202,-0.112,
0.082,0.085,0.241,-0.067,
0.04,0.045,0.223,-0.08,
0.029,0.03,0.165,-0.089,
0.092,0.085,0.304,-0.067,
0.049,0.056,0.218,-0.116,
0.069,0.079,0.286,-0.122,
0.078,0.077,0.226,-0.064,
0.103,0.103,0.263,-0.055,
0.1,0.106,0.266,-0.031,
0.062,0.067,0.206,-0.09,
0.053,0.052,0.206,-0.064,
0.108,0.11,0.237,-0.05,
0.037,0.034,0.228,-0.164,
0.054,0.053,0.2,-0.069,
0.052,0.049,0.21,-0.065,
0.07,0.076,0.206,-0.081,
0.064,0.055,0.248,-0.094,
0.052,0.056,0.184,-0.093,
0.099,0.103,0.244,-0.082,
0.115,0.11,0.339,-0.083,
0.082,0.084,0.257,-0.127,
0.053,0.06,0.175,-0.066,
0.063,0.058,0.218,-0.067,
0.076,0.086,0.237,-0.096,
0.06,0.067,0.227,-0.133,
0.127,0.126,0.393,-0.06,
0.082,0.092,0.186,-0.046,
0.092,0.106,0.345,-0.073,
0.05,0.062,0.176,-0.224,
0.044,0.057,0.133,-0.075,
0.063,0.084,0.204,-0.151,
0.136,0.139,0.317,-0.066,
0.126,0.127,0.284,-0.043,
0.03,0.037,0.174,-0.104,
0.095,0.093,0.261,-0.094,
0.061,0.067,0.185,-0.1,
0.074,0.073,0.219,-0.045,
0.028,0.029,0.199,-0.082,
0.046,0.036,0.242,-0.074,
0.093,0.079,0.249,-0.034,
0.055,0.046,0.267,-0.064,
0.091,0.1,0.244,-0.058,
0.071,0.082,0.226,-0.129,
0.074,0.07,0.227,-0.055,
0.059,0.052,0.231,-0.196,
0.083,0.091,0.258,-0.11,
0.035,0.04,0.178,-0.1,
0.124,0.131,0.307,-0.085,
0.058,0.064,0.289,-0.079,
0.034,0.035,0.155,-0.12,
0.091,0.088,0.243,-0.06,
0.029,0.039,0.153,-0.138,
0.065,0.065,0.212,-0.052,
0.057,0.054,0.246,-0.067,
0.059,0.057,0.23,-0.097,
0.065,0.061,0.27,-0.095,
0.065,0.06,0.214,-0.039,
0.061,0.06,0.173,-0.057,
0.112,0.114,0.312,-0.084,
0.096,0.102,0.241,-0.076,
0.107,0.12,0.247,-0.068,
0.081,0.081,0.241,-0.075,
0.127,0.117,0.273,-0.006,
0.045,0.048,0.182,-0.11,
0.047,0.036,0.202,-0.054,
0.035,0.036,0.165,-0.07,
0.067,0.061,0.285,-0.107,
0.059,0.071,0.205,-0.098,
0.086,0.086,0.21,-0.074,
0.047,0.053,0.177,-0.148,
0.092,0.108,0.198,-0.111,
0.043,0.054,0.155,-0.079,
0.046,0.041,0.23,-0.09,
0.068,0.069,0.248,-0.061,
0.046,0.04,0.18,-0.06,
0.112,0.114,0.286,-0.08,
0.048,0.055,0.212,-0.136,
0.065,0.068,0.196,-0.143,
0.043,0.037,0.168,-0.077,
0.052,0.056,0.173,-0.059,
0.053,0.049,0.219,-0.069,
0.091,0.08,0.288,-0.074,
0.047,0.049,0.161,-0.092,
0.058,0.057,0.27,-0.162,
0.067,0.067,0.222,-0.075,
0.073,0.076,0.239,-0.106,
0.105,0.105,0.293,-0.043,
0.063,0.064,0.266,-0.136,
0.07,0.069,0.26,-0.136,
0.118,0.108,0.306,-0.023,
0.061,0.059,0.228,-0.061,
0.035,0.03,0.147,-0.082,
0.081,0.083,0.279,-0.097,
0.047,0.042,0.175,-0.064,
0.059,0.055,0.22,-0.114,
0.04,0.045,0.16,-0.163,
0.121,0.119,0.308,-0.079,
0.072,0.063,0.306,-0.06,
0.114,0.104,0.296,-0.026,
0.085,0.083,0.195,-0.05,
0.084,0.08,0.237,-0.101,
0.065,0.053,0.215,-0.089,
0.097,0.095,0.339,-0.081,
0.05,0.046,0.218,-0.055,
0.021,0.031,0.184,-0.131,
0.107,0.106,0.268,-0.063,
0.084,0.072,0.24,-0.068,
0.069,0.068,0.241,-0.049,
0.043,0.052,0.171,-0.134,
0.058,0.056,0.204,-0.069,
0.09,0.092,0.282,-0.129,
0.031,0.04,0.164,-0.151,
0.078,0.071,0.248,-0.118,
0.049,0.042,0.167,-0.128,
0.04,0.05,0.191,-0.087,
0.036,0.03,0.154,-0.069,
0.061,0.057,0.2,-0.09,
0.08,0.076,0.265,-0.06,
0.042,0.038,0.166,-0.092,
0.073,0.072,0.277,-0.1,
0.056,0.049,0.193,-0.044,
0.064,0.058,0.224,-0.177,
0.045,0.048,0.189,-0.088,
0.048,0.042,0.17,-0.062,
0.079,0.084,0.229,-0.065,
0.121,0.126,0.301,-0.057,
0.044,0.045,0.238,-0.086,
0.113,0.119,0.301,-0.103,
0.062,0.066,0.238,-0.095,
0.037,0.033,0.182,-0.1,
0.079,0.08,0.223,-0.034,
0.052,0.058,0.195,-0.155,
0.113,0.105,0.398,-0.061,
0.027,0.031,0.154,-0.212,
0.034,0.029,0.197,-0.074,
0.038,0.048,0.197,-0.122,
0.104,0.103,0.269,-0.059,
0.039,0.034,0.226,-0.07,
0.05,0.041,0.249,-0.102,
0.14,0.148,0.394,-0.063,
0.047,0.046,0.188,-0.086,
0.071,0.075,0.171,-0.071,
0.069,0.077,0.267,-0.096,
0.052,0.045,0.267,-0.131,
0.08,0.072,0.179,-0.031,
0.048,0.056,0.191,-0.144,
0.101,0.101,0.265,-0.117,
0.082,0.092,0.207,-0.102,
0.05,0.044,0.168,-0.065,
0.057,0.059,0.243,-0.076,
0.098,0.085,0.235,-0.014,
0.084,0.077,0.215,-0.022,
0.035,0.04,0.163,-0.081,
0.063,0.064,0.216,-0.09,
0.045,0.035,0.191,-0.149,
0.097,0.105,0.342,-0.13,
0.142,0.144,0.349,-0.045,
0.054,0.059,0.201,-0.114,
0.064,0.076,0.217,-0.116,
0.083,0.098,0.26,-0.129,
0.049,0.042,0.227,-0.138,
