

Data analysis for each instance 
AVG,MED,MAX,MIN
0.672,0.664,1,0.656,
0.68,0.672,1,0.672,
0.634,0.626,0.962,0.626,
0.631,0.624,0.929,0.624,
0.663,0.655,1,0.655,
0.682,0.674,1,0.674,
0.676,0.668,1,0.668,
0.669,0.661,1,0.661,
0.668,0.66,1,0.66,
0.637,0.627,1,0.582,
0.665,0.657,1,0.657,
0.653,0.645,0.992,0.645,
0.678,0.67,1,0.67,
0.635,0.628,1,0.559,
0.664,0.656,0.971,0.656,
0.68,0.672,0.999,0.672,
0.639,0.642,1,0.567,
0.624,0.615,0.97,0.604,
0.618,0.621,0.975,0.584,
0.659,0.652,0.983,0.651,
0.672,0.664,1,0.664,
0.659,0.659,1,0.624,
0.595,0.585,0.944,0.567,
0.68,0.672,1,0.672,
0.673,0.665,1,0.665,
0.633,0.626,0.933,0.626,
0.677,0.669,1,0.669,
0.68,0.672,1,0.672,
0.643,0.635,0.968,0.635,
0.597,0.592,0.916,0.548,
0.634,0.635,0.996,0.572,
0.667,0.659,1,0.659,
0.657,0.65,0.979,0.646,
0.684,0.676,1,0.676,
0.649,0.642,0.956,0.642,
0.666,0.658,0.983,0.658,
0.677,0.669,1,0.669,
0.685,0.677,1,0.677,
0.675,0.668,1,0.667,
0.68,0.673,1,0.672,
0.674,0.667,1,0.666,
0.659,0.651,1,0.651,
0.688,0.68,1,0.68,
0.605,0.596,0.949,0.574,
0.629,0.621,0.963,0.603,
0.685,0.677,1,0.677,
0.663,0.655,0.99,0.655,
0.655,0.649,1,0.601,
0.682,0.674,1,0.674,
0.595,0.587,0.939,0.566,
0.674,0.666,1,0.666,
0.66,0.652,0.988,0.652,
0.673,0.665,0.996,0.665,
0.638,0.64,0.993,0.576,
0.67,0.662,1,0.662,
0.655,0.651,0.992,0.626,
0.542,0.536,0.873,0.501,
0.669,0.661,1,0.661,
0.672,0.664,1,0.664,
0.68,0.672,1,0.672,
0.658,0.65,0.966,0.65,
0.644,0.637,0.947,0.637,
0.675,0.667,1,0.667,
0.67,0.662,1,0.662,
0.663,0.656,0.963,0.655,
0.668,0.66,0.982,0.66,
0.613,0.61,1,0.516,
0.664,0.656,1,0.656,
0.565,0.568,0.89,0.526,
0.647,0.637,1,0.624,
0.615,0.609,0.933,0.584,
0.67,0.662,1,0.662,
0.672,0.664,1,0.664,
0.647,0.64,0.954,0.64,
0.667,0.659,1,0.659,
0.657,0.65,1,0.634,
0.671,0.663,1,0.663,
0.646,0.638,0.957,0.638,
0.677,0.669,1,0.669,
0.63,0.623,0.958,0.603,
0.65,0.643,0.957,0.643,
0.643,0.641,1,0.6,
