

Data analysis for each instance 
AVG,MED,MAX,MIN
0.015,0.024,0.367,-0.319,
-0.088,-0.097,0.182,-0.362,
-0.066,-0.091,0.354,-0.392,
0.017,0.017,0.32,-0.298,
-0.058,-0.061,0.223,-0.381,
0.009,0.007,0.238,-0.156,
-0.075,-0.079,0.185,-0.31,
-0.048,-0.04,0.265,-0.392,
-0.071,-0.089,0.272,-0.283,
0.037,0.039,0.42,-0.369,
0.02,0.004,0.332,-0.286,
0.046,0.038,0.383,-0.282,
0.038,0.034,0.26,-0.272,
0.093,0.116,0.446,-0.221,
-0.032,-0.047,0.279,-0.293,
-0.053,-0.086,0.182,-0.273,
0.031,0.011,0.546,-0.403,
0.022,0.019,0.608,-0.378,
0.096,0.076,0.493,-0.384,
0.06,0.04,0.457,-0.27,
-0.03,-0.03,0.368,-0.348,
0.135,0.143,0.431,-0.26,
0.04,0.044,0.468,-0.381,
0.005,-0.019,0.347,-0.274,
-0.085,-0.09,0.316,-0.317,
-0.026,-0.027,0.326,-0.282,
0.001,-0.011,0.394,-0.323,
0.009,-0.013,0.311,-0.217,
0.023,0.019,0.314,-0.316,
0.181,0.184,0.573,-0.234,
0.092,0.099,0.512,-0.327,
-0.12,-0.142,0.201,-0.347,
-0.032,-0.033,0.307,-0.298,
-0.076,-0.097,0.25,-0.289,
0.005,0.001,0.416,-0.266,
-0.049,-0.047,0.241,-0.248,
-0.002,0.016,0.314,-0.227,
-0.04,-0.029,0.208,-0.306,
0.059,0.077,0.378,-0.224,
-0.036,-0.057,0.258,-0.272,
-0.049,-0.094,0.217,-0.312,
0.052,0.058,0.453,-0.241,
-0.024,-0.019,0.233,-0.218,
0.093,0.095,0.499,-0.262,
0.098,0.087,0.428,-0.234,
0.022,0.007,0.389,-0.272,
-0.009,-0.004,0.406,-0.346,
-0.009,-0.031,0.336,-0.319,
-0.015,-0.005,0.232,-0.293,
0.138,0.142,0.765,-0.268,
0.046,0.044,0.429,-0.276,
-0.026,-0.036,0.334,-0.249,
-0.065,-0.084,0.308,-0.306,
0.064,0.074,0.387,-0.301,
-0.059,-0.071,0.334,-0.322,
-0.021,-0.041,0.281,-0.253,
0.144,0.132,0.563,-0.193,
-0.037,-0.045,0.344,-0.268,
-0.072,-0.087,0.363,-0.359,
-0.014,-0.019,0.35,-0.28,
-0.012,-0.01,0.291,-0.287,
0.01,-0.007,0.269,-0.223,
