

Data analysis for each instance£º 
AVG,MED,MAX,MIN
0.178,0.185,0.512,-0.175,
0.286,0.291,0.358,0,
0.283,0.316,0.378,-0.151,
0.277,0.285,0.406,0,
0.261,0.294,0.434,-0.061,
0.286,0.322,0.423,-0.188,
0.279,0.282,0.534,-0.094,
0.328,0.343,0.393,0,
0.254,0.271,0.467,-0.905,
0.25,0.282,0.369,-0.25,
0.258,0.27,0.409,0,
0.315,0.321,0.453,-0.448,
0.235,0.25,0.452,-0.425,
0.233,0.238,0.381,-0.229,
0.256,0.281,0.364,-0.462,
0.225,0.226,0.43,-0.064,
0.229,0.245,0.334,-0.057,
0.297,0.303,0.466,-0.239,
0.274,0.297,0.403,-0.082,
0.195,0.212,0.487,-0.267,
0.28,0.31,0.499,0,
0.219,0.218,0.441,-0.229,
0.155,0.209,0.459,-1.031,
0.242,0.283,0.345,-0.371,
0.269,0.287,0.433,-0.218,
0.317,0.341,0.365,-0.118,
0.239,0.293,0.554,-0.124,
0.195,0.196,0.371,-0.088,
0.242,0.238,0.496,-0.41,
0.285,0.311,0.47,-0.146,
0.273,0.29,0.406,0,
0.18,0.166,0.398,-0.053,
0.23,0.233,0.544,-0.173,
0.291,0.289,0.548,0,
0.316,0.332,0.459,-0.045,
0.3,0.314,0.525,-0.12,
0.288,0.291,0.602,-0.231,
0.288,0.319,0.43,-0.093,
0.196,0.207,0.402,-0.12,
0.249,0.262,0.358,-0.631,
0.251,0.265,0.319,-0.027,
0.294,0.299,0.41,-0.138,
0.284,0.32,0.41,-0.046,
0.169,0.174,0.377,-0.149,
0.24,0.251,0.472,-0.556,
0.175,0.196,0.326,-0.243,
0.284,0.29,0.46,0,
0.307,0.332,0.476,0,
0.24,0.266,0.406,-0.146,
0.286,0.318,0.446,-0.261,
0.289,0.306,0.363,-0.126,
0.274,0.287,0.416,0,
0.16,0.208,0.409,-0.688,
0.219,0.254,0.405,-0.604,
0.265,0.28,0.41,0,
0.23,0.253,0.336,-0.102,
0.305,0.307,0.387,0,
0.274,0.293,0.464,-0.09,
0.152,0.159,0.404,-0.308,
0.273,0.293,0.418,-0.106,
0.245,0.27,0.361,-0.203,
0.29,0.307,0.536,-0.252,
0.317,0.329,0.414,0,
0.258,0.278,0.506,-0.032,
0.227,0.26,0.395,-0.483,
0.252,0.217,0.537,-0.012,
0.265,0.262,0.402,0,
0.235,0.236,0.447,-0.027,
0.188,0.198,0.417,-0.004,
0.279,0.302,0.362,-0.269,
0.16,0.169,0.348,-0.292,
0.288,0.307,0.389,-0.067,
0.284,0.283,0.38,0,
0.238,0.26,0.409,-0.439,
0.259,0.299,0.472,-0.027,
0.116,0.093,0.355,-0.165,
0.272,0.271,0.539,0,
0.269,0.309,0.38,-0.246,
0.259,0.255,0.426,-0.01,
0.194,0.227,0.538,-0.282,
0.247,0.243,0.385,-0.06,
0.305,0.312,0.411,0,
0.298,0.31,0.464,0,
0.249,0.273,0.499,-0.074,
0.289,0.29,0.473,0,
0.284,0.304,0.365,-0.037,
0.281,0.312,0.442,0,
0.207,0.219,0.447,-0.038,
0.276,0.294,0.359,0,
0.213,0.248,0.371,-0.165,
0.26,0.269,0.406,0,
0.242,0.229,0.41,0,
0.294,0.289,0.434,0,
0.271,0.28,0.355,-0.029,
0.226,0.245,0.45,-0.378,
0.275,0.323,0.438,-0.239,
0.202,0.227,0.379,-0.183,
0.306,0.298,0.566,0,
0.283,0.287,0.536,0,
0.303,0.317,0.365,0,




Further Data analysis of all test cases£º 
avg med max min 
AVGs,0.254,0.263,0.328,0.116,
MEDs,0.27,0.282,0.343,0.093,
MAXs,0.428,0.412,0.602,0.319,
MINs,-0.159,-0.093,0,-1.031,

