

Data analysis for each instance 
AVG,MED,MAX,MIN
0.77,0.757,1,0.634,
0.701,0.704,1,0.494,
0.738,0.743,1,0.466,
0.794,0.79,1,0.528,
0.719,0.714,1,0.518,
0.71,0.694,1,0.572,
0.847,0.839,1,0.719,
0.734,0.749,1,0.476,
0.768,0.754,1,0.618,
0.675,0.639,1,0.526,
0.655,0.607,1,0.51,
0.701,0.706,1,0.516,
0.661,0.589,1,0.477,
0.651,0.607,1,0.505,
0.755,0.736,1,0.51,
0.694,0.704,1,0.477,
0.85,0.879,1,0.519,
0.647,0.603,1,0.465,
0.705,0.677,1,0.588,
0.654,0.617,1,0.506,
0.688,0.686,1,0.466,
0.649,0.609,1,0.487,
0.669,0.64,1,0.512,
0.695,0.668,1,0.482,
0.627,0.589,1,0.486,
0.693,0.699,1,0.513,
0.768,0.752,1,0.615,
0.689,0.649,1,0.497,
0.844,0.903,1,0.599,
0.68,0.665,1,0.523,
0.734,0.758,1,0.512,
0.652,0.635,1,0.486,
0.776,0.776,1,0.507,
0.679,0.673,1,0.497,
0.853,0.879,1,0.602,
0.638,0.601,1,0.434,
0.819,0.896,1,0.564,
0.77,0.765,1,0.496,
0.624,0.605,1,0.5,
0.612,0.565,1,0.459,
0.629,0.597,1,0.48,
0.639,0.607,1,0.494,
0.636,0.607,1,0.5,
0.662,0.631,1,0.52,
0.762,0.756,1,0.645,
0.765,0.734,1,0.639,
0.713,0.698,1,0.533,
0.768,0.758,1,0.631,
0.664,0.617,1,0.509,
0.674,0.64,1,0.513,
0.616,0.577,1,0.452,
0.742,0.678,1,0.511,
0.654,0.629,1,0.519,
0.706,0.7,1,0.525,
0.675,0.642,1,0.524,
0.652,0.628,1,0.515,
0.642,0.626,1,0.506,
0.782,0.769,1,0.54,
0.695,0.644,1,0.546,
0.68,0.644,1,0.5,
0.627,0.579,1,0.516,
0.668,0.646,1,0.493,
0.708,0.682,1,0.594,
0.729,0.755,1,0.48,
0.657,0.637,1,0.458,
0.829,0.819,1,0.632,
0.7,0.691,1,0.509,
0.74,0.734,1,0.579,
0.645,0.631,1,0.465,
0.743,0.732,1,0.526,
0.815,0.871,1,0.571,
0.669,0.643,1,0.513,
0.724,0.699,1,0.489,
0.698,0.69,1,0.465,
0.634,0.585,1,0.47,
0.661,0.629,1,0.455,
0.688,0.679,1,0.548,
0.793,0.782,1,0.531,
0.71,0.671,1,0.5,
0.621,0.571,1,0.519,
0.848,0.848,1,0.683,
0.666,0.623,1,0.504,
0.627,0.585,1,0.508,
0.768,0.756,1,0.624,
0.767,0.754,1,0.65,
0.66,0.598,1,0.524,
0.758,0.694,1,0.497,
0.712,0.692,1,0.604,
0.678,0.665,1,0.473,
0.858,0.898,1,0.606,
0.648,0.621,1,0.494,
0.635,0.584,1,0.484,
0.705,0.688,1,0.569,
0.808,0.753,1,0.661,
0.818,0.834,1,0.537,
0.66,0.631,1,0.492,
0.646,0.617,1,0.518,
0.765,0.728,1,0.506,
0.649,0.613,1,0.498,
0.632,0.613,1,0.491,


0.723,0.702,1,0.614,
0.63,0.61,1,0.411,
0.686,0.702,1,0.361,
0.737,0.742,1,0.415,
0.659,0.661,1,0.315,
0.623,0.596,1,0.481,
