

Data analysis for each instance 
AVG,MED,MAX,MIN
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.003,0,0.025,0,
-0.001,0,0,-0.011,
0.003,0,0.008,0,
-0.001,0,0.01,-0.011,
0.009,0.009,0.035,0,
-0.001,0,0,-0.003,
0.004,0,0.013,0,
0.002,0,0.01,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.001,0,0.005,0,
0.002,0,0.014,0,
0.003,0,0.009,0,
0,0,0,0,
0,0,0,0,
0.001,0,0.01,0,
0.001,0,0.009,0,
0,0,0.004,0,
0.007,0.007,0.015,0,
0,0,0,0,
0.003,0.002,0.015,-0.008,
0.006,0.009,0.011,0,
0.018,0.011,0.064,0,
0,0,0,0,
0,0,0,0,
-0.002,-0.002,0,-0.004,
0.008,0.01,0.01,0,
0,0,0,0,
0.001,0,0.01,0,
0,0,0,0,
0.004,0,0.013,0,
0,0,0.001,0,
0.004,0,0.012,0,
0.002,0,0.008,0,
0,0,0,0,
0.001,0.001,0.001,0,
0,0,0,0,
0.003,0,0.017,0,
0,0,0,0,
0.002,0,0.012,0,
0.005,0,0.028,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.006,0.007,0.011,0,
0,0,0,0,
0,0,0,0,
0.005,0,0.019,0,
0,0,0.004,-0.004,
0,0,0,0,
0.006,0.005,0.014,0,
0,0,0,0,
0.006,0.007,0.013,0,
0,0,0,0,
-0.002,-0,0,-0.004,
0,0,0.001,-0.001,
0,0,0,0,
0,0,0,0,
0.001,0,0.012,-0.003,
0,0,0.005,0,
0.004,0,0.012,-0.001,
0.002,0,0.008,0,
0,0,0,0,
0.001,0.001,0.001,0,
-0,0,0,-0.001,
-0,-0.001,0.001,-0.001,
0.001,0,0.008,0,
0,0,0.016,-0.016,
0,0,0,0,
0.003,0,0.012,0,
0,-0.001,0.009,-0.001,
0.001,0,0.007,0,
0.005,0.005,0.009,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.001,0.001,0.002,-0.002,
0.004,0.004,0.01,0,
0.002,0,0.014,0,
0,0,0.001,0,
0.003,0,0.009,-0.001,
0,0,0,0,
0.009,0.012,0.012,0,
0.005,0.002,0.023,0,
0.009,0.012,0.019,0,
0.001,0,0.003,-0.001,
-0.001,-0.001,0.008,-0.004,
0,0,0,0,
0,0,0,0,
0.002,0.001,0.004,-0.002,
0.002,0,0.009,0,
