

Data analysis for each instance 
AVG,MED,MAX,MIN
0.543,0.539,1,0.508,
0.539,0.53,1,0.523,
0.507,0.497,1,0.493,
0.528,0.522,1,0.503,
0.544,0.538,1,0.509,
0.573,0.571,1,0.554,
0.546,0.538,1,0.526,
0.556,0.552,1,0.532,
0.529,0.518,1,0.518,
0.483,0.475,1,0.474,
0.524,0.519,1,0.5,
0.497,0.488,1,0.483,
0.54,0.535,1,0.518,
0.453,0.445,1,0.445,
0.546,0.54,1,0.523,
0.558,0.554,1,0.535,
0.479,0.472,1,0.466,
0.505,0.497,1,0.497,
0.481,0.463,1,0.463,
0.501,0.489,1,0.484,
0.533,0.533,1,0.485,
0.503,0.498,1,0.482,
0.481,0.469,1,0.469,
0.52,0.518,1,0.494,
0.549,0.544,1,0.523,
0.541,0.535,1,0.521,
0.541,0.536,1,0.512,
0.523,0.518,1,0.504,
0.516,0.506,1,0.502,
0.46,0.452,1,0.452,
0.443,0.435,1,0.435,
0.516,0.505,1,0.504,
0.527,0.52,1,0.501,
0.557,0.552,1,0.536,
0.518,0.509,1,0.505,
0.562,0.558,1,0.538,
0.565,0.561,1,0.538,
0.54,0.533,1,0.511,
0.539,0.528,1,0.507,
0.562,0.558,1,0.539,
0.516,0.5,1,0.5,
0.489,0.481,1,0.48,
0.543,0.529,1,0.527,
0.477,0.468,1,0.468,
0.479,0.468,1,0.463,
0.557,0.552,1,0.534,
0.497,0.487,1,0.487,
0.506,0.5,1,0.481,
0.563,0.558,1,0.542,
0.489,0.487,1,0.434,
0.528,0.526,1,0.497,
0.544,0.539,1,0.508,
0.557,0.553,1,0.539,
0.492,0.487,1,0.462,
0.546,0.543,1,0.506,
0.491,0.484,1,0.484,
0.465,0.449,1,0.449,
0.556,0.553,1,0.52,
0.531,0.524,1,0.513,
0.56,0.557,1,0.535,
0.544,0.54,1,0.52,
0.536,0.534,1,0.506,
0.541,0.537,1,0.503,
0.543,0.539,1,0.511,
0.561,0.554,1,0.544,
0.539,0.528,1,0.528,
0.433,0.424,1,0.423,
0.499,0.489,1,0.489,
0.429,0.421,1,0.421,
0.498,0.494,1,0.47,
0.495,0.485,1,0.477,
0.522,0.511,1,0.511,
0.504,0.492,1,0.492,
0.539,0.53,1,0.51,
0.49,0.482,1,0.482,
0.515,0.508,1,0.484,
0.542,0.536,1,0.505,
0.555,0.55,1,0.528,
0.561,0.555,1,0.532,
0.495,0.486,1,0.485,
0.567,0.563,1,0.537,
0.464,0.457,1,0.453,
0.461,0.453,1,0.453,
0.507,0.489,1,0.489,
0.553,0.548,1,0.534,
0.513,0.51,1,0.493,
0.471,0.464,1,0.464,
0.5,0.49,1,0.49,
0.451,0.441,1,0.441,
0.497,0.485,1,0.485,
0.467,0.458,1,0.449,
0.57,0.566,1,0.555,
0.57,0.567,1,0.537,
0.515,0.508,1,0.502,
0.441,0.438,1,0.432,
0.459,0.45,1,0.45,
0.565,0.562,1,0.538,
0.514,0.499,1,0.498,
0.518,0.502,1,0.501,
0.514,0.499,1,0.499,
0.565,0.561,1,0.544,
0.551,0.546,1,0.517,
0.534,0.53,1,0.493,
0.542,0.537,1,0.508,
0.492,0.485,1,0.484,
0.522,0.52,1,0.491,
0.5,0.489,1,0.489,
0.53,0.524,1,0.49,
0.471,0.461,1,0.46,
0.551,0.546,1,0.522,
0.412,0.405,1,0.405,
0.521,0.512,1,0.501,
0.559,0.555,1,0.539,
0.496,0.486,1,0.485,
0.568,0.562,1,0.547,
0.567,0.562,1,0.543,
0.552,0.549,1,0.517,
0.533,0.527,1,0.522,
0.542,0.537,1,0.518,
0.543,0.538,1,0.521,
0.532,0.526,1,0.496,
0.488,0.48,1,0.48,
0.512,0.5,1,0.5,
0.466,0.458,1,0.456,
0.528,0.523,1,0.52,
0.471,0.455,1,0.451,
0.546,0.54,1,0.522,
0.548,0.54,1,0.527,
0.56,0.556,1,0.534,
0.527,0.512,1,0.512,
0.541,0.536,1,0.503,
0.509,0.504,1,0.489,
0.543,0.54,1,0.499,
0.523,0.515,1,0.493,
0.567,0.563,1,0.545,
0.573,0.57,1,0.557,
0.504,0.496,1,0.495,
0.529,0.524,1,0.501,
0.47,0.462,1,0.462,
0.531,0.524,1,0.494,
0.511,0.506,1,0.463,
0.562,0.557,1,0.543,
0.522,0.514,1,0.502,
0.539,0.538,1,0.498,
0.514,0.51,1,0.486,
0.54,0.521,1,0.521,
0.541,0.534,1,0.498,
0.542,0.538,1,0.514,
0.527,0.52,1,0.496,
0.481,0.463,1,0.463,
0.507,0.497,1,0.497,
0.519,0.508,1,0.495,
0.448,0.44,1,0.44,
0.536,0.531,1,0.502,
0.573,0.569,1,0.555,
0.517,0.51,1,0.485,
0.548,0.542,1,0.528,
0.533,0.526,1,0.513,
0.553,0.549,1,0.536,
0.439,0.427,1,0.425,
0.554,0.55,1,0.522,
0.48,0.472,1,0.462,
0.533,0.523,1,0.506,
0.526,0.52,1,0.495,
0.5,0.493,1,0.493,
0.49,0.483,1,0.466,
0.546,0.542,1,0.509,
0.56,0.552,1,0.547,
0.501,0.492,1,0.472,
0.548,0.543,1,0.516,
0.531,0.524,1,0.502,
0.566,0.562,1,0.533,
0.523,0.519,1,0.49,
0.469,0.454,1,0.454,
0.562,0.557,1,0.54,
0.523,0.517,1,0.494,
0.499,0.49,1,0.49,
0.562,0.557,1,0.53,
0.551,0.546,1,0.522,
0.512,0.499,1,0.498,
0.519,0.519,1,0.502,
0.551,0.547,1,0.522,
0.513,0.504,1,0.487,
0.525,0.521,1,0.498,
0.52,0.516,1,0.498,
0.559,0.555,1,0.533,
0.541,0.537,1,0.515,
0.504,0.487,1,0.486,
0.451,0.444,1,0.444,
0.54,0.533,1,0.521,
0.461,0.452,1,0.452,
0.553,0.548,1,0.53,
0.555,0.55,1,0.531,
0.54,0.536,1,0.518,
0.537,0.536,1,0.5,
0.445,0.436,1,0.436,
0.573,0.572,1,0.554,
0.537,0.527,1,0.518,
0.568,0.563,1,0.545,
0.432,0.423,1,0.423,
0.549,0.546,1,0.523,
0.497,0.481,1,0.481,
0.366,0.357,1,0.357,
0.529,0.52,1,0.515,
0.554,0.55,1,0.533,
0.511,0.5,1,0.5,
0.544,0.542,1,0.493,
0.528,0.518,1,0.507,
0.529,0.524,1,0.504,
0.504,0.493,1,0.492,
0.546,0.539,1,0.512,
0.515,0.508,1,0.508,
0.523,0.516,1,0.495,
0.547,0.543,1,0.515,
0.551,0.546,1,0.524,
0.568,0.564,1,0.545,
0.525,0.509,1,0.5,
0.472,0.464,1,0.461,
0.483,0.474,1,0.473,
0.42,0.413,1,0.413,
0.53,0.522,1,0.502,
0.502,0.489,1,0.489,
0.512,0.502,1,0.49,
0.553,0.55,1,0.526,
0.542,0.538,1,0.511,
0.508,0.501,1,0.484,
0.567,0.561,1,0.554,
0.474,0.469,1,0.457,
0.524,0.522,1,0.497,
0.553,0.55,1,0.525,
0.527,0.517,1,0.515,
0.508,0.495,1,0.495,
0.561,0.557,1,0.538,
0.526,0.52,1,0.48,
0.48,0.471,1,0.471,
0.524,0.513,1,0.503,
0.502,0.492,1,0.492,
0.532,0.526,1,0.503,
0.58,0.576,1,0.572,
0.5,0.494,1,0.454,
0.537,0.534,1,0.507,
0.479,0.476,1,0.456,
0.507,0.504,1,0.498,
0.547,0.541,1,0.52,
0.51,0.499,1,0.499,
0.506,0.497,1,0.491,
0.422,0.414,1,0.414,
0.537,0.53,1,0.516,
0.496,0.481,1,0.481,
0.532,0.528,1,0.493,
0.539,0.536,1,0.504,
0.558,0.553,1,0.53,
0.497,0.488,1,0.475,
0.535,0.518,1,0.518,
0.526,0.52,1,0.495,
0.503,0.495,1,0.495,
0.515,0.5,1,0.487,
0.552,0.547,1,0.523,
0.506,0.49,1,0.49,
0.517,0.509,1,0.507,
0.502,0.493,1,0.493,
0.538,0.534,1,0.51,
0.532,0.527,1,0.51,
0.523,0.514,1,0.509,
0.535,0.531,1,0.508,
0.537,0.532,1,0.511,
0.527,0.52,1,0.51,
0.506,0.487,1,0.487,
0.45,0.441,1,0.441,
0.439,0.431,1,0.431,
0.453,0.445,1,0.445,
0.423,0.415,1,0.415,
0.43,0.422,1,0.421,
0.431,0.422,1,0.422,
0.417,0.406,1,0.406,
0.434,0.426,1,0.426,
0.443,0.434,1,0.434,
0.437,0.43,1,0.43,
0.416,0.409,1,0.409,
0.47,0.464,1,0.437,
0.448,0.442,1,0.438,
0.487,0.481,1,0.451,
0.436,0.428,1,0.428,
0.448,0.44,1,0.439,
0.421,0.414,1,0.413,
0.437,0.43,1,0.43,
0.408,0.4,1,0.4,
0.441,0.433,1,0.433,
0.444,0.436,1,0.436,
0.444,0.437,1,0.437,
0.487,0.48,1,0.453,
0.488,0.483,1,0.463,
0.456,0.455,1,0.424,
0.462,0.44,1,0.44,
0.449,0.445,1,0.431,
0.472,0.468,1,0.447,
0.453,0.448,1,0.438,
0.438,0.432,1,0.408,
0.446,0.438,1,0.438,
0.484,0.477,1,0.436,
0.462,0.454,1,0.446,
0.492,0.488,1,0.459,
0.462,0.456,1,0.444,
0.468,0.461,1,0.436,
0.436,0.427,1,0.427,
0.423,0.415,1,0.415,
0.473,0.467,1,0.446,
0.459,0.452,1,0.423,
0.472,0.469,1,0.435,
0.421,0.413,1,0.413,
0.45,0.442,1,0.442,
0.448,0.441,1,0.438,
0.396,0.388,1,0.388,
0.428,0.421,1,0.421,
0.434,0.424,1,0.424,
0.491,0.485,1,0.457,
0.457,0.449,1,0.405,
0.418,0.408,1,0.408,
0.467,0.445,1,0.444,
0.447,0.44,1,0.438,
0.433,0.423,1,0.423,
0.431,0.422,1,0.422,
0.444,0.433,1,0.433,
0.444,0.436,1,0.435,
0.428,0.424,1,0.418,
0.467,0.461,1,0.441,
0.45,0.445,1,0.438,
0.433,0.424,1,0.424,
0.439,0.432,1,0.432,
0.495,0.49,1,0.467,
0.43,0.423,1,0.423,
0.442,0.435,1,0.435,
0.424,0.416,1,0.416,
0.448,0.439,1,0.439,
0.44,0.432,1,0.432,
0.411,0.403,1,0.403,
0.455,0.447,1,0.44,
0.42,0.413,1,0.413,
0.5,0.496,1,0.458,
0.444,0.436,1,0.425,
0.454,0.447,1,0.443,
0.384,0.377,1,0.377,
0.475,0.467,1,0.446,
0.436,0.427,1,0.427,
0.393,0.386,1,0.386,
0.458,0.444,1,0.442,
0.427,0.418,1,0.418,
0.468,0.468,1,0.431,
0.454,0.444,1,0.444,
0.442,0.434,1,0.434,
0.388,0.381,1,0.381,
0.429,0.421,1,0.421,
0.427,0.419,1,0.419,
0.45,0.441,1,0.438,
0.444,0.435,1,0.434,
0.469,0.465,1,0.44,
0.422,0.414,1,0.414,
0.474,0.467,1,0.448,
0.423,0.415,1,0.415,
0.438,0.431,1,0.431,
0.486,0.482,1,0.45,
0.461,0.445,1,0.442,
0.447,0.439,1,0.438,
