

Data analysis for each instance 
AVG,MED,MAX,MIN
1024.521,1018,3218,1017,


1028.429,1026,3271,1026,


1072.789,1070,3400,1070,




Further Data analysis of all test cases 
avg med max min 
AVGs,1024.521,1024.521,1024.521,1024.521,
MEDs,1018,1018,1018,1018,
MAXs,3218,3218,3218,3218,
MINs,1017,1017,1017,1017,


AVGs,1028.429,1028.429,1028.429,1028.429,
MEDs,1026,1026,1026,1026,
MAXs,3271,3271,3271,3271,
MEDs,1026,1026,1026,1026,


AVGs,1072.789,1072.789,1072.789,1072.789,
MEDs,1070,1070,1070,1070,
MAXs,3400,3400,3400,3400,
MEDs,1070,1070,1070,1070,



