

Data analysis for each instance 
AVG,MED,MAX,MIN
0.218,0.22,0.348,0.075,
0.123,0.119,0.252,-0.015,
-0.057,-0.062,0.083,-0.062,
0.369,0.371,0.462,0.19,
-0.016,-0.026,0.179,-0.028,
0.16,0.17,0.218,-0.002,
0.014,0.013,0.068,-0.072,
0,0.005,0.087,-0.144,
0.139,0.162,0.263,-0.018,
0.064,0.059,0.135,-0.178,
0.244,0.273,0.299,0.106,
0.237,0.236,0.272,0.111,
0.116,0.122,0.268,-0.028,
0.208,0.206,0.305,0.19,
0.067,0.068,0.156,-0.05,
0.04,0.045,0.134,-0.12,
0.001,0,0.066,0,
0.069,0.06,0.217,0.022,
0.049,0.043,0.133,-0.031,
-0.064,-0.076,0.217,-0.17,
-0.028,-0.019,0.069,-0.097,
-0.113,-0.12,0.189,-0.121,
-0.024,-0.024,0.001,-0.061,
0.3,0.299,0.367,0.194,
0.041,0.049,0.129,-0.084,
0.11,0.118,0.192,-0.021,
0.127,0.128,0.268,-0.026,
0.1,0.103,0.302,0.056,
-0.157,-0.149,0.125,-0.241,
0.274,0.276,0.371,0.12,
-0.072,-0.078,0.065,-0.078,
-0.029,-0.038,0.102,-0.135,
-0.032,-0.068,0.185,-0.086,
-0.035,-0.055,0.153,-0.085,
0.213,0.228,0.267,0.08,
0.107,0.109,0.209,-0.037,
-0.013,-0.009,0.13,-0.141,
0.24,0.243,0.323,0.095,
0.127,0.136,0.202,-0.034,
-0.056,-0.056,0.042,-0.175,
-0.066,-0.066,0.026,-0.132,
0.053,0.092,0.111,-0.243,
0.123,0.12,0.272,-0.001,
0.006,-0.005,0.142,-0.012,
-0,0,0.012,-0.058,
0.228,0.229,0.294,0.141,
0.054,0.038,0.124,-0.066,
0.08,0.081,0.133,-0.039,
0.059,0.058,0.196,-0.073,
0.147,0.159,0.161,0.013,
0.341,0.359,0.368,0.212,
0.016,0.008,0.095,-0.056,
0.091,0.11,0.131,-0.057,
0.141,0.141,0.158,-0.006,
-0.123,-0.123,0.107,-0.257,
0.078,0.073,0.147,0.069,
0.024,0.029,0.125,0.011,
0.102,0.105,0.191,0.011,
-0.172,-0.167,0.055,-0.235,
0.107,0.11,0.146,0.036,
-0.02,-0.074,0.199,-0.129,
0.133,0.137,0.274,-0.018,
0.16,0.174,0.268,0.089,
-0.175,-0.189,0.064,-0.212,
-0.075,-0.076,0.089,-0.183,
0.188,0.2,0.255,0.007,
0.001,0,0.048,0,
0.051,0.059,0.149,-0.021,
0.021,0.019,0.136,0.019,
0.233,0.237,0.292,0.022,
-0.07,-0.053,0.11,-0.104,
0.102,0.102,0.114,0.072,
0.084,0.053,0.146,-0.023,
0.123,0.132,0.204,0.047,
-0.069,-0.073,0.034,-0.073,
0.041,0.039,0.138,-0.096,
0.091,0.088,0.207,-0.016,
0.232,0.232,0.337,0.164,
0.066,0.061,0.195,-0.047,
0.155,0.164,0.171,-0.068,
0.031,0.015,0.204,-0.05,
0.21,0.208,0.294,0.122,
0.071,0.085,0.124,0.038,
-0.09,-0.11,0.089,-0.176,
0.138,0.137,0.3,0.008,
-0.02,-0.013,0.053,-0.112,
-0.055,-0.031,0.002,-0.122,
0.034,0.034,0.134,-0.031,
-0.183,-0.183,0,-0.28,
0.049,0.055,0.112,-0.005,
0.024,0.022,0.152,-0.01,
0.036,0.033,0.154,-0.085,
0.102,0.114,0.222,-0.132,
0.113,0.135,0.232,0,
0,0,0,0,
0.159,0.16,0.169,0.118,
-0.005,-0.031,0.171,-0.039,
-0.053,-0.059,0.181,-0.142,
-0.03,-0.03,0.028,-0.056,
0.25,0.251,0.302,0.073,
0.206,0.225,0.328,-0.011,
0.192,0.196,0.272,0.054,
0.072,0.069,0.188,0.04,
0.235,0.234,0.29,0.144,
-0.08,-0.093,0,-0.122,
0.107,0.089,0.291,0.039,
-0.021,0.01,0.046,-0.153,
0.116,0.098,0.182,0.07,
0.077,0.037,0.201,-0.019,
-0.039,-0.042,0.106,-0.159,
0,0,0.006,0,
0.018,0.022,0.132,-0.047,
0.072,0.074,0.214,-0.056,
0.128,0.118,0.147,-0.029,
0.07,0.067,0.231,-0.058,
0.13,0.132,0.215,0.022,
0.106,0.097,0.21,0.054,
0.339,0.352,0.396,0.19,
0.192,0.189,0.29,0.052,
0.137,0.138,0.255,-0.025,
0.27,0.249,0.41,0.205,
0.003,0,0.13,-0.016,
0.184,0.185,0.307,-0.012,
0.157,0.142,0.208,0.022,
0.045,0.056,0.094,0.019,
-0.009,-0.003,0.048,-0.033,
0.257,0.269,0.314,0.044,
0.035,0.03,0.168,-0.078,
0.094,0.1,0.229,-0.052,
0.023,0.051,0.099,-0.059,
0.011,0.017,0.123,-0.119,
0.038,0.038,0.13,0.023,
-0.05,-0.041,0.077,-0.224,
-0.017,-0.017,0,-0.038,
0.099,0.098,0.203,0.001,
-0.078,-0.09,0.078,-0.118,
0.142,0.134,0.278,0.018,
0.02,0.017,0.18,-0.073,
0.135,0.11,0.248,0.107,
0.079,0.084,0.177,-0.044,
0.279,0.299,0.349,0.101,
-0.102,-0.136,0.2,-0.209,
0.015,0.025,0.106,-0.07,
0.333,0.332,0.447,0.176,
0.327,0.328,0.384,0.218,
-0.049,-0.07,0.1,-0.159,
0.035,0.004,0.269,-0.013,
0.05,0.037,0.233,0.023,
-0.048,-0.086,0.134,-0.109,
0.064,0.05,0.087,-0.04,
0.282,0.288,0.342,0.139,
0.077,0.083,0.12,-0.049,
0,0,0.006,0,
0.102,0.104,0.152,0.039,
0.004,-0.002,0.123,-0.145,
0.165,0.152,0.237,0.085,
0.001,-0.005,0.15,-0.108,
0.15,0.147,0.28,-0.01,
-0.027,-0.021,0.073,-0.192,
0.009,0.01,0.015,0,
-0.016,-0.017,0.042,-0.098,
-0.224,-0.224,0,-0.282,
-0.077,-0.088,0.129,-0.177,
-0.107,-0.121,0.049,-0.142,
0.188,0.204,0.255,-0.031,
-0.001,-0.001,0.023,-0.014,
0.226,0.228,0.28,0.151,
-0.016,-0.017,0.162,-0.116,
-0.001,0,0.003,-0.082,
0.019,0.025,0.13,-0.089,
0.08,0.082,0.171,0.022,
0.027,0.031,0.116,-0.072,
0.228,0.229,0.257,0.098,
0.057,0.072,0.13,-0.021,
0.1,0.117,0.189,-0.111,
0.134,0.134,0.193,0.012,
0.072,0.09,0.111,-0.103,
0.027,0.027,0.114,-0.05,
0.127,0.134,0.221,0.017,
0.129,0.124,0.25,0.003,
-0.044,-0.045,-0.017,-0.061,
0.087,0.092,0.217,-0.044,
-0.067,-0.079,0.145,-0.117,
0.057,0.058,0.212,-0.078,
0.164,0.175,0.23,-0.048,
0.026,0.024,0.174,-0.145,
0.294,0.304,0.331,0.103,
0.135,0.125,0.261,0.046,
-0.344,-0.354,0,-0.354,
0.011,0.013,0.151,-0.128,
0.204,0.227,0.245,-0.006,
0.081,0.089,0.27,-0.031,
0.069,0.07,0.172,-0.026,
0.342,0.346,0.347,0.117,
-0.072,-0.068,0.163,-0.144,
0.044,0.042,0.175,0.041,
-0.046,-0.045,0.196,-0.122,
0.069,0.082,0.168,-0.064,
0.076,0.076,0.203,-0.008,
0.083,0.087,0.235,0,
0.264,0.295,0.303,0.024,
-0.068,-0.067,0.099,-0.122,
0,0,0,0,
0.217,0.222,0.321,-0.003,
0.138,0.137,0.252,0.019,
0.166,0.177,0.244,-0,
0.151,0.151,0.278,-0.042,
0.288,0.287,0.383,0.203,
-0.01,-0.013,0.125,-0.11,
0.049,0.049,0.09,-0.028,
0.134,0.131,0.219,0.01,
0.115,0.123,0.233,0.025,
0.119,0.121,0.227,-0.01,
0.132,0.143,0.224,0.074,
0.226,0.233,0.265,0.09,
0.044,0.049,0.198,-0.071,
0.011,0.017,0.104,-0.11,
0.022,0.002,0.184,-0.05,
-0,0,0.001,-0.002,
-0.042,-0.043,0,-0.054,
-0.04,-0.056,0.094,-0.112,
0.01,0.009,0.143,-0.086,
0.024,0.024,0.136,-0.058,
0.158,0.156,0.303,0.119,
0.051,0.052,0.171,-0.101,
-0.097,-0.108,0.187,-0.137,
0.063,0.066,0.165,-0.082,
0.104,0.103,0.146,0.03,
0.087,0.05,0.226,0.042,
0.056,0.055,0.165,-0.029,
0.104,0.106,0.244,0.027,
0.039,0.052,0.154,-0.131,
0.028,0.073,0.224,-0.087,
0.146,0.156,0.169,-0.048,
0.2,0.179,0.243,0.104,
0.236,0.235,0.339,0.01,
0.203,0.203,0.303,0.158,
0.022,0.026,0.147,-0.158,
0.028,0.047,0.139,-0.061,
0.167,0.17,0.208,0,
0.226,0.223,0.26,0.165,
0.069,0.053,0.153,-0.001,
0.081,0.091,0.137,-0.015,
0.069,0.071,0.167,-0.041,
0.311,0.318,0.366,0.265,
-0.079,-0.085,0.182,-0.085,
-0.044,-0.045,0.152,-0.057,
0.032,0.007,0.207,-0.075,
0.023,0.053,0.098,-0.138,
0.052,0.051,0.159,-0.07,
0.111,0.113,0.144,-0.072,
-0.01,-0.014,0.155,-0.182,
-0.073,-0.074,0,-0.09,
-0.001,0.007,0.092,-0.082,
0.124,0.135,0.173,-0.011,
-0.153,-0.159,0.128,-0.159,
0.152,0.158,0.25,-0.047,
-0.034,-0.03,0.082,-0.093,
0.14,0.142,0.263,0.018,
-0.2,-0.213,-0.003,-0.236,
0.088,0.071,0.179,0.056,
0.172,0.171,0.248,0.07,
0.124,0.119,0.23,0.107,
0.12,0.124,0.203,0.003,
0.046,0.046,0.177,-0.098,
0.066,0.078,0.304,-0.108,
0.172,0.149,0.31,0.148,
0.03,0.038,0.184,-0.133,
0.102,0.117,0.225,-0.056,
-0.093,-0.124,0.139,-0.231,
0.065,0.07,0.157,-0.024,
0.125,0.12,0.225,0.112,
0.092,0.085,0.173,0.029,
0.021,0.015,0.17,0.01,
0.186,0.162,0.222,0.028,
0.096,0.105,0.108,-0.104,
-0.023,-0.022,0.122,-0.183,
-0.001,-0.009,0.109,-0.1,
0.172,0.181,0.244,0.082,
-0.003,-0.016,0.168,-0.065,
0.054,0.056,0.198,-0.078,
0.055,0.054,0.208,-0.092,
-0.036,-0.049,0.147,-0.091,
0.147,0.143,0.256,0.12,
0.002,0.001,0.119,-0.038,
-0.001,-0.007,0.141,-0.169,
-0.129,-0.13,0,-0.145,
-0.03,-0.029,-0.012,-0.118,
-0.053,-0.057,0.05,-0.057,
0.041,0.042,0.165,-0.071,
0.172,0.179,0.232,0.012,
0.081,0.082,0.242,-0.154,
0.005,0.002,0.097,-0.075,
0.153,0.166,0.218,0.035,
-0.028,-0.022,0.068,-0.042,
0.113,0.112,0.293,-0.065,
0.201,0.213,0.224,0.01,
-0.058,-0.059,-0.008,-0.127,
0.092,0.073,0.243,0.061,
0.175,0.176,0.244,0.008,
-0.002,0.008,0.032,-0.129,
0.114,0.12,0.233,-0.024,
-0.004,-0.017,0.159,-0.113,
0.177,0.179,0.245,0.08,
0.238,0.235,0.328,0.114,
0.087,0.078,0.174,-0.014,
0.183,0.183,0.258,0.004,
0.193,0.187,0.32,0.164,
-0.004,0.002,0.142,-0.188,
-0.039,-0.046,0.107,-0.046,
0.14,0.146,0.272,-0.033,
-0.027,-0.021,0.058,-0.175,
0.107,0.107,0.2,0.087,
0.171,0.172,0.272,0.126,
0.251,0.258,0.3,0.14,
0.079,0.071,0.228,-0.065,
0.113,0.109,0.151,0.071,
0.02,0.008,0.203,0.008,
-0.053,-0.05,0.061,-0.201,
0.188,0.184,0.329,0.184,
0.002,0.012,0.119,-0.123,
0.076,0.076,0.177,-0.048,
0.057,0.053,0.176,-0.073,
-0.072,-0.072,0.123,-0.168,
0.102,0.099,0.23,-0.015,
0.054,0.055,0.15,-0.014,
-0.045,-0.084,0.149,-0.134,
0.044,0.045,0.156,-0.065,
0.051,0.062,0.17,-0.152,
0.14,0.134,0.235,0.029,
0.011,0.01,0.08,-0.005,
0.111,0.123,0.187,-0.07,
-0.051,-0.057,0.057,-0.114,
0.228,0.227,0.287,-0.036,
0.119,0.114,0.201,0.053,
0.119,0.119,0.214,0.076,
0.219,0.226,0.249,0.074,
0.135,0.12,0.161,-0.063,
0.121,0.131,0.205,-0.013,
0.009,0.019,0.113,-0.102,
0.205,0.205,0.307,0.072,
0.083,0.081,0.147,0.081,
0.073,0.075,0.185,-0.091,
0.202,0.211,0.242,0.141,
0.174,0.175,0.175,0.121,
0.178,0.183,0.233,0.023,
0.169,0.165,0.248,0.07,
0.17,0.165,0.273,0.036,
-0.017,-0.01,0.093,-0.159,
