

Data analysis for each instance 
AVG,MED,MAX,MIN
0.473,0.418,1,0.388,
0.489,0.421,1,0.383,
0.472,0.416,1,0.383,
0.467,0.388,1,0.351,
0.426,0.344,1,0.322,
0.428,0.345,1,0.33,
0.47,0.402,1,0.378,
0.474,0.413,1,0.39,
0.467,0.396,1,0.347,
0.453,0.387,1,0.339,
0.499,0.425,1,0.397,
0.476,0.413,1,0.343,
0.47,0.402,1,0.378,
0.422,0.349,1,0.337,
0.467,0.399,1,0.348,
0.468,0.403,1,0.381,
0.463,0.391,1,0.356,
0.458,0.396,1,0.35,
0.42,0.349,1,0.328,
0.513,0.449,1,0.418,
0.451,0.388,1,0.349,
0.446,0.38,1,0.359,
0.453,0.396,1,0.354,
0.417,0.352,1,0.329,
0.475,0.424,1,0.373,
0.465,0.4,1,0.364,
0.399,0.33,1,0.314,
0.468,0.412,1,0.37,
0.493,0.434,1,0.4,
0.479,0.421,1,0.389,
0.491,0.43,1,0.399,
0.401,0.335,1,0.316,
0.399,0.327,1,0.313,
0.47,0.416,1,0.376,
0.409,0.337,1,0.318,
0.485,0.424,1,0.369,
0.426,0.357,1,0.316,
0.416,0.339,1,0.32,
0.428,0.364,1,0.342,
0.474,0.422,1,0.381,
0.45,0.38,1,0.35,
0.475,0.412,1,0.376,
0.429,0.36,1,0.337,
0.459,0.399,1,0.36,
0.45,0.393,1,0.357,
0.49,0.426,1,0.384,
0.452,0.387,1,0.356,
0.43,0.36,1,0.324,
0.452,0.397,1,0.337,
0.432,0.37,1,0.326,
0.477,0.418,1,0.385,
0.459,0.398,1,0.337,
0.469,0.393,1,0.373,
0.44,0.382,1,0.342,
0.469,0.401,1,0.368,
0.463,0.391,1,0.359,
0.437,0.381,1,0.336,
0.48,0.418,1,0.381,
0.443,0.373,1,0.34,
0.458,0.395,1,0.365,
0.397,0.323,1,0.316,
0.443,0.371,1,0.335,
0.432,0.382,1,0.334,
0.419,0.348,1,0.325,
0.434,0.375,1,0.333,
0.396,0.329,1,0.312,
0.474,0.41,1,0.376,
0.447,0.386,1,0.351,
0.485,0.43,1,0.383,
0.4,0.331,1,0.324,
0.489,0.437,1,0.396,
0.503,0.438,1,0.41,
0.479,0.41,1,0.38,
0.405,0.337,1,0.318,
0.467,0.405,1,0.367,
0.452,0.391,1,0.339,
0.485,0.421,1,0.388,
0.438,0.379,1,0.341,
0.509,0.455,1,0.401,
0.512,0.454,1,0.424,
0.431,0.371,1,0.332,
0.49,0.422,1,0.401,
0.415,0.343,1,0.326,
0.518,0.448,1,0.419,
0.482,0.424,1,0.379,
0.435,0.371,1,0.343,
0.436,0.373,1,0.329,
0.42,0.351,1,0.323,
0.408,0.337,1,0.318,
0.467,0.413,1,0.369,
0.481,0.416,1,0.386,
0.467,0.411,1,0.361,
0.454,0.382,1,0.363,
0.444,0.384,1,0.338,
0.416,0.353,1,0.32,
0.512,0.451,1,0.401,
0.487,0.408,1,0.384,
0.451,0.388,1,0.36,
0.43,0.362,1,0.335,
0.451,0.39,1,0.346,
0.463,0.4,1,0.367,
0.461,0.401,1,0.383,
0.486,0.424,1,0.387,
0.41,0.343,1,0.314,
0.486,0.42,1,0.391,
0.479,0.415,1,0.386,
0.437,0.378,1,0.324,
0.463,0.391,1,0.35,
0.495,0.431,1,0.395,
0.472,0.412,1,0.375,
0.424,0.363,1,0.323,
0.449,0.381,1,0.342,
0.425,0.356,1,0.325,
0.488,0.422,1,0.394,
0.488,0.435,1,0.4,
0.469,0.404,1,0.389,
0.431,0.365,1,0.335,
0.439,0.388,1,0.334,
0.486,0.413,1,0.378,
0.453,0.397,1,0.356,
0.469,0.415,1,0.382,
0.456,0.398,1,0.34,
0.475,0.417,1,0.362,
0.465,0.419,1,0.36,
0.474,0.422,1,0.369,
0.482,0.406,1,0.387,
0.461,0.401,1,0.358,
0.48,0.417,1,0.374,
0.463,0.395,1,0.363,
0.467,0.406,1,0.366,
0.482,0.415,1,0.394,
0.448,0.393,1,0.34,
0.391,0.321,1,0.309,
0.452,0.397,1,0.344,
0.471,0.411,1,0.384,
0.41,0.335,1,0.321,
0.399,0.326,1,0.313,
0.464,0.397,1,0.386,
0.427,0.361,1,0.339,
0.444,0.379,1,0.352,
0.421,0.358,1,0.337,
0.386,0.316,1,0.306,
0.438,0.382,1,0.339,
0.448,0.398,1,0.338,
0.44,0.378,1,0.335,
0.483,0.416,1,0.398,
0.462,0.406,1,0.372,
0.467,0.402,1,0.352,
0.429,0.367,1,0.335,
0.465,0.394,1,0.366,
0.452,0.394,1,0.342,
0.474,0.421,1,0.382,
0.486,0.419,1,0.378,
0.422,0.349,1,0.325,
0.481,0.426,1,0.38,
0.447,0.367,1,0.357,
0.472,0.409,1,0.374,
0.481,0.423,1,0.376,
0.455,0.398,1,0.364,
0.471,0.409,1,0.367,
0.455,0.381,1,0.365,
0.477,0.427,1,0.363,
0.423,0.361,1,0.322,
0.429,0.361,1,0.325,
0.41,0.342,1,0.326,
0.481,0.434,1,0.38,
0.418,0.352,1,0.33,
0.454,0.4,1,0.343,
0.49,0.435,1,0.363,
0.443,0.364,1,0.359,
0.459,0.407,1,0.37,
0.443,0.388,1,0.336,
0.426,0.368,1,0.331,
0.495,0.43,1,0.389,
0.436,0.371,1,0.336,
0.425,0.358,1,0.333,
0.399,0.326,1,0.32,
0.489,0.423,1,0.401,
0.476,0.409,1,0.382,
0.458,0.39,1,0.37,
0.434,0.377,1,0.34,
0.445,0.385,1,0.34,
0.508,0.442,1,0.425,
0.496,0.425,1,0.396,
0.474,0.405,1,0.366,
0.454,0.398,1,0.351,
0.453,0.383,1,0.353,
0.401,0.323,1,0.317,
0.463,0.401,1,0.355,
0.484,0.407,1,0.388,
0.42,0.364,1,0.327,
0.426,0.367,1,0.341,
0.495,0.433,1,0.393,
0.4,0.325,1,0.319,
0.447,0.381,1,0.358,
0.45,0.38,1,0.359,
0.452,0.391,1,0.357,
0.496,0.432,1,0.414,
0.46,0.406,1,0.359,
0.426,0.353,1,0.333,
0.486,0.424,1,0.389,
0.42,0.345,1,0.32,
0.455,0.392,1,0.373,
0.439,0.389,1,0.328,
0.423,0.353,1,0.327,
0.441,0.37,1,0.352,
0.462,0.395,1,0.372,
0.459,0.395,1,0.351,
0.415,0.344,1,0.322,
0.447,0.385,1,0.353,
0.457,0.393,1,0.359,
0.48,0.421,1,0.387,
0.441,0.381,1,0.344,
0.447,0.366,1,0.342,
0.416,0.346,1,0.317,
0.482,0.413,1,0.385,
0.412,0.34,1,0.335,
0.413,0.354,1,0.319,
0.498,0.438,1,0.394,
0.419,0.355,1,0.322,
0.433,0.357,1,0.346,
0.486,0.433,1,0.388,
0.451,0.391,1,0.355,
0.454,0.381,1,0.349,
0.481,0.424,1,0.391,
0.436,0.374,1,0.336,
0.433,0.371,1,0.333,
0.475,0.423,1,0.356,
0.489,0.436,1,0.379,
0.477,0.418,1,0.374,
0.473,0.403,1,0.369,
0.46,0.393,1,0.358,
0.464,0.4,1,0.378,
0.427,0.363,1,0.34,
0.477,0.401,1,0.38,
0.467,0.404,1,0.374,
0.465,0.408,1,0.361,
0.48,0.403,1,0.384,
0.458,0.395,1,0.367,
0.474,0.424,1,0.369,
0.479,0.416,1,0.372,
0.414,0.351,1,0.329,
0.413,0.345,1,0.324,
0.52,0.458,1,0.421,
0.436,0.375,1,0.341,
0.482,0.411,1,0.369,
0.419,0.351,1,0.331,
0.459,0.402,1,0.339,
0.463,0.411,1,0.359,
0.45,0.378,1,0.348,
0.411,0.345,1,0.327,
0.468,0.412,1,0.374,
0.486,0.429,1,0.362,
0.41,0.331,1,0.325,
0.486,0.421,1,0.385,
0.462,0.397,1,0.35,
0.511,0.439,1,0.414,
0.443,0.379,1,0.329,
0.454,0.382,1,0.363,
0.485,0.417,1,0.392,
0.486,0.422,1,0.376,
0.465,0.409,1,0.36,
0.448,0.378,1,0.356,
0.456,0.389,1,0.366,
0.479,0.42,1,0.369,
0.457,0.385,1,0.351,
0.425,0.364,1,0.327,
0.492,0.428,1,0.405,
0.506,0.432,1,0.401,
0.452,0.394,1,0.362,
0.484,0.427,1,0.38,
0.469,0.407,1,0.383,
0.472,0.404,1,0.38,
0.488,0.419,1,0.396,
0.459,0.405,1,0.356,
0.43,0.374,1,0.329,
0.432,0.369,1,0.334,
0.491,0.422,1,0.382,
0.473,0.407,1,0.37,
0.449,0.388,1,0.341,
0.441,0.381,1,0.333,
0.46,0.396,1,0.367,
0.481,0.417,1,0.386,
0.442,0.375,1,0.333,
0.451,0.392,1,0.358,
0.463,0.401,1,0.362,
0.495,0.417,1,0.399,
0.467,0.401,1,0.35,
0.436,0.377,1,0.341,
0.433,0.374,1,0.338,
0.477,0.417,1,0.376,
0.468,0.414,1,0.37,
0.466,0.417,1,0.361,
0.475,0.414,1,0.366,
0.468,0.404,1,0.369,
0.447,0.384,1,0.35,
0.462,0.408,1,0.365,
0.434,0.379,1,0.329,
0.417,0.35,1,0.324,
0.494,0.44,1,0.391,
0.483,0.426,1,0.375,
0.44,0.367,1,0.341,
0.467,0.405,1,0.367,
0.406,0.337,1,0.309,
0.402,0.327,1,0.32,
0.49,0.428,1,0.375,
0.476,0.416,1,0.375,
0.478,0.418,1,0.371,
0.483,0.444,1,0.373,
0.479,0.412,1,0.38,
0.458,0.403,1,0.348,
0.466,0.411,1,0.354,
0.478,0.42,1,0.368,
0.454,0.395,1,0.35,
