

Data analysis for each instance 
AVG,MED,MAX,MIN
0.144,0.145,0.213,0,
0.025,0.019,0.212,-0.183,
-0.003,-0.003,0.022,-0.062,
0.04,0.016,0.171,0,
0.172,0.155,0.233,-0.029,
0.155,0.168,0.246,-0.082,
0.103,0.103,0.174,-0.013,
0.106,0.103,0.203,-0.044,
-0.001,-0.03,0.22,-0.068,
-0.029,-0.036,0.09,-0.036,
0.078,0.08,0.115,0,
0.034,0.028,0.158,-0.075,
-0.052,-0.061,0.098,-0.152,
0.03,0.028,0.138,0,
0.046,0.048,0.172,-0.094,
0.131,0.14,0.204,-0.084,
0,0,0.014,0,
-0.057,-0.05,0.05,-0.096,
-0.014,-0.011,0.039,-0.043,
-0.111,-0.102,0,-0.172,
0.031,0.04,0.081,-0.114,
0.013,0.014,0.014,-0.023,
-0.003,-0.003,0.017,-0.003,
0.017,0.014,0.103,0,
0.014,0.025,0.145,-0.131,
-0.007,-0.009,0.128,-0.17,
0.073,0.087,0.236,-0.003,
0.022,0.019,0.102,0,
-0.025,-0.025,0.031,-0.07,
0.045,0.042,0.117,0,
-0.005,-0.006,0.103,-0.009,
-0.157,-0.168,0.127,-0.237,
-0.023,-0.027,0.141,-0.096,
0.049,0.045,0.162,-0.044,
0.024,0.022,0.172,-0.096,
0.108,0.116,0.23,-0.053,
0.09,0.1,0.22,-0.098,
0.027,0.02,0.202,-0.121,
0.028,-0.024,0.184,-0.027,
-0.067,-0.066,0.08,-0.207,
0.018,0.027,0.03,-0.21,
0.021,0.024,0.058,-0.043,
-0.042,-0.037,0.132,-0.181,
-0.044,-0.046,0.025,-0.049,
-0.005,-0.006,0.079,-0.006,
0.156,0.162,0.227,0,
-0.068,-0.063,0,-0.145,
0.01,0.011,0.017,-0.042,
0.001,0,0.168,-0.126,
0.013,0.009,0.045,-0.021,
0.076,0.073,0.129,0,
0.101,0.112,0.206,-0.059,
0.048,0.021,0.149,-0.19,
0.034,0.034,0.053,0,
0.027,0.032,0.16,-0.113,
-0.013,-0.011,0.042,-0.063,
0.022,0.023,0.041,-0.036,
-0.061,-0.077,0.213,-0.178,
0.005,0.008,0.011,-0.155,
0.003,0,0.121,-0.048,
0.002,-0.002,0.155,-0.162,
-0.028,-0.026,0.135,-0.151,
-0.002,-0.024,0.184,-0.096,
