

Data analysis for each instance 
AVG,MED,MAX,MIN
0.005,0.007,0.027,-0.079,
0.022,0.019,0.057,-0.056,
0.001,0.006,0.01,-0.074,
0.019,0.02,0.041,-0.005,
-0.007,0.002,0.018,-0.092,
0.022,0.022,0.047,-0.033,
-0.002,0.004,0.012,-0.087,
-0.003,0.002,0.028,-0.127,
0.004,0.007,0.034,-0.071,
0.005,0.004,0.045,-0.107,
-0.002,0.005,0.018,-0.159,
0.021,0.024,0.052,-0.154,
0.02,0.015,0.05,-0.035,
0.024,0.026,0.051,0,
0.017,0.018,0.037,-0.022,
0.019,0.017,0.047,-0.049,
0.024,0.024,0.055,0,
-0.003,0.004,0.012,-0.099,
-0.004,0.005,0.016,-0.123,
0.011,0.011,0.022,-0.005,
0.028,0.033,0.077,-0.108,
0.036,0.022,0.084,-0.003,
0.012,0.016,0.024,-0.007,
0.022,0.022,0.045,0,
-0.01,0.001,0.013,-0.11,
0.024,0.023,0.047,-0.015,
0.021,0.024,0.048,-0.033,
0.008,0.007,0.016,0,
0.039,0.04,0.077,-0.036,
0.047,0.043,0.105,-0.111,
0.03,0.028,0.07,0,
0.003,0.008,0.033,-0.168,
0.025,0.026,0.053,-0.065,
0.008,0.009,0.018,-0.044,
0.029,0.03,0.066,-0.046,
0.003,0.007,0.026,-0.091,
0.01,0.01,0.041,-0.103,
0.023,0.022,0.049,0,
0.013,0.017,0.037,-0.1,
0.019,0.021,0.053,-0.091,
0.017,0.018,0.053,-0.059,
-0,0.007,0.033,-0.132,
0.011,0.013,0.028,-0.057,
0.009,0.008,0.019,0,
0.042,0.04,0.088,-0.055,
0.01,0.014,0.033,-0.114,
0.021,0.021,0.06,-0.059,
0.062,0.068,0.109,-0.018,
0.015,0.012,0.044,-0.053,
0.07,0.076,0.135,0,
0.032,0.03,0.07,0,
0.04,0.046,0.073,-0.094,
0.023,0.022,0.047,-0.012,
0.062,0.064,0.115,-0.025,
-0.005,0.001,0.013,-0.072,
0.001,0.002,0.006,-0.071,
0.035,0.043,0.07,0,
0.025,0.026,0.048,-0.036,
0.026,0.026,0.064,-0.08,
0.026,0.026,0.058,-0.083,
-0.001,0.002,0.005,-0.085,
0.021,0.021,0.051,-0.005,
-0,0.005,0.017,-0.136,
0.012,0.012,0.049,-0.066,
0.008,0.009,0.031,-0.059,
-0.005,0.002,0.013,-0.062,
0.066,0.061,0.137,-0.047,
0.024,0.022,0.047,-0.014,
0.016,0.013,0.046,0,
0.006,0.007,0.014,0,
0.024,0.023,0.044,0,
0.024,0.028,0.056,-0.084,
0.027,0.019,0.076,-0.058,
0.016,0.017,0.037,-0.029,
0.031,0.033,0.069,-0.138,
