

Data analysis for each instance 
AVG,MED,MAX,MIN
0.604,0.596,1,0.522,
0.578,0.573,1,0.521,
0.724,0.721,1,0.652,
0.68,0.681,1,0.607,
0.596,0.591,1,0.521,
0.642,0.633,1,0.525,
0.675,0.671,1,0.596,
0.617,0.615,1,0.522,
0.636,0.633,1,0.584,
0.677,0.676,1,0.585,
0.66,0.66,1,0.578,
0.672,0.667,1,0.612,
0.698,0.698,1,0.6,
0.603,0.599,1,0.523,
0.645,0.643,1,0.557,
0.679,0.677,1,0.618,
0.638,0.641,1,0.545,
0.665,0.665,1,0.569,
0.598,0.601,1,0.51,
0.653,0.651,1,0.58,
0.654,0.649,1,0.57,
0.661,0.663,1,0.562,
0.627,0.627,1,0.541,
0.692,0.692,1,0.605,
0.677,0.679,1,0.577,
0.657,0.657,1,0.592,
0.638,0.635,1,0.554,
0.623,0.621,1,0.557,
0.676,0.67,1,0.604,
0.653,0.654,1,0.556,
0.664,0.664,1,0.564,
0.649,0.647,1,0.565,
0.639,0.637,1,0.546,
0.672,0.671,1,0.617,
0.618,0.618,1,0.557,
0.647,0.643,1,0.589,
0.601,0.595,1,0.537,
0.673,0.671,1,0.614,
0.597,0.591,1,0.537,
0.602,0.597,1,0.472,
0.686,0.685,1,0.628,
0.716,0.72,1,0.649,
0.639,0.637,1,0.569,
0.614,0.617,1,0.478,
0.663,0.662,1,0.557,
0.672,0.667,1,0.613,
0.67,0.67,1,0.556,
0.715,0.716,1,0.616,
0.67,0.671,1,0.576,
0.549,0.551,1,0.466,
0.642,0.635,1,0.53,
0.623,0.623,1,0.543,
0.611,0.61,1,0.532,
0.606,0.605,1,0.52,
0.641,0.638,1,0.583,
0.634,0.629,1,0.556,
0.618,0.617,1,0.545,
0.651,0.647,1,0.589,
0.671,0.675,1,0.611,
0.631,0.625,1,0.537,
0.688,0.688,1,0.624,
0.603,0.597,1,0.519,
0.681,0.676,1,0.598,
0.589,0.585,1,0.513,
0.685,0.683,1,0.627,
0.654,0.653,1,0.563,
0.649,0.647,1,0.544,
0.674,0.673,1,0.613,
0.632,0.636,1,0.517,
0.685,0.684,1,0.599,
0.643,0.637,1,0.562,
0.647,0.649,1,0.567,
0.697,0.695,1,0.6,
0.656,0.651,1,0.582,
0.616,0.613,1,0.559,
0.692,0.692,1,0.59,
0.627,0.626,1,0.543,
0.619,0.615,1,0.546,
0.644,0.639,1,0.562,
0.678,0.674,1,0.59,
0.642,0.64,1,0.565,
0.621,0.624,1,0.541,
0.638,0.639,1,0.53,
0.633,0.629,1,0.552,
0.587,0.587,1,0.532,
0.646,0.641,1,0.545,
0.657,0.647,1,0.588,
0.662,0.656,1,0.572,
0.604,0.607,1,0.498,
0.642,0.641,1,0.519,
0.633,0.629,1,0.558,
0.581,0.569,1,0.513,
0.69,0.684,1,0.616,
0.65,0.647,1,0.589,
0.622,0.623,1,0.527,
0.646,0.645,1,0.541,
0.665,0.663,1,0.599,
0.641,0.641,1,0.56,
0.662,0.664,1,0.581,
0.662,0.661,1,0.594,
0.659,0.661,1,0.571,
0.646,0.645,1,0.569,
0.675,0.672,1,0.618,
0.636,0.637,1,0.55,
0.662,0.665,1,0.565,
0.608,0.61,1,0.481,
0.613,0.61,1,0.534,
0.688,0.687,1,0.571,
0.649,0.643,1,0.568,
0.617,0.617,1,0.556,
0.681,0.679,1,0.584,
0.657,0.657,1,0.573,
0.62,0.615,1,0.554,
0.58,0.577,1,0.497,
0.645,0.643,1,0.592,
0.655,0.655,1,0.594,
0.664,0.662,1,0.573,
0.621,0.619,1,0.541,
0.601,0.601,1,0.482,
0.673,0.671,1,0.562,
0.578,0.573,1,0.51,
0.713,0.714,1,0.638,
0.685,0.683,1,0.599,
0.654,0.655,1,0.564,
0.663,0.664,1,0.58,
0.635,0.635,1,0.541,
0.645,0.639,1,0.578,
0.662,0.656,1,0.599,
0.644,0.64,1,0.57,
0.613,0.61,1,0.522,
0.677,0.674,1,0.616,
0.582,0.579,1,0.477,
0.658,0.657,1,0.569,
0.637,0.633,1,0.562,
0.636,0.637,1,0.549,
0.654,0.651,1,0.582,
0.617,0.617,1,0.504,
0.643,0.637,1,0.58,
0.622,0.621,1,0.519,
0.676,0.677,1,0.607,
0.65,0.649,1,0.59,
0.668,0.666,1,0.596,
0.688,0.684,1,0.602,
0.661,0.657,1,0.566,
0.608,0.607,1,0.533,
0.695,0.696,1,0.615,
0.621,0.622,1,0.535,
0.663,0.661,1,0.574,
0.682,0.68,1,0.602,
0.658,0.661,1,0.571,
0.624,0.622,1,0.55,
0.587,0.589,1,0.499,
0.665,0.663,1,0.573,
0.649,0.646,1,0.579,
0.635,0.628,1,0.555,
0.631,0.629,1,0.535,
0.665,0.665,1,0.594,
0.66,0.661,1,0.586,
0.665,0.661,1,0.578,
0.667,0.667,1,0.565,
0.658,0.653,1,0.585,
0.631,0.625,1,0.509,
0.649,0.645,1,0.583,
0.665,0.662,1,0.604,
0.642,0.641,1,0.554,
0.633,0.629,1,0.531,
0.635,0.631,1,0.56,
0.645,0.642,1,0.561,
0.652,0.65,1,0.571,
0.636,0.635,1,0.537,
0.637,0.637,1,0.529,
0.625,0.623,1,0.546,
0.641,0.639,1,0.552,
0.719,0.721,1,0.619,
0.671,0.668,1,0.584,
0.622,0.619,1,0.538,
0.695,0.694,1,0.595,
0.661,0.661,1,0.552,
0.625,0.619,1,0.556,
0.644,0.641,1,0.583,
0.636,0.633,1,0.536,
0.645,0.642,1,0.568,
0.637,0.635,1,0.531,
0.663,0.67,1,0.554,
0.643,0.639,1,0.56,
0.639,0.635,1,0.564,
0.623,0.62,1,0.521,
0.622,0.621,1,0.528,
0.63,0.627,1,0.544,
0.668,0.667,1,0.587,
0.613,0.61,1,0.505,
0.617,0.612,1,0.568,
0.644,0.643,1,0.575,
0.653,0.651,1,0.585,
0.602,0.595,1,0.504,
0.568,0.562,1,0.487,
0.666,0.662,1,0.611,
0.64,0.639,1,0.556,
0.622,0.624,1,0.552,
0.661,0.66,1,0.564,
0.666,0.663,1,0.599,
0.673,0.675,1,0.573,
0.669,0.673,1,0.562,
0.671,0.665,1,0.615,
0.656,0.657,1,0.595,
0.62,0.619,1,0.545,
0.648,0.649,1,0.515,
0.609,0.607,1,0.517,
0.643,0.643,1,0.551,
0.672,0.669,1,0.588,
0.642,0.642,1,0.545,
0.612,0.604,1,0.548,
0.659,0.657,1,0.596,
0.676,0.673,1,0.608,
0.67,0.672,1,0.59,
0.626,0.621,1,0.552,
0.603,0.601,1,0.521,
0.71,0.71,1,0.65,
0.692,0.69,1,0.619,
0.661,0.652,1,0.551,
0.623,0.62,1,0.548,
0.686,0.681,1,0.597,
0.673,0.671,1,0.612,
0.614,0.613,1,0.532,
0.6,0.595,1,0.507,
0.632,0.629,1,0.558,
0.611,0.613,1,0.528,
0.673,0.673,1,0.562,
0.693,0.691,1,0.626,
0.601,0.599,1,0.519,
0.688,0.687,1,0.615,
0.653,0.65,1,0.594,
0.59,0.587,1,0.528,
0.63,0.627,1,0.551,
0.636,0.633,1,0.538,
0.623,0.622,1,0.512,
0.703,0.701,1,0.634,
0.656,0.659,1,0.527,
0.657,0.653,1,0.601,
0.65,0.651,1,0.535,
0.655,0.651,1,0.567,
0.664,0.659,1,0.595,
0.652,0.647,1,0.556,
0.638,0.635,1,0.563,
0.654,0.651,1,0.582,
0.688,0.688,1,0.622,
0.599,0.593,1,0.503,
0.645,0.641,1,0.566,
0.661,0.661,1,0.584,
0.549,0.538,1,0.478,
0.665,0.663,1,0.586,
0.586,0.579,1,0.524,
0.573,0.563,1,0.474,
0.618,0.617,1,0.537,
0.633,0.63,1,0.535,
0.65,0.647,1,0.552,
0.657,0.653,1,0.578,
0.615,0.613,1,0.526,
0.635,0.628,1,0.563,
0.651,0.65,1,0.535,
0.713,0.714,1,0.647,
0.685,0.683,1,0.607,
0.634,0.629,1,0.547,
0.674,0.675,1,0.606,
0.636,0.63,1,0.563,
0.6,0.598,1,0.506,
0.647,0.647,1,0.562,
0.647,0.647,1,0.555,
0.55,0.545,1,0.501,
0.64,0.636,1,0.552,
0.626,0.62,1,0.583,
0.578,0.574,1,0.463,
0.621,0.619,1,0.545,
0.644,0.643,1,0.573,
0.654,0.655,1,0.586,
0.596,0.591,1,0.546,
0.626,0.622,1,0.552,
0.63,0.628,1,0.555,
0.5,0.483,1,0.421,
0.566,0.562,1,0.486,
0.617,0.613,1,0.552,
0.623,0.619,1,0.556,
0.651,0.651,1,0.565,
0.605,0.601,1,0.523,
0.599,0.597,1,0.534,
0.603,0.601,1,0.555,
0.612,0.607,1,0.514,
0.611,0.609,1,0.546,
0.626,0.627,1,0.547,
0.639,0.636,1,0.574,
0.594,0.592,1,0.49,
0.576,0.573,1,0.495,
0.569,0.571,1,0.459,
0.596,0.592,1,0.522,
0.57,0.567,1,0.496,
0.589,0.584,1,0.521,
0.608,0.606,1,0.52,
0.651,0.649,1,0.585,
0.589,0.59,1,0.491,
0.591,0.587,1,0.506,
0.61,0.61,1,0.509,
0.616,0.61,1,0.553,
0.646,0.645,1,0.583,
0.645,0.643,1,0.584,
0.595,0.595,1,0.52,
0.564,0.563,1,0.479,
0.564,0.559,1,0.491,
0.555,0.55,1,0.461,
0.646,0.642,1,0.568,
0.612,0.609,1,0.544,
0.64,0.637,1,0.595,
0.655,0.649,1,0.589,
0.606,0.601,1,0.524,
0.609,0.605,1,0.546,
0.657,0.651,1,0.615,
0.579,0.575,1,0.517,
0.533,0.528,1,0.448,
0.596,0.591,1,0.525,
0.637,0.636,1,0.577,
0.544,0.538,1,0.474,
0.6,0.597,1,0.532,
0.621,0.621,1,0.526,
0.6,0.599,1,0.526,
0.621,0.621,1,0.527,
0.578,0.574,1,0.503,
0.631,0.625,1,0.553,
0.613,0.609,1,0.553,
0.581,0.577,1,0.493,
0.607,0.603,1,0.533,
0.526,0.521,1,0.47,
0.579,0.573,1,0.486,
0.647,0.643,1,0.543,
0.601,0.599,1,0.523,
0.621,0.615,1,0.562,
0.638,0.631,1,0.572,
0.594,0.593,1,0.516,
0.604,0.598,1,0.536,
0.66,0.655,1,0.59,
0.593,0.591,1,0.533,
0.567,0.563,1,0.494,
0.632,0.631,1,0.579,
0.624,0.621,1,0.569,
0.562,0.558,1,0.492,
0.619,0.615,1,0.566,
0.599,0.592,1,0.529,
0.613,0.609,1,0.531,
0.596,0.595,1,0.517,
0.571,0.563,1,0.489,
0.614,0.612,1,0.52,
0.684,0.683,1,0.62,
0.577,0.573,1,0.51,
0.552,0.546,1,0.456,
0.59,0.585,1,0.522,
0.651,0.649,1,0.583,
0.563,0.561,1,0.483,
0.611,0.607,1,0.544,
0.558,0.554,1,0.493,
0.579,0.577,1,0.516,
0.612,0.609,1,0.546,
0.663,0.659,1,0.591,
0.61,0.607,1,0.53,
0.592,0.591,1,0.512,
0.576,0.57,1,0.48,
0.621,0.617,1,0.548,
0.639,0.633,1,0.564,
0.617,0.615,1,0.54,
0.596,0.595,1,0.504,
0.636,0.634,1,0.591,
0.656,0.649,1,0.609,
0.579,0.575,1,0.509,
0.603,0.597,1,0.532,
0.591,0.586,1,0.537,
0.61,0.606,1,0.561,
0.649,0.646,1,0.571,
0.656,0.657,1,0.596,
0.616,0.613,1,0.548,
0.573,0.568,1,0.524,
0.589,0.585,1,0.521,
0.582,0.581,1,0.483,
0.608,0.607,1,0.523,
0.63,0.63,1,0.563,
0.657,0.655,1,0.587,
0.638,0.635,1,0.578,
0.602,0.596,1,0.55,
0.565,0.56,1,0.504,
0.662,0.66,1,0.575,
0.584,0.58,1,0.52,
0.588,0.583,1,0.52,
0.633,0.631,1,0.577,
0.631,0.627,1,0.545,
0.536,0.533,1,0.46,
0.604,0.605,1,0.512,
0.602,0.6,1,0.544,
0.611,0.609,1,0.549,
0.646,0.639,1,0.573,
0.6,0.597,1,0.535,
0.59,0.589,1,0.523,
0.576,0.573,1,0.506,
0.574,0.574,1,0.483,
0.588,0.589,1,0.456,
0.615,0.611,1,0.539,
0.566,0.558,1,0.455,
0.566,0.55,1,0.479,
0.562,0.556,1,0.503,
0.556,0.55,1,0.477,
0.586,0.581,1,0.5,
0.549,0.546,1,0.469,
0.608,0.602,1,0.536,
0.55,0.54,1,0.458,
0.618,0.613,1,0.55,
0.704,0.702,1,0.618,
0.663,0.657,1,0.613,
0.687,0.684,1,0.62,
0.546,0.539,1,0.47,
0.603,0.599,1,0.535,
0.581,0.579,1,0.489,
