

Data analysis for each instance 
AVG,MED,MAX,MIN
0.542,0.538,1,0.471,
0.559,0.554,1,0.48,
0.542,0.544,1,0.434,
0.595,0.589,1,0.501,
0.537,0.529,1,0.472,
0.587,0.578,1,0.461,
0.554,0.551,1,0.497,
0.542,0.539,1,0.443,
0.534,0.527,1,0.462,
0.532,0.53,1,0.421,
0.549,0.545,1,0.477,
0.533,0.528,1,0.45,
0.559,0.558,1,0.474,
0.514,0.51,1,0.432,
0.579,0.577,1,0.479,
0.562,0.558,1,0.497,
0.523,0.522,1,0.421,
0.535,0.532,1,0.465,
0.53,0.526,1,0.425,
0.542,0.54,1,0.446,
0.546,0.54,1,0.477,
0.537,0.537,1,0.445,
0.534,0.532,1,0.431,
0.559,0.558,1,0.497,
0.541,0.536,1,0.465,
0.557,0.557,1,0.489,
0.545,0.54,1,0.478,
0.546,0.544,1,0.484,
0.538,0.534,1,0.456,
0.527,0.524,1,0.433,
0.516,0.512,1,0.424,
0.535,0.531,1,0.465,
0.535,0.531,1,0.471,
0.562,0.558,1,0.468,
0.54,0.534,1,0.464,
0.545,0.54,1,0.496,
0.55,0.544,1,0.494,
0.569,0.567,1,0.493,
0.557,0.552,1,0.496,
0.55,0.54,1,0.487,
0.557,0.552,1,0.497,
0.537,0.534,1,0.444,
0.569,0.565,1,0.511,
0.53,0.529,1,0.4,
0.532,0.526,1,0.408,
0.568,0.568,1,0.5,
0.542,0.535,1,0.454,
0.538,0.534,1,0.451,
0.575,0.577,1,0.482,
0.513,0.511,1,0.418,
0.546,0.538,1,0.482,
0.55,0.545,1,0.473,
0.548,0.546,1,0.483,
0.525,0.524,1,0.423,
0.544,0.54,1,0.466,
0.541,0.538,1,0.443,
0.517,0.514,1,0.427,
0.551,0.542,1,0.489,
0.541,0.541,1,0.468,
0.556,0.548,1,0.466,
0.556,0.552,1,0.483,
0.555,0.553,1,0.466,
0.556,0.55,1,0.472,
0.545,0.539,1,0.466,
0.577,0.573,1,0.521,
0.555,0.549,1,0.485,
0.528,0.525,1,0.426,
0.536,0.534,1,0.452,
0.51,0.505,1,0.42,
0.531,0.529,1,0.443,
0.531,0.528,1,0.44,
0.542,0.54,1,0.471,
0.549,0.544,1,0.488,
0.569,0.565,1,0.513,
0.537,0.533,1,0.455,
0.529,0.524,1,0.451,
0.546,0.547,1,0.455,
0.554,0.553,1,0.468,
0.548,0.545,1,0.469,
0.539,0.535,1,0.43,
0.559,0.552,1,0.51,
0.527,0.525,1,0.451,
0.526,0.52,1,0.417,
0.543,0.542,1,0.434,
0.57,0.569,1,0.495,
0.538,0.53,1,0.428,
0.525,0.52,1,0.421,
0.545,0.539,1,0.472,
0.532,0.532,1,0.422,
0.542,0.54,1,0.456,
0.519,0.516,1,0.445,
0.56,0.557,1,0.481,
0.555,0.551,1,0.497,
0.539,0.534,1,0.454,
0.504,0.496,1,0.4,
0.519,0.517,1,0.417,
0.562,0.559,1,0.512,
0.552,0.544,1,0.477,
0.556,0.552,1,0.49,
0.558,0.555,1,0.484,
0.561,0.558,1,0.472,
0.553,0.549,1,0.494,
0.54,0.537,1,0.472,
0.555,0.554,1,0.477,
0.529,0.526,1,0.452,
0.529,0.525,1,0.406,
0.542,0.54,1,0.435,
0.539,0.536,1,0.458,
0.532,0.532,1,0.444,
0.549,0.546,1,0.489,
0.522,0.515,1,0.398,
0.541,0.534,1,0.458,
0.548,0.542,1,0.484,
0.534,0.532,1,0.402,
0.573,0.571,1,0.523,
0.556,0.556,1,0.47,
0.549,0.548,1,0.473,
0.536,0.536,1,0.454,
0.537,0.537,1,0.459,
0.565,0.563,1,0.46,
0.551,0.546,1,0.503,
0.536,0.53,1,0.444,
0.53,0.524,1,0.401,
0.527,0.528,1,0.422,
0.542,0.538,1,0.459,
0.533,0.53,1,0.422,
0.545,0.54,1,0.487,
0.572,0.569,1,0.496,
0.552,0.546,1,0.484,
0.54,0.537,1,0.448,
0.538,0.534,1,0.447,
0.535,0.532,1,0.441,
0.541,0.54,1,0.46,
0.536,0.533,1,0.456,
0.556,0.549,1,0.484,
0.63,0.628,1,0.564,
0.551,0.546,1,0.452,
0.548,0.545,1,0.468,
0.511,0.506,1,0.421,
0.549,0.548,1,0.479,
0.524,0.521,1,0.444,
0.562,0.558,1,0.496,
0.544,0.54,1,0.442,
0.558,0.554,1,0.467,
0.533,0.528,1,0.44,
0.548,0.546,1,0.436,
0.541,0.539,1,0.449,
0.549,0.546,1,0.483,
0.546,0.543,1,0.461,
0.53,0.53,1,0.416,
0.547,0.542,1,0.472,
0.535,0.532,1,0.466,
0.525,0.518,1,0.428,
0.551,0.548,1,0.462,
0.569,0.563,1,0.512,
0.54,0.54,1,0.441,
0.558,0.556,1,0.485,
0.559,0.558,1,0.493,
0.567,0.563,1,0.499,
0.537,0.538,1,0.432,
0.543,0.54,1,0.481,
0.531,0.527,1,0.419,
0.554,0.545,1,0.467,
0.548,0.545,1,0.455,
0.545,0.543,1,0.442,
0.53,0.523,1,0.426,
0.551,0.546,1,0.481,
0.564,0.558,1,0.471,
0.532,0.524,1,0.458,
0.554,0.55,1,0.445,
0.555,0.553,1,0.454,
0.559,0.554,1,0.5,
0.538,0.537,1,0.422,
0.514,0.514,1,0.394,
0.562,0.558,1,0.498,
0.541,0.537,1,0.429,
0.538,0.537,1,0.437,
0.546,0.54,1,0.465,
0.547,0.544,1,0.471,
0.546,0.543,1,0.48,
0.534,0.528,1,0.46,
0.558,0.552,1,0.493,
0.539,0.538,1,0.453,
0.611,0.619,1,0.506,
0.54,0.538,1,0.441,
0.56,0.554,1,0.507,
0.552,0.548,1,0.461,
0.535,0.532,1,0.443,
0.525,0.52,1,0.423,
0.556,0.552,1,0.473,
0.53,0.528,1,0.439,
0.552,0.547,1,0.487,
0.578,0.578,1,0.522,
0.559,0.556,1,0.498,
0.548,0.544,1,0.469,
0.524,0.52,1,0.423,
0.559,0.556,1,0.5,
0.576,0.576,1,0.488,
0.569,0.565,1,0.504,
0.523,0.522,1,0.403,
0.566,0.562,1,0.493,
0.552,0.548,1,0.448,
0.5,0.497,1,0.374,
0.559,0.554,1,0.491,
0.565,0.564,1,0.502,
0.528,0.524,1,0.435,
0.536,0.534,1,0.429,
0.564,0.563,1,0.461,
0.544,0.542,1,0.458,
0.547,0.543,1,0.447,
0.545,0.542,1,0.451,
0.544,0.54,1,0.472,
0.536,0.534,1,0.455,
0.545,0.542,1,0.469,
0.561,0.558,1,0.495,
0.562,0.554,1,0.473,
0.542,0.541,1,0.439,
0.537,0.535,1,0.465,
0.531,0.53,1,0.45,
0.515,0.512,1,0.37,
0.55,0.549,1,0.474,
0.538,0.534,1,0.476,
0.545,0.545,1,0.47,
0.548,0.542,1,0.48,
0.541,0.536,1,0.446,
0.54,0.54,1,0.463,
0.554,0.552,1,0.488,
0.523,0.52,1,0.426,
0.561,0.558,1,0.477,
0.534,0.534,1,0.452,
0.559,0.555,1,0.477,
0.536,0.53,1,0.464,
0.546,0.542,1,0.473,
0.535,0.532,1,0.463,
0.531,0.528,1,0.445,
0.54,0.538,1,0.473,
0.539,0.538,1,0.442,
0.535,0.53,1,0.449,
0.568,0.569,1,0.498,
0.526,0.52,1,0.417,
0.564,0.558,1,0.48,
0.518,0.513,1,0.423,
0.528,0.534,1,0.392,
0.549,0.546,1,0.454,
0.549,0.544,1,0.448,
0.536,0.533,1,0.448,
0.5,0.502,1,0.397,
0.542,0.542,1,0.443,
0.539,0.532,1,0.44,
0.543,0.54,1,0.46,
0.538,0.538,1,0.448,
0.545,0.542,1,0.469,
0.532,0.534,1,0.422,
0.548,0.546,1,0.465,
0.536,0.536,1,0.45,
0.552,0.552,1,0.474,
0.547,0.542,1,0.463,
0.543,0.535,1,0.478,
0.544,0.544,1,0.434,
0.555,0.553,1,0.483,
0.539,0.539,1,0.403,
0.54,0.536,1,0.463,
0.539,0.534,1,0.454,
0.548,0.546,1,0.47,
0.54,0.534,1,0.461,
0.529,0.525,1,0.422,
0.543,0.544,1,0.466,
0.539,0.537,1,0.437,
0.507,0.5,1,0.448,
0.491,0.485,1,0.419,
0.504,0.497,1,0.456,
0.485,0.483,1,0.384,
0.489,0.487,1,0.413,
0.483,0.479,1,0.416,
0.481,0.477,1,0.401,
0.486,0.479,1,0.416,
0.5,0.491,1,0.443,
0.5,0.496,1,0.423,
0.48,0.474,1,0.414,
0.485,0.479,1,0.415,
0.497,0.489,1,0.441,
0.508,0.505,1,0.447,
0.49,0.486,1,0.404,
0.498,0.494,1,0.429,
0.471,0.465,1,0.401,
0.495,0.484,1,0.44,
0.474,0.469,1,0.347,
0.498,0.493,1,0.407,
0.502,0.496,1,0.403,
0.513,0.508,1,0.437,
0.507,0.504,1,0.438,
0.506,0.502,1,0.431,
0.482,0.479,1,0.405,
0.499,0.494,1,0.43,
0.489,0.487,1,0.396,
0.505,0.502,1,0.448,
0.5,0.497,1,0.43,
0.47,0.466,1,0.385,
0.508,0.504,1,0.433,
0.498,0.491,1,0.433,
0.496,0.488,1,0.43,
0.512,0.506,1,0.448,
0.507,0.504,1,0.453,
0.502,0.501,1,0.425,
0.488,0.483,1,0.416,
0.481,0.475,1,0.42,
0.5,0.5,1,0.412,
0.475,0.472,1,0.407,
0.505,0.499,1,0.444,
0.479,0.474,1,0.367,
0.503,0.495,1,0.441,
0.507,0.502,1,0.449,
0.465,0.464,1,0.387,
0.494,0.488,1,0.427,
0.49,0.485,1,0.419,
0.5,0.497,1,0.435,
0.463,0.461,1,0.389,
0.469,0.464,1,0.39,
0.504,0.499,1,0.452,
0.472,0.463,1,0.41,
0.483,0.478,1,0.416,
0.488,0.485,1,0.398,
0.495,0.492,1,0.435,
0.499,0.495,1,0.402,
0.469,0.463,1,0.366,
0.495,0.489,1,0.42,
0.503,0.498,1,0.451,
0.484,0.479,1,0.373,
0.497,0.493,1,0.388,
0.511,0.506,1,0.445,
0.494,0.49,1,0.423,
0.502,0.499,1,0.417,
0.48,0.474,1,0.399,
0.505,0.504,1,0.438,
0.492,0.487,1,0.436,
0.474,0.47,1,0.403,
0.493,0.487,1,0.421,
0.496,0.488,1,0.423,
0.512,0.506,1,0.464,
0.476,0.469,1,0.384,
0.504,0.502,1,0.443,
0.463,0.459,1,0.35,
0.5,0.497,1,0.438,
0.485,0.48,1,0.413,
0.467,0.464,1,0.36,
0.498,0.496,1,0.408,
0.48,0.475,1,0.377,
0.492,0.487,1,0.425,
0.506,0.504,1,0.421,
0.508,0.504,1,0.437,
0.456,0.453,1,0.332,
0.489,0.482,1,0.405,
0.48,0.477,1,0.405,
0.503,0.498,1,0.429,
0.492,0.489,1,0.417,
0.506,0.504,1,0.424,
0.482,0.479,1,0.403,
0.499,0.494,1,0.425,
0.486,0.482,1,0.414,
0.498,0.495,1,0.425,
0.507,0.5,1,0.448,
0.506,0.502,1,0.418,
0.488,0.482,1,0.396,
0.468,0.464,1,0.381,
0.499,0.492,1,0.421,
0.502,0.496,1,0.411,
0.489,0.483,1,0.415,
0.507,0.502,1,0.45,
0.505,0.502,1,0.415,
0.503,0.499,1,0.434,
0.502,0.496,1,0.426,
0.505,0.501,1,0.424,
0.497,0.494,1,0.433,
0.508,0.503,1,0.437,
0.504,0.498,1,0.454,
0.473,0.47,1,0.396,
0.505,0.5,1,0.433,
0.495,0.491,1,0.432,
0.478,0.469,1,0.419,
0.487,0.483,1,0.397,
0.491,0.485,1,0.422,
0.49,0.487,1,0.405,
0.494,0.487,1,0.416,
0.508,0.504,1,0.447,
0.505,0.502,1,0.419,
0.494,0.493,1,0.408,
0.504,0.501,1,0.445,
0.469,0.468,1,0.386,
0.497,0.491,1,0.445,
0.472,0.471,1,0.359,
0.432,0.427,1,0.343,
0.481,0.479,1,0.379,
0.509,0.505,1,0.449,
0.509,0.504,1,0.444,
0.478,0.472,1,0.382,
0.504,0.499,1,0.43,
0.484,0.479,1,0.396,
0.497,0.489,1,0.441,
0.484,0.479,1,0.429,
0.496,0.491,1,0.422,
0.494,0.487,1,0.429,
0.478,0.476,1,0.367,
0.492,0.488,1,0.438,
0.505,0.5,1,0.44,
0.495,0.485,1,0.429,
0.485,0.481,1,0.389,
0.505,0.503,1,0.436,
0.503,0.5,1,0.439,
0.484,0.481,1,0.402,
0.49,0.483,1,0.428,
0.486,0.482,1,0.404,
0.485,0.48,1,0.423,
0.5,0.492,1,0.412,
0.449,0.448,1,0.35,
0.49,0.485,1,0.417,
0.481,0.475,1,0.413,
0.491,0.485,1,0.428,
0.464,0.461,1,0.357,
0.506,0.5,1,0.443,
0.487,0.481,1,0.415,
0.497,0.492,1,0.423,
0.491,0.484,1,0.404,
0.491,0.489,1,0.408,
0.48,0.475,1,0.421,
0.491,0.486,1,0.407,
0.494,0.491,1,0.399,
0.495,0.489,1,0.417,
0.504,0.496,1,0.449,
0.464,0.462,1,0.375,
0.481,0.482,1,0.389,
0.501,0.494,1,0.427,
0.479,0.474,1,0.413,
0.469,0.468,1,0.348,
0.502,0.496,1,0.431,
0.489,0.486,1,0.39,
0.501,0.496,1,0.447,
0.497,0.495,1,0.424,
0.502,0.496,1,0.447,
0.49,0.489,1,0.414,
0.488,0.482,1,0.424,
0.487,0.485,1,0.399,
0.496,0.492,1,0.432,
0.505,0.5,1,0.45,
0.481,0.478,1,0.405,
0.478,0.471,1,0.372,
0.503,0.498,1,0.425,
0.497,0.492,1,0.436,
0.499,0.495,1,0.412,
0.498,0.488,1,0.435,
0.5,0.493,1,0.43,
0.511,0.508,1,0.443,
0.479,0.478,1,0.382,
0.499,0.494,1,0.422,
0.508,0.504,1,0.437,
0.495,0.489,1,0.433,
0.484,0.475,1,0.399,
0.511,0.504,1,0.455,
0.487,0.485,1,0.419,
0.504,0.501,1,0.434,
0.493,0.485,1,0.399,
0.552,0.549,1,0.485,
0.539,0.538,1,0.477,
0.543,0.537,1,0.472,
0.551,0.55,1,0.478,
0.545,0.542,1,0.474,
0.552,0.549,1,0.443,
0.555,0.552,1,0.471,
0.551,0.546,1,0.474,
0.526,0.522,1,0.425,
0.568,0.565,1,0.498,
0.568,0.562,1,0.505,
0.539,0.54,1,0.459,
