

Data analysis for each instance 
AVG,MED,MAX,MIN
0.14,0.142,0.202,0,
0.175,0.183,0.185,0,
0.215,0.224,0.224,0,
0.17,0.167,0.189,0,
0.163,0.171,0.199,0,
0.119,0.129,0.171,0,
0.158,0.166,0.185,0,
0.129,0.13,0.194,0,
0.189,0.204,0.204,0,
0.236,0.242,0.242,0,
0.132,0.143,0.195,0,
0.177,0.185,0.219,0,
0.174,0.185,0.189,-0.002,
0.181,0.178,0.219,0,
0.138,0.14,0.181,0,
0.12,0.125,0.175,0,
0.176,0.188,0.238,0,
0.145,0.148,0.223,0,
0.151,0.151,0.241,0,
0.192,0.197,0.227,0,
0.153,0.165,0.209,0,
0.189,0.199,0.233,0,
0.142,0.155,0.2,0,
0.166,0.171,0.206,0,
0.118,0.123,0.186,-0.021,
0.168,0.175,0.19,-0.002,
0.184,0.201,0.201,0,
0.154,0.159,0.197,0,
0.184,0.188,0.208,-0.023,
0.224,0.234,0.258,0,
0.203,0.216,0.263,0,
0.154,0.162,0.201,0,
0.164,0.171,0.209,0,
0.103,0.106,0.149,0,
0.165,0.17,0.201,0,
0.123,0.131,0.178,0,
0.072,0.072,0.156,0,
0.142,0.142,0.184,0,
0.12,0.122,0.19,0,
0.11,0.117,0.178,0,
0.171,0.192,0.197,0,
0.198,0.206,0.234,0,
0.133,0.139,0.177,0,
0.149,0.152,0.215,0,
0.227,0.244,0.25,0,
0.099,0.103,0.162,0,
0.176,0.189,0.198,0,
0.186,0.192,0.224,0,
0.16,0.163,0.185,-0.002,
0.135,0.152,0.223,-0.043,
0.144,0.147,0.182,0,
0.117,0.12,0.169,0,
0.086,0.088,0.164,0,
0.223,0.225,0.23,0,
0.155,0.165,0.198,-0.035,
0.165,0.172,0.204,0,
0.229,0.244,0.265,0,
0.195,0.204,0.204,0,
0.203,0.212,0.212,0,
0.155,0.163,0.176,0,
0.139,0.142,0.185,0,
0.133,0.139,0.176,0,
0.095,0.094,0.157,0,
0.091,0.092,0.168,0,
0.124,0.126,0.175,0,
0.107,0.108,0.165,0,
0.27,0.282,0.282,0,
0.194,0.215,0.215,0,
0.221,0.237,0.29,0,
0.232,0.239,0.239,0,
0.174,0.179,0.218,0,
0.165,0.174,0.2,0,
0.164,0.171,0.211,-0.024,
0.137,0.145,0.194,0,
0.185,0.204,0.205,0,
0.222,0.229,0.23,0,
0.094,0.096,0.176,0,
0.17,0.192,0.194,0,
0.085,0.085,0.172,0,
0.136,0.143,0.213,0,
0.088,0.09,0.155,0,
0.197,0.21,0.238,0,
0.229,0.241,0.241,0,
0.125,0.131,0.201,-0.01,
0.144,0.147,0.181,0,
0.212,0.222,0.222,0,
0.19,0.201,0.235,0,
0.189,0.197,0.222,0,
0.253,0.26,0.26,0,
0.174,0.178,0.2,0,
0.206,0.212,0.254,0,
0.071,0.073,0.125,0,
0.066,0.061,0.154,-0.017,
0.178,0.184,0.214,0,
0.307,0.321,0.321,0,
0.126,0.131,0.232,-0.066,
0.14,0.142,0.19,0,
0.171,0.178,0.206,0,
0.197,0.203,0.203,0,
0.12,0.122,0.172,0,
0.118,0.118,0.183,0,
0.108,0.11,0.183,0,
0.102,0.102,0.203,0,
0.147,0.151,0.196,0,
0.186,0.196,0.234,0,
0.215,0.23,0.23,0,
0.172,0.177,0.206,0,
0.146,0.149,0.226,-0.005,
0.208,0.215,0.238,0,
0.093,0.093,0.14,0,
0.298,0.307,0.307,0,
0.126,0.132,0.187,0,
0.097,0.102,0.16,0,
0.204,0.229,0.233,-0.007,
0.104,0.107,0.168,-0.01,
0.113,0.118,0.178,0,
0.141,0.152,0.201,0,
0.154,0.166,0.174,-0.007,
0.205,0.211,0.211,0,
0.129,0.132,0.179,0,
0.122,0.127,0.183,0,
0.199,0.205,0.238,0,
0.157,0.168,0.227,-0.006,
0.168,0.18,0.198,0,
0.154,0.163,0.206,0,
0.226,0.229,0.263,0,
0.165,0.174,0.2,0,
0.103,0.105,0.165,0,
0.158,0.16,0.196,0,
0.103,0.09,0.197,0,
0.142,0.149,0.2,0,
0.221,0.229,0.229,0,
0.175,0.184,0.209,0,
0.143,0.142,0.204,0,
0.097,0.094,0.179,0,
0.074,0.071,0.171,0,
0.15,0.151,0.207,0,
0.172,0.177,0.211,0,
0.189,0.207,0.26,-0.013,
0.105,0.109,0.171,-0.023,
0.23,0.237,0.237,0,
0.08,0.079,0.149,0,
0.143,0.147,0.199,0,
0.125,0.13,0.185,0,
0.114,0.117,0.17,0,
0.086,0.083,0.19,-0.01,
0.134,0.146,0.205,0,
0.127,0.133,0.188,0,
0.173,0.181,0.211,0,
0.2,0.205,0.225,0,
0.206,0.214,0.214,0,
0.169,0.195,0.212,-0.003,
0.217,0.222,0.268,0,
0.15,0.155,0.201,0,
0.101,0.102,0.181,0,
0.185,0.19,0.191,0,
0.14,0.144,0.183,0,
0.156,0.162,0.195,0,
0.149,0.154,0.181,0,
0.244,0.251,0.251,0,
0.136,0.145,0.194,-0.009,
0.24,0.253,0.253,0,
0.142,0.148,0.177,0,
0.164,0.171,0.218,0,
0.194,0.202,0.226,0,
0.153,0.149,0.24,0,
0.1,0.096,0.18,0,
0.151,0.155,0.185,0,
0.141,0.142,0.23,0,
0.146,0.153,0.157,0,
0.165,0.178,0.203,0,
0.074,0.074,0.166,0,
0.142,0.14,0.216,0,
0.21,0.217,0.26,0,
0.084,0.087,0.154,-0.002,
0.144,0.152,0.206,-0.019,
0.161,0.164,0.212,-0.002,
0.124,0.134,0.186,-0.009,
0.152,0.159,0.19,0,
0.195,0.205,0.206,0,
0.147,0.147,0.231,0,
0.184,0.194,0.194,0,
0.169,0.179,0.214,0,
0.201,0.208,0.208,-0.002,
0.184,0.191,0.223,0,
0.137,0.14,0.179,0,
0.117,0.116,0.19,0,
0.171,0.179,0.218,0,
0.226,0.227,0.275,0,
0.141,0.147,0.176,-0.005,
0.228,0.239,0.263,0,
0.132,0.136,0.19,0,
0.115,0.119,0.181,0,
0.113,0.116,0.162,0,
0.116,0.117,0.184,0,
0.245,0.25,0.25,0,
0.11,0.118,0.171,0,
0.155,0.158,0.182,0,
0.119,0.121,0.185,0,
0.235,0.237,0.24,0,
0.141,0.144,0.182,0,
0.188,0.197,0.218,0,
0.319,0.341,0.37,0,
0.121,0.126,0.168,0,
0.165,0.17,0.188,0,
0.17,0.184,0.225,0,
0.157,0.175,0.208,0,
0.177,0.184,0.209,0,
0.156,0.158,0.194,0,
0.174,0.182,0.214,0,
0.136,0.139,0.203,0,
0.181,0.19,0.204,0,
0.16,0.17,0.203,0,
