

Data analysis for each instance 
AVG,MED,MAX,MIN
0.133,0.133,0.136,0.099,
0.058,0.058,0.072,0.057,
-0.047,-0.047,-0.046,-0.047,
0.305,0.306,0.306,0.244,
-0.026,-0.026,-0.026,-0.027,
-0.02,-0.02,0.006,-0.021,
-0.061,-0.061,-0.06,-0.061,
0.012,0.012,0.023,0.012,
0.023,0.023,0.026,0.023,
0.012,0.011,0.061,0.011,
0.158,0.158,0.184,0.158,
0.13,0.13,0.132,0.111,
0.119,0.119,0.147,0.119,
0.182,0.188,0.261,0.175,
0.056,0.056,0.073,0.056,
-0.02,-0.02,-0.02,-0.021,
0,0,0.027,-0.001,
0.057,0.056,0.143,0.053,
0.007,0.007,0.008,0.005,
0.101,0.1,0.155,0.099,
0.096,0.096,0.098,0.069,
0.227,0.227,0.25,0.189,
-0.015,-0.015,-0.014,-0.015,
0.332,0.333,0.333,0.242,
0.015,0.015,0.016,0.015,
0.081,0.081,0.092,0.081,
0.134,0.134,0.165,0.134,
0.28,0.278,0.328,0.258,
0.001,0.001,0.001,-0.018,
0.207,0.207,0.212,0.186,
0,0,0,0,
-0.069,-0.069,-0.069,-0.076,
0.133,0.133,0.158,0.107,
0.049,0.049,0.074,0.049,
0.149,0.149,0.183,0.109,
0.009,0.009,0.023,0.009,
-0.006,-0.006,-0.002,-0.039,
0.109,0.108,0.171,0.107,
0.092,0.092,0.134,0.091,
-0.056,-0.057,-0.013,-0.064,
0.007,0.007,0.025,0.005,
-0.023,-0.022,-0.015,-0.1,
0.172,0.172,0.202,0.153,
0.143,0.143,0.153,0.142,
0.134,0.135,0.151,0,
0.178,0.18,0.192,0.17,
0.002,0.002,0.007,-0.042,
0.001,0.001,0.003,-0.038,
0.094,0.094,0.102,0.093,
0.119,0.12,0.127,0.013,
0.385,0.387,0.387,0.265,
0.004,0.01,0.021,-0.026,
0.029,0.029,0.036,0.029,
-0.001,-0.002,0.047,-0.006,
-0.098,-0.098,-0.098,-0.107,
0.097,0.097,0.099,0.097,
0.123,0.123,0.125,0.122,
0.011,0.011,0.012,0.009,
-0.021,-0.021,0.02,-0.022,
0.105,0.105,0.122,0.105,
0.104,0.104,0.121,0.104,
0.173,0.174,0.19,0.172,
0.102,0.102,0.134,0.102,
0.02,0.02,0.044,0.017,
0.064,0.064,0.091,0.064,
0.008,0.008,0.008,0.007,
0.002,0.002,0.002,0,
0.02,0.02,0.02,0.019,
0.195,0.202,0.211,-0.091,
0.202,0.202,0.228,0.202,
0.001,0,0.11,-0.013,
0.118,0.118,0.133,0.113,
0.072,0.072,0.073,0.042,
0.076,0.076,0.095,0.076,
0.091,0.092,0.094,0.032,
0.041,0.041,0.043,0.039,
0.019,0.019,0.045,0.019,
0.196,0.195,0.235,0.188,
-0,0,0,-0.002,
-0.008,-0.008,-0.008,-0.009,
0.072,0.072,0.073,0.072,
0.153,0.153,0.157,0.122,
0.177,0.179,0.182,0.09,
0.09,0.09,0.14,0.089,
0.158,0.158,0.167,0.124,
0.014,0.014,0.015,0.013,
0,0,0.001,0,
0.057,0.057,0.063,0.057,
0,0,0.002,-0.001,
0.065,0.065,0.068,0.026,
0.176,0.177,0.2,0.115,
0.065,0.065,0.068,0.065,
0.02,0.02,0.022,0.02,
0.103,0.103,0.139,0.103,
0,0,0,0,
0.222,0.239,0.273,0.113,
0.091,0.091,0.091,0.071,
0.106,0.105,0.173,0.105,
0.018,0.018,0.019,0.018,
0.074,0.074,0.089,0.073,
0.014,0.014,0.014,0.014,
0.109,0.109,0.124,0.108,
0.117,0.121,0.141,0.097,
0.21,0.21,0.24,0.204,
0.001,0,0.072,0,
0.073,0.074,0.074,0.038,
0.046,0.046,0.061,0.045,
0.08,0.08,0.104,0.08,
0.063,0.063,0.069,0.062,
-0.007,-0.007,0.01,-0.008,
-0.001,-0.001,0.001,-0.001,
0.144,0.144,0.147,0.132,
0.079,0.079,0.08,0.051,
-0.027,-0.028,0.026,-0.029,
-0.003,-0.003,0,-0.015,
0.05,0.05,0.053,0.05,
0.128,0.127,0.184,0.127,
0.228,0.228,0.251,0.202,
0.154,0.154,0.191,0.154,
0.159,0.176,0.198,0.133,
0.277,0.277,0.28,0.24,
0.028,0.028,0.061,0.02,
0.078,0.078,0.123,0.078,
0.021,0.02,0.086,0.019,
0.057,0.057,0.08,0.057,
0.014,0.012,0.045,0,
0.044,0.044,0.054,0.044,
0.099,0.099,0.129,0.098,
0.044,0.044,0.055,0.044,
0.008,0.008,0.019,0.008,
-0.007,-0.007,-0.005,-0.025,
0.169,0.17,0.171,0.122,
-0.04,-0.04,-0.04,-0.061,
0,0,0,0,
0.08,0.08,0.085,0.065,
0.002,0.002,0.04,-0.001,
0.24,0.243,0.243,0.196,
0.037,0.037,0.045,0.037,
0.131,0.131,0.143,0.13,
0.077,0.077,0.083,0.077,
0.204,0.203,0.252,0.203,
0.076,0.076,0.118,0.076,
0.075,0.075,0.078,0.026,
0.208,0.222,0.25,0.174,
0.365,0.367,0.367,0.244,
0.004,0.004,0.005,-0.007,
0.113,0.113,0.131,0.101,
0.064,0.064,0.106,0.064,
0.11,0.11,0.126,0.11,
0.085,0.086,0.086,0.049,
0.139,0.138,0.178,0.138,
0.12,0.12,0.122,0.12,
0,0,0,0,
0.049,0.049,0.069,0.049,
-0.072,-0.072,-0.071,-0.073,
0.025,0.025,0.085,0.004,
-0.051,-0.051,-0.051,-0.087,
0.166,0.166,0.167,0.163,
-0.024,-0.024,0.004,-0.025,
0,0.001,0.004,-0.026,
-0.02,-0.02,-0.018,-0.033,
0.008,0.001,0.065,0,
0.148,0.148,0.157,0.129,
0.001,0,0.066,-0.001,
0.084,0.084,0.112,0.082,
0.026,0.025,0.099,0.022,
0.178,0.177,0.234,0.177,
-0.016,-0.016,-0.015,-0.016,
0.052,0.053,0.053,0,
0.011,0.011,0.011,0.008,
0.069,0.069,0.069,0.046,
0.009,0.009,0.01,0.008,
0.116,0.116,0.135,0.114,
0.13,0.131,0.131,0.058,
0.039,0.039,0.04,0.038,
0.012,0.012,0.013,0.01,
-0.029,-0.029,-0.029,-0.055,
0.029,0.029,0.049,0.028,
0.016,0.016,0.019,0.016,
0.178,0.178,0.201,0.168,
-0.06,-0.061,-0.03,-0.061,
0.012,0.012,0.019,0.012,
0.001,0.001,0.012,-0.008,
0.046,0.046,0.055,0.045,
0.008,0.008,0.008,0.006,
0.075,0.075,0.081,0.075,
0.168,0.168,0.187,0.168,
0.093,0.093,0.12,0.089,
-0.057,0,0.006,-0.122,
-0.016,-0.016,-0.005,-0.016,
0.012,0.018,0.038,-0.013,
0.163,0.163,0.168,0.121,
0.036,0.036,0.041,0.036,
0.283,0.284,0.292,0.192,
0.036,0.035,0.091,0.034,
0.199,0.199,0.274,0.175,
0.076,0.076,0.076,0.074,
0.092,0.092,0.1,0.092,
0.002,0.002,0.04,0.002,
0.084,0.084,0.233,-0.036,
0.104,0.103,0.146,0.095,
-0.051,-0.051,-0.051,-0.059,
0.03,0.009,0.096,-0.005,
0.05,0.049,0.126,0.048,
0.092,0.092,0.114,0.092,
0.041,0.041,0.042,0.041,
0.189,0.19,0.191,0.125,
0.232,0.232,0.24,0.207,
0.013,0.012,0.076,0.01,
0.055,0.055,0.063,0.055,
0.07,0.07,0.089,0.069,
0.126,0.126,0.165,0.125,
0.153,0.152,0.176,0.119,
0.16,0.16,0.199,0.159,
