

Data analysis for each instance 
AVG,MED,MAX,MIN
0.135,0.135,0.137,0.1,
0.058,0.058,0.068,0.058,
-0.04,-0.04,-0.04,-0.04,
0.245,0.246,0.249,0.178,
-0.006,-0.006,-0.006,-0.006,
0.021,0.021,0.047,0.021,
-0.005,-0.005,-0.005,-0.005,
0.042,0.042,0.053,0.042,
0.037,0.037,0.039,0.027,
0.012,0.011,0.06,0.011,
0.158,0.158,0.183,0.158,
0.12,0.12,0.128,0.101,
0.089,0.089,0.105,0.089,
0.182,0.187,0.234,0.175,
0.044,0.044,0.061,0.044,
-0.022,-0.022,-0.021,-0.022,
0,0,0.028,-0.002,
0.056,0.055,0.143,0.054,
0.025,0.025,0.027,0.023,
0.14,0.14,0.172,0.106,
0.097,0.097,0.098,0.069,
0.126,0.126,0.154,0.089,
-0.015,-0.015,-0.015,-0.015,
0.293,0.295,0.295,0.198,
0.012,0.012,0.012,0.012,
0.068,0.068,0.081,0.068,
0.081,0.081,0.105,0.081,
0.23,0.228,0.282,0.206,
0.031,0.031,0.032,-0.001,
0.185,0.185,0.196,0.163,
0,0,0,-0,
-0.079,-0.079,-0.079,-0.109,
0.093,0.093,0.129,0.066,
0.052,0.052,0.077,0.052,
0.138,0.141,0.141,0.067,
0.047,0.047,0.07,0.047,
0.022,0.022,0.054,0.021,
0.112,0.111,0.174,0.111,
0.052,0.052,0.097,0.052,
-0.05,-0.051,-0.006,-0.058,
0.006,0.006,0.01,0.005,
0.068,0.068,0.07,0.039,
0.157,0.157,0.187,0.137,
0.048,0.048,0.05,0.047,
0.134,0.135,0.151,0,
0.151,0.154,0.162,0.143,
0.021,0.022,0.025,-0.041,
0.001,0.001,0.003,-0.039,
0.081,0.081,0.081,0.067,
0.118,0.119,0.126,0.013,
0.279,0.281,0.281,0.137,
-0.027,-0.015,0.001,-0.043,
0.034,0.034,0.04,0.034,
0.06,0.06,0.096,0.018,
-0.088,-0.088,-0.088,-0.094,
0.098,0.098,0.099,0.098,
0.124,0.124,0.125,0.123,
0.008,0.008,0.009,0.004,
-0.022,-0.022,0.02,-0.022,
0.059,0.058,0.108,0.058,
0.099,0.099,0.116,0.099,
0.074,0.075,0.101,0.073,
0.074,0.074,0.084,0.073,
-0.085,-0.085,-0.069,-0.085,
0.026,0.026,0.052,0.026,
0.015,0.015,0.015,0.015,
0.014,0.004,0.026,-0,
0.005,0.005,0.005,0,
0.196,0.203,0.212,-0.091,
0.203,0.203,0.229,0.203,
0.099,0.099,0.112,0.093,
0.119,0.119,0.133,0.114,
0.052,0.052,0.087,0.021,
0.066,0.066,0.086,0.066,
0.091,0.092,0.095,0.032,
0.072,0.072,0.076,0.072,
0.013,0.013,0.035,0.012,
0.153,0.152,0.191,0.144,
0.063,0.063,0.066,0.063,
-0.014,-0.014,-0.014,-0.014,
0.075,0.075,0.076,0.075,
0.153,0.153,0.157,0.122,
-0.004,-0.003,-0,-0.076,
0.09,0.09,0.14,0.089,
0.165,0.165,0.2,0.13,
-0.024,-0.024,-0.008,-0.025,
-0.032,-0.033,0.003,-0.035,
0.057,0.057,0.064,0.057,
0,0,0.003,-0.001,
0.087,0.087,0.09,0.044,
0.176,0.177,0.2,0.115,
0.036,0.036,0.046,0.036,
-0.008,-0.008,-0.005,-0.008,
0.092,0.092,0.129,0.092,
0,0,0,0,
0.21,0.219,0.246,0.08,
0.083,0.083,0.084,0.063,
0.086,0.086,0.131,0.086,
-0.012,-0.012,-0.012,-0.025,
0.161,0.161,0.179,0.161,
-0.058,-0.058,-0.045,-0.058,
0.002,0.002,0.002,0.001,
0.115,0.124,0.139,0.095,
0.184,0.184,0.214,0.177,
0.001,0,0.071,0,
0.039,0.039,0.042,0.012,
0.046,0.046,0.059,0.046,
0.08,0.08,0.104,0.08,
-0.203,-0.207,0.03,-0.207,
-0.008,-0.008,0.004,-0.008,
-0.001,-0.001,0.001,-0.001,
0.17,0.17,0.172,0.158,
0.061,0.061,0.062,0.033,
-0.027,-0.028,0.026,-0.029,
-0.054,-0.054,-0.052,-0.072,
0.058,0.058,0.06,0.058,
0.138,0.137,0.189,0.136,
0.185,0.185,0.195,0.158,
0.155,0.155,0.192,0.155,
0.123,0.13,0.148,0.097,
0.259,0.259,0.267,0.222,
0.029,0.029,0.061,-0.023,
0.079,0.079,0.123,0.079,
0.012,0.011,0.074,0.009,
0.042,0.042,0.046,0.042,
0.014,0.012,0.045,0,
-0.016,-0.016,-0.015,-0.018,
0.103,0.103,0.133,0.103,
0.045,0.045,0.06,0.044,
-0.14,-0.134,-0.125,-0.172,
0.009,0.009,0.011,0.003,
0.171,0.172,0.174,0.125,
-0.057,-0.057,-0.044,-0.059,
0,0,0,-0,
0.067,0.067,0.071,0.064,
-0.024,-0.024,0,-0.024,
0.196,0.199,0.199,0.149,
0.014,0.014,0.014,0.007,
0.131,0.131,0.143,0.13,
0.002,0.002,0.013,0.002,
0.211,0.21,0.258,0.209,
0.039,0.039,0.073,0.039,
0.071,0.072,0.075,-0.002,
0.127,0.142,0.165,0.09,
0.236,0.238,0.238,0.092,
0.005,0.005,0.005,0.001,
0.11,0.11,0.12,0.082,
0.073,0.073,0.093,0.073,
0.068,0.068,0.086,0.068,
0.085,0.086,0.086,0.05,
0.093,0.092,0.146,0.091,
0.062,0.062,0.065,0.051,
0,0,0,-0,
0.049,0.049,0.062,0.049,
-0.058,-0.058,-0.058,-0.063,
0.085,0.085,0.1,0.071,
-0.076,-0.076,-0.076,-0.107,
0.13,0.13,0.132,0.103,
-0.021,-0.021,-0.021,-0.021,
0.001,0,0.002,-0.001,
-0.005,-0.005,-0.005,-0.006,
