

Data analysis for each instance 
AVG,MED,MAX,MIN
0.121,0.088,0.262,0.087,
0.14,0.135,0.257,0.058,
-0.046,-0.049,0.069,-0.049,
0.289,0.289,0.334,0.248,
-0.012,-0.012,0.021,-0.015,
0.055,0.056,0.143,-0.027,
0.057,0.061,0.139,-0.027,
0.004,0.003,0.133,-0.078,
0.017,0.012,0.155,0.012,
0.015,0.015,0.029,0.011,
0.132,0.128,0.279,0.083,
0.18,0.181,0.26,0.111,
0.12,0.109,0.222,0.054,
0.21,0.21,0.241,0.19,
0.052,0.051,0.13,0.042,
-0.03,-0.025,0.03,-0.068,
-0,0,0,-0.015,
0.096,0.1,0.1,-0.061,
-0.011,-0.01,0.024,-0.1,
0.103,0.103,0.264,0.006,
0.047,0.046,0.091,0.046,
0.16,0.16,0.189,0.16,
0.018,0.018,0.053,-0.016,
0.205,0.201,0.286,0.201,
0.115,0.11,0.201,0.016,
0.03,0.033,0.137,-0.054,
0.137,0.137,0.201,0.085,
0.284,0.284,0.324,0.236,
-0.042,-0.043,0.128,-0.046,
0.226,0.223,0.241,0.202,
-0.019,-0.021,0.104,-0.021,
-0.02,-0.025,0.118,-0.111,
0.115,0.117,0.117,0.003,
0.068,0.064,0.222,0.064,
0.118,0.109,0.22,0.109,
0.11,0.107,0.22,0.006,
-0.013,-0.018,0.16,-0.018,
0.203,0.205,0.288,0.108,
0.133,0.118,0.225,0.049,
0.003,-0.003,0.075,-0.057,
0.009,0.012,0.012,-0.172,
-0.01,-0.006,-0.006,-0.138,
0.177,0.173,0.302,-0.024,
0.117,0.119,0.149,-0.016,
-0.012,-0.012,0,-0.018,
0.183,0.175,0.291,0.175,
0.006,0.003,0.126,0.002,
0.001,0.003,0.003,-0.104,
0.196,0.193,0.276,0.101,
0.042,0.044,0.044,-0.015,
0.262,0.264,0.277,0.186,
0.096,0.094,0.15,0.025,
0.033,0.027,0.151,-0.039,
0.082,0.082,0.135,0.033,
-0.11,-0.089,0.067,-0.235,
0.093,0.095,0.123,0.006,
0.128,0.126,0.258,0.125,
-0.016,-0.027,0.115,-0.081,
-0.023,-0.024,0.031,-0.024,
0.115,0.111,0.225,0.096,
0.139,0.1,0.272,0.1,
0.086,0.101,0.216,-0.07,
0.075,0.072,0.144,-0.097,
-0.119,-0.12,-0.091,-0.165,
0.046,0.047,0.11,-0.003,
0.051,0.045,0.249,0.031,
-0.005,-0.006,0.088,-0.006,
0.021,0.021,0.129,0.014,
0.081,0.081,0.136,0.075,
0.208,0.206,0.287,0.177,
0.048,0.048,0.074,0.033,
0.097,0.097,0.137,0.089,
0.048,0.036,0.116,0.021,
0.071,0.07,0.175,0.038,
-0.001,-0.003,0.113,-0.003,
0.081,0.082,0.107,-0.089,
0.006,0.003,0.183,-0.027,
0.197,0.213,0.283,0.161,
0.072,0.07,0.186,-0.003,
0.053,0.041,0.119,-0.12,
0.127,0.106,0.281,0.072,
0.121,0.121,0.123,0.113,
0.112,0.112,0.114,0.111,
0.026,0.074,0.176,-0.133,
0.071,0.076,0.162,-0.015,
0.053,0.049,0.182,0.047,
0.063,0.074,0.163,-0.008,
0.052,0.052,0.145,0.049,
-0.049,-0.05,0,-0.05,
0.045,0.046,0.201,-0.015,
0.091,0.091,0.115,0.054,
0.083,0.086,0.111,-0.015,
0.03,0.024,0.175,0.017,
0.101,0.1,0.106,0.036,
0,0,0,0,
0.179,0.178,0.276,0.168,
0.16,0.163,0.265,0.015,
0.061,0.076,0.112,-0.035,
-0.001,0.003,0.006,-0.107,
0.078,0.079,0.181,-0.012,
0.091,0.101,0.215,-0.061,
0.129,0.126,0.257,0.108,
0.139,0.142,0.211,0.133,
0.195,0.193,0.313,0.193,
-0.031,-0.032,0,-0.032,
0.078,0.076,0.168,0.071,
0.01,0.012,0.046,-0.094,
0.066,0.067,0.081,-0.035,
0.052,0.059,0.268,-0.134,
0.051,0.045,0.135,0.031,
0,0,0,0,
0.148,0.148,0.172,0.103,
0.162,0.173,0.253,-0.029,
0.019,0.018,0.139,-0.029,
0.103,0.102,0.21,0.012,
0.079,0.063,0.191,0.049,
0.155,0.157,0.157,0.098,
0.219,0.218,0.272,0.202,
0.211,0.195,0.342,0.155,
0.204,0.211,0.214,0.003,
0.268,0.269,0.309,0.239,
0.07,0.07,0.07,0.042,
0.086,0.085,0.18,0.079,
0.072,0.073,0.076,0.022,
0.063,0.064,0.064,-0.005,
0.007,0.006,0.052,0,
0.046,0.027,0.249,0.026,
0.087,0.085,0.232,0.082,
0.118,0.116,0.21,0.042,
0.018,0.015,0.135,0.008,
0.013,0.009,0.137,-0.009,
0.147,0.146,0.226,0.118,
-0.061,-0.065,0.105,-0.068,
-0.005,-0.006,0.026,-0.006,
0.081,0.079,0.201,0.015,
-0.029,-0.029,0.116,-0.088,
0.206,0.204,0.295,0.104,
0.001,0.003,0.07,-0.018,
0.15,0.151,0.245,0.131,
0.11,0.101,0.188,0.075,
0.245,0.244,0.355,0.227,
0.097,0.092,0.214,0.078,
0.003,0.003,0.092,-0.079,
0.281,0.281,0.343,0.147,
0.252,0.253,0.255,0.188,
0.026,0.027,0.027,-0.058,
0.124,0.115,0.239,0.085,
0.046,0.046,0.136,-0.024,
0.086,0.086,0.097,0.086,
0.07,0.073,0.093,-0.027,
0.137,0.134,0.218,0.134,
0.112,0.117,0.197,-0.047,
0,0,0,0,
0.066,0.063,0.173,0.021,
-0.048,-0.055,0.104,-0.119,
0.062,0.055,0.199,0.033,
0.043,0.046,0.136,-0.054,
0.161,0.161,0.275,0.068,
0.052,0.044,0.108,-0.09,
0,0,0,0,
-0.017,-0.015,-0.015,-0.113,
-0.046,-0.047,0,-0.047,
0.093,0.097,0.097,-0.046,
0.044,0.064,0.126,-0.065,
0.105,0.105,0.111,0.084,
0.035,0.036,0.079,0.02,
0.2,0.198,0.298,0.173,
0.017,0.027,0.165,-0.167,
-0.035,-0.036,0,-0.036,
-0.029,-0.027,0.007,-0.115,
0.041,0.04,0.118,0.006,
-0.013,-0.012,0.046,-0.158,
0.102,0.103,0.119,-0.027,
0.12,0.119,0.223,0.104,
0.01,0.006,0.141,-0.033,
-0.003,0.009,0.103,-0.078,
-0.033,-0.034,0.07,-0.034,
-0.028,-0.023,0.048,-0.163,
0.155,0.166,0.278,0.011,
0.111,0.115,0.235,0.021,
-0.055,-0.055,-0.055,-0.075,
0.018,0.021,0.029,-0.084,
-0.02,-0.021,0.016,-0.057,
0.1,0.099,0.184,-0.028,
0.038,0.033,0.139,0.008,
0.085,0.066,0.202,0.048,
0.171,0.171,0.267,0.102,
0.104,0.103,0.165,0.103,
-0.052,-0.052,0,-0.09,
-0.004,-0.012,0.17,-0.018,
0,0,0,0,
0.188,0.185,0.277,0.105,
0.126,0.126,0.235,0.037,
0.196,0.196,0.198,0.191,
-0.069,-0.049,0.054,-0.134,
0.174,0.173,0.258,0.173,
0.083,0.083,0.186,-0.043,
0.086,0.105,0.108,-0.049,
0.017,0.034,0.104,-0.114,
0.07,0.051,0.13,0.034,
0.21,0.202,0.361,0.186,
0.025,0.036,0.114,-0.105,
0,0,0,0,
0.147,0.149,0.235,0.045,
0.136,0.136,0.154,0.117,
0.065,0.034,0.196,0.005,
0.107,0.11,0.147,-0.009,
0.241,0.242,0.253,0.195,
0.029,0.024,0.173,-0.006,
0.073,0.07,0.224,0.055,
0.09,0.087,0.258,0.07,
0.13,0.137,0.175,-0.035,
0.152,0.155,0.204,0.08,
0.184,0.178,0.233,0.14,
0.161,0.16,0.198,0.11,
0.11,0.118,0.213,-0.12,
-0.029,-0.033,0.107,-0.066,
-0,0.041,0.131,-0.134,
-0.001,0,0,-0.085,
0,0,0,0,
0.066,0.066,0.109,-0.025,
0.07,0.069,0.157,0.057,
0.133,0.133,0.175,0.119,
0.158,0.178,0.225,0.033,
0.093,0.099,0.183,-0.038,
0.02,0.022,0.05,-0.055,
0.028,0.027,0.121,-0.021,
0.021,0.028,0.105,0.011,
0.114,0.11,0.257,0.11,
0.077,0.073,0.185,0.071,
0.1,0.102,0.105,0.003,
-0.041,-0.04,-0.011,-0.127,
0.13,0.13,0.143,0.13,
-0.004,-0.01,0.187,-0.01,
0.128,0.128,0.145,0.104,
0.227,0.229,0.302,0.119,
0.156,0.156,0.156,0.144,
0.01,0,0.155,-0.029,
-0.006,-0.009,0.142,-0.01,
0.049,0.05,0.05,0,
0.204,0.199,0.285,0.194,
0.061,0.06,0.184,0.038,
0.114,0.11,0.263,0.102,
0.041,0.033,0.141,0.013,
0.27,0.268,0.35,0.256,
0.009,0.009,0.009,0.005,
0.019,0.019,0.141,-0.146,
0.104,0.103,0.183,0.103,
-0.041,-0.04,-0.03,-0.113,
0.055,0.055,0.071,0.044,
