

Data analysis for each instance 
AVG,MED,MAX,MIN
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0.002,-0.004,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0.007,0,
-0,0,0,-0.001,
0,0,0,0,
0,0,0,0,
-0.064,-0.08,0.001,-0.146,
0,0,0,0,
0,0,0,0,
0.06,0.06,0.066,-0.065,
0,0,0,0,
0,0,0,0,
-0,0,0,-0.002,
0,0,0,0,
-0,0,0,-0.011,
0,0,0,0,
-0,0,0.001,-0.002,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0.001,-0.001,
0,0,0,0,
-0,0,0.002,-0.02,
0,0,0,0,
0,0,0.001,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
-0,0,0,-0.002,
0,0,0.004,0,
-0,0,0,-0.001,
0,0,0,0,
-0,0,0,-0.005,
0,0,0,0,
0,0,0,0,
-0,0,0,-0.006,
0,0,0,0,
0,0,0,0,
0,0,0.004,0,
0,0,0,0,
0,0,0,0,
-0.025,-0.001,0,-0.051,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0.001,0,
0,0,0,0,
0,0,0,0,
0.013,-0.004,0.058,-0.038,
0,0,0,0,
-0.005,0.003,0.016,-0.139,
-0,0,0,-0.001,
-0,0,0.001,-0.005,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0.001,-0.001,
0,0,0,0,
0,0,0,0,
0,0,0,0,
-0,0,0,-0.001,
0.064,0.055,0.078,-0.012,
0,0,0,0,
0,0,0,0,
0,0,0,0,
-0,0,0,-0.002,
0,0,0,0,
0,0,0.006,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.001,0,0.08,-0.012,
0,0,0,0,
-0,0,0,-0.001,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0.001,0,
-0,0,0,-0.001,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.008,0.01,0.018,-0.066,
0,0,0,0,
0,0,0,0,
