

Data analysis for each instance 
AVG,MED,MAX,MIN
0.865,0.863,1,0.863,
0.909,0.908,1,0.875,
0.864,0.863,1,0.863,
0.867,0.864,1,0.864,
0.864,0.863,1,0.863,
0.866,0.864,1,0.864,
0.865,0.864,1,0.864,
0.865,0.863,1,0.863,
0.866,0.864,1,0.864,
0.839,0.859,1,0.802,
0.864,0.863,1,0.863,
0.865,0.863,1,0.863,
0.865,0.864,1,0.864,
0.863,0.862,1,0.862,
0.866,0.864,1,0.864,
0.866,0.864,1,0.864,
0.862,0.86,1,0.858,
0.863,0.862,1,0.86,
0.808,0.75,1,0.743,
0.835,0.873,1,0.793,
0.864,0.862,1,0.862,
0.952,0.952,1,0.949,
0.764,0.71,1,0.696,
0.865,0.863,1,0.863,
0.865,0.864,1,0.864,
0.866,0.864,1,0.864,
0.866,0.864,1,0.864,
0.865,0.864,1,0.864,
0.904,0.903,1,0.902,
0.883,0.88,1,0.88,
0.885,0.859,1,0.859,
0.865,0.863,1,0.861,
0.865,0.863,1,0.863,
0.867,0.865,1,0.865,
0.866,0.865,1,0.864,
0.866,0.864,1,0.862,
0.874,0.892,1,0.853,
0.867,0.865,1,0.865,
0.864,0.863,1,0.863,
0.875,0.874,1,0.873,
0.866,0.864,1,0.864,
0.909,0.908,1,0.907,
0.867,0.865,1,0.865,
0.719,0.68,1,0.679,
0.862,0.861,1,0.857,
0.865,0.864,1,0.864,
0.901,0.9,1,0.9,
0.947,0.946,1,0.946,
0.866,0.864,1,0.864,
0.861,0.86,1,0.834,
0.896,0.895,1,0.895,
0.904,0.903,1,0.903,
0.866,0.864,1,0.864,
0.92,0.918,1,0.917,
0.865,0.863,1,0.863,
0.864,0.863,1,0.863,
0.878,0.877,1,0.876,
0.866,0.864,1,0.864,
0.864,0.875,1,0.85,
0.866,0.864,1,0.864,
0.865,0.864,1,0.864,
0.866,0.864,1,0.864,
0.866,0.864,1,0.862,
0.987,0.99,1,0.982,
0.867,0.865,1,0.865,
0.865,0.864,1,0.864,
0.793,0.79,0.889,0.756,
0.865,0.863,1,0.863,
0.858,0.857,1,0.835,
0.863,0.862,1,0.861,
0.98,0.98,1,0.961,
0.866,0.864,1,0.864,
0.973,0.973,1,0.97,
0.857,0.855,1,0.855,
0.864,0.863,1,0.862,
0.871,0.869,1,0.869,
0.865,0.864,1,0.863,
0.865,0.864,1,0.863,
0.866,0.864,1,0.863,
0.865,0.863,1,0.863,
0.865,0.864,1,0.864,
0.795,0.742,1,0.729,
0.87,0.869,1,0.868,
0.864,0.863,1,0.863,
0.873,0.871,1,0.871,
0.877,0.876,1,0.875,
0.862,0.861,1,0.858,
0.863,0.862,1,0.862,
0.861,0.86,1,0.84,
0.891,0.889,1,0.889,
0.861,0.86,1,0.847,
0.868,0.865,1,0.864,
0.866,0.865,1,0.822,
0.865,0.863,1,0.863,
0.854,0.853,1,0.845,
0.994,0.995,1,0.947,
0.866,0.864,1,0.864,
0.865,0.864,1,0.856,
0.863,0.861,1,0.86,
0.875,0.874,1,0.826,
0.866,0.865,1,0.865,
0.865,0.864,1,0.864,
0.886,0.884,1,0.884,
0.866,0.864,1,0.864,
0.863,0.862,1,0.859,
0.894,0.893,1,0.893,
0.875,0.885,1,0.862,
0.864,0.863,1,0.862,
0.864,0.862,1,0.84,
0.876,0.874,1,0.874,
0.857,0.857,1,0.746,
0.866,0.864,1,0.863,
0.866,0.864,1,0.864,
0.902,0.901,1,0.9,
0.876,0.874,1,0.874,
0.866,0.864,1,0.862,
0.866,0.864,1,0.863,
0.866,0.864,1,0.863,
0.865,0.863,1,0.863,
0.899,0.893,1,0.893,
0.866,0.864,1,0.862,
0.899,0.898,1,0.898,
0.869,0.863,1,0.863,
0.863,0.861,1,0.86,
0.864,0.863,1,0.863,
0.911,0.91,1,0.91,
0.865,0.863,1,0.863,
0.866,0.864,1,0.864,
0.866,0.864,1,0.863,
0.865,0.863,1,0.863,
0.866,0.864,1,0.864,
0.884,0.882,1,0.882,
0.9,0.899,1,0.891,
0.864,0.863,1,0.863,
0.871,0.869,1,0.869,
