

Data analysis for each instance 
AVG,MED,MAX,MIN
0.422,0.413,1,0.413,
0.437,0.43,1,0.405,
0.437,0.432,1,0.421,
0.465,0.458,1,0.432,
0.429,0.422,1,0.399,
0.432,0.426,1,0.407,
0.464,0.446,1,0.434,
0.485,0.485,1,0.421,
0.406,0.396,1,0.396,
0.419,0.417,1,0.394,
0.457,0.461,1,0.428,
0.415,0.411,1,0.392,
0.504,0.511,1,0.454,
0.383,0.376,1,0.376,
0.42,0.41,1,0.407,
0.465,0.458,1,0.417,
0.419,0.412,1,0.412,
0.453,0.444,1,0.412,
0.413,0.405,1,0.386,
0.445,0.442,1,0.406,
0.447,0.438,1,0.407,
0.41,0.4,1,0.4,
0.396,0.388,1,0.388,
0.438,0.432,1,0.399,
0.41,0.402,1,0.402,
0.506,0.504,1,0.433,
0.497,0.498,1,0.449,
0.413,0.403,1,0.403,
0.401,0.393,1,0.393,
0.394,0.385,1,0.385,
0.393,0.386,1,0.386,
0.493,0.488,1,0.459,
0.471,0.47,1,0.407,
0.451,0.44,1,0.432,
0.424,0.413,1,0.413,
0.514,0.512,1,0.431,
0.454,0.453,1,0.402,
0.423,0.412,1,0.412,
0.434,0.423,1,0.406,
0.44,0.433,1,0.406,
0.48,0.486,1,0.431,
0.425,0.419,1,0.407,
0.418,0.405,1,0.405,
0.458,0.453,1,0.414,
0.397,0.39,1,0.39,
0.486,0.484,1,0.464,
0.401,0.392,1,0.392,
0.435,0.43,1,0.402,
0.503,0.5,1,0.45,
0.412,0.403,1,0.403,
0.407,0.398,1,0.398,
0.465,0.458,1,0.424,
0.418,0.409,1,0.409,
0.415,0.407,1,0.407,
0.491,0.483,1,0.442,
0.401,0.392,1,0.388,
0.411,0.404,1,0.404,
0.443,0.453,1,0.397,
0.502,0.492,1,0.489,
0.455,0.458,1,0.408,
0.476,0.468,1,0.441,
0.464,0.457,1,0.42,
0.51,0.506,1,0.463,
0.428,0.424,1,0.41,
0.465,0.45,1,0.415,
0.433,0.413,1,0.407,
0.384,0.377,1,0.377,
0.473,0.463,1,0.425,
0.419,0.412,1,0.412,
0.434,0.432,1,0.406,
0.435,0.428,1,0.405,
0.419,0.41,1,0.403,
0.462,0.453,1,0.452,
0.463,0.458,1,0.419,
0.398,0.389,1,0.389,
0.399,0.385,1,0.385,
0.457,0.467,1,0.417,
0.47,0.466,1,0.415,
0.426,0.409,1,0.406,
0.397,0.387,1,0.387,
0.479,0.475,1,0.423,
0.42,0.41,1,0.391,
0.391,0.384,1,0.384,
0.492,0.489,1,0.404,
0.501,0.495,1,0.437,
0.428,0.429,1,0.397,
0.426,0.418,1,0.397,
0.461,0.458,1,0.418,
0.419,0.411,1,0.406,
0.442,0.435,1,0.435,
0.421,0.412,1,0.397,
0.45,0.441,1,0.413,
0.418,0.402,1,0.402,
0.435,0.429,1,0.421,
0.422,0.415,1,0.415,
0.396,0.388,1,0.388,
0.417,0.408,1,0.405,
0.441,0.435,1,0.415,
0.42,0.42,1,0.4,
0.451,0.442,1,0.401,
0.49,0.487,1,0.424,
0.463,0.453,1,0.422,
0.42,0.415,1,0.397,
0.429,0.421,1,0.411,
0.394,0.386,1,0.386,
0.455,0.458,1,0.429,
0.418,0.413,1,0.401,
0.402,0.393,1,0.393,
0.462,0.456,1,0.453,
0.467,0.46,1,0.413,
0.498,0.493,1,0.493,
0.471,0.464,1,0.429,
0.485,0.476,1,0.416,
0.398,0.389,1,0.389,
0.505,0.509,1,0.452,
0.44,0.414,1,0.404,
0.494,0.495,1,0.414,
0.414,0.406,1,0.401,
0.477,0.469,1,0.402,
0.468,0.46,1,0.46,
0.418,0.407,1,0.407,
0.405,0.397,1,0.397,
0.396,0.386,1,0.386,
0.398,0.39,1,0.39,
0.402,0.392,1,0.392,
0.394,0.388,1,0.386,
0.497,0.493,1,0.461,
0.436,0.429,1,0.414,
0.47,0.465,1,0.433,
0.438,0.429,1,0.405,
0.478,0.474,1,0.451,
0.42,0.415,1,0.409,
0.502,0.506,1,0.446,
0.405,0.397,1,0.397,
0.456,0.452,1,0.43,
0.466,0.45,1,0.421,
0.441,0.426,1,0.413,
0.41,0.402,1,0.397,
0.391,0.384,1,0.382,
0.491,0.484,1,0.442,
0.389,0.379,1,0.379,
0.514,0.511,1,0.417,
0.431,0.414,1,0.397,
0.487,0.493,1,0.44,
0.41,0.401,1,0.401,
0.515,0.521,1,0.446,
0.401,0.392,1,0.392,
0.404,0.395,1,0.395,
0.465,0.462,1,0.441,
0.401,0.393,1,0.393,
0.441,0.432,1,0.408,
0.464,0.453,1,0.421,
0.408,0.402,1,0.4,
0.403,0.393,1,0.393,
0.496,0.491,1,0.433,
0.397,0.388,1,0.388,
0.45,0.44,1,0.428,
0.423,0.415,1,0.415,
0.446,0.432,1,0.423,
0.457,0.45,1,0.45,
0.405,0.396,1,0.396,
0.479,0.474,1,0.47,
0.51,0.511,1,0.437,
0.46,0.459,1,0.393,
0.406,0.395,1,0.395,
0.455,0.448,1,0.448,
0.491,0.489,1,0.44,
0.515,0.51,1,0.462,
0.413,0.406,1,0.406,
0.466,0.462,1,0.42,
0.418,0.404,1,0.401,
0.483,0.484,1,0.425,
0.44,0.434,1,0.428,
0.421,0.415,1,0.406,
0.498,0.505,1,0.424,
0.442,0.433,1,0.397,
0.402,0.392,1,0.39,
0.479,0.475,1,0.453,
0.482,0.476,1,0.419,
0.464,0.451,1,0.413,
0.392,0.384,1,0.384,
0.447,0.442,1,0.424,
0.45,0.445,1,0.419,
0.481,0.472,1,0.45,
0.459,0.455,1,0.427,
0.492,0.484,1,0.426,
0.438,0.431,1,0.425,
0.457,0.471,1,0.399,
0.457,0.451,1,0.451,
0.491,0.485,1,0.447,
0.396,0.388,1,0.388,
0.486,0.485,1,0.428,
0.492,0.486,1,0.483,
0.417,0.406,1,0.406,
0.431,0.422,1,0.414,
0.392,0.384,1,0.384,
0.441,0.432,1,0.417,
0.491,0.486,1,0.449,
0.427,0.404,1,0.404,
0.404,0.396,1,0.394,
0.435,0.439,1,0.412,
0.432,0.424,1,0.406,
0.384,0.377,1,0.377,
0.476,0.472,1,0.407,
0.489,0.485,1,0.433,
0.456,0.452,1,0.426,
0.498,0.487,1,0.443,
0.434,0.423,1,0.419,
0.414,0.399,1,0.399,
0.404,0.396,1,0.395,
0.441,0.442,1,0.406,
0.505,0.504,1,0.446,
0.474,0.455,1,0.455,
0.457,0.459,1,0.408,
0.468,0.461,1,0.42,
0.488,0.48,1,0.434,
0.536,0.533,1,0.483,
0.457,0.446,1,0.429,
0.425,0.418,1,0.405,
0.374,0.366,1,0.366,
0.455,0.45,1,0.405,
0.411,0.397,1,0.397,
0.456,0.449,1,0.438,
0.484,0.48,1,0.463,
0.451,0.439,1,0.399,
0.407,0.399,1,0.399,
0.493,0.487,1,0.457,
0.382,0.374,1,0.374,
0.436,0.431,1,0.409,
0.436,0.421,1,0.412,
0.469,0.462,1,0.436,
0.439,0.449,1,0.403,
0.448,0.44,1,0.432,
0.441,0.435,1,0.398,
0.419,0.414,1,0.409,
0.416,0.406,1,0.399,
0.4,0.392,1,0.392,
0.432,0.427,1,0.398,
0.483,0.468,1,0.44,
0.387,0.378,1,0.378,
0.448,0.436,1,0.421,
0.429,0.424,1,0.42,
0.416,0.407,1,0.404,
0.468,0.465,1,0.411,
0.5,0.498,1,0.446,
0.44,0.433,1,0.413,
0.395,0.389,1,0.384,
0.442,0.436,1,0.406,
0.491,0.495,1,0.414,
0.41,0.402,1,0.399,
0.476,0.47,1,0.461,
0.471,0.466,1,0.426,
0.412,0.408,1,0.394,
0.408,0.399,1,0.399,
0.418,0.411,1,0.401,
0.518,0.511,1,0.498,
0.451,0.45,1,0.413,
0.468,0.453,1,0.425,
0.414,0.4,1,0.399,
0.479,0.476,1,0.451,
0.431,0.424,1,0.422,
0.406,0.397,1,0.397,
0.403,0.393,1,0.393,
0.446,0.44,1,0.414,
0.448,0.442,1,0.408,
0.471,0.466,1,0.419,
0.461,0.453,1,0.453,
0.497,0.496,1,0.424,
0.445,0.436,1,0.402,
0.453,0.449,1,0.397,
0.387,0.373,1,0.373,
0.366,0.359,1,0.359,
0.407,0.405,1,0.387,
0.396,0.389,1,0.387,
0.379,0.37,1,0.367,
0.374,0.364,1,0.364,
0.447,0.446,1,0.374,
0.386,0.378,1,0.378,
0.372,0.364,1,0.364,
0.377,0.369,1,0.369,
0.425,0.415,1,0.373,
0.385,0.375,1,0.375,
0.44,0.434,1,0.403,
0.381,0.373,1,0.371,
0.398,0.392,1,0.39,
