

Data analysis for each instance 
AVG,MED,MAX,MIN
46216.1,45334.5,56931,40594,
42802.1,42511,51582,38720,
39381.1,38697.5,48244,36345,
49880.4,49397.5,61743,44324,
41139.2,40521,50217,36762,
55131.2,54129.5,67287,51343,
54809.6,52835,68338,51478,
54910.6,54091,67175,49434,
35954.3,36081,42782,32505,
48583.5,47529.5,58377,44839,
34584.1,33774.5,41053,32640,
59135.1,57362.5,77519,53610,
38858,38276.5,47776,35232,
49975,49566,61963,43413,
35782.8,34614.5,45265,33143,
38336.5,38180.5,46432,34531,
45301.3,44331.5,54468,41785,
47779.7,47186,57373,43878,
58579.4,57766.5,73467,50882,
30365.8,29736.5,36175,29113,
57584.8,56937.5,70306,48698,
38836.9,38306,46806,34843,
44791.7,45082.5,56637,38579,
43331,42760,53669,38439,
52543.9,52374,65288,46889,
38010.6,37872.5,48761,33128,
55728.1,54553,68235,51149,
42285.7,41952.5,50976,39353,
36303.9,35437,45677,32019,
44932.2,44628.5,54174,41104,
41316.6,40563.5,49113,37809,
81650.9,80443,99853,71641,
73105.3,72526.5,95168,52839,
36379,36074,44613,32723,
55602.7,54945,68023,48397,
46532,47145,55436,38666,
53773.9,52698,65597,49606,
65615.1,65579.5,84288,55197,
67375.9,69278.5,85331,49350,
53299.4,52246.5,66377,46346,
60784.9,58397.5,77880,53103,
41933.3,40941.5,52024,36518,
70931.3,69390.5,93574,62389,
46143.2,45700.5,57098,40895,
51292.9,49351,65904,43262,
33735.3,33546,40286,30903,
61429.4,60673,75128,54551,
60848,59622,76495,55324,
36209.8,35063.5,45400,33184,
43425.8,44515.5,56249,33718,
45652.9,45184,55489,41143,
48577.5,47550,58177,45394,
50135.4,48313.5,63326,45763,
56840.2,56613,68306,52533,
50004.4,49362.5,60675,44961,
55373.1,54707.5,68357,49591,
46323.4,44581,57739,40470,
42698,41611,53338,38567,
55592,53427,73402,47709,
44032.5,42817.5,52960,41864,
68445.8,71230,94635,41049,
44130.7,45128,54190,33508,
49635.8,49175.5,61174,44197,
61981.7,60359.5,77164,54331,
53354.2,51789.5,64282,50489,
61841.1,60075.5,80754,55782,
40906.2,41052.5,49130,37310,
50851.1,49672.5,62730,46968,
64459.5,62976.5,81486,59238,
75224,74994.5,94853,57880,
32022.1,31386.5,38621,29028,
36296.6,35269,43343,33466,
39275.1,38291.5,46897,36844,
65234.6,65423,85227,46943,
49165,48525,58430,44890,
71081.9,71431.5,87178,62155,
41942.8,41693,52489,37619,
57209.1,56176,71829,51378,
39977.4,39297.5,48476,36466,
34996.2,35737.5,42590,30873,
50197.7,48726.5,63093,46652,
36191.4,35837.5,41963,34803,
48042.1,47346.5,59619,42824,
32051.5,31667,39143,29731,
43206.7,42748,52287,39987,
62414.4,61357.5,78154,57747,
47257.5,47135,56543,41329,
52419.2,51333.5,63515,48755,
70553.2,68123,92958,56882,
34088.3,34034,41659,30150,
55422.1,54861.5,67597,50691,
42349.4,44400,53372,34893,
51963.8,50193,64156,47572,
56964.6,56468.5,72760,49679,
55922,55324,70035,46920,
31515.9,30765.5,39400,29435,
43985.5,42406,55215,39313,
53501.5,52192,65938,48233,
54125,53976,66265,46880,
63820.6,63270.5,79128,51050,
62148.8,60634.5,78965,52759,
51114.4,50407,62286,46192,
38800.7,37558.5,47903,36058,
67893.8,68266,85692,51618,
44275.5,43963,52090,39500,
42800.8,42521.5,51353,37712,
64653.6,60880.5,82666,57940,
57742.3,56611.5,69093,52785,
32835,32717,40058,29376,
43951.6,42568.5,53452,39537,
52098,53306.5,65084,44518,
55931.9,56030,72015,42316,
51734.9,49693.5,66354,46119,
42200.8,40864.5,53382,37859,
38403.6,37388.5,46725,35869,
50276.1,50810,61056,43104,
61963.5,60458,75318,56235,
58500.1,55202.5,77063,52431,
46287.4,45777.5,56547,42252,
49879,50431,64797,41237,
41612.4,41478,50125,37816,
41654.9,41567.5,51507,36658,
36669.1,36120,46182,32191,
47793.1,47025.5,57603,42474,
47585.5,46067,59732,42367,
40943.4,41797,49636,33126,
45413.8,44571,55699,41862,
38009.5,37655.5,45157,35389,
42616.5,41512.5,50880,40684,
52906.7,52054,64374,46404,
42537.8,42176,51800,38042,
62156.2,61358.5,78010,54922,
75909.7,72964,101347,64223,
48579.2,47322.5,60523,43842,
36718.8,37278.5,45163,31082,
59080.1,57449,75653,51696,
76880.5,72872.5,104912,64405,
47561.7,46712.5,57720,44661,
54961,54608,72857,43821,
63936.7,62267.5,81650,57193,
51032.7,49828.5,64630,44200,
73101.5,74809,91179,48646,
57012.5,57357.5,71040,49797,
63940.1,64627,82871,54299,
52906.1,52048.5,67698,47519,
46555.4,46502,56216,41738,
47903.8,47020.5,56619,44642,
51228.1,51253,63540,46145,
64945.7,63918.5,81492,59073,
54745.2,53455.5,68232,50075,
29323.8,26984.5,39814,24922,
41366.8,40997,50344,36266,
47496.6,46666.5,58881,41879,
45389.1,44496.5,57686,40622,
43605.3,42290,54543,39353,
52909.5,50508.5,65773,48247,
39762.1,39391,49798,36130,
44715.2,43849.5,54516,39962,
33996.6,32839,41806,31637,
42786.3,42762.5,51624,38022,
48569.6,47965,58913,44536,
62013,60987.5,75951,56126,
63782.5,62362,80049,53330,
50894.8,49278,63626,43006,
69729.4,67732,90711,54506,
45630.1,44930.5,55014,41576,
55128,53277.5,69141,49180,
52110.8,52057,70988,38146,
47249.7,45543.5,60205,44059,
61345.1,60223.5,77598,55417,
50043.6,49264.5,61329,43892,
53864.5,51804.5,71313,46490,
69001,66234,88733,56336,
41725.9,41068.5,50354,38480,
51910.7,51327.5,65121,44296,
52329,51650.5,67336,43666,
70394,71029.5,94060,52776,
44212.8,43480.5,53642,40256,
56707.7,56005.5,68252,51334,
43578,42884.5,52282,39927,
65960.6,65434,84219,52758,
54394,53980,70393,46378,
35936.5,35001,44914,31556,
49446.4,48384,61398,43995,
41059.8,38736,51239,37300,
41215.8,40049.5,50513,37826,
39268.6,40763.5,49259,32565,
80196.6,81862,106340,60027,
82917.7,81390,109987,67503,
38633.6,38621,47246,33942,
70200.1,68161,93400,61533,
78965.3,76313.5,101750,68085,
36821.4,36110,45851,33180,
77446.2,79733.5,101114,57450,
58715.4,57763,71280,50961,
54702.8,53586,64672,52152,
40816,39978,51730,36174,
41211.7,40698.5,51308,36446,
48059,47534,59811,44144,
54086.6,52403,67729,46632,
39809.8,39464.5,48734,36227,
48331.9,48330,62107,41573,
42048.9,41772.5,50792,36318,
48725.8,46920.5,64712,43780,
51380.6,48993.5,66059,46237,
65528.3,63450,85557,56892,
39730.2,39604,48990,33152,
51948.5,51920.5,63692,46666,
64869.9,62887,84375,57726,
48275.8,48013.5,58557,43871,
55319.6,53458.5,69601,48567,
40323.4,39400.5,50769,36465,
58638.3,57252,71882,54523,
56920.5,55766,73193,51757,
56962,58072,71643,47446,
48860.4,48106.5,59566,45247,
44928.8,44721,56940,35723,
57850.7,56757,72736,51389,
38009,38101.5,45941,33586,
53090.8,52199,68677,40769,
119745,121069.5,157937,85128,
53182.7,51690,65705,48021,
54664.7,53964.5,67017,48070,
56745.2,57446,70830,49430,
36005.2,35511.5,42323,33532,
48289.2,47602,61836,41180,
61517,61662,77133,48646,
33453.1,31677,42523,29888,
41938.2,41121,51396,38091,
55633.6,54548.5,69035,49058,
41011.9,39996.5,51328,38234,
57318.7,56007,69504,51094,
51552.1,50993.5,64177,44962,
59059.7,59127,73504,46269,
40718.9,40271,49362,36372,
52028.5,51712,63461,46571,
32210.3,30786.5,42251,28167,
35980.6,36340.5,43787,29868,
56792.7,55332,69757,52603,
29951.8,29787,37091,26687,
52168.5,52436.5,63660,46627,
56681.2,55946,71969,50619,
64284.6,63543.5,84125,53476,
31814.6,30950.5,39636,29589,
49404.6,48642,61247,44717,
30475.1,30014.5,37482,27176,
64468.5,60886.5,85260,57609,
45708.7,43671,59604,39023,
58061.9,56474.5,72286,51635,
45499,44573.5,56499,41474,
67617.7,68367.5,90691,52812,
45653.3,45471,57559,39210,
40292,40702,49474,31271,
53504.6,52380,68027,45796,
46160.4,46152,55240,41666,
45578.3,44738,55403,41368,
35134.6,34354.5,42961,32096,
42443.1,41784.5,51810,37260,
39635,39384.5,48179,35236,
50916.2,50599.5,61403,47094,
33540.9,33242,40902,30740,
56237.5,55413,68144,52508,
49254.5,48602.5,62998,40433,
57573.9,56841.5,72809,48934,
39372,38431,49551,35279,
44679.6,44106,53663,41303,
53231.2,51915,65948,48442,
45447.2,45448,55967,40022,
32604.6,32845.5,39539,28327,
54107.1,53799,66951,45722,
38535.2,37904,48480,35279,
40807.2,40417.5,49967,37234,
50527.8,49662,61375,47842,
51914.4,51550,64079,46624,
41708.9,41650,51145,35873,
68155.8,68714.5,85204,58427,
55919.9,54381,70208,49436,
52384.1,52052.5,62216,47446,
35005.7,34253,44512,32369,
51553.6,50479,63137,47518,
38636.6,39174.5,49773,32039,
42031.5,41185,51035,39317,
43239.9,42465,52024,39636,
52412.1,51585.5,64716,46454,
50895.7,50075.5,62188,46134,
55875.8,54181.5,73113,48896,
50637,50942,62604,44582,
43365.2,42578.5,51884,41477,
60966.2,60222,75435,54418,
49527.4,48711,62624,43635,
44706.3,44071.5,55056,40205,
49509.3,49443,60120,43848,
57181,56567.5,70556,50760,
36571.5,35689,45020,34104,
43704.5,43040.5,53918,39174,
47437.1,47324,60137,40695,
60541.6,58489,75388,56224,
55227.1,54724.5,69333,46544,
63259,62216,78628,58869,
50805.6,49662,62330,45606,
52063.6,51958,63849,47570,
57283.9,57039.5,73277,46136,
51631,50369,63863,46991,
73134.2,74394,95652,44787,
72528.5,74983,92246,53537,
46088,44561.5,56945,40129,
46707.1,46436.5,60321,39606,
51712.5,50173.5,63401,47946,
39626.7,39721.5,47840,35689,
46860,46040,58031,43408,
57839.6,56643.5,73527,50486,
41604.3,40646,52267,37444,
47489.8,46936.5,56713,43387,
52992.9,53651.5,67086,41866,
54439.1,52418.5,66492,50959,
38700.3,37843.5,47678,35431,
32606.9,32060.5,39998,30117,
54290.9,53170,66139,51207,
81260.3,75472,114981,62523,
50410.9,49371,61238,46267,
46416.6,45305,55689,43834,
58953.1,58047.5,73237,53821,
79002.6,78732.5,99832,62590,
51787.2,50347.5,64950,45973,
56630.2,54466.5,74457,50865,
58406.5,55722.5,75529,51351,
47181.6,45715,58510,44159,
63044.6,61528,86358,51778,
60645,60459.5,75861,47988,
41444.7,41276,52361,36876,
76470.5,73978.5,102616,66515,
40051.8,39011.5,48975,36447,
53117.1,52566.5,65813,47769,
50861.9,49912,62963,44612,
37943.1,37204,45651,36028,
58957.9,57305.5,76304,49026,
61535.6,60797,79972,53011,
35501.6,35273,44024,31379,
53662,53726.5,65494,47975,
46315.8,45689,55437,41381,
39723.9,39417.5,48858,36153,
49342,49092,61480,42863,
46380.1,46063,56461,39454,
50153.3,51276.5,61702,43493,
38678.1,37480,49544,33659,
46237.8,45265.5,56363,42629,
61352,59588.5,78561,55532,
54447.9,53628,65808,49730,
37709.3,37336.5,44141,34769,
32564.2,31640,40007,29464,
48965,48982,60275,44039,
67121.9,67935,85801,49552,
49794.6,50315.5,63362,41335,
45047.7,44877.5,54905,40662,
50956.9,49344,62338,47366,
58627.9,57316.5,76986,47361,
31860.3,31441,38614,29714,
69129.9,68676,87773,58769,
36850.3,36367,45807,31903,
40358.2,40348,49526,35774,
53679.4,54739.5,67974,44113,
46824.8,46186.5,57353,42578,
41733.1,40848.5,50168,39406,
30185.1,29565,37337,27767,
53525.1,52979,67316,47996,
57397.6,57101,72530,47617,
46909.1,47261,56870,41328,
46912.7,46240,57062,42748,
35913.7,35347,44395,30175,
72486,74001.5,97456,61118,
47281.9,46121.5,57682,44644,
50367.6,49948,61305,46474,
46867.8,46059,57712,43070,
31727.2,33213.5,40037,25560,
64467.4,63370.5,77531,60612,
41582.9,40503,50652,38366,
86199.8,86471,108740,71893,
45191.2,45063,52175,41194,
45838.8,44758,55783,42192,
53672.5,52757,67923,48642,
79986.9,76622,105588,70054,
54623.8,54359,70091,44847,
38762.2,37991,46855,35008,
51480.8,51356,63530,45746,
31131.2,30631.5,40055,28308,
41756.3,41382,52615,37471,
59495.5,58926.5,77043,52494,
60426.8,60048,75373,52561,
40210.4,39228,49623,34778,
48836.3,47246,62172,43662,
68736.4,67287,87114,55121,
55702.4,53698.5,69080,51712,
38774.9,37965.5,46263,37036,
50627.1,49464.5,62702,45681,
48080.5,47107,58002,43239,
59414.2,58565.5,74864,51258,
