

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.06,-0.044,0.005,-0.149,
-0.103,-0.107,0,-0.217,
-0.074,-0.06,0,-0.223,
-0.117,-0.111,0,-0.204,
-0.101,-0.091,0,-0.313,
-0.101,-0.09,0,-0.231,
-0.073,-0.06,0,-0.161,
-0.09,-0.052,0,-0.188,
-0.104,-0.11,0,-0.199,
-0.101,-0.117,0,-0.177,
-0.074,-0.045,0,-0.198,
-0.1,-0.102,0,-0.189,
-0.092,-0.09,0,-0.165,
-0.111,-0.095,0,-0.252,
-0.107,-0.123,0,-0.206,
-0.066,-0.05,0,-0.248,
-0.178,-0.193,0,-0.311,
-0.138,-0.152,0,-0.247,
-0.14,-0.123,0,-0.294,
-0.096,-0.087,0,-0.167,
-0.087,-0.077,0,-0.184,
-0.147,-0.129,0,-0.292,
-0.111,-0.127,0,-0.2,
-0.13,-0.115,0,-0.27,
-0.125,-0.12,0,-0.185,
-0.1,-0.123,0,-0.163,
-0.075,-0.058,0,-0.208,
-0.081,-0.077,0,-0.159,
-0.068,-0.058,0,-0.164,
-0.085,-0.1,0,-0.144,
-0.184,-0.189,0,-0.368,
-0.123,-0.127,0,-0.225,
-0.121,-0.129,0,-0.193,
-0.114,-0.101,0,-0.232,
-0.074,-0.075,0,-0.128,
-0.109,-0.111,0,-0.246,
-0.101,-0.074,0,-0.27,
-0.116,-0.112,0,-0.226,
-0.073,-0.061,0,-0.211,
-0.112,-0.107,0,-0.188,
-0.095,-0.096,0,-0.176,
-0.156,-0.167,0,-0.253,
-0.092,-0.064,0,-0.279,
-0.095,-0.099,0,-0.188,
-0.164,-0.163,0,-0.281,
-0.158,-0.165,0,-0.294,
-0.096,-0.093,0,-0.219,
-0.07,-0.066,0,-0.16,
-0.073,-0.07,0,-0.204,
-0.159,-0.174,0,-0.266,
-0.124,-0.131,0,-0.218,
-0.143,-0.145,0,-0.297,
-0.169,-0.185,0,-0.261,
-0.114,-0.094,0,-0.262,
-0.1,-0.073,0,-0.233,
-0.128,-0.14,0,-0.196,
-0.11,-0.116,0,-0.218,
-0.025,-0.015,0,-0.111,
-0.115,-0.135,0,-0.197,
-0.093,-0.085,0,-0.176,
-0.126,-0.12,0,-0.257,
-0.153,-0.138,0.005,-0.329,
-0.14,-0.118,0,-0.319,
-0.114,-0.102,0,-0.267,
-0.079,-0.093,0,-0.162,
-0.095,-0.099,0,-0.188,
-0.168,-0.186,0,-0.297,
-0.087,-0.085,0,-0.214,
-0.101,-0.07,0,-0.25,
-0.058,-0.047,0.034,-0.264,
-0.038,-0.025,0,-0.125,
-0.099,-0.119,0,-0.166,
-0.078,-0.064,0,-0.144,
-0.092,-0.082,0,-0.223,
-0.173,-0.17,0,-0.358,
-0.126,-0.131,0,-0.206,
-0.142,-0.153,0,-0.245,
-0.112,-0.108,0,-0.343,
-0.108,-0.085,0,-0.244,
-0.087,-0.076,0,-0.229,
-0.162,-0.184,0,-0.257,
-0.113,-0.072,0,-0.271,
-0.15,-0.168,0,-0.314,
-0.07,-0.07,0,-0.183,
-0.136,-0.148,0,-0.258,
-0.14,-0.119,0,-0.291,
-0.072,-0.067,0,-0.163,
-0.134,-0.147,0,-0.233,
-0.154,-0.161,0,-0.243,
-0.101,-0.105,0,-0.192,
-0.091,-0.098,0,-0.179,
-0.088,-0.094,0,-0.186,
-0.166,-0.154,0,-0.298,
-0.076,-0.074,0,-0.163,
-0.126,-0.117,0,-0.205,
-0.112,-0.1,0,-0.287,
-0.136,-0.103,0,-0.271,
-0.172,-0.172,0,-0.405,
-0.126,-0.108,0,-0.269,
-0.157,-0.157,0,-0.329,
-0.136,-0.138,0,-0.235,
-0.125,-0.126,0,-0.226,
-0.149,-0.161,0,-0.225,
-0.166,-0.194,0,-0.295,
-0.097,-0.099,0,-0.227,
-0.096,-0.123,0,-0.21,
-0.079,-0.072,0.145,-0.279,
-0.153,-0.182,0,-0.25,
-0.071,-0.061,0,-0.215,
-0.165,-0.169,0,-0.234,
-0.191,-0.186,0,-0.333,
-0.098,-0.097,0,-0.202,
-0.147,-0.165,0,-0.285,
-0.148,-0.147,0,-0.232,
-0.09,-0.095,0,-0.179,
-0.054,-0.05,0,-0.112,
-0.098,-0.089,0,-0.215,
-0.112,-0.115,0,-0.202,
-0.1,-0.083,0,-0.271,
-0.101,-0.091,0,-0.224,
-0.094,-0.1,0,-0.199,
-0.089,-0.091,0,-0.177,
-0.052,-0.046,0,-0.123,
-0.099,-0.077,0.006,-0.28,
-0.108,-0.106,0,-0.223,
-0.09,-0.079,0,-0.171,
-0.115,-0.126,0,-0.202,
-0.061,-0.045,0,-0.163,
-0.172,-0.178,0,-0.358,
-0.147,-0.167,0,-0.184,
-0.084,-0.068,0,-0.201,
-0.14,-0.15,0,-0.279,
-0.118,-0.113,0,-0.241,
-0.147,-0.13,0,-0.3,
-0.091,-0.087,0.065,-0.274,
-0.074,-0.061,0,-0.172,
-0.165,-0.169,0,-0.284,
-0.115,-0.118,0,-0.262,
-0.117,-0.144,0,-0.194,
-0.09,-0.103,0,-0.211,
-0.129,-0.15,0,-0.175,
-0.044,-0.034,0,-0.118,
-0.09,-0.073,0,-0.215,
-0.14,-0.133,0,-0.315,
-0.161,-0.162,0,-0.283,
-0.095,-0.098,0,-0.192,
-0.099,-0.084,0,-0.221,
-0.142,-0.137,0,-0.257,
-0.054,-0.045,0,-0.196,
-0.077,-0.072,0,-0.215,
-0.122,-0.105,0,-0.273,
-0.125,-0.132,0,-0.275,
-0.078,-0.083,0,-0.147,
-0.079,-0.079,0,-0.19,
-0.1,-0.102,0,-0.187,
-0.125,-0.109,0,-0.335,
-0.076,-0.063,0,-0.186,
-0.125,-0.138,0,-0.223,
-0.077,-0.085,0,-0.125,
-0.174,-0.199,0,-0.255,
-0.088,-0.083,0,-0.234,
-0.069,-0.038,0.09,-0.242,
-0.181,-0.182,0,-0.315,
-0.102,-0.106,0,-0.215,
-0.1,-0.084,0,-0.278,
-0.092,-0.083,0,-0.222,
-0.13,-0.128,0,-0.299,
-0.148,-0.148,0,-0.279,
-0.105,-0.109,0,-0.225,
-0.082,-0.09,0,-0.129,
-0.143,-0.165,0,-0.262,
-0.06,-0.04,0,-0.156,
