

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.087,-0.098,0,-0.141,
-0.143,-0.158,0,-0.245,
-0.12,-0.106,0,-0.241,
-0.174,-0.182,0,-0.243,
-0.095,-0.106,0,-0.141,
-0.05,-0.055,0,-0.065,
-0.161,-0.168,0,-0.258,
-0.104,-0.113,0,-0.16,
-0.162,-0.175,0,-0.21,
-0.131,-0.159,0,-0.17,
-0.091,-0.104,0,-0.106,
-0.089,-0.089,0,-0.193,
-0.158,-0.177,0,-0.246,
-0.085,-0.094,0,-0.141,
-0.154,-0.147,0,-0.288,
-0.119,-0.132,0,-0.151,
-0.116,-0.111,0,-0.193,
-0.1,-0.099,0,-0.157,
-0.027,-0.019,0.003,-0.083,
-0.142,-0.146,0,-0.261,
-0.132,-0.109,0,-0.222,
-0.017,-0.005,0,-0.091,
-0.129,-0.14,0,-0.191,
-0.096,-0.101,0,-0.139,
-0.071,-0.081,0,-0.083,
-0.098,-0.111,0,-0.154,
-0.117,-0.138,0,-0.139,
-0.122,-0.141,0,-0.2,
-0.124,-0.138,0,-0.172,
-0.145,-0.15,0,-0.22,
-0.192,-0.211,0,-0.226,
-0.105,-0.105,0,-0.204,
-0.057,-0.06,0,-0.097,
-0.103,-0.099,0,-0.177,
-0.144,-0.146,0,-0.211,
-0.149,-0.171,0,-0.209,
-0.074,-0.043,0,-0.208,
-0.143,-0.161,0,-0.171,
-0.143,-0.171,0,-0.172,
-0.154,-0.17,0,-0.293,
-0.158,-0.17,0,-0.209,
-0.112,-0.128,0,-0.139,
-0.15,-0.165,0,-0.214,
-0.091,-0.097,0,-0.153,
-0.184,-0.199,0,-0.311,
-0.107,-0.11,0,-0.162,
-0.137,-0.153,0,-0.179,
-0.185,-0.196,0,-0.297,
-0.101,-0.118,0,-0.125,
-0.098,-0.092,0,-0.185,
-0.13,-0.148,0,-0.18,
-0.119,-0.132,0,-0.134,
-0.116,-0.117,0,-0.181,
-0.153,-0.158,0,-0.268,
-0.076,-0.054,0,-0.183,
-0.086,-0.1,0,-0.118,
-0.042,-0.029,0,-0.121,
-0.159,-0.184,0,-0.213,
-0.149,-0.145,0,-0.231,
-0.123,-0.138,0,-0.152,
-0.111,-0.128,0.005,-0.166,
-0.095,-0.098,0,-0.174,
-0.139,-0.158,0,-0.197,
-0.134,-0.142,0,-0.225,
-0.132,-0.121,0,-0.265,
-0.153,-0.152,0,-0.253,
-0.097,-0.074,0,-0.193,
-0.05,-0.054,0,-0.073,
-0.152,-0.185,0,-0.217,
-0.145,-0.163,0,-0.2,
-0.165,-0.184,0,-0.21,
-0.137,-0.147,0,-0.191,
-0.11,-0.133,0,-0.141,
-0.12,-0.122,0,-0.187,
-0.076,-0.075,0,-0.151,
-0.079,-0.052,0,-0.19,
-0.095,-0.093,0,-0.184,
-0.065,-0.07,0,-0.092,
-0.124,-0.137,0,-0.162,
-0.125,-0.132,0,-0.22,
-0.122,-0.126,0,-0.178,
-0.117,-0.125,0,-0.165,
-0.143,-0.122,0,-0.249,
-0.118,-0.124,0,-0.154,
-0.127,-0.123,0,-0.191,
-0.128,-0.146,0,-0.181,
-0.08,-0.089,0,-0.092,
-0.107,-0.12,0,-0.12,
-0.069,-0.094,0,-0.095,
-0.08,-0.092,0,-0.12,
-0.094,-0.09,0,-0.152,
-0.128,-0.129,0,-0.182,
-0.041,-0.002,0.011,-0.154,
-0.099,-0.105,0,-0.137,
-0.178,-0.205,0,-0.273,
-0.107,-0.116,0,-0.162,
-0.147,-0.167,0,-0.175,
-0.125,-0.112,0,-0.24,
-0.144,-0.161,0,-0.187,
-0.161,-0.2,0,-0.241,
-0.083,-0.096,0,-0.107,
-0.116,-0.132,0,-0.184,
-0.112,-0.116,0,-0.189,
-0.107,-0.119,0,-0.175,
-0.091,-0.05,0,-0.21,
-0.111,-0.113,0,-0.167,
-0.104,-0.125,0,-0.127,
-0.115,-0.12,0,-0.183,
-0.131,-0.131,0,-0.188,
-0.098,-0.095,0,-0.149,
-0.08,-0.083,0,-0.155,
-0.187,-0.217,0,-0.217,
-0.068,-0.069,0,-0.109,
-0.049,-0.051,0,-0.067,
-0.175,-0.185,0,-0.282,
-0.177,-0.196,0,-0.242,
-0.14,-0.141,0,-0.203,
-0.082,-0.073,0,-0.155,
-0.086,-0.105,0,-0.131,
-0.081,-0.06,0,-0.208,
-0.109,-0.118,0,-0.14,
-0.148,-0.169,0,-0.179,
-0.188,-0.207,0,-0.26,
-0.134,-0.144,0,-0.192,
-0.099,-0.126,0.042,-0.15,
-0.125,-0.122,0,-0.235,
-0.109,-0.124,0,-0.172,
-0.165,-0.189,0,-0.205,
-0.059,-0.06,0,-0.101,
-0.102,-0.108,0,-0.173,
-0.14,-0.159,0,-0.191,
-0.134,-0.132,0,-0.194,
-0.174,-0.186,0,-0.265,
-0.125,-0.142,0,-0.19,
-0.11,-0.106,0,-0.225,
-0.111,-0.118,0,-0.207,
-0.111,-0.116,0,-0.154,
-0.12,-0.129,0,-0.208,
-0.148,-0.158,0,-0.205,
-0.093,-0.103,0,-0.115,
-0.182,-0.214,0,-0.214,
-0.134,-0.155,0,-0.156,
-0.087,-0.093,0,-0.124,
-0.122,-0.138,0,-0.164,
-0.093,-0.106,0,-0.139,
-0.2,-0.221,0,-0.249,
-0.131,-0.135,0,-0.21,
-0.082,-0.091,0,-0.099,
-0.125,-0.134,0,-0.183,
-0.153,-0.169,0,-0.225,
-0.091,-0.096,0,-0.122,
-0.116,-0.124,0,-0.163,
-0.07,-0.061,0,-0.131,
-0.157,-0.182,0,-0.212,
-0.13,-0.154,0,-0.157,
-0.084,-0.057,0,-0.223,
-0.06,-0.044,0,-0.134,
-0.102,-0.117,0,-0.129,
-0.06,-0.056,0,-0.097,
-0.072,-0.069,0,-0.148,
-0.079,-0.095,0,-0.098,
-0.192,-0.228,0,-0.269,
-0.088,-0.082,0,-0.15,
-0.129,-0.138,0,-0.187,
-0.09,-0.091,0,-0.13,
-0.116,-0.126,0,-0.155,
-0.112,-0.126,0,-0.16,
-0.151,-0.17,0,-0.207,
-0.134,-0.149,0,-0.164,
-0.129,-0.132,0,-0.196,
-0.176,-0.196,0,-0.208,
-0.183,-0.189,0,-0.302,
-0.147,-0.158,0,-0.201,
-0.115,-0.123,0,-0.178,
-0.097,-0.111,0,-0.124,
-0.133,-0.141,0,-0.229,
-0.111,-0.124,0,-0.151,
-0.101,-0.108,0,-0.201,
-0.095,-0.096,0,-0.166,
-0.118,-0.111,0,-0.209,
-0.137,-0.15,0,-0.221,
-0.093,-0.112,0,-0.112,
-0.136,-0.147,0,-0.179,
-0.113,-0.113,0,-0.207,
-0.131,-0.142,0,-0.186,
-0.111,-0.114,0,-0.168,
-0.09,-0.073,0,-0.156,
-0.141,-0.15,0,-0.228,
-0.099,-0.101,0,-0.174,
-0.081,-0.085,0,-0.137,
-0.077,-0.083,0,-0.146,
-0.086,-0.106,0,-0.109,
-0.121,-0.153,0,-0.153,
-0.134,-0.14,0,-0.178,
-0.141,-0.134,0,-0.219,
-0.089,-0.103,0,-0.104,
-0.06,-0.026,0,-0.163,
-0.122,-0.13,0,-0.253,
-0.059,-0.058,0,-0.189,
-0.097,-0.115,0,-0.115,
-0.179,-0.192,0,-0.253,
-0.081,-0.056,0,-0.209,
-0.107,-0.111,0,-0.161,
-0.164,-0.18,0,-0.194,
-0.127,-0.127,0,-0.191,
-0.125,-0.138,0,-0.155,
-0.103,-0.111,0,-0.18,
-0.041,-0.034,0,-0.113,
-0.097,-0.113,0,-0.113,
-0.116,-0.133,0,-0.156,
-0.076,-0.064,0,-0.18,
-0.098,-0.119,0,-0.119,
-0.097,-0.106,0,-0.181,
-0.166,-0.177,0,-0.221,
-0.114,-0.122,0,-0.17,
-0.136,-0.127,0,-0.247,
-0.039,-0.031,0,-0.088,
-0.129,-0.141,0,-0.167,
-0.054,-0.056,0,-0.084,
-0.101,-0.119,0,-0.12,
-0.07,-0.047,0,-0.198,
-0.136,-0.131,0,-0.202,
-0.143,-0.167,0,-0.178,
-0.161,-0.172,0,-0.226,
-0.096,-0.091,0,-0.189,
-0.091,-0.108,0,-0.109,
-0.082,-0.061,0,-0.209,
-0.07,-0.04,0,-0.196,
-0.053,-0.035,0,-0.108,
-0.104,-0.112,0,-0.161,
-0.102,-0.122,0,-0.122,
-0.057,-0.034,0,-0.131,
