

Data analysis for each instance 
AVG,MED,MAX,MIN
0.545,0.471,1,0.424,
0.558,0.491,1,0.395,
0.556,0.482,1,0.41,
0.563,0.512,1,0.43,
0.547,0.465,1,0.414,
0.567,0.489,1,0.441,
0.565,0.48,1,0.429,
0.574,0.493,1,0.443,
0.561,0.478,1,0.45,
0.589,0.495,1,0.445,
0.571,0.516,1,0.434,
0.561,0.502,1,0.449,
0.557,0.484,1,0.451,
0.567,0.5,1,0.401,
0.565,0.5,1,0.431,
0.542,0.48,1,0.425,
0.571,0.498,1,0.43,
0.569,0.5,1,0.418,
0.572,0.496,1,0.433,
0.558,0.49,1,0.457,
0.549,0.494,1,0.443,
0.553,0.489,1,0.42,
0.564,0.539,1,0.423,
0.554,0.486,1,0.437,
0.585,0.505,1,0.459,
0.563,0.488,0.993,0.472,
0.552,0.481,1,0.43,
0.573,0.528,1,0.45,
0.567,0.489,1,0.45,
0.566,0.485,1,0.428,
0.574,0.508,1,0.448,
0.577,0.496,1,0.457,
0.543,0.493,1,0.406,
0.569,0.508,1,0.462,
0.552,0.481,1,0.419,
0.558,0.511,1,0.439,
0.56,0.497,1,0.442,
0.553,0.484,1,0.415,
0.558,0.5,1,0.436,
0.552,0.499,1,0.376,
0.573,0.498,1,0.453,
0.583,0.494,1,0.432,
0.551,0.482,1,0.419,
0.557,0.5,1,0.449,
0.575,0.499,1,0.451,
0.581,0.505,1,0.461,
0.545,0.464,1,0.413,
0.552,0.491,1,0.424,
0.561,0.488,1,0.437,
0.556,0.515,1,0.42,
0.554,0.502,1,0.405,
0.57,0.498,1,0.422,
0.557,0.489,1,0.439,
0.564,0.486,1,0.442,
0.566,0.5,1,0.452,
0.575,0.5,1,0.456,
0.566,0.497,1,0.451,
0.548,0.518,1,0.406,
0.569,0.5,1,0.452,
0.564,0.532,1,0.416,
0.564,0.492,1,0.432,
0.572,0.5,1,0.434,
0.578,0.495,1,0.468,
0.563,0.496,1,0.424,
0.554,0.489,1,0.422,
0.548,0.504,1,0.396,
0.566,0.497,1,0.469,
0.56,0.49,1,0.449,
0.567,0.487,1,0.433,
0.573,0.5,1,0.466,
0.572,0.5,1,0.448,
0.565,0.514,1,0.429,
0.551,0.489,1,0.431,
0.565,0.512,1,0.466,
0.592,0.526,1,0.456,
0.579,0.494,1,0.455,
0.561,0.483,1,0.431,
0.542,0.468,1,0.402,
0.562,0.5,1,0.463,
0.554,0.484,1,0.409,
0.564,0.489,1,0.463,
0.561,0.495,1,0.447,
0.575,0.49,1,0.427,
0.565,0.491,1,0.456,
0.565,0.5,1,0.441,
0.574,0.508,1,0.449,
0.549,0.488,1,0.436,
0.555,0.49,1,0.43,
0.585,0.528,1,0.467,
0.572,0.54,1,0.457,
0.562,0.493,1,0.438,
0.556,0.502,1,0.45,
0.571,0.501,1,0.413,
0.54,0.472,1,0.416,
0.558,0.493,1,0.411,
0.574,0.5,1,0.462,
0.58,0.5,1,0.47,
0.583,0.5,1,0.45,
0.562,0.492,1,0.43,
0.576,0.526,1,0.471,
0.561,0.487,1,0.391,
0.586,0.5,1,0.473,
0.578,0.498,1,0.474,
0.559,0.477,1,0.449,
0.565,0.497,1,0.411,
0.57,0.499,1,0.417,
0.555,0.491,1,0.452,
0.574,0.497,1,0.444,
