

Data analysis for each instance 
AVG,MED,MAX,MIN
0.229,0.219,0.376,0,
0.242,0.271,0.355,0,
0.226,0.21,0.394,0,
0.246,0.258,0.409,0,
0.218,0.251,0.314,0,
0.159,0.144,0.288,0,
0.291,0.298,0.467,0,
0.339,0.383,0.504,0,
0.26,0.286,0.387,0,
0.283,0.303,0.433,0,
0.315,0.36,0.457,0,
0.249,0.278,0.363,0,
0.398,0.438,0.534,0,
0.347,0.41,0.438,0,
0.272,0.311,0.371,0,
0.28,0.3,0.405,0,
0.334,0.37,0.431,0,
0.226,0.238,0.38,0,
0.379,0.44,0.499,0,
0.282,0.305,0.382,0,
0.356,0.416,0.472,0,
0.318,0.356,0.406,0,
0.249,0.279,0.331,0,
0.394,0.428,0.53,0,
0.366,0.412,0.564,0,
0.273,0.306,0.4,0,
0.327,0.343,0.48,0,
0.267,0.265,0.401,0,
0.366,0.411,0.492,0,
0.386,0.427,0.556,0,
0.31,0.326,0.454,0,
0.328,0.373,0.441,0,
0.377,0.426,0.526,0,
0.242,0.253,0.394,0,
0.299,0.351,0.445,0,
0.369,0.413,0.55,0,
0.342,0.395,0.495,0,
0.305,0.334,0.446,0,
0.297,0.319,0.402,0,
0.297,0.328,0.423,0,
0.286,0.332,0.369,0,
0.365,0.39,0.486,0,
0.382,0.422,0.489,0,
0.381,0.427,0.545,0,
0.261,0.277,0.397,0,
0.331,0.352,0.455,0,
0.325,0.346,0.454,0,
0.404,0.462,0.548,0,
0.265,0.314,0.424,0,
0.321,0.371,0.451,0,
0.358,0.379,0.475,0,
0.333,0.391,0.436,0,
0.291,0.326,0.442,0,
0.3,0.293,0.524,0,
0.378,0.416,0.488,0,
0.323,0.389,0.457,0,
0.193,0.161,0.382,0,
0.296,0.308,0.422,0,
0.221,0.251,0.305,0,
0.393,0.442,0.513,0,
0.36,0.398,0.482,0,
0.179,0.194,0.355,0,
0.216,0.2,0.35,0,
0.212,0.23,0.346,0,
0.245,0.288,0.391,0,
0.207,0.233,0.4,0,
0.393,0.452,0.52,0,
0.175,0.201,0.259,0,
0.24,0.221,0.494,0,
0.305,0.314,0.438,0,
0.346,0.383,0.493,0,
0.365,0.395,0.509,0,
0.357,0.386,0.52,0,
