

Data analysis for each instance 
AVG,MED,MAX,MIN
0.093,0.079,0.227,-0.016,
0.151,0.148,0.271,0,
0.115,0.118,0.224,0,
0.133,0.092,0.331,0,
0.134,0.144,0.391,0,
0.146,0.161,0.263,0,
0.093,0.082,0.253,0,
0.12,0.081,0.291,-0.01,
0.155,0.156,0.285,0,
0.152,0.153,0.33,0,
0.118,0.148,0.259,-0.002,
0.099,0.073,0.3,0,
0.178,0.178,0.337,0,
0.158,0.116,0.325,0,
0.141,0.171,0.274,0,
0.089,0.075,0.248,0,
0.197,0.22,0.31,0,
0.138,0.121,0.345,0,
0.151,0.164,0.272,0,
0.165,0.165,0.304,0,
0.112,0.11,0.263,0,
0.142,0.126,0.271,0,
0.165,0.171,0.3,0,
0.083,0.057,0.262,0,
0.148,0.142,0.292,0,
0.15,0.169,0.25,-0.007,
0.166,0.153,0.3,0,
0.139,0.142,0.258,0,
0.092,0.069,0.253,0,
0.113,0.107,0.307,-0.01,
0.122,0.124,0.321,0,
0.131,0.128,0.275,0,
0.089,0.07,0.217,0,
0.161,0.157,0.288,0,
0.132,0.096,0.31,0,
0.122,0.159,0.227,0,
0.136,0.123,0.288,0,
0.169,0.154,0.303,0,
0.08,0.053,0.241,0,
0.103,0.066,0.287,0,
0.139,0.127,0.288,0,
0.14,0.147,0.251,-0.006,
0.159,0.154,0.346,0,
0.11,0.111,0.343,0,
0.144,0.131,0.241,0,
0.173,0.198,0.336,0,
0.184,0.201,0.323,0,
0.137,0.136,0.307,0,
0.129,0.069,0.37,0,
0.126,0.132,0.239,0,
0.11,0.099,0.283,0,
0.113,0.099,0.25,0,
0.144,0.143,0.33,0,
0.104,0.065,0.374,-0.004,
0.138,0.123,0.281,0,
0.133,0.129,0.303,0,
0.125,0.109,0.297,0,
0.132,0.118,0.297,0,
0.144,0.122,0.349,0,
0.163,0.172,0.276,0,
0.121,0.084,0.359,0,
0.176,0.186,0.353,0,
0.159,0.141,0.327,0,
0.179,0.2,0.303,0,
0.128,0.113,0.338,0,
0.115,0.143,0.234,-0.008,
0.132,0.11,0.258,0,
0.096,0.058,0.295,0,
0.153,0.154,0.362,-0.054,
0.139,0.135,0.313,0,
0.086,0.067,0.237,-0.006,
0.147,0.155,0.24,0,
0.14,0.114,0.263,0,
0.115,0.113,0.274,-0.004,
0.121,0.052,0.331,-0.002,
0.122,0.111,0.291,0,
0.134,0.124,0.28,0,
0.108,0.119,0.21,0,
0.202,0.216,0.357,0,
0.154,0.142,0.297,0,
0.139,0.156,0.249,-0.016,
0.16,0.119,0.342,0,
0.208,0.215,0.371,0,
0.111,0.09,0.306,0,
0.198,0.22,0.273,0,
0.15,0.165,0.306,0,
0.14,0.118,0.352,0,
0.094,0.075,0.303,0,
0.197,0.234,0.348,0,
0.162,0.174,0.355,0,
0.133,0.125,0.262,0,
0.124,0.123,0.217,0,
0.132,0.112,0.349,0,
0.111,0.106,0.252,0,
0.125,0.066,0.311,0,
0.139,0.14,0.368,0,
0.114,0.098,0.327,0,
0.179,0.227,0.37,0,
0.185,0.183,0.345,0,
0.124,0.124,0.253,0,
0.115,0.159,0.239,-0.002,
0.148,0.173,0.311,0,
0.128,0.115,0.244,0,
0.19,0.211,0.317,0,
0.18,0.212,0.328,0,
0.14,0.166,0.285,0,
0.104,0.122,0.204,0,
0.133,0.123,0.29,0,
0.153,0.152,0.262,0,
0.143,0.15,0.389,0,
0.107,0.108,0.273,0,
0.147,0.149,0.333,0,
0.14,0.162,0.231,0,
0.13,0.115,0.325,0,
0.095,0.077,0.288,-0.008,
0.153,0.158,0.324,0,
0.102,0.085,0.281,0,
0.162,0.166,0.314,0,
0.077,0.063,0.262,-0.004,
0.14,0.153,0.241,0,
0.142,0.164,0.225,0,
0.124,0.049,0.297,0,
0.169,0.185,0.252,0,
0.107,0.042,0.348,0,
0.119,0.147,0.24,-0.002,
0.117,0.14,0.254,0,
0.119,0.151,0.288,-0.006,
0.069,0.019,0.265,-0.016,
0.16,0.17,0.315,0,
0.124,0.128,0.326,0,
0.067,0.006,0.266,-0.002,
0.164,0.171,0.309,0,
0.127,0.1,0.26,0,
0.224,0.222,0.395,0,
0.155,0.139,0.381,0,
0.148,0.117,0.275,0,
0.147,0.141,0.286,0,
0.116,0.128,0.215,0,
0.183,0.184,0.317,0,
0.116,0.124,0.267,0,
0.129,0.147,0.288,0,
0.111,0.127,0.259,0,
0.127,0.088,0.354,0,
0.128,0.122,0.331,0,
0.108,0.105,0.299,0,
0.119,0.125,0.236,0,
0.129,0.131,0.25,0,
0.132,0.13,0.312,0,
0.164,0.167,0.321,0,
0.113,0.134,0.216,-0.008,
0.111,0.083,0.288,-0.004,
0.131,0.095,0.354,0,
0.107,0.057,0.318,-0.002,
0.104,0.092,0.292,0,
0.116,0.07,0.294,0,
0.128,0.092,0.338,-0.04,
0.098,0.109,0.198,0,
0.118,0.102,0.342,0,
0.123,0.127,0.288,0,
0.112,0.074,0.321,0,
0.185,0.194,0.388,0,
0.116,0.129,0.241,0,
