

Data analysis for each instance 
AVG,MED,MAX,MIN
0.689,0.649,1,0.587,
0.702,0.677,1,0.592,
0.684,0.661,1,0.592,
0.686,0.647,1,0.592,
0.693,0.657,1,0.633,
0.698,0.67,1,0.599,
0.678,0.653,1,0.608,
0.7,0.684,1,0.581,
0.685,0.661,1,0.608,
0.719,0.69,1,0.636,
0.706,0.675,1,0.648,
0.671,0.639,1,0.576,
0.699,0.668,1,0.622,
0.688,0.659,1,0.59,
0.68,0.651,1,0.6,
0.682,0.646,1,0.582,
0.686,0.65,1,0.6,
0.689,0.672,1,0.59,
0.691,0.667,1,0.588,
0.69,0.662,1,0.591,
0.673,0.645,1,0.583,
0.679,0.641,1,0.596,
0.705,0.693,1,0.585,
0.702,0.673,1,0.626,
0.719,0.688,1,0.642,
0.703,0.677,1,0.637,
0.686,0.661,1,0.62,
0.681,0.648,1,0.602,
0.685,0.646,1,0.591,
0.721,0.689,1,0.634,
0.663,0.622,1,0.527,
0.677,0.644,1,0.574,
0.66,0.619,1,0.581,
0.681,0.653,1,0.599,
0.702,0.673,1,0.591,
0.699,0.665,1,0.626,
0.708,0.688,1,0.606,
0.681,0.657,1,0.578,
0.688,0.637,1,0.58,
0.68,0.651,1,0.595,
0.657,0.621,1,0.581,
0.705,0.681,1,0.639,
0.693,0.669,1,0.618,
0.691,0.659,1,0.589,
0.709,0.675,1,0.598,
0.676,0.661,1,0.526,
0.696,0.67,1,0.581,
0.693,0.667,1,0.581,
0.701,0.671,1,0.619,
0.675,0.643,1,0.589,
0.703,0.679,1,0.6,
0.694,0.663,1,0.587,
0.699,0.681,1,0.589,
0.678,0.643,1,0.597,
0.716,0.683,1,0.657,
0.707,0.677,1,0.635,
0.694,0.667,1,0.561,
0.713,0.685,1,0.645,
0.698,0.673,1,0.591,
0.699,0.677,1,0.605,
0.698,0.671,1,0.617,
0.698,0.669,1,0.595,
0.682,0.639,1,0.581,
0.684,0.652,1,0.586,
0.692,0.663,1,0.585,
0.691,0.639,1,0.567,
0.706,0.694,1,0.58,
0.724,0.706,1,0.632,
0.713,0.69,1,0.621,
0.69,0.658,1,0.608,
0.705,0.67,1,0.648,
0.68,0.64,1,0.597,
0.68,0.653,1,0.599,
0.686,0.66,1,0.574,
0.706,0.688,1,0.587,
0.714,0.696,1,0.606,
0.692,0.662,1,0.622,
0.705,0.681,1,0.628,
0.73,0.706,1,0.654,
0.684,0.641,1,0.569,
0.668,0.635,1,0.568,
0.711,0.684,1,0.574,
0.708,0.689,1,0.622,
0.68,0.641,1,0.583,
0.693,0.661,1,0.621,
0.689,0.657,1,0.611,
0.698,0.665,1,0.623,
0.669,0.641,1,0.577,
0.708,0.681,1,0.566,
0.679,0.635,1,0.619,
0.693,0.665,1,0.611,
0.722,0.7,1,0.655,
0.706,0.675,1,0.607,
0.718,0.683,1,0.623,
0.707,0.672,1,0.619,
0.675,0.655,1,0.586,
0.708,0.679,1,0.641,
0.659,0.627,1,0.574,
0.704,0.665,1,0.639,
0.721,0.703,1,0.629,
0.672,0.635,1,0.602,
0.673,0.615,1,0.578,
0.706,0.673,1,0.627,
0.678,0.648,1,0.595,
0.707,0.688,1,0.59,
0.671,0.63,1,0.583,
0.676,0.65,1,0.587,
0.687,0.67,1,0.565,
0.71,0.684,1,0.638,
0.689,0.669,1,0.595,
0.707,0.675,1,0.629,
0.684,0.651,1,0.587,
0.672,0.647,1,0.554,
0.701,0.667,1,0.62,
0.69,0.673,1,0.58,
0.725,0.712,1,0.578,
0.682,0.663,1,0.577,
0.688,0.672,1,0.571,
0.706,0.677,1,0.644,
0.712,0.691,1,0.623,
0.702,0.67,1,0.607,
0.685,0.651,1,0.604,
0.687,0.666,1,0.557,
0.667,0.647,1,0.569,
0.692,0.663,1,0.599,
0.715,0.685,1,0.654,
0.699,0.667,1,0.622,
0.663,0.629,1,0.54,
0.686,0.659,1,0.574,
0.703,0.678,1,0.619,
0.696,0.675,1,0.596,
0.686,0.649,1,0.609,
0.714,0.695,1,0.61,
0.678,0.653,1,0.578,
0.673,0.641,1,0.578,
0.673,0.641,1,0.557,
0.69,0.661,1,0.6,
0.696,0.657,1,0.57,
0.688,0.639,1,0.627,
0.703,0.665,1,0.628,
0.654,0.605,1,0.548,
0.673,0.643,1,0.559,
0.696,0.66,1,0.642,
0.672,0.651,1,0.594,
0.694,0.667,1,0.596,
0.691,0.658,1,0.604,
0.695,0.669,1,0.612,
0.69,0.663,1,0.613,
0.685,0.669,1,0.564,
0.669,0.625,1,0.604,
0.685,0.655,1,0.556,
0.695,0.659,1,0.58,
0.676,0.659,1,0.545,
0.708,0.681,1,0.599,
0.68,0.651,1,0.541,
0.669,0.643,1,0.574,
0.693,0.659,1,0.608,
0.714,0.682,1,0.637,
0.71,0.681,1,0.634,
0.666,0.637,1,0.581,
0.709,0.664,1,0.623,
0.672,0.653,1,0.578,
0.694,0.657,1,0.568,
0.689,0.669,1,0.603,
0.691,0.664,1,0.569,
0.712,0.686,1,0.64,
0.7,0.663,1,0.584,
0.694,0.657,1,0.623,
0.693,0.667,1,0.611,
0.69,0.664,1,0.612,
0.688,0.656,1,0.601,
0.682,0.653,1,0.582,
0.682,0.654,1,0.591,
0.677,0.653,1,0.562,
0.712,0.682,1,0.626,
0.676,0.629,1,0.592,
0.691,0.659,1,0.577,
0.67,0.638,1,0.59,
0.665,0.639,1,0.561,
0.711,0.686,1,0.62,
0.7,0.668,1,0.619,
0.734,0.704,1,0.655,
0.669,0.647,1,0.551,
0.689,0.653,1,0.603,
0.68,0.645,1,0.582,
0.697,0.669,1,0.604,
0.692,0.661,1,0.601,
0.703,0.685,1,0.59,
0.703,0.669,1,0.622,
0.674,0.639,1,0.568,
0.687,0.658,1,0.615,
0.676,0.648,1,0.569,
0.692,0.656,1,0.617,
0.697,0.676,1,0.611,
0.676,0.638,1,0.569,
0.678,0.643,1,0.576,
0.714,0.686,1,0.616,
0.699,0.665,1,0.624,
0.704,0.679,1,0.621,
0.711,0.71,1,0.578,
0.693,0.679,1,0.587,
0.679,0.665,1,0.54,
0.689,0.651,1,0.58,
0.704,0.681,1,0.613,
0.679,0.636,1,0.586,
0.703,0.673,1,0.602,
0.689,0.655,1,0.581,
0.696,0.669,1,0.616,
0.703,0.685,1,0.588,
0.726,0.705,1,0.645,
0.658,0.619,1,0.543,
0.69,0.668,1,0.565,
0.683,0.658,1,0.542,
0.686,0.663,1,0.584,
0.686,0.659,1,0.6,
0.681,0.653,1,0.592,
0.687,0.661,1,0.575,
0.679,0.651,1,0.581,
0.693,0.677,1,0.619,
0.675,0.641,1,0.559,
0.682,0.655,1,0.592,
0.681,0.653,1,0.584,
0.691,0.669,1,0.565,
0.695,0.669,1,0.592,
0.694,0.663,1,0.609,
0.703,0.682,1,0.598,
0.686,0.649,1,0.601,
0.68,0.653,1,0.565,
0.73,0.702,1,0.664,
0.684,0.654,1,0.576,
0.729,0.721,1,0.629,
0.694,0.667,1,0.567,
0.676,0.643,1,0.605,
0.691,0.653,1,0.611,
0.701,0.677,1,0.605,
0.686,0.653,1,0.597,
0.689,0.665,1,0.562,
0.693,0.673,1,0.578,
0.681,0.643,1,0.597,
0.696,0.649,1,0.589,
0.687,0.669,1,0.594,
0.673,0.635,1,0.587,
0.692,0.66,1,0.595,
0.688,0.649,1,0.561,
0.677,0.657,1,0.565,
0.707,0.688,1,0.583,
0.7,0.671,1,0.626,
0.689,0.665,1,0.603,
0.678,0.665,1,0.57,
0.683,0.653,1,0.585,
0.669,0.631,1,0.595,
0.707,0.675,1,0.628,
0.707,0.665,1,0.626,
0.683,0.658,1,0.616,
0.696,0.663,1,0.618,
0.692,0.667,1,0.611,
0.7,0.679,1,0.624,
