

Data analysis for each instance 
AVG,MED,MAX,MIN
0.894,0.979,1,0.73,
0.753,0.721,1,0.659,
0.898,0.972,1,0.73,
0.864,0.883,1,0.718,
0.875,0.974,1,0.673,
0.859,0.851,1,0.686,
0.835,0.827,1,0.753,
0.795,0.798,1,0.673,
0.822,0.806,1,0.75,
0.741,0.746,1,0.635,
0.835,0.806,1,0.719,
0.833,0.846,1,0.705,
0.842,0.806,1,0.728,
0.758,0.772,1,0.553,
0.892,0.969,1,0.712,
0.859,0.846,1,0.774,
0.78,0.776,1,0.659,
0.831,0.824,1,0.702,
0.853,0.844,1,0.733,
0.859,0.887,1,0.703,
0.858,0.843,1,0.713,
0.845,0.815,1,0.76,
0.739,0.786,1,0.494,
0.694,0.732,1,0.488,
0.822,0.811,1,0.687,
0.818,0.841,1,0.715,
0.853,0.834,1,0.759,
0.799,0.78,0.989,0.742,
0.872,0.833,1,0.78,
0.749,0.796,1,0.511,
0.85,0.833,1,0.695,
0.864,0.838,1,0.757,
0.855,0.861,1,0.735,
0.783,0.798,1,0.646,
0.824,0.875,1,0.614,
0.811,0.801,1,0.703,
0.812,0.804,1,0.769,
0.79,0.788,1,0.696,
0.801,0.8,1,0.686,
0.811,0.792,1,0.72,
0.853,0.857,1,0.751,
0.759,0.776,1,0.59,
0.901,0.974,1,0.73,
0.74,0.784,1,0.492,
0.795,0.782,1,0.667,
0.798,0.764,1,0.69,
0.788,0.792,1,0.705,
0.624,0.708,1,0.356,
0.789,0.754,1,0.679,
0.744,0.762,1,0.546,
0.604,0.686,1,0.27,
0.739,0.747,1,0.56,
0.884,0.919,1,0.707,
0.587,0.647,1,0.335,
0.679,0.696,1,0.46,
0.87,0.964,1,0.7,
0.732,0.756,1,0.538,
0.817,0.825,1,0.675,
0.878,0.923,1,0.638,
0.798,0.776,1,0.639,
0.813,0.766,1,0.696,
0.868,0.881,1,0.726,
0.773,0.75,1,0.637,
0.695,0.686,1,0.609,
0.772,0.755,0.976,0.7,
0.61,0.718,1,0.261,
0.829,0.857,0.988,0.672,
0.8,0.873,0.984,0.594,
0.798,0.772,1,0.677,
0.79,0.76,1,0.735,
0.855,0.917,1,0.648,
0.762,0.748,1,0.667,
0.796,0.772,1,0.717,
0.866,0.897,1,0.69,
0.831,0.866,1,0.68,
0.735,0.712,1,0.599,
0.818,0.868,0.996,0.603,
0.831,0.815,1,0.641,
0.736,0.732,1,0.561,
0.719,0.698,0.985,0.632,
0.701,0.693,1,0.512,
0.825,0.833,1,0.676,
0.758,0.736,1,0.605,
0.809,0.775,1,0.667,
0.743,0.727,1,0.569,
0.808,0.829,1,0.595,
0.729,0.73,1,0.509,
0.899,0.975,1,0.701,
0.753,0.74,0.991,0.636,
0.818,0.855,1,0.658,
0.696,0.714,1,0.484,
0.776,0.772,1,0.656,
0.83,0.923,1,0.597,
0.839,0.833,1,0.685,
0.755,0.764,0.946,0.613,
0.803,0.76,1,0.682,
0.833,0.855,1,0.687,
0.838,0.904,1,0.642,
0.808,0.891,0.954,0.621,
0.739,0.742,1,0.521,
0.787,0.768,1,0.696,
0.813,0.816,1,0.701,
0.73,0.716,1,0.635,
0.82,0.827,1,0.707,
0.648,0.671,0.984,0.44,
0.693,0.728,1,0.458,
0.725,0.736,1,0.573,
0.754,0.73,1,0.677,
0.722,0.712,1,0.537,
0.787,0.856,1,0.572,
0.827,0.85,1,0.655,
0.759,0.776,0.975,0.63,
0.799,0.76,0.993,0.676,
0.622,0.673,0.971,0.341,
0.791,0.744,1,0.675,
0.814,0.851,1,0.67,
0.741,0.724,0.982,0.611,
0.868,0.974,1,0.635,
0.793,0.774,1,0.704,
0.8,0.792,1,0.72,
0.687,0.712,1,0.497,
0.782,0.778,1,0.682,
0.854,0.857,1,0.721,
0.74,0.72,1,0.673,
0.758,0.736,1,0.646,
0.755,0.74,0.984,0.67,
0.839,0.931,0.995,0.602,
0.87,0.953,0.993,0.656,
0.689,0.711,1,0.452,
0.865,0.939,0.994,0.638,
