

Data analysis for each instance 
AVG,MED,MAX,MIN
0.18,0.068,0.411,0,
0.284,0.313,0.406,0,
0.175,0.063,0.375,0,
0.26,0.251,0.404,0,
0.183,0.065,0.402,0,
0.181,0.06,0.397,0,
0.245,0.22,0.421,0,
0.177,0.053,0.433,0,
0.271,0.301,0.412,0,
0.174,0.089,0.418,-0.102,
0.219,0.2,0.406,0,
0.214,0.178,0.417,0,
0.229,0.202,0.429,0,
0.187,0.112,0.402,0,
0.256,0.277,0.419,0,
0.173,0.053,0.412,-0.026,
0.211,0.168,0.406,0,
0.258,0.257,0.388,0,
0.229,0.2,0.399,0,
0.252,0.262,0.425,0,
0.16,0.047,0.422,-0.005,
0.22,0.207,0.399,0,
0.221,0.193,0.392,0,
0.168,0.102,0.394,0,
0.213,0.172,0.431,0,
0.227,0.211,0.389,0,
0.225,0.204,0.397,0,
0.175,0.115,0.414,0,
0.23,0.259,0.424,-0.129,
0.162,0.074,0.392,-0.005,
0.203,0.146,0.409,-0.047,
0.174,0.048,0.446,0,
0.18,0.16,0.382,0,
0.2,0.157,0.369,0,
0.222,0.203,0.429,0,
0.154,0.059,0.419,0,
0.228,0.233,0.427,-0.085,
0.244,0.26,0.422,-0.015,
0.21,0.147,0.442,0,
0.294,0.333,0.422,0,
0.287,0.337,0.413,0,
0.278,0.299,0.397,0,
0.161,0.07,0.428,0,
0.166,0.11,0.398,-0.031,
0.259,0.265,0.41,0,
0.171,0.059,0.412,0,
0.168,0.046,0.453,0,
0.207,0.183,0.424,0,
0.238,0.248,0.459,0,
0.162,0.059,0.43,0,
0.299,0.335,0.418,0,
0.151,0.041,0.402,0,
0.3,0.326,0.416,0,
0.292,0.328,0.423,0,
0.156,0.045,0.365,0,
0.17,0.106,0.447,0,
0.231,0.194,0.418,0,
0.239,0.25,0.422,0,
0.213,0.201,0.428,0,
0.181,0.133,0.397,0,
0.234,0.237,0.399,0,
0.24,0.249,0.388,0,
0.155,0.082,0.415,0,
0.264,0.269,0.475,0,
0.246,0.258,0.41,0,
0.153,0.066,0.406,0,
0.199,0.198,0.391,-0.108,
0.201,0.18,0.428,0,
0.232,0.21,0.421,0,
0.238,0.278,0.401,0,
0.165,0.048,0.39,0,
0.245,0.296,0.382,0,
0.207,0.198,0.435,0,
0.159,0.095,0.394,0,
0.226,0.224,0.398,0,
0.249,0.272,0.401,0,
0.152,0.05,0.407,0,
0.158,0.106,0.419,0,
0.234,0.223,0.429,0,
0.158,0.077,0.389,0,
0.219,0.208,0.454,0,
0.226,0.259,0.362,-0.017,
0.207,0.204,0.426,-0.109,
0.156,0.051,0.408,0,
0.229,0.26,0.393,-0.058,
0.177,0.119,0.436,0,
0.219,0.199,0.395,0,
0.147,0.04,0.407,0,
0.209,0.205,0.456,-0.006,
0.16,0.044,0.42,0,
0.221,0.227,0.391,0,
0.206,0.199,0.412,0,
0.244,0.243,0.382,0,
0.204,0.199,0.421,0,
0.202,0.19,0.435,0,
0.143,0.062,0.396,0,
0.295,0.339,0.407,0,
0.192,0.209,0.441,-0.076,
0.203,0.173,0.405,0,
0.3,0.34,0.449,0,
0.162,0.09,0.46,0,
0.186,0.178,0.37,0,
0.239,0.268,0.376,0,
0.227,0.241,0.458,0,
0.25,0.281,0.393,0,
0.25,0.274,0.401,0,
0.206,0.184,0.359,0,
0.253,0.263,0.446,0,
0.123,0.029,0.419,-0.017,
0.163,0.062,0.458,0,
0.231,0.253,0.376,0,
0.177,0.197,0.391,-0.186,
0.233,0.255,0.426,-0.004,
0.21,0.226,0.464,-0.124,
0.192,0.182,0.376,-0.142,
0.244,0.289,0.404,-0.074,
0.195,0.174,0.414,0,
0.22,0.217,0.418,0,
0.214,0.226,0.407,0,
0.262,0.297,0.39,0,
0.227,0.223,0.428,0,
0.14,0.088,0.381,0,
0.246,0.256,0.468,0,
0.198,0.2,0.372,-0.025,
0.24,0.281,0.381,0,
0.166,0.071,0.391,0,
0.219,0.253,0.378,-0.218,
0.199,0.201,0.395,0,
0.176,0.198,0.369,-0.16,
0.145,0.059,0.418,0,
0.304,0.341,0.396,0,
0.239,0.257,0.39,0,
0.261,0.289,0.414,0,
0.212,0.228,0.383,-0.124,
0.22,0.239,0.411,-0.083,
0.22,0.229,0.388,0,
0.232,0.233,0.444,0,
0.139,0.077,0.389,0,
0.275,0.317,0.406,0,
0.32,0.354,0.455,0,
0.305,0.345,0.428,0,
0.205,0.214,0.391,0,
0.223,0.218,0.405,0,
0.222,0.241,0.39,0,
0.14,0.068,0.338,0,
0.207,0.2,0.411,-0.014,
0.249,0.285,0.41,0,
0.242,0.272,0.397,0,
0.255,0.273,0.404,0,
0.248,0.249,0.424,0,
0.216,0.241,0.396,0,
0.148,0.074,0.376,-0.081,
0.26,0.303,0.399,0,
0.23,0.256,0.38,0,
0.181,0.142,0.369,0,
0.184,0.188,0.403,-0.018,
0.209,0.231,0.419,-0.284,
0.259,0.309,0.433,-0.159,
0.24,0.289,0.457,-0.163,
0.137,0,0.384,0,
0.232,0.236,0.389,0,
0.26,0.266,0.481,0,
0.287,0.325,0.404,0,
0.267,0.303,0.406,0,
0.252,0.261,0.436,0,
0.284,0.316,0.386,0,
0.264,0.279,0.434,0,
0.271,0.309,0.438,0,
0.188,0.211,0.369,-0.015,
0.284,0.314,0.436,0,
0.227,0.259,0.433,-0.17,
0.147,0.092,0.341,-0.004,
0.212,0.243,0.403,-0.214,
0.2,0.257,0.41,-0.245,
0.209,0.204,0.398,0,
0.159,0.068,0.441,0,
0.227,0.235,0.424,0,
0.221,0.228,0.377,0,
0.166,0.165,0.391,-0.224,
0.225,0.234,0.453,-0.021,
0.222,0.26,0.387,-0.203,
0.199,0.18,0.37,-0.024,
0.204,0.24,0.385,-0.084,
0.233,0.262,0.4,0,
0.256,0.303,0.452,-0.206,
0.231,0.24,0.422,0,
0.219,0.245,0.454,-0.273,
0.221,0.253,0.441,-0.106,
0.215,0.225,0.382,0,
0.194,0.212,0.35,-0.172,
0.219,0.21,0.436,-0.016,
0.211,0.217,0.428,-0.259,
0.295,0.321,0.389,0,
0.241,0.244,0.423,0,
0.224,0.259,0.378,-0.185,
0.246,0.272,0.41,0,
0.2,0.253,0.385,-0.065,
0.23,0.243,0.39,-0.054,
0.238,0.254,0.389,0,
0.184,0.198,0.377,-0.119,
0.216,0.255,0.398,-0.22,
0.243,0.247,0.403,0,
0.228,0.25,0.428,-0.197,
0.262,0.275,0.369,0,
0.218,0.246,0.506,0,
0.233,0.252,0.38,0,
0.229,0.246,0.388,-0.031,
0.231,0.241,0.435,0,
0.225,0.246,0.363,0,
0.295,0.342,0.405,0,
0.162,0.09,0.431,0,
0.196,0.2,0.413,-0.089,
0.225,0.257,0.392,-0.04,
0.241,0.268,0.337,0,
0.242,0.276,0.411,0,
0.233,0.264,0.378,-0.013,
0.268,0.296,0.407,0,
0.17,0.124,0.407,0,
0.23,0.264,0.423,-0.067,
0.272,0.317,0.388,0,
0.235,0.265,0.395,-0.151,
0.191,0.216,0.373,-0.123,
0.256,0.304,0.42,0,
0.255,0.266,0.378,0,
0.287,0.327,0.379,0,
0.269,0.298,0.414,0,
0.266,0.284,0.398,0,
0.164,0.182,0.341,-0.026,
0.266,0.326,0.417,0,
0.187,0.197,0.373,-0.08,
0.21,0.222,0.37,0,
0.235,0.24,0.412,0,
0.258,0.278,0.404,0,
0.279,0.337,0.43,0,
0.251,0.276,0.384,0,
0.289,0.312,0.405,0,
0.237,0.297,0.372,0,
0.225,0.231,0.437,0,
0.233,0.259,0.383,0,
0.211,0.206,0.432,0,
0.131,0.072,0.368,0,
0.208,0.245,0.375,-0.189,
0.218,0.237,0.394,-0.092,
0.212,0.217,0.417,0,
0.256,0.273,0.436,0,
0.281,0.299,0.411,0,
0.167,0.114,0.494,0,
0.231,0.268,0.41,-0.101,
0.221,0.245,0.359,0,
0.182,0.214,0.365,-0.18,
0.282,0.328,0.422,0,
0.239,0.261,0.441,0,
0.204,0.212,0.402,0,
0.214,0.24,0.373,-0.204,
0.282,0.295,0.44,0,
0.147,0.097,0.348,-0.051,
0.222,0.239,0.377,-0.065,
0.221,0.253,0.347,-0.145,
0.203,0.203,0.426,-0.025,
0.236,0.243,0.374,0,
0.229,0.226,0.408,0,
0.219,0.222,0.395,-0.005,
0.233,0.237,0.39,0,
0.253,0.248,0.388,0,
0.201,0.231,0.38,-0.16,
0.257,0.309,0.385,0,
0.232,0.247,0.398,0,
0.21,0.219,0.373,0,
0.268,0.289,0.41,0,
0.231,0.26,0.393,0,
0.223,0.23,0.408,0,
0.162,0.186,0.337,-0.049,
0.295,0.309,0.411,0,
0.291,0.328,0.393,0,
0.263,0.314,0.434,-0.042,
0.255,0.287,0.374,0,
0.187,0.208,0.385,-0.254,
0.263,0.281,0.381,0,
0.271,0.276,0.412,0,
0.291,0.324,0.422,0,
0.123,0.114,0.254,0,
0.226,0.269,0.364,0,
0.214,0.235,0.374,0,
0.226,0.242,0.414,0,
0.208,0.211,0.375,0,
0.141,0.106,0.355,0,
0.21,0.212,0.406,0,
0.261,0.296,0.398,0,
0.257,0.294,0.379,0,
0.222,0.244,0.395,0,
0.25,0.296,0.419,-0.003,
0.2,0.196,0.403,0,
0.226,0.282,0.388,-0.113,
0.246,0.286,0.352,0,
0.237,0.255,0.379,0,
0.248,0.28,0.366,0,
0.218,0.243,0.356,0,
0.248,0.272,0.397,0,
0.231,0.257,0.393,0,
0.273,0.316,0.392,0,
0.237,0.252,0.401,0,
0.272,0.301,0.405,0,
0.276,0.3,0.39,0,
0.211,0.215,0.431,0,
0.189,0.208,0.349,0,
0.202,0.227,0.398,-0.055,
0.257,0.311,0.406,0,
0.231,0.264,0.391,0,
0.298,0.348,0.407,0,
0.222,0.269,0.39,-0.05,
0.23,0.256,0.344,0,
0.263,0.297,0.439,0,
0.281,0.31,0.419,0,
0.251,0.291,0.394,-0.031,
0.217,0.255,0.344,-0.052,
0.221,0.209,0.37,0,
0.235,0.269,0.384,0,
0.139,0.115,0.342,0,
0.216,0.237,0.371,0,
0.247,0.295,0.367,0,
0.241,0.259,0.427,-0.033,
0.253,0.274,0.38,-0.008,
0.265,0.307,0.378,0,
0.249,0.267,0.404,0,
0.223,0.251,0.374,0,
0.225,0.245,0.325,0,
0.125,0.108,0.406,0,
0.236,0.255,0.387,0,
0.185,0.213,0.334,0,
0.221,0.255,0.35,-0.006,
0.248,0.287,0.392,0,
0.256,0.279,0.386,0,
0.209,0.232,0.348,0,
0.285,0.311,0.401,0,
0.13,0.112,0.362,0,
0.23,0.263,0.392,0,
0.279,0.328,0.418,0,
0.192,0.209,0.327,0,
0.207,0.245,0.344,-0.038,
0.228,0.279,0.358,0,
0.232,0.256,0.39,0,
0.252,0.3,0.41,-0.012,
0.232,0.256,0.394,0,
0.247,0.282,0.401,0,
0.213,0.231,0.392,0,
0.264,0.304,0.406,0,
0.188,0.183,0.383,-0.092,
0.196,0.265,0.357,-0.078,
0.255,0.299,0.393,0,
0.227,0.269,0.406,-0.161,
0.187,0.206,0.305,0,
0.243,0.298,0.391,-0.112,
0.24,0.256,0.414,0,
0.248,0.243,0.404,0,
0.223,0.254,0.375,0,
0.199,0.218,0.336,0,
0.272,0.307,0.476,0,
0.17,0.168,0.339,-0.008,
0.196,0.236,0.344,-0.08,
