

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.067,-0.09,0.242,-0.298,
-0.116,-0.062,0.324,-0.479,
0.029,-0.016,0.427,-0.246,
-0.062,-0.044,0.145,-0.291,
-0.115,-0.102,0.159,-0.296,
-0.083,-0.044,0.143,-0.359,
-0.101,-0.08,0.258,-0.331,
-0.081,-0.019,0.193,-0.503,
-0.079,-0.082,0.191,-0.301,
-0.18,-0.106,0.075,-0.498,
-0.17,-0.094,-0.018,-0.564,
-0.208,-0.153,0.014,-0.464,
-0.125,-0.07,0.118,-0.469,
-0.103,-0.026,0.271,-0.381,
-0.057,-0.021,0.121,-0.31,
0.072,0.052,0.532,-0.153,
-0.127,-0.166,0.501,-0.411,
-0.066,0.029,0.213,-0.388,
-0.104,-0.027,0.167,-0.496,
-0.121,-0.121,0.039,-0.326,
-0.032,-0.019,0.325,-0.418,
-0.153,-0.092,0.171,-0.536,
-0.129,-0.101,0.157,-0.457,
0.015,0.003,0.25,-0.242,
-0.107,-0.084,0.288,-0.286,
-0.063,-0.068,0.078,-0.142,
0.008,0.021,0.287,-0.369,
0.005,-0.004,0.433,-0.196,
-0.063,-0.032,0.185,-0.477,
-0.012,0.005,0.482,-0.593,
-0.134,-0.135,0.089,-0.333,
-0.031,-0.016,0.245,-0.283,
-0.175,-0.127,0.153,-0.504,
-0.088,-0.068,0.089,-0.319,
-0.067,-0.105,0.365,-0.193,
-0.118,-0.056,0.102,-0.484,
-0.108,-0.119,0.339,-0.454,
-0.098,-0.086,0.155,-0.275,
-0.228,-0.2,-0.034,-0.459,
0.015,0.007,0.288,-0.342,
0.014,-0.004,0.313,-0.461,
-0.036,-0.028,0.1,-0.297,
-0.11,-0.091,0.145,-0.419,
-0.187,-0.143,0.023,-0.54,
-0.173,-0.104,0.071,-0.446,
-0.174,-0.16,0.022,-0.559,
-0.279,-0.228,0.032,-0.588,
-0.096,-0.048,0.191,-0.381,
-0.044,-0.057,0.294,-0.264,
-0.135,-0.124,0.235,-0.409,
