

Data analysis for each instance 
AVG,MED,MAX,MIN
0.824,0.976,1,0.535,
0.814,0.909,0.997,0.576,
0.761,0.865,0.94,0.436,
0.747,0.802,0.915,0.542,
0.804,0.842,0.996,0.487,
0.816,0.911,1,0.57,
0.887,0.977,0.99,0.701,
0.843,0.928,1,0.593,
0.866,0.926,1,0.594,
0.77,0.826,1,0.527,
0.718,0.773,0.875,0.535,
0.797,0.913,1,0.493,
0.855,0.965,1,0.593,
0.816,0.867,1,0.622,
0.833,0.9,0.96,0.584,
0.799,0.875,1,0.55,
0.865,0.936,1,0.66,
0.778,0.871,0.903,0.551,
0.817,0.967,1,0.539,
0.812,0.922,1,0.488,
0.785,0.821,0.994,0.519,
0.81,0.877,0.928,0.596,
0.812,0.915,1,0.594,
0.817,0.873,0.951,0.574,
0.832,0.893,0.973,0.66,
0.832,0.92,0.955,0.6,
0.855,0.919,1,0.656,
0.81,0.959,1,0.52,
0.852,0.953,0.986,0.659,
0.843,0.907,0.966,0.581,
0.879,0.924,1,0.72,
0.805,0.846,0.919,0.663,
0.861,0.978,1,0.531,
0.841,0.919,0.968,0.657,
0.818,0.869,1,0.57,
0.894,0.954,1,0.69,
0.707,0.835,0.915,0.401,
0.799,0.875,0.938,0.588,
0.752,0.853,0.922,0.488,
0.787,0.869,0.975,0.513,
0.809,0.907,1,0.539,
0.852,0.862,0.993,0.653,
0.869,0.944,1,0.619,
0.896,0.975,1,0.693,
0.848,0.925,1,0.671,
0.854,0.915,1,0.65,
0.763,0.872,0.92,0.583,
0.764,0.816,1,0.417,
0.864,0.929,0.997,0.721,
0.837,0.873,1,0.63,
0.799,0.867,0.93,0.535,
0.807,0.905,1,0.606,
0.793,0.948,1,0.491,
0.86,0.969,1,0.645,
0.772,0.782,0.939,0.554,
0.825,0.936,1,0.586,
0.849,0.912,1,0.583,
0.825,0.914,1,0.528,
0.776,0.862,1,0.532,
0.82,0.896,0.98,0.552,
0.887,0.929,1,0.687,
0.822,0.889,0.963,0.581,
0.881,0.938,1,0.655,
0.767,0.872,0.914,0.543,
0.841,0.908,0.989,0.532,
0.836,0.839,0.998,0.629,
0.832,0.97,1,0.551,
0.832,0.921,1,0.633,
0.756,0.809,0.932,0.528,
0.846,0.936,1,0.58,
0.783,0.822,0.94,0.596,
0.871,0.905,0.995,0.657,
0.774,0.877,0.993,0.455,
0.752,0.837,0.985,0.438,
0.824,0.87,0.932,0.627,
0.833,0.826,0.994,0.68,
0.834,0.923,0.956,0.621,
0.807,0.835,1,0.474,
0.885,0.909,1,0.721,
0.754,0.829,0.933,0.47,
0.832,0.867,0.941,0.671,
0.847,0.922,0.996,0.555,
0.816,0.885,0.978,0.598,
0.793,0.812,1,0.586,
0.779,0.839,0.96,0.503,
0.828,0.87,1,0.522,
0.777,0.851,0.988,0.473,
0.914,0.958,1,0.775,
0.818,0.867,0.982,0.602,
0.705,0.764,0.931,0.438,
0.864,0.959,1,0.611,
0.872,0.931,0.959,0.719,
0.826,0.895,0.927,0.601,
0.807,0.873,1,0.566,
0.879,0.915,1,0.728,
0.895,0.992,1,0.72,
0.801,0.959,1,0.523,
0.866,0.972,1,0.587,
0.766,0.814,0.906,0.585,
0.782,0.84,0.992,0.469,


0.787,0.902,0.981,0.435,
0.797,0.914,1,0.433,
0.756,0.867,1,0.435,
0.75,0.851,1,0.46,
0.79,0.911,1,0.449,
0.79,0.881,1,0.471,
0.878,0.986,1,0.555,
0.848,0.932,1,0.491,
0.846,0.972,1,0.551,
0.791,0.91,1,0.389,
0.804,0.963,1,0.395,
0.779,0.921,1,0.394,
0.82,0.935,0.979,0.51,
0.837,0.943,1,0.457,
0.825,0.916,1,0.517,
0.799,0.961,1,0.519,
0.844,0.961,1,0.483,
0.804,0.938,1,0.478,
0.777,0.91,1,0.405,
0.79,0.893,0.985,0.419,
0.79,0.907,1,0.4,
0.825,0.866,1,0.504,
0.802,0.918,1,0.415,
0.835,0.859,1,0.586,
0.819,0.885,1,0.506,
0.817,0.935,1,0.49,
0.832,0.915,1,0.512,
0.792,0.963,1,0.433,
0.863,0.953,1,0.599,
0.832,0.903,1,0.479,
0.858,0.944,1,0.643,
0.772,0.814,1,0.496,
0.84,0.978,1,0.478,
0.845,0.929,1,0.505,
0.814,0.871,1,0.513,
0.843,0.908,1,0.553,
0.723,0.846,1,0.304,
0.797,0.916,1,0.457,
0.772,0.873,1,0.402,
0.762,0.867,1,0.389,
0.801,0.948,1,0.428,
0.834,0.878,1,0.544,
0.867,0.962,1,0.565,
0.86,0.961,1,0.592,
0.828,0.925,1,0.497,
0.828,0.925,1,0.52,
0.785,0.937,1,0.435,
0.756,0.976,1,0.386,
0.877,0.98,1,0.596,
0.813,0.889,0.938,0.507,
0.838,0.96,1,0.477,
0.796,0.927,1,0.487,
0.774,0.95,1,0.424,
0.874,0.974,1,0.574,
0.759,0.825,1,0.449,
0.807,0.922,1,0.445,
0.819,0.944,1,0.48,
0.832,0.966,1,0.527,
0.807,0.877,1,0.456,
0.829,0.984,1,0.438,
0.852,0.895,1,0.637,
0.78,0.907,1,0.493,
0.85,0.913,1,0.609,
0.802,0.953,1,0.477,
0.86,0.953,1,0.494,
0.845,0.921,1,0.587,
0.786,0.95,0.996,0.458,
0.807,0.925,1,0.481,
0.813,0.983,1,0.392,
0.809,0.95,1,0.469,
0.772,0.856,1,0.475,
0.855,0.945,1,0.544,
0.768,0.974,1,0.361,
0.737,0.895,1,0.368,
0.822,0.873,1,0.552,
0.842,0.915,1,0.476,
0.829,0.931,1,0.537,
0.761,0.881,1,0.44,
0.856,0.94,1,0.629,
0.775,0.881,1,0.443,
0.822,0.855,1,0.569,
0.818,0.937,1,0.502,
0.811,0.905,1,0.463,
0.825,0.925,1,0.559,
0.782,0.899,1,0.484,
0.794,0.89,1,0.437,
0.773,0.975,1,0.34,
0.872,0.98,1,0.562,
0.784,0.909,1,0.452,
0.752,0.895,1,0.337,
0.849,0.983,1,0.529,
0.856,0.958,1,0.523,
0.809,0.876,1,0.472,
0.797,0.95,1,0.47,
0.863,0.934,1,0.566,
0.857,0.972,0.997,0.589,
0.788,0.959,1,0.434,
0.842,0.97,1,0.466,
0.767,0.827,1,0.429,
0.841,0.974,1,0.363,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.82,0.821,0.914,0.705,
MEDs,0.893,0.902,0.992,0.764,
MAXs,0.978,0.998,1,0.875,
MINs,0.582,0.583,0.775,0.401,


AVGs,0.812,0.813,0.878,0.723,
MEDs,0.922,0.925,0.986,0.814,
MAXs,0.999,1,1,0.938,
MINs,0.482,0.478,0.643,0.304,



