

Data analysis for each instance 
AVG,MED,MAX,MIN
0.095,0.019,0.455,-0.038,
0.135,0.008,0.427,0,
0.069,0.007,0.476,-0.683,
0.056,0.005,0.474,-0.567,
-0.052,0.006,0.228,-0.614,
0.033,0.006,0.434,-0.355,
0.088,0.042,0.502,-0.06,
0.05,0.019,0.425,-0.145,
0.148,0.007,0.506,0,
0.103,0.007,0.434,-0.116,
0.077,0.022,0.533,-0.26,
-0.022,0.009,0.331,-0.471,
0.02,0.005,0.534,-0.188,
0.025,0.002,0.35,-0.349,
0.049,0.035,0.471,-0.481,
0.044,0.005,0.475,-0.465,
0.069,0.015,0.402,-0.473,
0.016,0.005,0.387,-0.606,
-0.035,0.004,0.095,-0.324,
0.012,-0.044,0.55,-0.802,
-0.083,0.007,0.235,-0.574,
0.07,0.005,0.472,-0.32,
0.075,0.016,0.418,-0.183,
0.061,0.018,0.425,-0.263,
0.008,0.011,0.361,-0.16,
0.111,0.024,0.52,-0.219,
0.082,0.005,0.431,-0.071,
0.077,0.005,0.52,-0.396,
0.017,0.006,0.307,-0.632,
0.062,0.015,0.435,-0.207,
0.083,0.004,0.433,-0.144,
0.09,0.043,0.341,0,
0.004,0.007,0.322,-0.598,
0.06,0.018,0.518,-0.406,
0.147,0.006,0.467,0,
0.031,-0.022,0.457,-0.898,
0.025,0.002,0.218,-0.105,
0.087,0.017,0.414,-0.345,
0.034,0.024,0.51,-0.334,
0.007,0.04,0.518,-0.552,
0.139,0.009,0.502,0,
0.129,0.017,0.54,-0.083,
0.123,0.007,0.487,0,
-0.093,0.002,0.463,-0.613,
0.143,0.01,0.476,-0.012,
0.115,0.005,0.531,-0.007,
0.024,0.008,0.714,-0.57,
0.058,0.014,0.5,-0.528,
0.094,0.013,0.436,-0.082,
0.055,-0.041,0.469,-0.089,
0.076,0.004,0.48,-0.084,
-0.016,-0.002,0.139,-0.224,
0.057,0.005,0.377,-0.084,
0.092,0.003,0.539,-0.351,
0.101,0.008,0.424,-0.303,
-0.001,0.012,0.181,-0.17,
0.026,0.006,0.833,-0.761,
0.047,0.011,0.479,-0.622,
0.122,0.007,0.437,-0.001,
0.11,0.005,0.51,-0.039,
0.205,-0.001,0.748,-0.067,
0.308,0.041,0.863,-0.033,
0.003,0.005,0.406,-0.459,
-0.032,0.009,0.247,-0.471,
0.102,0.004,0.459,-0.197,
0.09,0.001,0.5,-0.478,
0.048,0.016,0.498,-0.428,
-0.008,0.005,0.217,-0.447,
0.134,0.015,0.458,-0.061,
0.062,0.009,0.5,-0.307,
0.005,0.002,0.421,-0.333,
0.123,0.005,0.495,-0.066,
0.024,0.012,0.67,-0.339,
0.031,0.009,0.351,-0.24,
0.056,0.008,0.345,-0.098,
0.014,-0.013,0.466,-0.516,
0.043,0.007,0.376,-0.444,
0.037,0.005,0.493,-0.22,
0.15,0.007,0.571,0,
0.05,0.005,0.445,-0.241,
0.123,0.005,0.464,-0.239,
-0.074,0.005,0.135,-0.624,
0.01,0.001,0.497,-0.863,
0.083,0.02,0.53,-0.32,
0.058,-0.024,0.504,-0.258,
0.018,0.005,0.398,-0.463,
0.132,0.002,0.554,-0.047,
0.11,0.007,0.439,-0.024,
