

Data analysis for each instance 
AVG,MED,MAX,MIN
0.023,0.002,0.26,-0.302,
0.092,0.002,0.339,-0.093,
0.098,0,0.344,0,
0.055,0,0.26,-0.049,
-0.003,0,0.112,-0.168,
0.08,0.001,0.283,-0.126,
0.054,0,0.355,-0.137,
0.046,0,0.204,-0.049,
0.101,0,0.317,0,
0.101,0,0.289,0,
0.075,0,0.305,-0.123,
0.063,0,0.29,-0.099,
0.074,0,0.333,0,
0.082,0,0.314,-0.138,
0.064,0,0.332,-0.194,
0.063,0,0.269,-0.055,
0.112,0,0.399,0,
0.096,0,0.338,-0.018,
-0.016,0,0.231,-0.217,
-0.037,0,0.076,-0.195,
0.072,0,0.352,-0.153,
0.084,0,0.287,-0.049,
0.079,0,0.327,-0.188,
0.07,0,0.317,-0.242,
0.021,0.001,0.155,-0.201,
0.113,0,0.357,0,
-0.008,0,0.346,-0.217,
0.086,0,0.351,0,
0.004,0.002,0.075,-0.09,
0.001,0,0.35,-0.162,
0.093,0,0.357,-0.119,
0.03,0,0.262,-0.249,
0.095,0.003,0.293,0,
0.097,0,0.326,-0.056,
0.105,0,0.286,0,
0.101,0,0.293,-0.002,
-0.009,0,0.17,-0.155,
0.116,0.002,0.341,0,
0.02,0,0.4,-0.255,
0.067,0,0.347,-0.217,
0.107,0.001,0.355,0,
0.101,0,0.364,0,
0.095,0,0.282,0,
0.11,0.001,0.408,0,
0.042,0,0.355,-0.158,
0.098,0,0.346,0,
0.023,0,0.252,-0.086,
0.064,0,0.316,-0.23,
0.083,0,0.305,-0.145,
0.007,0,0.096,-0.182,
0.114,0,0.338,0,
0.095,0,0.308,0,
0.105,0,0.336,0,
0.079,0,0.416,-0.172,
0.1,0,0.332,-0.002,
-0.003,0,0.23,-0.15,
-0.01,0,0.375,-0.179,
0.07,0,0.292,-0.019,
0.098,0,0.33,0,
0.102,0,0.345,0,
0.089,0,0.342,-0.053,
0.027,0,0.302,-0.143,
0.078,0,0.331,0,
0.025,0,0.232,-0.053,
0.117,0,0.381,0,
0.104,0,0.367,0,
0.027,0.001,0.271,-0.09,
0.015,0,0.244,-0.168,
0.078,0,0.312,-0.071,
0.044,0,0.297,-0.158,
0.107,0,0.337,0,
0.102,0,0.278,0,
0.011,0,0.236,-0.13,
0.028,0,0.234,-0.154,
0.006,0,0.225,-0.126,
0.107,0,0.359,0,
0.079,0,0.32,-0.193,
0.057,0,0.275,-0.107,
0.061,0,0.308,-0.174,
0.11,0,0.363,0,
