

Data analysis for each instance 
AVG,MED,MAX,MIN
0.699,0.663,1,0.609,
0.694,0.665,1,0.588,
0.699,0.664,1,0.62,
0.694,0.669,1,0.596,
0.681,0.643,1,0.584,
0.696,0.667,1,0.625,
0.69,0.669,1,0.587,
0.699,0.666,1,0.621,
0.694,0.696,1,0.519,
0.657,0.631,1,0.516,
0.67,0.635,1,0.548,
0.697,0.672,1,0.572,
0.717,0.696,1,0.64,
0.685,0.653,1,0.562,
0.684,0.651,1,0.599,
0.693,0.67,1,0.582,
0.687,0.673,1,0.549,
0.696,0.654,1,0.599,
0.698,0.665,1,0.599,
0.691,0.653,1,0.586,
0.673,0.631,1,0.573,
0.714,0.688,1,0.619,
0.696,0.682,1,0.582,
0.693,0.657,1,0.61,
0.704,0.674,1,0.6,
0.715,0.691,1,0.627,
0.688,0.654,1,0.555,
0.701,0.686,1,0.588,
0.712,0.692,1,0.561,
0.701,0.68,1,0.611,
0.691,0.68,1,0.547,
0.701,0.685,1,0.571,
0.711,0.673,1,0.636,
0.691,0.649,1,0.62,
0.684,0.648,1,0.576,
0.692,0.667,1,0.592,
0.701,0.661,1,0.626,
0.7,0.682,1,0.562,
0.662,0.652,1,0.494,
0.703,0.673,1,0.625,
0.699,0.669,1,0.597,
0.717,0.698,1,0.633,
0.693,0.673,1,0.598,
0.685,0.653,1,0.584,
0.706,0.682,1,0.606,
0.7,0.668,1,0.623,
0.687,0.658,1,0.595,
0.686,0.653,1,0.597,
0.703,0.674,1,0.59,
0.714,0.698,1,0.633,
0.704,0.671,1,0.618,
0.699,0.669,1,0.614,
0.691,0.661,1,0.606,
0.706,0.679,1,0.629,
0.7,0.671,1,0.617,
0.677,0.651,1,0.573,
0.68,0.649,1,0.583,
0.704,0.668,1,0.618,
0.704,0.661,1,0.603,
0.707,0.691,1,0.613,
0.705,0.671,1,0.642,
0.696,0.682,1,0.588,
0.692,0.661,1,0.568,
0.691,0.681,1,0.598,
0.684,0.647,1,0.604,
0.7,0.667,1,0.602,
0.689,0.653,1,0.601,
0.702,0.688,1,0.607,
0.71,0.693,1,0.609,
0.675,0.642,1,0.574,
0.694,0.678,1,0.534,
0.716,0.692,1,0.624,
0.678,0.636,1,0.585,
0.702,0.667,1,0.622,
0.706,0.686,1,0.633,
0.697,0.664,1,0.6,
0.714,0.691,1,0.643,
0.691,0.654,1,0.601,
0.679,0.644,1,0.59,
0.702,0.681,1,0.603,
0.668,0.653,1,0.545,
0.711,0.691,1,0.579,
0.7,0.677,1,0.588,
0.68,0.643,1,0.592,
0.715,0.679,1,0.604,
0.685,0.663,1,0.588,
