

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.271,-0.194,0.307,-0.973,
-0.31,-0.325,0.398,-0.834,
-0.149,-0.138,0.249,-0.549,
-0.19,-0.101,0.404,-0.989,
-0.051,-0.061,0.541,-0.406,
-0.274,-0.186,0.286,-0.978,
-0.149,-0.137,0.429,-0.535,
-0.191,-0.236,0.38,-0.669,
-0.189,-0.145,0.531,-0.621,
-0.022,-0.014,0.255,-0.57,
-0.111,-0.082,0.618,-0.623,
-0.13,-0.14,0.37,-0.486,
-0.085,-0.026,0.173,-0.757,
-0.177,-0.121,0.412,-0.924,
-0.05,-0.039,0.682,-0.52,
-0.15,-0.118,0.434,-0.686,
-0.115,-0.077,0.268,-0.594,
-0.075,-0.064,0.559,-0.442,
-0.019,0.005,0.28,-0.57,
-0.168,-0.07,0.821,-0.924,
-0.268,-0.221,0.287,-0.851,
-0.16,-0.139,0.832,-0.906,
-0.166,-0.101,0.118,-0.609,
-0.32,-0.324,0.417,-0.941,
-0.105,-0.057,0.435,-0.531,
-0.084,-0.068,0.629,-0.543,
-0.22,-0.214,0.541,-0.636,
-0.051,-0.044,0.377,-0.53,
-0.131,-0.08,0.369,-0.921,
-0.014,-0.043,0.31,-0.306,
-0.076,-0.06,0.185,-0.573,
-0.083,-0.05,0.284,-0.453,
-0.252,-0.207,0.217,-0.815,
-0.106,-0.057,0.27,-0.8,
-0.052,-0.043,0.731,-0.74,
-0.117,-0.116,0.378,-0.74,
-0.029,-0.017,0.368,-0.364,
-0.129,-0.087,0.304,-0.536,
-0.065,-0.06,0.335,-0.383,
-0.193,-0.048,0.75,-0.994,
-0.098,-0.088,0.33,-0.597,
-0.072,-0.089,0.4,-0.631,
-0.193,-0.125,0.244,-0.613,
-0.068,-0.086,0.622,-0.795,
-0.124,-0.104,0.407,-0.559,
-0.21,-0.152,0.099,-0.797,
-0.18,-0.048,0.262,-0.872,
-0.021,-0.05,0.254,-0.306,
-0.044,-0.037,0.732,-0.663,
-0.202,-0.061,0.571,-0.995,
-0.096,-0.018,0.556,-0.815,
-0.08,-0.08,0.463,-0.487,
-0.023,-0.034,0.339,-0.343,
-0.084,-0.072,0.616,-0.566,
-0.107,-0.068,0.597,-0.618,
-0.204,-0.135,0.897,-0.853,
-0.069,-0.056,0.356,-0.365,
-0.133,-0.043,0.265,-0.751,
-0.067,-0.037,0.662,-0.69,
-0.098,-0.062,0.342,-0.916,
-0.17,-0.131,0.266,-0.687,
-0.085,-0.041,0.446,-0.743,
-0.027,-0.013,0.62,-0.361,
-0.218,-0.146,0.206,-0.665,
-0.375,-0.327,0.324,-0.856,
-0.085,-0.037,0.191,-0.664,
-0.147,-0.082,0.309,-0.714,
-0.173,-0.12,0.184,-0.752,
-0.079,-0.04,0.195,-0.532,
-0.074,-0.04,0.574,-0.587,
-0.158,-0.119,0.418,-0.712,
-0.119,-0.092,0.345,-0.612,
-0.217,-0.137,0.479,-0.852,
-0.182,-0.086,0.4,-0.706,
-0.119,-0.074,0.279,-0.639,
0.063,0.042,0.379,-0.305,
-0.356,-0.238,-0.011,-0.942,
-0.075,-0.057,0.277,-0.862,
-0.123,-0.067,0.708,-0.653,
-0.096,-0.054,0.394,-0.617,
-0.136,-0.032,0.092,-0.615,
-0.081,-0.045,0.213,-0.782,
-0.138,-0.075,0.389,-0.825,
-0.057,-0.056,0.655,-0.583,
-0.149,-0.107,0.168,-0.656,
-0.126,-0.164,0.555,-0.737,
-0.021,0.007,0.396,-0.67,
-0.174,-0.118,0.383,-0.8,
-0.23,-0.171,0.579,-0.748,
-0.23,-0.118,0.336,-0.737,
-0.028,0.038,0.534,-0.891,
-0.035,-0.067,0.381,-0.36,
-0.288,-0.24,0.262,-0.955,
-0.028,0.022,0.378,-0.751,
-0.247,-0.163,0.148,-0.872,
-0.182,-0.1,0.411,-0.608,
-0.213,-0.082,0.364,-0.976,
-0.112,-0.067,0.369,-0.697,
0.06,0.041,0.333,-0.249,
-0.152,-0.11,0.121,-0.481,
-0.114,-0.094,0.283,-0.451,
-0.145,-0.114,0.205,-0.714,
-0.085,0.028,0.34,-0.945,
-0.098,-0.101,0.387,-0.43,
-0.191,-0.095,0.347,-0.883,
-0.095,-0.075,0.258,-0.559,
-0.069,0.016,0.227,-0.766,
-0.114,-0.081,0.423,-0.6,
-0.18,-0.135,0.25,-0.719,
-0.418,-0.429,0.722,-0.977,
-0.025,-0.041,0.539,-0.424,
0.002,-0.005,0.614,-0.643,
-0.224,-0.094,0.431,-0.808,
-0.348,-0.284,0.252,-0.881,
-0.063,-0.008,0.234,-0.675,
-0.182,-0.186,0.743,-0.672,
0.049,0.044,0.489,-0.294,
-0.081,-0.044,0.202,-0.723,
-0.27,-0.282,0.19,-0.703,
-0.108,-0.052,0.803,-0.888,
-0.119,-0.061,0.604,-0.608,
-0.177,-0.084,0.259,-0.646,
-0.204,-0.091,0.443,-0.797,
-0.173,-0.116,0.649,-0.912,
0.014,0.01,0.516,-0.364,
-0.064,-0.025,0.609,-0.533,
0.012,0.012,0.377,-0.286,
-0.139,-0.042,0.226,-0.749,
-0.079,-0.053,0.413,-0.516,
-0.242,-0.253,0.259,-0.77,
-0.386,-0.353,0.296,-0.985,
-0.204,-0.156,0.25,-0.971,
0.033,0.06,0.642,-0.356,
0.048,0,0.841,-0.202,
-0.054,-0.021,0.593,-0.803,
-0.075,-0.064,0.314,-0.434,
-0.16,-0.077,0.25,-0.794,
-0.145,-0.068,0.296,-0.669,
-0.203,-0.207,0.669,-0.715,
-0.08,-0.107,0.528,-0.486,
-0.263,-0.303,0.628,-0.737,
-0.269,-0.22,0.388,-0.959,
-0.152,-0.1,0.248,-0.59,
-0.008,0.016,0.324,-0.43,
-0.17,-0.128,0.184,-0.672,
-0.184,-0.115,0.452,-0.631,
-0.064,-0.005,0.227,-0.603,
-0.027,-0.014,0.332,-0.477,
-0.105,-0.091,0.449,-0.604,
-0.149,-0.129,0.287,-0.578,
0.004,0.012,0.465,-0.523,
-0.031,-0.006,0.521,-0.676,
-0.019,-0.028,0.615,-0.55,
-0.18,-0.11,0.344,-0.653,
-0.144,-0.103,0.229,-0.678,
0.045,0.06,0.352,-0.698,
-0.204,-0.12,0.384,-0.719,
-0.224,-0.101,0.271,-0.84,
-0.127,-0.115,0.452,-0.803,
-0.114,-0.083,0.694,-0.909,
-0.116,-0.065,0.289,-0.484,
-0.015,-0.023,0.771,-0.349,
-0.248,-0.155,0.14,-0.831,
-0.266,-0.218,0.498,-0.819,
-0.178,-0.095,0.242,-0.809,
-0.136,-0.035,0.347,-0.694,
-0.15,-0.093,0.224,-0.65,
-0.246,-0.21,0.535,-0.767,
-0.003,0,0.35,-0.416,
-0.205,-0.148,0.576,-0.712,
-0.12,-0.061,0.495,-0.688,
-0.148,-0.12,0.365,-0.712,
-0.014,-0.019,0.458,-0.334,
-0.25,-0.239,0.512,-0.772,
-0.112,-0.081,0.632,-0.724,
-0.138,-0.079,0.299,-0.553,
0.019,0.008,0.619,-0.25,
-0.222,-0.086,0.255,-0.833,
-0.077,-0.043,0.304,-0.538,
-0.104,-0.09,0.271,-0.505,
-0.17,-0.16,0.435,-0.614,
-0.094,-0.061,0.333,-0.943,
-0.128,-0.056,0.34,-0.854,
-0.097,-0.022,0.28,-0.77,
-0.097,-0.077,0.182,-0.393,
-0.095,-0.091,0.355,-0.605,
-0.15,-0.144,0.243,-0.701,
-0.071,-0.05,0.225,-0.413,
-0.132,-0.119,0.489,-0.733,
-0.115,-0.139,0.469,-0.438,
-0.005,0.041,0.339,-0.473,
-0.139,-0.127,0.304,-0.715,
-0.258,-0.149,0.309,-0.909,
-0.182,-0.108,0.347,-0.671,
-0.204,-0.121,0.423,-0.759,
0.01,0.013,0.438,-0.465,
-0.265,-0.217,0.232,-0.868,
-0.024,-0.033,0.433,-0.394,
-0.245,-0.117,0.331,-0.813,
-0.076,-0.036,0.683,-0.436,
0.066,0.025,0.526,-0.143,
-0.184,-0.1,0.515,-0.825,
-0.039,0.017,0.527,-0.57,
-0.135,-0.05,0.341,-0.729,
-0.154,-0.126,0.317,-0.571,
-0.035,-0.037,0.247,-0.358,
-0.137,-0.115,0.253,-0.603,
-0.175,-0.146,0.165,-0.589,
-0.007,-0.017,0.255,-0.535,
-0.067,-0.086,0.652,-0.481,
-0.175,-0.101,0.342,-0.827,
-0.035,-0.021,0.598,-0.527,
-0.14,-0.083,0.546,-0.704,
-0.054,-0.051,0.395,-0.462,
-0.054,-0.034,0.431,-0.59,
-0.019,-0.018,0.483,-0.322,
-0.105,-0.081,0.62,-0.53,
-0.137,-0.079,0.515,-0.794,
-0.31,-0.184,0.15,-0.954,
-0.195,-0.122,0.423,-0.959,
0.002,0.004,0.548,-0.642,
-0.14,-0.118,0.179,-0.792,
-0.238,-0.195,0.282,-0.666,
-0.173,-0.122,0.642,-0.718,
-0.101,-0.082,0.505,-0.513,
-0.15,-0.113,0.306,-0.598,
-0.07,-0.073,0.223,-0.536,
-0.221,-0.209,0.768,-0.835,
-0.148,-0.11,0.165,-0.664,
0.035,0.036,0.564,-0.243,
0.063,0.028,0.613,-0.196,
-0.092,-0.065,0.384,-0.485,
-0.035,-0.035,0.738,-0.94,
-0.132,-0.104,0.535,-0.758,
-0.26,-0.178,0.28,-0.791,
-0.263,-0.108,0.085,-0.804,
-0.059,-0.004,0.326,-0.864,
-0.254,-0.156,0.415,-0.898,
-0.25,-0.189,0.227,-0.876,
-0.079,-0.085,0.754,-0.535,
-0.136,-0.074,0.428,-0.658,
-0.101,-0.064,0.609,-0.626,
-0.17,-0.152,0.417,-0.638,
-0.109,-0.046,0.257,-0.645,
-0.212,-0.145,0.747,-0.898,
0.092,0.094,0.64,-0.323,
-0.213,-0.059,0.351,-0.846,
0.073,0.035,0.815,-0.107,
-0.172,-0.145,0.291,-0.672,
-0.124,-0.094,0.352,-0.56,
-0.116,-0.109,0.26,-0.475,
-0.273,-0.118,0.082,-0.983,
-0.11,-0.079,0.217,-0.552,
-0.148,-0.051,0.177,-0.754,
-0.3,-0.35,0.264,-0.849,
-0.094,-0.065,0.464,-0.636,
-0.325,-0.361,0.543,-0.806,
-0.103,-0.048,0.19,-0.65,
-0.239,-0.088,0.222,-0.926,
-0.185,-0.135,0.346,-0.702,
-0.218,-0.106,0.519,-0.983,
-0.085,-0.074,0.425,-0.467,
-0.133,-0.111,0.284,-0.698,
-0.102,-0.06,0.319,-0.631,
-0.04,-0.021,0.317,-0.403,
-0.181,-0.146,0.242,-0.659,
-0.228,-0.164,0.334,-0.731,
-0.184,-0.101,0.441,-0.745,
-0.064,-0.061,0.345,-0.682,
-0.051,-0.041,0.734,-0.339,
-0.161,-0.09,0.351,-0.772,
-0.183,-0.139,0.371,-0.809,
-0.143,-0.106,0.227,-0.51,
-0.016,-0.042,0.718,-0.412,
-0.268,-0.296,0.389,-0.759,
-0.09,-0.049,0.908,-0.876,
-0.288,-0.146,0.203,-0.825,
-0.203,-0.172,0.379,-0.627,
0.011,0.032,0.305,-0.495,
-0.238,-0.162,0.297,-0.779,
-0.11,-0.102,0.555,-0.636,
-0.206,-0.136,0.333,-0.685,
-0.02,0.01,0.329,-0.584,
-0.117,-0.095,0.469,-0.562,
-0.094,-0.026,0.205,-0.943,
-0.199,-0.084,0.411,-0.873,
-0.235,-0.163,0.232,-0.731,
-0.168,-0.088,0.5,-0.965,
-0.224,-0.192,0.048,-0.681,
-0.186,-0.122,0.45,-0.997,
-0.232,-0.17,0.314,-0.681,
-0.301,-0.22,0.22,-0.811,
-0.15,-0.073,0.372,-0.684,
-0.214,-0.123,0.265,-0.755,
-0.194,-0.079,0.442,-0.813,
-0.235,-0.145,0.34,-0.824,
-0.188,-0.146,0.226,-0.639,
-0.163,-0.026,0.75,-0.996,
-0.117,-0.055,0.607,-0.909,
-0.213,-0.091,0.313,-0.929,
-0.159,-0.085,0.287,-0.655,
-0.095,-0.113,0.626,-0.708,
-0.039,-0.037,0.271,-0.513,
-0.279,-0.207,0.191,-0.809,
-0.186,-0.138,0.15,-0.693,
-0.278,-0.264,0.16,-0.724,
-0.102,-0.037,0.238,-0.606,
-0.343,-0.25,0.213,-0.877,
-0.304,-0.22,0.423,-0.846,
-0.082,-0.067,0.293,-0.553,
