

Data analysis for each instance£º 
AVG,MED,MAX,MIN
0.114,0.105,0.362,-0.192,
0.105,0.089,0.445,-0.096,
0.099,0.097,0.431,-0.23,
0.059,0.083,0.353,-0.697,
0.104,0.111,0.571,-0.601,
0.148,0.144,0.479,-0.222,
0.106,0.106,0.428,-0.234,
0.087,0.1,0.467,-0.225,
0.073,0.068,0.38,-0.179,
0.015,0.073,0.481,-2.15,
0.147,0.173,0.404,-0.272,
0.133,0.155,0.386,-0.511,
0.075,0.069,0.407,-0.366,
0.113,0.099,0.432,-0.406,
0.145,0.153,0.423,-0.266,
0.04,0.061,0.354,-0.491,
0.024,0.029,0.32,-0.375,
0.143,0.131,0.42,-0.406,
0.098,0.13,0.542,-0.841,
0.102,0.129,0.496,-0.555,
0.068,0.054,0.353,-0.257,
0.16,0.173,0.425,-0.171,
0.096,0.115,0.367,-0.515,
0.104,0.126,0.374,-0.458,
0.05,0.057,0.434,-0.644,
0.126,0.138,0.327,-0.247,
0.118,0.151,0.395,-0.629,
0.067,0.068,0.444,-0.319,
0.097,0.13,0.379,-0.401,
0.057,0.05,0.382,-0.349,
0.055,0.047,0.404,-0.594,
0.098,0.088,0.377,-0.187,
0.079,0.065,0.478,-0.543,
0.084,0.099,0.358,-0.596,
0.095,0.1,0.393,-0.311,
0.207,0.219,0.536,-0.098,
0.083,0.062,0.349,-0.206,
0.128,0.16,0.431,-0.806,
0.026,0.009,0.299,-0.208,
0.071,0.09,0.567,-1.167,
0.125,0.118,0.39,-0.266,
0.092,0.125,0.821,-1.275,
0.089,0.093,0.883,-2.161,
0.102,0.12,0.412,-0.495,
0.13,0.137,0.407,-0.344,
-0.177,0.066,0.379,-1.71,
0.002,0.072,0.407,-1.36,
0.072,0.076,0.353,-0.261,
0.099,0.114,0.351,-0.312,
0.083,0.081,0.351,-0.327,
-0.023,0.019,0.581,-2.968,
0.078,0.102,0.616,-1.481,
0.093,0.118,0.414,-0.901,
0.103,0.098,0.402,-0.285,
0.113,0.1,0.548,-1.054,
0.01,0.024,0.418,-0.541,
0.038,0.061,0.375,-0.978,
0.165,0.18,0.509,-0.29,
0.042,0.066,0.674,-1.533,
0.089,0.108,0.379,-0.855,
0.025,0.011,0.36,-0.475,
0.088,0.102,0.344,-0.186,
0.189,0.204,0.623,-0.169,
0.018,0.028,0.702,-1.334,
0.048,0.052,0.421,-0.434,
0.124,0.149,0.441,-0.671,
0.171,0.211,0.469,-0.531,
0.168,0.196,0.484,-0.393,
0.021,0.135,0.745,-4.51,
0.059,0.064,0.409,-0.669,
0.07,0.094,0.329,-0.278,
0.082,0.077,0.412,-0.605,
0.16,0.202,0.41,-0.419,
0.05,0.085,0.36,-0.428,
0.136,0.137,0.369,-0.263,
0.084,0.087,0.356,-0.117,
0.036,0.092,0.627,-1.936,
0.118,0.135,0.381,-0.266,
0.058,0.092,0.413,-0.961,
0.123,0.139,0.388,-0.474,
0.042,0.041,0.371,-0.443,
0.083,0.087,0.458,-0.443,
0.059,0.085,0.619,-0.829,
0.055,0.056,0.345,-0.298,
0.036,0.099,0.351,-0.882,
0.098,0.086,0.313,-0.212,
0.142,0.154,0.382,-0.404,
0.098,0.105,0.457,-0.418,
0.126,0.131,0.455,-0.564,
0.057,0.066,0.328,-0.322,
0.142,0.179,0.722,-1.7,
0.121,0.119,0.424,-0.224,
0.185,0.212,0.542,-0.21,
0.064,0.088,0.437,-1.058,
0.073,0.104,0.465,-0.917,
0.192,0.209,0.452,-0.218,
0.071,0.076,0.608,-0.716,
0.04,0.1,0.36,-2.61,
0.071,0.076,0.473,-0.832,
0.087,0.074,0.441,-0.302,




Further Data analysis of all test cases£º 
avg med max min 
AVGs,0.088,0.088,0.207,-0.177,
MEDs,0.104,0.099,0.219,0.009,
MAXs,0.444,0.412,0.883,0.299,
MINs,-0.661,-0.439,-0.096,-4.51,

