

Data analysis for each instance£º 
AVG,MED,MAX,MIN
0.708,0.688,1,0.55,
0.719,0.709,1,0.611,
0.692,0.691,1,0.523,
0.716,0.695,1,0.615,
0.712,0.692,1,0.585,
0.724,0.704,1,0.609,
0.675,0.671,1,0.468,
0.709,0.704,1,0.534,
0.712,0.7,1,0.566,
0.7,0.681,1,0.563,
0.683,0.665,1,0.506,
0.706,0.694,1,0.535,
0.704,0.69,1,0.57,
0.698,0.681,1,0.565,
0.701,0.695,1,0.588,
0.664,0.659,1,0.549,
0.7,0.679,1,0.564,
0.662,0.649,1,0.522,
0.714,0.7,1,0.524,
0.693,0.677,1,0.598,
0.699,0.686,1,0.586,
0.711,0.709,1,0.55,
0.681,0.666,1,0.511,
0.712,0.695,1,0.596,
0.71,0.695,1,0.551,
0.669,0.655,1,0.568,
0.701,0.682,1,0.592,
0.7,0.683,1,0.562,
0.704,0.698,1,0.544,
0.715,0.701,1,0.562,
0.692,0.686,1,0.55,
0.707,0.69,1,0.572,
0.689,0.673,1,0.541,
0.704,0.696,1,0.559,
0.674,0.657,1,0.532,
0.694,0.668,1,0.458,
0.691,0.672,1,0.551,
0.705,0.707,1,0.555,
0.699,0.675,1,0.605,
0.722,0.715,1,0.554,
0.707,0.687,1,0.612,
0.695,0.683,1,0.591,
0.711,0.694,1,0.598,
0.674,0.661,1,0.553,
0.708,0.689,1,0.612,
0.688,0.671,1,0.539,
0.71,0.695,1,0.504,
0.711,0.696,1,0.595,
0.7,0.691,1,0.603,
0.724,0.724,1,0.582,
0.69,0.674,1,0.549,
0.703,0.703,1,0.575,
0.704,0.692,1,0.566,
0.684,0.669,1,0.465,
0.698,0.675,1,0.499,
0.648,0.625,1,0.517,
0.695,0.684,1,0.517,
0.716,0.708,1,0.575,
0.699,0.677,1,0.579,
0.706,0.701,1,0.595,
0.692,0.672,1,0.582,
0.704,0.693,1,0.56,
0.714,0.706,1,0.53,
0.71,0.693,1,0.538,
0.704,0.685,1,0.572,
0.698,0.674,1,0.565,
0.702,0.683,1,0.574,
0.709,0.698,1,0.596,
0.714,0.686,1,0.594,
0.716,0.705,1,0.61,
0.718,0.709,1,0.543,
0.706,0.681,1,0.559,
0.72,0.7,1,0.605,
0.699,0.681,1,0.554,
0.694,0.673,1,0.571,
0.728,0.718,1,0.618,
0.691,0.674,1,0.529,
0.715,0.717,1,0.491,
0.689,0.673,1,0.48,
0.699,0.69,1,0.58,
0.705,0.697,1,0.579,
0.695,0.682,1,0.54,
0.712,0.699,1,0.566,
0.713,0.706,1,0.538,
0.714,0.706,1,0.548,
0.705,0.687,1,0.552,
0.709,0.708,1,0.554,
