

Data analysis for each instance£º 
AVG,MED,MAX,MIN
0.013,0.005,0.141,-0.015,
0.016,0.005,0.094,-0.043,
0.01,0.005,0.058,-0.012,
0.015,0.005,0.184,-0.043,
0.005,0.005,0.043,-0.107,
0.013,0.003,0.116,-0.013,
0.011,0.007,0.072,-0.005,
0.029,0.011,0.187,-0.002,
0.027,0.014,0.236,-0.014,
0.011,0.005,0.074,-0.01,
0.015,0.006,0.108,-0.095,
0.017,0.009,0.082,-0.032,
0.017,0.009,0.171,-0.019,
0.012,0.005,0.087,-0.051,
0.023,0.013,0.183,-0.091,
0.014,0.006,0.101,-0.001,
0.007,0.007,0.075,-0.102,
0.017,0.009,0.104,-0.007,
0.006,0.003,0.038,-0.006,
0.01,0.007,0.061,-0.058,
0.013,0.003,0.164,-0.007,
0.018,0.005,0.13,-0.072,
0.014,0.009,0.134,-0.003,
0.016,0.008,0.149,-0.006,
0.017,0.01,0.094,-0.024,
0.025,0.012,0.111,-0.002,
0.018,0.002,0.159,-0.131,
0.022,0.007,0.26,-0.015,
0.015,0.007,0.124,-0.04,
0.017,0.007,0.105,-0.013,
0.014,0.009,0.078,-0.004,
0.023,0.006,0.197,-0.004,
0.01,0.006,0.093,-0.056,
0.016,0.009,0.184,-0.038,
0.017,0.009,0.098,-0,
0.02,0.006,0.184,-0.004,
0.012,0.003,0.103,-0.03,
0.017,0.009,0.162,-0.006,
0.014,0.011,0.077,-0.039,
0.01,0.005,0.079,-0.033,
0.022,0.013,0.11,-0.001,
0.019,0.009,0.143,-0.15,
0.015,0.006,0.129,-0.047,
0.011,0.004,0.107,-0.058,
0.019,0.005,0.186,-0.024,
0.014,0.001,0.218,-0.045,
0.016,0.013,0.146,-0.03,
0.013,0.007,0.064,-0.044,
0.019,0.008,0.101,-0.021,
0.013,0.005,0.068,-0.028,
0.01,0.002,0.124,-0.02,
0.015,0.008,0.132,-0.018,
0.027,0.008,0.32,-0.018,
0.017,0.016,0.058,-0.02,
0.008,0.005,0.083,-0.077,
0.012,0.005,0.056,-0.045,
0.016,0.009,0.117,-0.014,
0.009,0.002,0.055,-0.005,
0.018,0.008,0.133,-0.023,
0.013,0.007,0.097,-0.126,
0.013,0.006,0.07,-0.01,
0.018,0.014,0.066,-0.013,
0.018,0.005,0.201,-0,
0.015,0.008,0.08,-0.038,
0.01,0.003,0.087,-0.034,
0.008,0.001,0.113,-0.083,
0.025,0.01,0.135,-0.009,
0.014,0.009,0.113,-0.018,
0.014,0.005,0.138,-0.026,
0.015,0.009,0.198,-0.067,
0.012,0.005,0.089,-0.013,
0.016,0.009,0.09,-0.003,
0.016,0.01,0.065,-0.016,
0.016,0.006,0.157,-0.032,
0.01,0.005,0.096,-0.025,
0.022,0.007,0.174,-0.005,
0.019,0.009,0.159,0,
0.018,0.013,0.163,-0.039,
0.014,0.003,0.111,-0.017,
0.014,0.009,0.078,-0.052,
0.018,0.012,0.1,-0.037,
0.003,0.002,0.056,-0.153,
0.017,0.009,0.154,-0.023,
0.006,0.007,0.057,-0.051,
0.016,0.005,0.145,-0.012,
0.016,0.003,0.209,-0.062,
0.029,0.013,0.196,0,
0.019,0.007,0.233,-0.031,
0.015,0.01,0.089,-0.034,
0.013,0.009,0.093,-0.038,
0.011,0.008,0.053,-0.02,
0.018,0.003,0.151,-0.031,
0.013,0.006,0.079,-0.023,
0.015,0.009,0.055,-0.004,
0.019,0.013,0.098,0,
0.024,0.009,0.138,-0.003,
0.006,0.002,0.048,-0.028,
0.014,0.009,0.078,-0.041,
0.019,0.009,0.107,-0.026,
0.013,0.002,0.22,-0.074,
0.017,0.003,0.106,-0.003,
0.025,0.013,0.203,-0.015,
0.009,0.004,0.123,-0.018,
0.015,0.004,0.116,-0.024,
0.014,0.001,0.109,-0.003,
0.009,0.005,0.058,-0.013,
0.009,0.005,0.149,-0.042,
0.016,0.001,0.184,-0.013,
0.016,0.004,0.296,-0.165,
0.014,0.009,0.065,-0.029,
0.015,0.005,0.145,-0.054,
0.02,0.007,0.171,-0.009,
0.02,0.009,0.132,-0.007,
0.017,0.006,0.207,-0.009,
0.017,0.004,0.218,-0.104,
0.012,0.003,0.12,-0.002,
0.01,0.004,0.176,-0.021,
0.008,0.008,0.073,-0.072,
0.018,0.003,0.201,-0.013,
0.016,0.01,0.119,-0.038,
0.015,0.014,0.082,-0.026,
0.011,0.009,0.061,-0.042,
0.023,0.013,0.111,0,
0.009,0.003,0.084,-0.026,
0.015,0.008,0.172,-0.004,
0.02,0.005,0.12,-0.023,
0.013,0.007,0.081,-0.025,
0.017,0.009,0.139,-0.004,
0.009,0.002,0.162,-0.005,
0.018,0.011,0.119,0,
0.021,0.006,0.307,-0.012,
0.017,0.004,0.105,-0,
0.022,0.008,0.112,-0.013,
0.008,0.002,0.071,-0.015,
0.021,0.006,0.15,-0.017,
0.01,0.005,0.059,-0.027,
0.011,0.005,0.134,-0.034,
0.008,0.003,0.047,-0.017,
0.013,0.009,0.064,-0.033,
