

Data analysis for each instance£º 
AVG,MED,MAX,MIN
-0.156,-0.108,0.151,-2.205,
-0.082,-0.076,0.154,-0.518,
-0.076,-0.077,0.358,-0.976,
-0.062,-0.054,0.24,-0.511,
-0.082,-0.098,0.241,-0.961,
-0.081,-0.071,0.254,-0.531,
-0.052,-0.043,0.172,-0.533,
-0.036,-0.067,0.322,-0.629,
-0.07,-0.073,0.313,-1,
-0.147,-0.109,0.209,-2.953,
-0.033,-0.058,0.164,-0.645,
-0.071,-0.08,0.334,-0.639,
-0.061,-0.071,0.215,-0.572,
-0.102,-0.085,0.119,-0.686,
-0.087,-0.082,0.26,-0.565,
-0.186,-0.148,0.151,-1.003,
-0.07,-0.072,0.174,-0.689,
-0.081,-0.076,0.392,-0.893,
-0.1,-0.077,0.192,-2.788,
-0.051,-0.06,0.253,-0.401,
-0.084,-0.063,0.246,-1.227,
-0.09,-0.083,0.281,-0.548,
-0.075,-0.079,0.256,-0.6,
-0.143,-0.118,0.27,-1.786,
-0.063,-0.06,0.221,-0.565,
-0.08,-0.076,0.25,-0.894,
-0.06,-0.06,0.258,-1.083,
-0.052,-0.075,0.264,-0.446,
-0.096,-0.095,0.288,-0.568,
-0.091,-0.092,0.184,-0.684,
-0.104,-0.089,0.399,-0.821,
-0.099,-0.082,0.306,-1.013,
-0.072,-0.058,0.212,-0.534,
-0.08,-0.085,0.239,-0.617,
-0.076,-0.079,0.265,-0.592,
-0.119,-0.107,0.097,-0.984,
-0.087,-0.117,0.267,-0.631,
-0.132,-0.133,0.239,-1.008,
-0.055,-0.072,0.193,-0.468,
-0.044,-0.043,0.182,-0.484,
-0.031,-0.034,0.324,-0.72,
-0.092,-0.066,0.159,-0.585,
-0.053,-0.068,0.348,-0.449,
-0.053,-0.089,0.276,-0.608,
-0.074,-0.072,0.169,-0.527,
-0.107,-0.091,0.209,-0.686,
-0.069,-0.093,0.25,-0.757,
-0.065,-0.065,0.311,-1.379,
-0.069,-0.081,0.236,-0.521,
-0.09,-0.089,0.193,-0.866,
-0.041,-0.067,0.48,-0.663,
-0.107,-0.1,0.293,-0.779,
-0.062,-0.1,0.417,-0.603,
-0.092,-0.053,0.176,-1.564,
-0.052,-0.071,0.282,-0.59,
-0.083,-0.086,0.678,-0.625,
-0.062,-0.072,0.188,-1.183,
-0.083,-0.08,0.159,-0.481,
-0.098,-0.122,0.437,-0.448,
-0.037,-0.061,0.296,-0.41,
-0.129,-0.121,0.247,-0.764,
-0.064,-0.075,0.43,-0.672,
-0.121,-0.121,0.24,-0.725,
-0.064,-0.052,0.216,-0.794,
-0.09,-0.055,0.223,-0.984,
-0.085,-0.088,0.24,-0.562,
-0.053,-0.073,0.213,-0.379,
-0.107,-0.101,0.223,-1.252,
-0.079,-0.071,0.11,-0.637,
-0.081,-0.081,0.222,-0.73,
-0.151,-0.136,0.276,-1.603,
-0.085,-0.079,0.434,-1.379,
-0.108,-0.1,0.353,-0.957,
-0.025,-0.034,0.257,-0.515,
-0.078,-0.08,0.233,-0.664,
-0.091,-0.082,0.271,-1.309,
-0.101,-0.1,0.291,-1.252,
-0.045,-0.064,0.215,-0.298,
-0.076,-0.089,0.261,-0.548,
-0.099,-0.115,0.186,-0.481,
-0.228,-0.096,0.244,-2.759,
-0.07,-0.075,0.254,-0.626,
-0.05,-0.05,0.31,-0.638,
-0.069,-0.074,0.177,-0.536,
-0.065,-0.051,0.253,-0.962,
-0.095,-0.09,0.283,-0.972,
-0.101,-0.1,0.152,-0.619,
-0.102,-0.109,0.238,-0.645,
-0.065,-0.092,0.242,-0.568,
-0.062,-0.096,0.297,-0.337,
-0.083,-0.083,0.26,-1.079,
-0.062,-0.071,0.287,-1.092,
-0.031,-0.057,0.242,-0.844,
-0.068,-0.068,0.138,-0.371,
-0.045,-0.074,0.705,-0.664,
-0.055,-0.071,0.394,-0.475,
-0.056,-0.063,0.282,-0.6,
-0.076,-0.071,0.175,-0.645,
-0.098,-0.094,0.153,-0.751,
-0.101,-0.091,0.197,-0.577,
-0.096,-0.104,0.122,-0.54,
-0.049,-0.036,0.217,-0.531,
-0.092,-0.076,0.251,-0.925,
-0.048,-0.049,0.186,-0.51,
-0.071,-0.074,0.239,-0.65,
-0.041,-0.058,0.197,-0.469,
-0.097,-0.086,0.223,-0.599,
-0.073,-0.073,0.145,-0.473,
-0.05,-0.07,0.214,-0.502,
-0.066,-0.069,0.271,-0.566,
-0.043,-0.058,0.331,-0.595,
-0.05,-0.046,0.211,-0.589,
