

Data analysis for each instance£º 
AVG,MED,MAX,MIN
7163812.5,7171996.5,14346679,10545,
7168048.264,7171762,14327168,21346,
7165698.272,7168410.5,14322962,21187,
7169614.903,7163135.5,14307239,25927,
7167359.182,7176107.5,14334409,24006,
7165262.49,7174923.5,14316712,27843,
7181761.636,7213930,14424455,14973,
7165804.056,7174755.5,14337029,22766,
7169115.374,7175597,14333296,25612,
7163260.918,7167113,14323870,15419,
7172223.003,7190911,14364254,26242,
7171408.382,7164059,14308439,23382,
7167065.721,7167543.5,14319143,30453,
7171106.887,7171761,14328047,22800,
7166847.833,7175360,14339218,17540,
7160825.313,7177858,14355087,758,
7171380.795,7193916,14370129,20824,
7163866.415,7175860.5,14335532,28587,
7168066.503,7171797.5,14325544,29373,
7170650.018,7179066,14338484,26126,
7165639.682,7180581,14348311,17965,
7166007.169,7161348.5,14310873,21759,
7166242.005,7167891.5,14330997,6067,
7169568.382,7165151.5,14314170,28712,
7167124.097,7174042.5,14337848,20289,
7164951,7184495,14349620,29265,
7170904.613,7164815,14305860,39000,
7174302.2,7207923.5,14399463,24721,
7175103.859,7184755.5,14353340,26048,
7168168.333,7172940.5,14318152,35267,
7169520.264,7186425.5,14351490,39032,
7167713.136,7168907.5,14320024,27889,
7168151.641,7167358.5,14315633,22404,
7165864.079,7160277,14298654,35929,
7170193.779,7196719,14384716,11464,
7174629.718,7202301.5,14386913,24559,
7168558.431,7166376,14317894,19654,
7164160.405,7177052.5,14352958,1715,
7171398.662,7165692.5,14314520,30713,
7170987.826,7189392.5,14354560,28793,
7166868.179,7179483,14333190,32309,
7160693.564,7174399.5,14327976,22557,
7164776.274,7171611,14325071,25828,
7160575.667,7174039.5,14349939,3126,
7172790.515,7186130,14353760,24991,
7171592.513,7177769.5,14354662,1311,
7169881.497,7163194,14307041,23917,
7170719.136,7181606.5,14357427,26338,
7167702.031,7180858,14344066,22195,
7162541.974,7163548.5,14299365,23545,
7164193.713,7173395.5,14324897,37594,
7166126.818,7168773,14322851,22289,
7167013.969,7186010.5,14352934,30315,
7168894.003,7168591.5,14319476,10836,
7167752.015,7180196,14345979,20128,
7169638.505,7198494,14391518,9923,
7167875.985,7165170.5,14317509,14709,
7175567.251,7173321.5,14321926,36714,
7165062.295,7167251.5,14329627,23144,
7172490.274,7187884.5,14353512,29736,
7164272.379,7174959.5,14345923,4750,
7164344.992,7177788.5,14326182,38818,
7171179.628,7205996,14399318,17696,
7170338.828,7166504,14306474,37062,
7164941.364,7172081,14320604,28632,
7164674.113,7179231,14357810,795,
7168721.613,7180531.5,14337737,40046,
7163616.913,7158754.5,14305135,20605,
7173253.262,7175348,14328861,36988,
7168764.254,7163472,14307832,35282,
7170137.577,7162119.5,14322698,2683,
7170121.408,7193157.5,14355063,43483,
7170258.105,7175411.5,14317934,27390,
7166053.587,7174108.5,14328011,26482,
7166372.977,7173378.5,14329597,27221,
7172806.521,7181735.5,14341816,30770,
7169362.069,7169142.5,14335761,3351,
7167107.977,7158984.5,14300342,23745,
7166269.923,7179502,14373840,13929,
7165064.377,7179944,14340034,22782,
7167798.003,7184420,14354754,22064,
7169970.564,7185412,14361618,13471,
7166771.221,7170674.5,14320679,29524,
7173212.008,7176430,14332210,27189,
7171276.513,7171288,14325129,36681,
7166315.462,7181787,14341156,26074,
7172590.39,7171720,14326371,27998,
7169573.633,7182666.5,14363064,36499,
7169301.556,7178684,14338127,28706,
7169110.708,7176893,14337366,17864,
7165322.159,7167463.5,14323138,2441,
7168351.074,7163769.5,14305371,37706,
7171076.803,7167213,14315723,27979,
7161168.379,7168785.5,14322464,26821,
7164369.438,7187115,14357979,26853,
7171204.703,7171132,14324903,29777,
7164499.321,7174934,14334493,27342,
7167486.269,7171844.5,14325953,25604,
7166181.272,7164077,14305935,33035,
7171444.387,7189521,14367075,21796,
7171871.395,7193639.5,14374715,17388,
7168853.11,7165684,14323216,8963,
7173453.264,7173784.5,14326985,29522,
7168871.764,7165410,14316426,32285,
