

Data analysis for each instance£º 
AVG,MED,MAX,MIN
-0.002,0,0.009,-0.119,
-0.001,0,0.004,-0.138,
-0.001,0,0.01,-0.187,
-0.001,0,0.007,-0.085,
-0.001,0,0.012,-0.109,
-0.001,0,0.011,-0.107,
-0.001,0,0.007,-0.21,
-0.001,0,0.012,-0.243,
-0.001,0,0.011,-0.134,
-0.001,0,0.006,-0.054,
-0.001,0,0.013,-0.23,
-0.002,0,0.009,-0.195,
-0.001,0,0.021,-0.192,
-0.002,0,0.016,-0.183,
-0.002,0,0.008,-0.223,
-0.002,0,0.012,-0.22,
-0.001,0,0.01,-0.181,
-0.001,0,0.007,-0.113,
-0.002,0,0.008,-0.139,
-0.001,0,0.004,-0.136,
-0.001,0,0.011,-0.104,
-0.002,0,0.007,-0.151,
-0.002,0,0.014,-0.172,
-0.002,0,0.005,-0.092,
-0.002,0,0.003,-0.225,
-0.002,0,0.008,-0.238,
-0.001,0,0.005,-0.099,
-0.001,0,0.003,-0.142,
-0.001,0,0.011,-0.149,
-0.001,0,0.007,-0.069,
-0.002,0,0.009,-0.112,
-0.001,0,0.008,-0.094,
-0.002,0,0.004,-0.131,
-0.001,0,0.013,-0.156,
-0.002,0,0.001,-0.188,
-0.002,0,0.007,-0.269,
-0.002,0,0.003,-0.209,
-0.003,0,0.004,-0.274,
-0.001,0,0.006,-0.093,
-0.001,0,0.003,-0.101,
-0.001,0,0.005,-0.198,
-0.002,0,0.031,-0.165,
-0.001,0,0.005,-0.144,
-0.001,0,0.005,-0.191,
-0.002,0,0.002,-0.193,
-0.002,0,0.005,-0.272,
-0.001,0,0.014,-0.1,
-0.001,0,0.006,-0.103,
-0.001,0,0.01,-0.062,
-0.002,0,0.004,-0.187,
-0.001,0,0.01,-0.127,
-0.002,0,0.015,-0.121,
-0.001,0,0.011,-0.186,
-0.001,0,0.005,-0.108,
-0.002,0,0.003,-0.227,
-0.001,0,0.008,-0.147,
-0.002,0,0.005,-0.144,
-0.002,0,0.005,-0.112,
-0.002,0,0.005,-0.123,
-0.001,0,0.003,-0.151,
-0.003,0,0.001,-0.264,
-0.001,0,0.008,-0.189,
-0.002,0,0.009,-0.134,
-0.001,0,0.031,-0.145,
-0.001,0,0.018,-0.066,
-0.002,0,0.006,-0.199,
-0.001,0,0.021,-0.1,
-0.002,0,0.027,-0.112,
-0.002,0,0.003,-0.217,
-0.002,0,0.008,-0.152,
-0.001,0,0.021,-0.079,
-0.001,0,0.028,-0.152,
-0.001,0,0.014,-0.079,
-0.001,0,0.004,-0.154,
-0.002,0,0.028,-0.199,
-0.001,0,0.005,-0.046,
-0.002,0,0.006,-0.107,
-0.001,0,0.007,-0.077,
-0.002,0,0.007,-0.191,
-0.001,0,0.012,-0.165,
-0.001,0,0.005,-0.104,
-0.002,0,0.006,-0.217,
-0.001,0,0.006,-0.154,
-0.002,0,0.004,-0.174,
-0.001,0,0.012,-0.071,
-0.001,0,0.008,-0.122,
-0.002,0,0.004,-0.136,
-0.001,0,0.009,-0.068,
-0.001,0,0.013,-0.166,
-0.001,0,0.006,-0.095,
-0.001,0,0.01,-0.159,
-0.001,0,0.013,-0.129,
-0.001,0,0.008,-0.099,
-0.001,0,0.021,-0.099,
-0.002,0,0.006,-0.097,
-0.001,0,0.009,-0.113,
-0.002,0,0.008,-0.218,
-0.002,0,0.018,-0.23,
-0.001,0,0.004,-0.109,
-0.002,0,0.006,-0.202,
-0.002,0,0.005,-0.091,
-0.002,0,0.001,-0.23,
-0.001,0,0.011,-0.153,
-0.001,0,0.003,-0.105,
-0.002,0,0.001,-0.178,
-0.001,0,0.014,-0.126,
-0.001,0,0.005,-0.094,
-0.001,0,0.007,-0.139,
-0.001,0,0.009,-0.092,
-0.002,0,0.018,-0.214,
-0.001,0,0.011,-0.163,
-0.001,0,0.009,-0.092,
-0.001,0,0.014,-0.128,
-0.001,0,0.007,-0.045,
-0.001,0,0.003,-0.133,
-0.002,0,0.006,-0.201,
-0.001,0,0.017,-0.21,
-0.002,0,0.012,-0.147,
-0.001,0,0.011,-0.102,
-0.001,0,0.004,-0.133,
-0.001,0,0.004,-0.137,
-0.001,0,0.008,-0.1,
-0.002,0,0.029,-0.187,
-0.002,0,0.015,-0.255,
-0.002,0,0.001,-0.174,
-0.001,0,0.014,-0.108,
-0.001,0,0.004,-0.09,
-0.001,0,0.034,-0.075,
-0.001,0,0.004,-0.101,
-0.001,0,0.012,-0.15,
-0.001,0,0.049,-0.157,
-0.002,0,0.004,-0.189,
-0.001,0,0.029,-0.203,
-0.001,0,0.006,-0.184,
-0.002,0,0.006,-0.123,
-0.002,0,0.006,-0.219,
-0.002,0,0.008,-0.101,
-0.001,0,0.026,-0.122,
-0.001,0,0.011,-0.165,
-0.001,0,0.007,-0.155,
-0.001,0,0.019,-0.186,
-0.002,0,0.008,-0.225,
-0.001,0,0.011,-0.152,
-0.001,0,0.008,-0.176,
-0.001,0,0.033,-0.165,
-0.002,0,0.009,-0.106,
-0.001,0,0.015,-0.082,
-0.002,0,0.005,-0.128,
-0.001,0,0.011,-0.077,
-0.001,0,0.008,-0.108,
-0.002,0,0.003,-0.265,
-0.002,0,0.007,-0.141,
-0.001,0,0.031,-0.152,
-0.002,0,0.011,-0.191,
-0.001,0,0.008,-0.081,
-0.002,0,0.003,-0.148,
-0.002,0,0.004,-0.212,
-0.001,0,0.018,-0.231,
-0.002,0,0.006,-0.095,
-0.002,0,0.008,-0.091,
-0.002,0,0.008,-0.126,
-0.002,0,0.007,-0.102,
-0.001,0,0.004,-0.169,
-0.002,0,0.004,-0.129,
-0.001,0,0.017,-0.15,
-0.001,0,0.01,-0.124,
-0.002,0,0.003,-0.177,
-0.001,0,0.008,-0.093,
-0.001,0,0.007,-0.07,
-0.001,0,0.005,-0.103,
-0.001,0,0.039,-0.17,
-0.001,0,0.016,-0.1,
-0.002,0,0.008,-0.243,
-0.002,0,0.007,-0.197,
-0.002,0,0.01,-0.188,
-0.001,0,0.011,-0.125,
-0.001,0,0.006,-0.16,
-0.002,0,0.006,-0.217,
-0.001,0,0.013,-0.079,
-0.001,0,0.007,-0.152,
-0.001,0,0.028,-0.105,
-0.002,0,0.014,-0.126,
-0.001,0,0.01,-0.199,
-0.001,0,0.006,-0.063,
-0.002,0,0.009,-0.158,
-0.001,0,0.004,-0.187,
-0.001,0,0.004,-0.126,
-0.002,0,0.012,-0.144,
-0.001,0,0.012,-0.154,
-0.001,0,0.013,-0.059,
-0.001,0,0.012,-0.119,
-0.001,0,0.008,-0.175,
-0.001,0,0.012,-0.165,
-0.002,0,0.004,-0.246,
-0.001,0,0.015,-0.107,
-0.002,0,0.002,-0.148,
-0.002,0,0.009,-0.161,
-0.002,0,0.005,-0.235,
-0.001,0,0.006,-0.065,
-0.001,0,0.005,-0.1,
-0.001,0,0.013,-0.057,
-0.001,0,0.011,-0.143,
-0.001,0,0.004,-0.067,
-0.001,0,0.004,-0.108,
-0.001,0,0.007,-0.128,
-0.001,0,0.006,-0.108,
-0.001,0,0.009,-0.113,
-0.001,0,0.005,-0.077,
-0.001,0,0.014,-0.082,
-0.002,0,0.014,-0.163,
-0.001,0,0.008,-0.123,
-0.002,0,0.003,-0.204,
-0.002,0,0.005,-0.207,
-0.002,0,0.008,-0.218,
-0.001,0,0.008,-0.09,
-0.002,0,0.002,-0.169,
-0.001,0,0.006,-0.259,
-0.001,0,0.003,-0.143,
-0.001,0,0.004,-0.113,
-0.001,0,0.017,-0.158,
-0.002,0,0.013,-0.119,
-0.001,0,0.003,-0.122,
-0.001,0,0.005,-0.124,
-0.001,0,0.004,-0.158,
-0.001,0,0.005,-0.103,
-0.001,0,0.012,-0.065,
-0.001,0,0.015,-0.198,
-0.002,0,0.004,-0.163,
-0.002,0,0.007,-0.241,
-0.002,0,0.006,-0.115,
-0.001,0,0.004,-0.064,
-0.001,0,0.012,-0.058,
-0.001,0,0.005,-0.137,
-0.001,0,0.015,-0.137,
-0.002,0,0.006,-0.195,
-0.001,0,0.016,-0.188,
-0.002,0,0.003,-0.223,
-0.002,0,0.006,-0.224,
-0.002,0,0.01,-0.12,
-0.001,0,0.009,-0.136,
-0.001,0,0.011,-0.098,
-0.001,0,0.008,-0.119,
-0.001,0,0.019,-0.093,
-0.001,0,0.008,-0.088,
-0.001,0,0.015,-0.06,
-0.001,0,0.021,-0.094,
-0.002,0,0.003,-0.217,
-0.002,0,0.007,-0.189,
-0.001,0,0.004,-0.067,
-0.001,0,0.008,-0.088,
-0.001,0,0.016,-0.12,
-0.002,0,0.022,-0.16,
-0.002,0,0.007,-0.134,
-0.001,0,0.008,-0.14,
-0.001,0,0.004,-0.119,
-0.002,0,0.007,-0.179,
-0.001,0,0.005,-0.163,
-0.001,0,0.004,-0.19,
-0.001,0,0.004,-0.066,
-0.001,0,0.01,-0.08,
-0.001,0,0.021,-0.092,
-0.001,0,0.017,-0.11,
-0.002,0,0.005,-0.189,
-0.001,0,0.008,-0.196,
-0.001,0,0.011,-0.103,
-0.002,0,0.004,-0.208,
-0.002,0,0.01,-0.141,
-0.002,0,0.008,-0.136,
-0.001,0,0.019,-0.101,
-0.001,0,0.01,-0.111,
-0.002,0,0.009,-0.245,
-0.001,0,0.008,-0.061,
-0.001,0,0.005,-0.108,
-0.001,0,0.003,-0.155,
-0,0,0.008,-0.071,
-0.002,-0,0.002,-0.217,
-0.001,0,0.003,-0.163,
-0.001,0,0.006,-0.213,
-0.002,0,0.009,-0.133,
-0.001,0,0.01,-0.1,
-0.002,0,0.01,-0.191,
-0.001,0,0.012,-0.093,
-0.001,0,0.023,-0.07,
-0.002,0,0.008,-0.205,
-0.001,0,0.005,-0.145,
-0.001,0,0.017,-0.117,
-0.002,0,0.002,-0.135,
-0.001,0,0.011,-0.148,
-0.001,0,0.008,-0.166,
-0.002,0,0.004,-0.192,
-0.001,0,0.006,-0.108,
-0.002,0,0.013,-0.13,
-0.002,0,0.005,-0.053,
-0.002,0,0.004,-0.166,
-0.001,0,0.055,-0.08,
-0.001,0,0.008,-0.123,
-0.001,0,0.022,-0.079,
-0.002,0,0.007,-0.171,
-0.001,0,0.003,-0.173,
-0.001,0,0.015,-0.098,
-0.001,0,0.013,-0.116,
-0.002,0,0.006,-0.122,
-0.001,0,0.017,-0.252,
-0.001,0,0.01,-0.13,
-0.001,0,0.009,-0.097,
-0.002,0,0.009,-0.21,
-0.002,0,0.009,-0.196,
-0.001,0,0.014,-0.077,
-0.002,0,0.005,-0.091,
-0.002,0,0.012,-0.224,
-0.001,0,0.013,-0.122,
-0.002,0,0.009,-0.181,
-0.002,0,0.008,-0.201,
-0.001,0,0.018,-0.231,
-0.001,0,0.004,-0.042,
-0.001,0,0.034,-0.119,
-0.002,0,0.017,-0.097,
-0.001,0,0.033,-0.107,
-0.001,0,0.008,-0.17,
-0.002,0,0.008,-0.132,
-0.002,0,0.006,-0.19,
-0.001,0,0.006,-0.1,
-0.002,0,0.007,-0.201,
-0.001,0,0.019,-0.161,
