

Data analysis for each instance 
AVG,MED,MAX,MIN
3571.3,3137.5,7634,2775,
3380,2912,6893,2749,
3609.6,3002,8881,2874,
3550.5,2994,8015,2750,
3801,3193.5,9326,2536,
3583.1,2994,8608,2794,
3673.2,3226,8148,2758,
3859.8,3424.5,8068,3077,
3784.5,3212,8734,2924,
3675.4,3170,8157,2945,
3298.9,2846.5,7257,2669,
3628.8,3147.5,7503,2734,
3516.8,3039,8468,2547,
3776.4,3389,8780,2579,
3438.1,2917,8192,2604,
3190.2,2878.5,6494,2324,
3356.4,3033.5,7009,2641,
3707,3186.5,8368,2853,
3572.2,3123.5,6922,2789,
3267.1,2816.5,6898,2672,
4100.3,3429,10252,3004,
3372.6,2832.5,7204,2598,
4004.5,3355.5,9665,2890,
3536.5,3099.5,8086,2323,
3583.1,3069.5,7775,2919,
3927.8,3430,9580,2809,
4085,3458,9295,3094,
3321.6,2900,6987,2681,
3352.7,2979.5,7137,2695,
3385.6,2915.5,7384,2659,
3533.6,2889.5,8602,2560,
3995,3383.5,9053,3072,
3925.1,3168.5,9275,2921,
3168.5,2710,6867,2559,
3501.6,2892.5,8799,2443,
3456.4,2988,7236,2746,
3589.6,3047,8446,2834,
3855.1,3354.5,9267,2537,
4312,3637.5,10876,2965,
3575.9,3123.5,8234,2701,
3543.4,3029,8036,2702,
3572.1,3059,8593,2759,
3810.2,3391,8007,2920,
3687.7,3123,8571,2905,
3801.2,3364,7567,2758,
3222.7,2865.5,7041,2406,
3975.5,3470,8629,3096,
3648.2,3006.5,9038,2629,
3447.3,3137.5,7078,2672,
3618.4,3267,8031,2459,
3540.6,3139.5,7419,2833,
3597.3,3010.5,8854,2827,
3672.2,3102.5,8586,2651,
3761.7,3170,8865,2794,
3985.7,3407.5,9938,3076,
3511.2,3017,7817,2831,
3362.3,2954,7083,2691,
3535.4,3050,7748,2674,
3920.8,3254.5,9944,2535,
3567.3,3023,8387,2833,
4249.4,3475,10280,2788,
3609.3,3036,8787,2772,
3482.6,3127,7351,2518,
3722.4,3193,7947,2901,
3475.1,3061.5,8145,2670,
3897,3341,9069,2484,
3632,3106.5,8570,2754,
3585.9,3101,7863,2815,
3592.4,3242,6919,3035,
4014.2,3788.5,8621,2899,
3295,2856.5,7260,2699,
3444,3055,7920,2700,
3531.8,3055.5,7502,2861,
4183,3519.5,9650,3006,
3802.4,3162.5,8934,2974,
3929.8,3394.5,8971,2899,
3589.4,3157,7930,2819,
3625.5,3234,8269,2357,
3350.4,2919,6836,2727,
3293.1,2846,7262,2599,
3484.7,3069,7838,2665,
3666,3267.5,8452,2756,
3754.3,3269.5,9396,2565,
3268.3,2884,6917,2507,
3513.7,3130,7287,2810,
3734.6,3127,8739,2874,
3919.4,3509.5,8187,2861,
3739.5,3247.5,8380,2585,
4042.5,3472.5,9745,2708,
3388,2933.5,7264,2728,
3705.4,3029,9216,2827,
3521,3175.5,6929,2766,
3884.2,3462,9323,2521,
4041.1,3508,9300,2408,
3689,3279,8462,2442,
3478.9,2931,7738,2706,
3525.2,3123.5,7610,2707,
3488.1,3063.5,7564,2710,
3826.4,3184.5,8897,2689,
4189.9,3543.5,9722,2994,
4038.1,3532.5,9286,2931,
3595.8,3007.5,8414,2432,
3657.7,3156.5,8793,2638,
3981,3496,8873,2741,
3565.8,3210,7890,2619,
3629.1,3078.5,8358,2900,
3753,3336,7712,2832,
3729.5,3242.5,7865,2977,
3421.3,2937.5,7713,2678,
3434.1,3002.5,7311,2641,
3762,3096,9091,2870,
3597.1,3167,8022,2489,
4023.7,3249.5,9979,2874,
3360.9,2858.5,7693,2684,
3457.3,2968,7697,2779,
3483.6,3099,7797,2554,
3462.1,2922.5,8677,2494,
3456.6,2993.5,7727,2712,
3587.2,3103,8374,2526,
3541.1,2988,8845,2660,
3709.9,3279,8042,2690,
3400.5,3064.5,7289,2610,
3335.5,2920.5,6939,2732,
3615.2,3200,7376,2712,
3731.8,3174,8428,2853,
3475.2,2950.5,7312,2666,
3433.5,3014,7536,2580,
3452.7,2954,7471,2638,
3355.9,2926.5,7355,2610,
3609,3157,8153,2785,
3273,2846.5,7107,2643,
3735.5,3211,8284,2927,
4409.8,3694,10768,3117,
3790.5,3325.5,8037,2715,
3596.5,3030.5,8792,2797,
3342.3,2908,7837,2272,
4301.5,3640,11929,2494,
3410.4,2838.5,8168,2620,
4027.4,3448,8805,3380,
4264.6,3649,10172,2909,
3564.8,3072,7966,2702,
4011.2,3439.5,9800,2908,
3530.5,3048.5,8536,2700,
3568.1,3075.5,8234,2679,
3456.7,3177,7062,2560,
3499.5,3022.5,7879,2532,
3358.9,2962,7402,2556,
3643.6,3096,8777,2744,
4074.2,3374,10333,2931,
3651.8,3226.5,8473,2646,
3683.1,3257.5,8082,2812,
3264.3,2775.5,7913,2454,
3491.7,3061.5,7580,2659,
3338.5,2663.5,8021,2499,
3583.1,3079,7566,2924,
3554.6,3049,7606,2721,
3338.4,2926,7708,2567,
3548.9,3060,7838,2874,
3842.4,3328.5,8694,3090,
3765.5,3313,8005,2974,
3289.6,2836.5,7443,2591,
3562.5,3078,7775,2882,
4502.1,3743,11141,2906,
3777.4,3247.5,8207,2617,
4244,3664.5,9092,2740,
3174.7,2784.5,6842,2559,
3410,2934.5,7571,2596,
3951.7,3320.5,9605,2926,
3438.4,2990,7466,2804,
3502.5,2973.5,8145,2454,
3928.7,3488.5,8251,3124,
3830.2,3424.5,7961,2954,
4109.6,3562.5,10060,2630,
3275.9,2922,7302,2576,
3579.1,2983,7835,2807,
3754.1,3350.5,7878,2770,
3751.4,3326.5,8781,2264,
3343.6,2862.5,7209,2687,
4077.2,3670.5,8134,2877,
3440.8,3006,7624,2674,
4390.6,3892,9081,3527,
4297.7,3726,10182,2643,
3221.5,2869,6649,2509,
3563.1,3147,7647,2612,
3484.7,2936,8331,2762,
3209.3,2835.5,7090,2537,
3436.7,2950,7392,2588,
4584,3765,11796,2843,
5732.3,4356.5,16882,3962,
3495.4,3023,7496,2593,
4028.4,3558.5,9120,3066,
3917.6,3297.5,8851,2592,
3335.6,2848.5,7455,2697,
4224.6,3806.5,9035,3044,
3458.4,2934.5,7720,2760,
3477.2,3058.5,7729,2669,
3589.1,2987.5,8720,2683,
3522.4,2994,8838,2678,
3428,3013,7331,2770,
4373.9,3753.5,9162,3419,
3343.9,2860,7559,2618,
3898.2,3343,9551,2525,
3507.7,3055,7576,2744,
3657.8,3202,7387,2754,
3641.5,2927.5,9492,2737,
4012.3,3485.5,8786,2936,
3505,2990.5,7782,2738,
3743.8,3272.5,8006,2570,
3928.2,3351,9696,2881,
3463.8,2920.5,8287,2536,
3940.5,3218,10368,2657,
3394.9,2928.5,7792,2405,
3528.3,3150.5,7857,2700,
3789.4,3330.5,7781,3016,
3761.6,3246,9010,2790,
3785.7,3313,8080,2995,
3698.5,3291,7889,2516,
3492.8,2967,8061,2516,
3507.2,3055.5,7543,2880,
3686.9,3176.5,8815,2567,
5087.7,4455,12328,3375,
3620,3170,7848,2811,
3856.5,3323,8913,2854,
3740.1,3170.5,8817,2835,
3501.1,3138,7393,2750,
4562.2,4083,8997,3562,
3608,3084.5,8776,2230,
3381,2957,7002,2593,
3427.7,2978.5,7299,2835,
3690.3,3157.5,8512,2896,
3388.8,2938.5,7404,2586,
3651.3,3165,8106,2881,
3408.3,2862.5,7917,2609,
3455.5,2935.5,7970,2489,
3560.3,3232,7285,2492,
3367.2,2955.5,7170,2681,
3851.9,3370.5,9120,2742,
3456.5,3183,7231,2571,
3432.2,2952,7849,2548,
3775.1,3336.5,7820,2823,
3791.3,3250,8900,2834,
3897.2,3371.5,9024,2875,
3945.2,3554.5,8194,2561,
3132.8,2712.5,6913,2376,
