

Data analysis for each instance 
AVG,MED,MAX,MIN
0.034,0.044,0.089,-0.085,
0.024,0.025,0.124,-0.126,
0.07,0.07,0.132,0.016,
0.058,0.039,0.183,0.006,
0.024,0.015,0.148,-0.126,
0.027,0.031,0.15,-0.119,
0.05,0.076,0.149,-0.051,
0.039,0.039,0.119,-0.056,
-0.004,-0.005,0.092,-0.1,
0.088,0.102,0.176,-0.063,
0.058,0.058,0.146,-0.051,
0.056,0.08,0.121,-0.136,
0.021,0.051,0.181,-0.095,
0.03,0.052,0.116,-0.194,
0.031,0.022,0.114,-0.018,
0.031,0.045,0.137,-0.163,
0.041,0.059,0.144,-0.145,
0.053,0.052,0.116,-0.016,
0.018,-0.007,0.262,-0.184,
0.069,0.083,0.149,-0.089,
0.042,0.033,0.194,-0.075,
0.044,0.052,0.119,-0.104,
0.055,0.053,0.201,-0.004,
0.098,0.142,0.243,-0.117,
0.041,0.062,0.089,-0.126,
0.033,0.043,0.125,-0.065,
0.066,0.073,0.17,-0.133,
0.035,0.054,0.146,-0.178,
0.083,0.082,0.178,-0.032,
0.048,0.036,0.146,-0.107,
0.06,0.066,0.168,-0.007,
0.04,0.017,0.186,-0.119,
-0.025,-0.032,0.13,-0.166,
0.06,0.081,0.175,-0.118,
0.031,0.046,0.131,-0.244,
0.009,0.004,0.126,-0.097,
0.048,0.021,0.217,-0.048,
0.034,0.046,0.159,-0.157,
0,-0.002,0.092,-0.169,
0.049,0.052,0.128,-0.03,
0.058,0.048,0.189,-0.006,
0.081,0.111,0.171,-0.077,
-0.021,0.015,0.066,-0.17,
0.107,0.128,0.167,-0.047,
0.056,0.083,0.152,-0.148,
0.096,0.132,0.199,-0.027,
0.044,0.059,0.155,-0.117,
-0.008,-0.024,0.113,-0.087,
0.083,0.095,0.161,-0.134,
0.058,0.064,0.188,-0.148,
0.054,0.047,0.143,-0.074,
0.016,0.033,0.099,-0.093,
0.035,0.029,0.146,-0.083,
0.04,0.048,0.093,-0.016,
0.014,0.034,0.085,-0.072,
0.067,0.086,0.144,-0.091,
0.055,0.071,0.19,-0.091,
0.043,0.057,0.22,-0.177,
0.033,0.052,0.123,-0.111,
0.084,0.06,0.182,-0.015,
0.099,0.148,0.215,-0.165,
0.08,0.085,0.325,-0.193,
0.054,0.07,0.155,-0.177,
0.025,0.072,0.161,-0.179,
0.029,0.02,0.136,-0.116,
0.032,0.032,0.145,-0.104,
0.084,0.108,0.151,-0.036,
0.047,0.045,0.158,-0.065,
0.064,0.084,0.211,-0.106,
0.011,0.013,0.224,-0.183,
0.068,0.081,0.153,-0.14,
0.051,0.044,0.116,-0.044,
0.077,0.07,0.202,-0.049,
0.025,0.017,0.157,-0.161,
0.089,0.076,0.205,-0.035,
0.033,0.043,0.156,-0.111,
0.067,0.083,0.183,-0.051,
0.023,0.022,0.105,-0.11,
0.069,0.052,0.177,-0.095,
0.083,0.079,0.193,-0.046,
-0.022,-0.032,0.13,-0.151,
0.076,0.088,0.169,-0.013,
-0.001,-0.006,0.153,-0.17,
0.073,0.08,0.155,-0.053,
0.055,0.052,0.091,0.011,
-0.019,-0.003,0.058,-0.121,
0.095,0.087,0.213,-0.03,
0.042,0.058,0.17,-0.076,
-0.086,-0.106,0.072,-0.215,
0.032,0.019,0.166,-0.15,
0.062,0.081,0.16,-0.128,
0.068,0.057,0.182,-0.051,
0.06,0.083,0.14,-0.061,
0.058,0.061,0.163,-0.069,
0.029,0.057,0.203,-0.261,
0.067,0.068,0.159,-0.07,
0.048,0.05,0.079,0.001,
0.024,0.014,0.166,-0.149,
-0.015,0,0.06,-0.142,
0.077,0.081,0.203,-0.074,
0.071,0.088,0.154,-0.097,
0.017,0.02,0.142,-0.119,
0.077,0.073,0.128,0.039,
0.112,0.112,0.269,-0.146,
0.049,0.049,0.197,-0.097,
0.052,0.056,0.111,0.005,
0.027,0.052,0.143,-0.12,
0.05,0.06,0.209,-0.107,
0.012,0.019,0.092,-0.096,
0.081,0.096,0.145,-0.066,
0.017,0.006,0.102,-0.073,
0.013,0.034,0.129,-0.121,
0.073,0.053,0.335,-0.06,
0.082,0.075,0.191,-0.061,
0.043,0.029,0.138,-0.073,
0.054,0.056,0.155,-0.088,
0.022,0.026,0.199,-0.102,
0.028,0.022,0.167,-0.121,
0.069,0.073,0.172,-0.043,
0.066,0.072,0.208,-0.13,
0.059,0.077,0.137,-0.02,
0.047,0.043,0.175,-0.097,
0.072,0.054,0.188,-0.046,
0.055,0.065,0.128,-0.094,
0.058,0.065,0.125,-0.043,
0.015,0.025,0.113,-0.148,
0.038,0.062,0.129,-0.125,
0.038,0.031,0.113,-0.058,
0.051,0.102,0.12,-0.124,
0.1,0.102,0.208,0.008,
0.033,0.04,0.115,-0.12,
0.064,0.097,0.176,-0.117,
0.031,0.074,0.149,-0.211,
0.035,0.044,0.182,-0.172,
0.066,0.058,0.286,-0.123,
0.056,0.097,0.156,-0.115,
-0.063,-0.126,0.263,-0.252,
0.043,0.044,0.121,-0.093,
0.042,0.03,0.126,-0.017,
0.027,0.074,0.13,-0.137,
0.022,0.013,0.122,-0.077,
-0.021,-0.021,0.088,-0.136,
0.062,0.064,0.144,0.007,
0.046,0.045,0.169,-0.094,
0.049,0.082,0.14,-0.097,
0.055,0.07,0.11,-0.048,
0.055,0.088,0.13,-0.124,
0.016,0.002,0.137,-0.092,
0.014,-0.002,0.13,-0.078,
0.059,0.053,0.144,-0.074,
0.048,0.056,0.2,-0.158,
0.033,0.05,0.091,-0.137,
0.094,0.081,0.204,0.001,
0.004,-0,0.083,-0.107,
0.046,0.04,0.142,-0.088,
0.041,0.044,0.13,-0.078,
0.07,0.072,0.208,-0.112,
0.087,0.106,0.149,-0.019,
0.078,0.077,0.172,-0.033,
0.07,0.083,0.154,-0.15,
0.048,0.068,0.177,-0.112,
0.06,0.056,0.267,-0.099,
0.01,0.01,0.147,-0.11,
0.037,0.046,0.103,-0.092,
0.08,0.087,0.222,-0.11,
0.06,0.067,0.147,-0.025,
0.043,0.053,0.132,-0.11,
0.039,0.036,0.177,-0.085,
0.037,0.086,0.133,-0.11,
0.077,0.064,0.201,-0.024,
0.045,0.066,0.149,-0.128,
-0.029,-0.006,0.137,-0.246,
0.035,0.021,0.18,-0.067,
0.054,0.048,0.137,-0.032,
0.04,0.08,0.155,-0.192,
0.067,0.063,0.197,-0.085,
0.055,0.05,0.16,-0.093,
0.031,0.057,0.111,-0.101,
0.037,0.015,0.274,-0.125,
0.045,0.042,0.107,-0.036,
0.048,0.044,0.243,-0.155,
0.074,0.098,0.224,-0.212,
0.064,0.049,0.162,-0.104,
0.078,0.066,0.223,0.027,
0.044,0.051,0.106,-0.04,
0.062,0.08,0.152,-0.118,
0.047,0.044,0.118,-0.062,
-0.004,0.017,0.125,-0.16,
0,0,0.005,0,
0.067,0.077,0.169,-0.08,
0.021,-0.002,0.194,-0.115,
-0.016,-0.025,0.11,-0.138,
0.063,0.039,0.179,-0.039,
0.035,0.015,0.216,-0.215,
0.025,0.023,0.12,-0.111,
0.045,0.063,0.15,-0.136,
0.063,0.072,0.162,-0.063,
0.041,0.044,0.15,-0.064,
0.043,0.053,0.179,-0.096,
0.061,0.092,0.143,-0.076,
0.056,0.061,0.114,-0.034,
0.035,0.063,0.121,-0.165,
0.057,0.058,0.119,0,
-0.028,-0.045,0.207,-0.24,
0.014,-0.001,0.261,-0.161,
0,-0.014,0.084,-0.045,
0.026,0.019,0.077,-0.021,
0.066,0.104,0.142,-0.114,
0.023,-0.003,0.164,-0.105,
-0.011,-0.009,0.096,-0.129,
0.035,0.039,0.113,-0.046,
0.043,0.045,0.144,-0.067,
0.041,0.038,0.146,-0.054,
0.016,0.025,0.085,-0.061,
0.05,0.026,0.22,-0.073,
0.043,0.041,0.127,-0.029,
-0.068,-0.094,0.123,-0.131,
0.015,0.019,0.065,-0.047,
0.043,0.055,0.115,-0.068,
0.073,0.084,0.13,-0.017,
0.02,0.013,0.096,-0.017,
0.056,0.084,0.129,-0.117,
0.041,0.057,0.128,-0.08,
0.014,-0.005,0.147,-0.07,
0.041,0.062,0.15,-0.192,
0.062,0.068,0.212,-0.098,
0.081,0.101,0.14,-0.073,
0.074,0.101,0.21,-0.273,
0.046,0.058,0.135,-0.101,
0.104,0.112,0.215,-0.11,
0.04,0.02,0.162,-0.084,
0.028,0.006,0.196,-0.097,
0.056,0.053,0.194,-0.04,
0.021,0.022,0.134,-0.102,
0.031,0.041,0.141,-0.159,
0.016,0.042,0.117,-0.142,
0.046,0.021,0.196,-0.088,
0.087,0.08,0.196,-0.054,
0.029,0.046,0.098,-0.104,
0.047,0.057,0.221,-0.094,
0.047,0.057,0.163,-0.089,
0.097,0.107,0.221,-0.069,
0.025,0.069,0.147,-0.26,
0.069,0.095,0.16,-0.072,
0.031,0.011,0.186,-0.14,
0.05,0.069,0.156,-0.112,
0.06,0.062,0.186,-0.078,
0.023,0.033,0.191,-0.149,
0.059,0.063,0.149,-0.097,
0.12,0.139,0.243,-0.093,
0.087,0.071,0.295,-0.058,
0.074,0.09,0.15,-0.038,
0.058,0.073,0.159,-0.103,
0.064,0.097,0.162,-0.088,
0.07,0.063,0.157,-0.056,
0.061,0.074,0.138,-0.041,
0.088,0.12,0.186,-0.082,
0.05,0.056,0.149,-0.171,
0.02,0.038,0.1,-0.175,
0.078,0.072,0.171,-0.001,
0.081,0.061,0.261,-0.043,
0.05,0.053,0.135,-0.132,
0.022,0.043,0.153,-0.073,
0.04,0.055,0.139,-0.172,
0.067,0.06,0.208,-0.047,
0.041,0.05,0.13,-0.041,
0.019,0.018,0.113,-0.11,
0.045,0.073,0.149,-0.086,
0.077,0.064,0.2,-0.033,
0.028,0.042,0.129,-0.124,
0.049,0.06,0.132,-0.053,
0.049,0.062,0.115,-0.062,
0.056,0.072,0.123,-0.051,
0.046,0.04,0.191,-0.079,
0.029,0.043,0.138,-0.095,
0.051,0.042,0.237,-0.085,
0.028,0.028,0.158,-0.116,
0.039,0.082,0.126,-0.085,
0.064,0.079,0.239,-0.102,
0.029,0.07,0.129,-0.153,
0.078,0.117,0.227,-0.121,
0.043,0.058,0.11,-0.066,
0.072,0.086,0.224,-0.054,
0.037,0.056,0.144,-0.124,
0.047,0.042,0.108,-0.021,
0.026,0.048,0.107,-0.161,
0.104,0.104,0.2,-0.036,
0.06,0.094,0.203,-0.171,
0.03,0,0.189,-0.085,
0.053,0.061,0.145,-0.029,
0.024,0.032,0.085,-0.127,
0.02,0.029,0.101,-0.064,
0.023,0.025,0.212,-0.128,
0.059,0.088,0.155,-0.076,
0.116,0.12,0.231,0.003,
0.01,-0.001,0.226,-0.108,
0.033,0.026,0.186,-0.1,
0.026,0.039,0.152,-0.116,
0.048,0.04,0.132,-0.041,
0.112,0.136,0.169,0,
0.068,0.08,0.132,-0.064,
0.049,0.05,0.182,-0.128,
0.017,-0.01,0.168,-0.077,
0.048,0.074,0.127,-0.091,
-0.008,0.005,0.171,-0.21,
0.013,0.016,0.108,-0.132,
0.04,0.035,0.107,-0.008,
0.049,0.083,0.163,-0.12,
0.04,0.061,0.124,-0.085,
0.016,0.034,0.077,-0.066,
0.04,0.025,0.125,-0.074,
0.067,0.087,0.162,-0.073,
0.077,0.067,0.184,-0.033,
0.065,0.068,0.195,-0.056,
0.071,0.085,0.192,-0.163,
