

Data analysis for each instance 
AVG,MED,MAX,MIN
0.553,0.508,1,0.465,
0.541,0.481,1,0.469,
0.529,0.475,1,0.437,
0.535,0.487,1,0.43,
0.503,0.453,1,0.402,
0.526,0.485,1,0.422,
0.518,0.464,1,0.443,
0.517,0.461,1,0.441,
0.526,0.478,1,0.448,
0.533,0.489,1,0.444,
0.547,0.497,1,0.476,
0.511,0.466,1,0.422,
0.526,0.468,1,0.434,
0.501,0.45,1,0.41,
0.542,0.49,1,0.446,
0.543,0.495,1,0.471,
0.53,0.478,1,0.433,
0.522,0.461,1,0.44,
0.494,0.442,1,0.4,
0.541,0.489,1,0.463,
0.507,0.456,1,0.396,
0.533,0.489,1,0.43,
0.509,0.46,1,0.409,
0.518,0.473,1,0.414,
0.531,0.475,1,0.434,
0.523,0.471,1,0.43,
0.485,0.432,1,0.367,
0.553,0.511,1,0.463,
0.536,0.485,1,0.457,
0.522,0.471,1,0.442,
0.553,0.499,1,0.47,
0.503,0.448,1,0.41,
0.496,0.448,1,0.401,
0.555,0.502,1,0.48,
0.513,0.463,1,0.421,
0.541,0.49,1,0.441,
0.504,0.456,1,0.416,
0.453,0.387,1,0.347,
0.489,0.427,1,0.409,
0.532,0.488,1,0.443,
0.516,0.467,1,0.443,
0.538,0.481,1,0.459,
0.484,0.435,1,0.392,
0.521,0.475,1,0.434,
0.502,0.449,1,0.428,
0.543,0.488,1,0.448,
0.504,0.452,1,0.42,
0.519,0.466,1,0.438,
0.546,0.506,1,0.456,
0.508,0.463,1,0.41,
0.526,0.473,1,0.44,
0.534,0.491,1,0.446,
0.523,0.475,1,0.438,
0.511,0.453,1,0.416,
0.523,0.465,1,0.435,
0.525,0.473,1,0.436,
0.518,0.461,1,0.445,
0.527,0.47,1,0.438,
0.494,0.445,1,0.397,
0.525,0.478,1,0.42,
0.505,0.452,1,0.418,
0.523,0.469,1,0.434,
0.529,0.482,1,0.44,
0.49,0.435,1,0.404,
0.524,0.476,1,0.446,
0.493,0.445,1,0.391,
0.52,0.461,1,0.44,
0.525,0.475,1,0.439,
0.532,0.478,1,0.455,
0.487,0.433,1,0.384,
0.546,0.499,1,0.466,
0.535,0.484,1,0.451,
0.536,0.482,1,0.453,
0.511,0.454,1,0.428,
0.525,0.47,1,0.443,
0.515,0.461,1,0.429,
0.54,0.491,1,0.446,
0.513,0.461,1,0.393,
0.549,0.498,1,0.473,
0.545,0.499,1,0.46,
0.528,0.479,1,0.449,
0.529,0.477,1,0.456,
0.502,0.447,1,0.41,
0.547,0.49,1,0.486,
0.52,0.469,1,0.437,
0.524,0.487,1,0.423,
0.502,0.447,1,0.41,
0.492,0.434,1,0.415,
0.497,0.441,1,0.371,
0.537,0.486,1,0.45,
0.53,0.475,1,0.453,
0.525,0.463,1,0.437,
0.519,0.47,1,0.441,
0.493,0.431,1,0.399,
0.516,0.457,1,0.422,
0.544,0.487,1,0.461,
0.539,0.486,1,0.462,
0.513,0.467,1,0.431,
0.484,0.425,1,0.401,
0.507,0.448,1,0.436,
0.498,0.445,1,0.417,
0.506,0.449,1,0.419,
0.526,0.472,1,0.46,
0.506,0.458,1,0.395,
0.533,0.479,1,0.445,
0.541,0.49,1,0.46,
0.499,0.451,1,0.418,
0.521,0.465,1,0.43,
0.528,0.475,1,0.436,
0.524,0.47,1,0.44,
0.512,0.457,1,0.436,
0.513,0.454,1,0.434,
0.488,0.433,1,0.411,
0.535,0.478,1,0.448,
0.542,0.487,1,0.454,
0.533,0.49,1,0.446,
0.524,0.47,1,0.444,
0.508,0.451,1,0.407,
0.531,0.479,1,0.458,
0.505,0.447,1,0.401,
0.527,0.473,1,0.442,
0.529,0.474,1,0.44,
0.545,0.494,1,0.47,
0.533,0.481,1,0.442,
0.528,0.472,1,0.446,
0.546,0.498,1,0.449,
0.524,0.478,1,0.432,
0.544,0.49,1,0.454,
0.536,0.484,1,0.451,
0.532,0.474,1,0.453,
0.553,0.496,1,0.475,
0.495,0.44,1,0.405,
0.479,0.426,1,0.376,
0.505,0.458,1,0.409,
0.528,0.475,1,0.434,
0.511,0.461,1,0.408,
0.483,0.421,1,0.396,
0.542,0.484,1,0.457,
0.481,0.414,1,0.389,
0.499,0.447,1,0.421,
0.493,0.44,1,0.41,
0.46,0.398,1,0.364,
0.513,0.463,1,0.429,
0.503,0.451,1,0.425,
0.537,0.482,1,0.458,
0.532,0.473,1,0.43,
0.533,0.482,1,0.445,
0.537,0.493,1,0.447,
0.508,0.443,1,0.4,
0.504,0.454,1,0.426,
0.524,0.472,1,0.45,
0.544,0.489,1,0.465,
0.537,0.487,1,0.455,
0.537,0.498,1,0.44,
0.528,0.474,1,0.458,
0.525,0.471,1,0.459,
0.534,0.485,1,0.445,
0.529,0.476,1,0.443,
0.525,0.477,1,0.451,
0.529,0.476,1,0.447,
0.544,0.498,1,0.462,
0.518,0.468,1,0.424,
0.496,0.436,1,0.402,
0.52,0.467,1,0.423,
0.491,0.435,1,0.394,
0.54,0.487,1,0.465,
0.521,0.48,1,0.428,
0.512,0.462,1,0.424,
0.54,0.487,1,0.457,
0.512,0.458,1,0.424,
0.515,0.461,1,0.438,
0.497,0.445,1,0.409,
0.503,0.446,1,0.42,
0.546,0.497,1,0.46,
0.52,0.47,1,0.426,
0.518,0.462,1,0.434,
0.493,0.437,1,0.388,
0.538,0.485,1,0.452,
0.524,0.476,1,0.448,
0.519,0.459,1,0.421,
0.491,0.443,1,0.395,
0.488,0.432,1,0.397,
0.548,0.497,1,0.475,
0.538,0.485,1,0.461,
0.54,0.489,1,0.438,
0.545,0.49,1,0.477,
