

Data analysis for each instance 
AVG,MED,MAX,MIN
0.021,0,0.124,-0.003,
0.038,0.038,0.088,0,
0.018,0,0.081,0,
0.095,0.095,0.196,0,
0.01,0,0.09,0,
0,0,0,0,
0.001,0,0.006,0,
0.026,0.016,0.097,0,
0.025,0.017,0.082,0,
0.007,0,0.043,0,
0.057,0.038,0.155,0,
0.011,0,0.08,0,
0.06,0.06,0.18,0,
0,0,0,0,
0,0,0,0,
0.021,0.003,0.157,0,
0.05,0.024,0.187,0,
0.015,0,0.094,0,
0,0,0,0,
0.049,0.049,0.092,0,
0.003,0,0.023,0,
0.004,0,0.041,0,
0.022,0,0.124,0,
0,0,0,0,
0.046,0.026,0.189,0,
0.021,0.007,0.095,0,
0,0,0,0,
0.038,0.002,0.175,0,
0.079,0.075,0.174,0,
0.048,0.036,0.112,0,
0.065,0.025,0.171,0,
0,0,0,0,
0,0,0,0,
0.045,0.032,0.164,0,
0,0,0,0,
0.056,0.019,0.176,0,
0,0,0,0,
0,0,0,0,
0.029,0.015,0.134,0,
0.011,0.002,0.071,0,
0,0,0,0,
0.017,0,0.081,0,
0,0,0,0,
0.023,0.003,0.097,0,
0.004,0,0.039,0,
0.046,0.036,0.157,0,
0.042,0.022,0.128,0,
0.019,0,0.136,0,
0,0,0,0,
-0,0,0,-0.003,
0.064,0.056,0.17,0,
0.025,0,0.121,0,
0.011,0,0.067,0,
-0.002,-0.003,0,-0.003,
0,0,0,0,
0.05,0.039,0.163,0,
0.028,0.006,0.116,0,
0.078,0.052,0.166,0,
0.013,0,0.068,0,
0.001,0,0.005,0,
0,0,0,0,
0,0,0,0,
0.014,0.003,0.079,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.028,0.003,0.12,0,
0,0,0,0,
0.025,0.002,0.118,0,
0.011,0.009,0.039,0,
0.059,0.058,0.161,0,
0.084,0.037,0.276,0,
-0,0,0,-0.003,
0,0,0,0,
0.04,0.028,0.14,0,
-0.004,-0.003,0,-0.013,
0.103,0.102,0.157,0,
0.008,0,0.066,0,
0.044,0.035,0.098,0,
0.097,0.107,0.185,0,
0.001,0,0.003,0,
0.116,0.109,0.237,0,
0.01,0.003,0.045,0,
0.12,0.136,0.19,0,
0.055,0.056,0.112,0,
0.014,0.003,0.099,0,
0.028,0.018,0.1,-0.003,
0.022,0,0.164,0,
0,0,0,0,
0.049,0.035,0.126,0,
0.067,0.058,0.19,0,
0.007,-0.002,0.059,-0.003,
0,0,0,0,
0.004,0.003,0.02,0,
0,0,0,0,
0.162,0.161,0.288,0,
0.065,0.06,0.132,0,
0.001,-0.003,0.026,-0.003,
0.004,0.003,0.017,0,
0.023,0.007,0.082,0,
0.008,0,0.05,0,
0.037,0.006,0.167,0,
0.063,0.051,0.265,0,
0,0,0,0,
0.106,0.111,0.184,0,
0.005,0,0.038,0,
-0.001,0,0,-0.003,
0.019,0.002,0.109,0,
0.075,0.06,0.164,0,
0.001,0,0.003,0,
0,0,0,0,
0.001,0,0.003,0,
-0,0,0,-0.003,
0.015,0.006,0.069,0,
