

Data analysis for each instance 
AVG,MED,MAX,MIN
0.514,0.468,0.925,0.416,
0.416,0.343,0.909,0.317,
0.45,0.401,0.952,0.293,
0.45,0.404,0.945,0.333,
0.453,0.402,0.947,0.333,
0.432,0.399,0.942,0.287,
0.49,0.442,0.941,0.377,
0.446,0.406,0.883,0.323,
0.388,0.315,0.934,0.226,
0.475,0.42,0.934,0.32,
0.48,0.418,0.938,0.393,
0.428,0.371,0.954,0.327,
0.441,0.383,0.941,0.324,
0.452,0.392,0.945,0.32,
0.447,0.396,0.959,0.302,
0.432,0.395,0.892,0.314,
0.48,0.452,0.933,0.337,
0.434,0.387,0.926,0.315,
0.415,0.355,0.945,0.269,
0.479,0.437,0.963,0.362,
0.484,0.422,0.95,0.393,
0.464,0.433,0.951,0.323,
0.443,0.398,0.943,0.312,
0.4,0.33,0.934,0.291,
0.42,0.368,0.945,0.322,
0.437,0.397,0.941,0.285,
0.424,0.376,0.941,0.276,
0.447,0.381,0.945,0.349,
0.468,0.428,0.947,0.34,
0.47,0.417,0.915,0.368,
0.458,0.407,0.945,0.348,
0.481,0.431,0.937,0.355,
0.508,0.463,0.951,0.376,
0.425,0.368,0.952,0.319,
0.459,0.402,0.95,0.329,
0.459,0.413,0.922,0.32,
0.471,0.409,0.945,0.333,
0.415,0.35,0.945,0.258,
0.487,0.439,0.936,0.392,
0.494,0.472,0.931,0.3,
0.429,0.367,0.935,0.289,
0.46,0.43,0.907,0.338,
0.522,0.487,0.941,0.388,
0.431,0.379,0.948,0.237,
0.472,0.397,0.938,0.335,
0.481,0.432,0.95,0.379,
0.526,0.478,0.936,0.379,
0.504,0.443,0.952,0.358,
0.5,0.463,0.938,0.352,
0.49,0.451,0.945,0.288,
0.474,0.424,0.939,0.356,
0.527,0.486,0.954,0.386,
0.419,0.376,0.937,0.288,
0.434,0.377,0.938,0.297,
0.477,0.42,0.963,0.376,
0.457,0.411,0.903,0.327,
0.448,0.397,0.931,0.32,
0.456,0.399,0.956,0.354,
0.474,0.429,0.932,0.375,
0.398,0.344,0.941,0.264,
0.443,0.412,0.929,0.297,
0.362,0.308,0.939,0.196,
0.413,0.355,0.938,0.311,
0.471,0.422,0.938,0.386,
0.457,0.404,0.918,0.318,
0.495,0.44,0.926,0.345,
0.536,0.502,0.931,0.406,
0.467,0.41,0.93,0.31,
0.466,0.414,0.942,0.385,
0.485,0.449,0.935,0.368,
0.535,0.486,0.955,0.408,
0.469,0.416,0.952,0.355,
0.43,0.389,0.954,0.29,
0.461,0.394,0.953,0.328,
0.469,0.419,0.939,0.349,
0.434,0.393,0.96,0.298,
0.466,0.432,0.948,0.297,
0.45,0.415,0.95,0.323,
0.443,0.38,0.946,0.335,
0.452,0.392,0.953,0.337,
0.451,0.404,0.939,0.316,
0.503,0.463,0.953,0.377,
0.488,0.456,0.931,0.335,
0.454,0.396,0.93,0.362,
0.499,0.45,0.96,0.397,
0.503,0.465,0.95,0.348,
0.43,0.404,0.943,0.271,
0.483,0.441,0.946,0.351,
0.464,0.422,0.921,0.259,
0.475,0.427,0.935,0.376,
0.471,0.417,0.939,0.381,
0.559,0.512,0.952,0.45,
0.384,0.33,0.939,0.246,
0.423,0.353,0.936,0.326,
0.44,0.393,0.929,0.271,
0.437,0.386,0.917,0.289,
0.478,0.434,0.953,0.332,
0.495,0.475,0.881,0.354,
0.559,0.533,0.925,0.36,
0.395,0.347,0.931,0.255,
0.525,0.51,0.942,0.37,
0.55,0.534,0.826,0.383,
0.54,0.473,0.937,0.391,
0.486,0.425,0.929,0.352,
0.432,0.378,0.954,0.298,
0.494,0.45,0.932,0.368,
0.424,0.361,0.954,0.241,
0.454,0.423,0.942,0.287,
0.482,0.44,0.941,0.323,
0.42,0.362,0.937,0.304,
0.474,0.418,0.935,0.374,
0.428,0.364,0.935,0.322,
0.417,0.355,0.934,0.242,
0.45,0.402,0.947,0.334,
0.495,0.444,0.945,0.394,
0.463,0.401,0.94,0.352,
0.475,0.462,0.921,0.294,
0.436,0.381,0.938,0.332,
0.431,0.368,0.937,0.298,
0.424,0.365,0.93,0.272,
0.493,0.447,0.911,0.401,
0.508,0.472,0.93,0.375,
0.426,0.38,0.954,0.275,
0.503,0.463,0.913,0.359,
0.394,0.334,0.956,0.281,
0.52,0.49,0.942,0.345,
0.467,0.436,0.848,0.375,
0.519,0.488,0.9,0.406,
0.447,0.37,0.953,0.336,
0.458,0.399,0.95,0.347,
0.435,0.371,0.937,0.329,
0.46,0.407,0.941,0.335,
0.462,0.413,0.938,0.312,
0.449,0.407,0.958,0.275,
0.542,0.495,0.956,0.418,
0.413,0.352,0.945,0.289,
0.416,0.366,0.933,0.268,
0.49,0.445,0.932,0.376,
0.462,0.428,0.932,0.34,
0.402,0.345,0.939,0.292,
0.48,0.439,0.952,0.27,
0.471,0.407,0.94,0.351,
0.495,0.439,0.952,0.351,
0.481,0.431,0.948,0.325,
0.473,0.416,0.934,0.365,
0.538,0.474,0.929,0.457,
0.471,0.422,0.922,0.386,
0.518,0.486,0.947,0.371,
0.436,0.386,0.95,0.306,
0.455,0.415,0.938,0.325,
0.376,0.315,0.919,0.235,
0.482,0.426,0.94,0.375,
0.45,0.387,0.95,0.365,
0.442,0.389,0.925,0.344,
0.436,0.392,0.952,0.273,
0.457,0.422,0.95,0.325,
0.399,0.336,0.949,0.284,
0.511,0.466,0.958,0.39,
0.431,0.362,0.934,0.288,
0.478,0.426,0.932,0.353,
0.475,0.423,0.94,0.369,
0.578,0.574,0.921,0.434,
0.436,0.367,0.904,0.291,
0.482,0.439,0.925,0.312,
0.454,0.383,0.941,0.294,
0.478,0.43,0.939,0.364,
0.412,0.376,0.944,0.26,
