

Data analysis for each instance 
AVG,MED,MAX,MIN
0.646,0.6,1,0.47,
0.488,0.411,0.958,0.381,
0.538,0.499,1,0.395,
0.605,0.56,1,0.472,
0.566,0.528,1,0.463,
0.527,0.505,1,0.361,
0.593,0.557,1,0.471,
0.538,0.492,0.94,0.433,
0.489,0.449,1,0.328,
0.572,0.534,1,0.402,
0.592,0.534,1,0.497,
0.489,0.434,1,0.386,
0.556,0.516,1,0.415,
0.556,0.524,1,0.401,
0.515,0.477,0.998,0.368,
0.518,0.489,0.934,0.36,
0.551,0.514,0.975,0.434,
0.531,0.488,1,0.386,
0.514,0.459,1,0.349,
0.568,0.525,1,0.38,
0.591,0.545,1,0.462,
0.559,0.531,1,0.387,
0.512,0.462,1,0.396,
0.504,0.435,1,0.389,
0.499,0.44,1,0.381,
0.53,0.485,0.986,0.403,
0.512,0.455,1,0.374,
0.555,0.504,0.999,0.44,
0.548,0.516,1,0.4,
0.565,0.528,0.985,0.45,
0.567,0.529,0.996,0.414,
0.603,0.559,1,0.458,
0.623,0.607,1,0.481,
0.489,0.445,1,0.356,
0.549,0.496,1,0.446,
0.537,0.485,1,0.403,
0.591,0.522,1,0.419,
0.502,0.468,1,0.28,
0.571,0.53,0.987,0.442,
0.603,0.597,1,0.346,
0.521,0.474,1,0.368,
0.527,0.497,0.944,0.378,
0.608,0.563,1,0.486,
0.501,0.427,1,0.305,
0.568,0.529,0.99,0.373,
0.575,0.55,1,0.457,
0.601,0.597,0.974,0.413,
0.612,0.561,1,0.464,
0.588,0.571,1,0.403,
0.596,0.558,1,0.362,
0.572,0.531,1,0.404,
0.598,0.544,1,0.466,
0.492,0.432,1,0.36,
0.538,0.498,1,0.384,
0.549,0.492,1,0.438,
0.527,0.482,0.944,0.406,
0.562,0.52,1,0.438,
0.508,0.471,0.989,0.389,
0.55,0.499,0.993,0.453,
0.478,0.395,1,0.349,
0.538,0.491,1,0.361,
0.461,0.455,1,0.214,
0.506,0.442,1,0.382,
0.551,0.486,1,0.401,
0.551,0.49,0.992,0.385,
0.651,0.615,1,0.439,
0.629,0.581,0.975,0.521,
0.588,0.51,1,0.431,
0.557,0.539,1,0.405,
0.592,0.53,1,0.477,
0.61,0.557,1,0.492,
0.544,0.48,1,0.403,
0.508,0.455,1,0.381,
0.537,0.464,1,0.399,
0.558,0.521,0.996,0.437,
0.522,0.483,1,0.388,
0.582,0.575,1,0.373,
0.565,0.526,1,0.422,
0.535,0.495,1,0.39,
0.535,0.48,1,0.409,
0.546,0.486,1,0.4,
0.585,0.544,1,0.46,
0.599,0.567,1,0.4,
0.53,0.471,1,0.421,
0.608,0.552,1,0.506,
0.581,0.552,1,0.43,
0.517,0.474,1,0.353,
0.556,0.497,1,0.391,
0.574,0.544,0.991,0.346,
0.548,0.514,0.989,0.378,
0.549,0.521,1,0.409,
0.575,0.545,0.876,0.437,
0.469,0.418,1,0.335,
0.534,0.49,1,0.392,
0.526,0.503,1,0.349,
0.533,0.481,0.955,0.393,
0.569,0.526,1,0.438,
0.607,0.616,0.942,0.397,
0.658,0.635,0.982,0.449,
0.484,0.429,1,0.335,
0.672,0.652,0.981,0.496,
0.674,0.668,0.851,0.49,
0.633,0.591,0.948,0.458,
0.656,0.617,1,0.507,
0.51,0.464,1,0.374,
0.587,0.544,0.998,0.471,
0.488,0.455,1,0.266,
0.553,0.513,1,0.397,
0.587,0.559,1,0.405,
0.499,0.457,1,0.384,
0.56,0.488,1,0.448,
0.539,0.487,0.995,0.366,
0.491,0.434,1,0.301,
0.521,0.467,1,0.421,
0.587,0.54,1,0.453,
0.535,0.493,1,0.389,
0.565,0.54,1,0.379,
0.536,0.502,1,0.38,
0.538,0.481,1,0.398,
0.499,0.486,1,0.333,
0.6,0.556,0.957,0.445,
0.592,0.572,0.904,0.421,
0.502,0.463,0.993,0.342,
0.58,0.524,0.96,0.437,
0.471,0.412,1,0.37,
0.634,0.615,1,0.458,
0.559,0.557,0.923,0.402,
0.613,0.557,0.949,0.473,
0.514,0.441,1,0.389,
0.549,0.496,1,0.42,
0.513,0.448,1,0.389,
0.592,0.533,1,0.463,
0.543,0.478,1,0.424,
0.543,0.488,1,0.459,
0.616,0.563,0.97,0.466,
0.46,0.399,1,0.339,
0.511,0.488,1,0.344,
0.603,0.581,1,0.477,
0.543,0.462,1,0.426,
0.487,0.425,1,0.364,
0.557,0.555,1,0.314,
0.579,0.53,1,0.429,
0.547,0.475,0.873,0.395,
0.575,0.556,1,0.359,
0.598,0.587,1,0.431,
0.665,0.619,1,0.5,
0.584,0.542,1,0.458,
0.626,0.605,1,0.397,
0.519,0.463,1,0.412,
0.564,0.514,1,0.384,
0.481,0.437,1,0.311,
0.565,0.514,0.985,0.462,
0.539,0.498,1,0.432,
0.543,0.482,1,0.404,
0.521,0.48,1,0.334,
0.546,0.508,1,0.394,
0.485,0.426,1,0.318,
0.625,0.585,1,0.494,
0.539,0.504,1,0.324,
0.563,0.518,0.995,0.416,
0.566,0.528,1,0.443,
0.625,0.608,0.879,0.463,
0.524,0.457,0.956,0.335,
0.591,0.553,1,0.386,
0.527,0.46,1,0.342,
0.562,0.488,1,0.4,
0.496,0.436,1,0.348,
0.665,0.627,0.968,0.522,
0.503,0.439,1,0.41,
0.575,0.507,1,0.443,
0.523,0.457,1,0.383,
0.585,0.534,1,0.422,
0.524,0.491,1,0.36,
0.622,0.603,1,0.463,
0.618,0.566,1,0.465,
0.474,0.417,1,0.301,
0.621,0.613,0.989,0.444,
0.555,0.546,0.944,0.419,
0.542,0.518,1,0.416,
0.64,0.623,1,0.416,
0.503,0.447,1,0.374,
0.613,0.541,1,0.517,
0.662,0.635,1,0.504,
0.589,0.551,0.979,0.468,
0.489,0.44,1,0.365,
0.528,0.462,1,0.413,
0.541,0.485,1,0.424,
0.565,0.517,1,0.438,
0.644,0.609,1,0.533,
0.599,0.542,1,0.438,
0.616,0.591,0.938,0.487,
0.725,0.714,0.944,0.585,
0.522,0.478,1,0.395,
0.529,0.475,1,0.366,
0.595,0.538,0.971,0.479,
0.555,0.52,1,0.405,
0.574,0.546,1,0.399,
0.543,0.506,1,0.382,
0.639,0.597,0.976,0.517,
0.637,0.609,1,0.494,
0.617,0.598,0.946,0.421,
0.591,0.536,1,0.457,
0.54,0.481,1,0.391,
0.607,0.54,0.996,0.447,
0.529,0.473,0.925,0.368,
0.56,0.515,0.864,0.328,
0.602,0.554,1,0.492,
0.586,0.552,0.922,0.442,
0.567,0.508,0.978,0.472,
0.563,0.538,1,0.404,
0.541,0.489,1,0.419,
0.575,0.535,0.867,0.491,
0.589,0.546,1,0.477,
0.557,0.524,1,0.375,
0.53,0.507,1,0.353,
0.647,0.603,0.995,0.552,
0.589,0.552,1,0.441,
0.533,0.45,1,0.351,
0.598,0.568,1,0.414,
0.589,0.549,1,0.45,
0.542,0.541,1,0.259,
0.572,0.523,0.955,0.446,
0.605,0.598,1,0.393,
0.519,0.444,1,0.377,
0.586,0.546,0.981,0.402,
0.567,0.514,1,0.467,
0.544,0.5,0.895,0.319,
0.568,0.497,0.972,0.46,
0.53,0.463,0.987,0.436,
0.491,0.423,1,0.344,
0.589,0.543,1,0.461,
0.549,0.508,1,0.362,
0.551,0.51,1,0.431,
0.516,0.472,1,0.351,
0.522,0.479,1,0.409,
0.537,0.499,0.976,0.444,
0.603,0.575,1,0.457,
0.524,0.485,1,0.408,
0.521,0.469,1,0.404,
0.626,0.58,1,0.496,
0.538,0.511,1,0.384,
0.61,0.599,1,0.422,
0.583,0.538,1,0.409,
0.538,0.483,1,0.432,
0.487,0.423,1,0.339,
0.62,0.57,1,0.506,
0.556,0.518,1,0.391,
0.637,0.605,0.984,0.489,
0.557,0.522,1,0.382,
0.492,0.455,1,0.326,
0.525,0.467,1,0.381,
0.578,0.518,1,0.47,
0.533,0.49,1,0.407,
0.544,0.478,0.993,0.401,
0.608,0.566,0.984,0.464,
0.56,0.514,1,0.411,
0.636,0.593,1,0.512,
0.589,0.53,1,0.489,
0.444,0.36,1,0.32,
0.557,0.494,0.992,0.429,
0.545,0.498,0.989,0.378,
0.645,0.615,1,0.462,
0.558,0.498,0.992,0.43,
0.518,0.463,1,0.386,
0.568,0.524,0.988,0.434,
0.534,0.471,1,0.406,
0.594,0.539,1,0.44,
0.593,0.56,1,0.47,
0.581,0.552,0.963,0.461,
0.542,0.503,1,0.394,
0.494,0.435,1,0.367,
0.511,0.468,1,0.369,
0.579,0.539,0.965,0.442,
0.585,0.567,1,0.444,
0.515,0.466,1,0.371,
0.571,0.55,1,0.342,
0.522,0.493,1,0.342,
0.557,0.527,1,0.449,
0.536,0.495,0.962,0.41,
0.549,0.505,1,0.403,
0.571,0.514,1,0.434,
0.515,0.458,1,0.396,
0.586,0.551,0.985,0.449,
0.507,0.458,1,0.372,
0.516,0.461,1,0.285,
0.55,0.499,1,0.45,
0.497,0.445,1,0.364,
0.574,0.507,1,0.44,
0.503,0.456,1,0.321,
0.487,0.459,1,0.193,
0.521,0.489,0.932,0.408,
0.594,0.549,1,0.476,
0.59,0.542,1,0.458,
0.538,0.486,1,0.434,
0.534,0.497,1,0.336,
0.535,0.512,1,0.387,
0.552,0.513,1,0.439,
0.556,0.509,1,0.41,
