

Data analysis for each instance 
AVG,MED,MAX,MIN
30487.6,29912,37860,27006,
28696.3,26980,42336,25259,
27446.3,26358,40089,22615,
30214.4,29421,40529,25791,
31520.7,30658.5,45144,27486,
34552.9,33680.5,51099,21761,
27309.4,26123,36370,23969,
28338.4,27427.5,37390,25072,
31536.2,30573.5,49826,22069,
33517.4,31649,47816,28286,
26695.3,25808,34201,23888,
26896.2,25331.5,38697,23987,
30744.3,29333,43319,24391,
34656.9,32150.5,43846,28464,
29128.4,27996,40614,25232,
28053.2,26663,40004,23598,
28407.7,27929.5,38781,24133,
28957.4,26915.5,41395,24262,
30373.1,30007,41462,23782,
26285.2,25314,34293,24128,
26527.5,25799.5,36614,23124,
29847.6,29245,41184,24321,
30854.6,30732.5,41125,19802,
31806,30981.5,47922,23304,
26687,25855.5,37917,23612,
28992.5,27375.5,41049,25432,
33764.6,32462.5,48639,22986,
28584.9,28269.5,39492,24599,
29976.2,29328.5,40024,24087,
27316.5,26023,37112,22703,
28877.8,27321.5,40383,25276,
32286.8,30676,43247,28232,
32990.1,32034,44272,28175,
29056.9,27337.5,41030,25271,
33119.4,30935,51652,24083,
29029.6,28306.5,42415,24267,
32863.8,31848.5,44640,26326,
32843.7,33427,46492,26090,
31146.8,31073,41733,25714,
33221.3,31883,41328,25543,
28245.9,27499,37411,23485,
27933.9,27837,38848,22088,
31577.5,30121,40071,24068,
31015.2,30197,44076,23805,
29546,27840,47860,22608,
26425.7,25306.5,36063,22938,
29987.8,28794.5,39357,24966,
32564.1,32195,45257,22515,
29398.7,28816,39615,25373,
34060.3,31666.5,50307,26326,
30783,30077,42089,25838,
28074.5,27730.5,36135,22968,
28602.9,27371.5,39137,23831,
31730.2,30417,42798,26730,
30521.9,29942,41054,26311,
26235,23841,39385,21966,
30801.5,29680.5,42210,24298,
29181.4,27221.5,43976,25179,
29673.8,27987,43128,25767,
31089.5,30321.5,43283,26002,
29467.7,28830.5,42156,25580,
36180.5,34151,58750,24802,
33216.4,31608,45050,29191,
27841.5,27308.5,39024,22762,
29893.5,28808.5,42728,25473,
31315.3,30359.5,43052,25355,
28514.7,27697,37214,25744,
33696,31694.5,48558,28422,
30955,30343,41579,26734,
28006.6,26634.5,37538,24020,
28938.9,27499,38325,23113,
29416.8,27821,42566,24643,
29018.2,27925.5,39193,26152,
31314.9,29824,40633,26970,
27551.3,25838.5,38014,24361,
28827.8,28126.5,44146,23147,
31329.6,31314.5,42342,24415,
31347.1,30574.5,45202,26621,
30202.8,28764.5,43186,26105,
29689.5,28245.5,40081,25714,
28511,28195,37111,21229,
28200.4,27154.5,36426,23310,
34469.3,33081.5,46547,30189,
26263.5,25472,36000,22446,
29769.1,28427.5,40070,26423,
33045.6,33018.5,42563,26550,
28972.9,27912,44000,24149,
29050,27555,41158,24131,
31343.7,29124,44273,20493,
26910.5,26917,36717,21926,
27573.4,27022,35970,24643,
30385.8,29398.5,39021,26200,
32430.3,30295,52847,23170,
31574.8,30059.5,45997,27691,
31759.2,30742,46774,25388,
32269.4,31703.5,41890,26648,
29229.4,29010,39634,24745,
27424.2,28248,35981,21199,
30511.5,31070.5,38393,21952,
33669.7,31768.5,51810,27563,
29546.2,27628,38678,25537,
26980.8,26449.5,37960,20084,
30710,29664,41181,23570,
34080.8,33953.5,43292,26978,
29940.4,27615,45586,24768,
27771.3,26671,39728,24078,
31021.9,28891,48194,22347,
29066.4,27752.5,41184,24948,
28788.2,27411,38270,24694,
31969.6,31966,46192,23010,
29839.5,28588.5,38677,27248,
29225.4,27955,42500,23761,
28525.1,27307.5,39064,20721,
32358.5,30999.5,46224,28237,
