

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.126,-0.122,-0.007,-0.318,
-0.106,-0.076,-0.004,-0.274,
-0.098,-0.06,-0.004,-0.22,
-0.098,-0.116,0.045,-0.238,
-0.111,-0.099,0.047,-0.262,
-0.079,-0.07,-0.053,-0.145,
-0.141,-0.124,-0.059,-0.276,
-0.13,-0.114,-0.032,-0.309,
-0.089,-0.068,0.014,-0.26,
-0.102,-0.09,-0.028,-0.187,
-0.094,-0.106,0.056,-0.188,
-0.098,-0.093,-0.043,-0.168,
-0.143,-0.141,-0.031,-0.328,
-0.08,-0.074,-0.024,-0.151,
-0.112,-0.121,-0.018,-0.235,
-0.129,-0.138,-0.036,-0.219,
-0.157,-0.159,-0.04,-0.29,
-0.153,-0.153,-0.051,-0.387,
-0.094,-0.081,-0.044,-0.274,
-0.169,-0.178,-0.035,-0.306,
-0.141,-0.129,-0.028,-0.245,
-0.086,-0.095,0.064,-0.21,
-0.14,-0.091,0.033,-0.359,
-0.075,-0.069,-0.022,-0.185,
-0.075,-0.058,0.015,-0.183,
-0.176,-0.202,0.033,-0.335,
-0.083,-0.075,-0.011,-0.233,
-0.126,-0.119,-0.044,-0.251,
-0.094,-0.072,-0.009,-0.241,
-0.15,-0.174,-0.006,-0.216,
-0.103,-0.074,-0.007,-0.215,
-0.093,-0.09,-0.004,-0.162,
-0.073,-0.07,0.014,-0.206,
-0.074,-0.061,0.052,-0.23,
-0.098,-0.087,-0.017,-0.304,
-0.174,-0.167,-0.062,-0.367,
-0.097,-0.08,-0.023,-0.206,
-0.091,-0.072,-0.039,-0.24,
-0.091,-0.092,0.029,-0.234,
-0.089,-0.075,-0.054,-0.18,
-0.154,-0.173,-0.025,-0.325,
-0.128,-0.113,-0.04,-0.299,
-0.088,-0.063,0.017,-0.299,
-0.11,-0.114,0.071,-0.217,
-0.135,-0.117,0.073,-0.419,
-0.162,-0.168,-0.052,-0.229,
-0.119,-0.134,0.008,-0.216,
-0.062,-0.072,0.024,-0.09,
-0.11,-0.149,0.13,-0.233,
-0.042,-0.032,0.038,-0.21,
-0.128,-0.134,0.05,-0.268,
-0.091,-0.084,0.114,-0.271,
-0.132,-0.101,-0.063,-0.288,
-0.139,-0.145,-0.017,-0.295,
-0.121,-0.103,-0.023,-0.265,
-0.124,-0.148,0.185,-0.293,
-0.085,-0.082,0.002,-0.192,
-0.064,-0.097,0.235,-0.229,
-0.17,-0.172,-0.063,-0.304,
-0.086,-0.055,0.077,-0.317,
-0.144,-0.136,-0.016,-0.395,
-0.107,-0.086,-0.054,-0.261,
-0.078,-0.069,0.016,-0.227,
-0.156,-0.17,-0.019,-0.324,
-0.125,-0.124,0.02,-0.274,
-0.071,-0.076,0.046,-0.204,
-0.105,-0.093,-0.01,-0.21,
-0.088,-0.077,0.14,-0.317,
-0.135,-0.129,-0.055,-0.207,
-0.167,-0.169,-0.05,-0.348,
-0.104,-0.111,0.08,-0.267,
-0.114,-0.126,0.037,-0.237,
-0.088,-0.097,0.137,-0.304,
-0.084,-0.068,0.004,-0.23,
-0.096,-0.087,0.041,-0.283,
-0.124,-0.112,-0.016,-0.27,
-0.071,-0.052,0.09,-0.237,
-0.08,-0.07,0.033,-0.213,
-0.111,-0.082,-0.019,-0.224,
-0.04,-0.049,0.174,-0.21,
-0.154,-0.153,-0.056,-0.309,
-0.147,-0.153,-0.052,-0.308,
-0.11,-0.094,-0.015,-0.229,
-0.128,-0.12,0.01,-0.311,
-0.11,-0.151,0.06,-0.232,
-0.064,-0.083,0.184,-0.193,
-0.121,-0.151,0.018,-0.259,
-0.105,-0.092,0.052,-0.242,
-0.083,-0.087,0.065,-0.212,
-0.167,-0.172,-0.057,-0.265,
-0.109,-0.107,-0.019,-0.238,
-0.098,-0.101,0.03,-0.215,
-0.098,-0.098,0.06,-0.3,
-0.102,-0.079,-0.018,-0.218,
-0.101,-0.101,0.19,-0.268,
-0.092,-0.06,0.019,-0.251,
-0.095,-0.09,0.007,-0.208,
-0.163,-0.214,0.147,-0.332,
-0.094,-0.073,-0.027,-0.221,
-0.11,-0.099,-0.059,-0.281,
-0.12,-0.107,0.015,-0.291,
-0.104,-0.089,0.139,-0.34,
-0.149,-0.135,0.067,-0.362,
-0.095,-0.082,-0.028,-0.181,
-0.123,-0.133,-0.025,-0.206,
-0.156,-0.147,-0.024,-0.303,
-0.077,-0.101,0.217,-0.234,
-0.144,-0.163,0.121,-0.317,
-0.054,-0.068,0.143,-0.16,
-0.084,-0.083,0.052,-0.205,
-0.144,-0.157,-0.029,-0.279,
-0.106,-0.078,-0.056,-0.212,
-0.11,-0.075,0.062,-0.366,
-0.105,-0.116,-0.026,-0.154,
-0.124,-0.11,-0.022,-0.285,
-0.138,-0.121,0.038,-0.366,
-0.098,-0.093,0.041,-0.278,
-0.092,-0.099,-0.003,-0.147,
-0.077,-0.065,-0.026,-0.188,
-0.115,-0.083,-0.067,-0.219,
-0.177,-0.194,-0.049,-0.295,
-0.074,-0.093,0.137,-0.146,
-0.108,-0.109,0.124,-0.243,
-0.095,-0.108,0.086,-0.222,
-0.071,-0.08,0.05,-0.157,
-0.103,-0.129,0.053,-0.282,
-0.101,-0.085,0.036,-0.294,
-0.121,-0.152,0.012,-0.225,
-0.076,-0.094,0.106,-0.181,
-0.082,-0.076,0.149,-0.34,
-0.106,-0.107,0.043,-0.201,
-0.094,-0.088,-0.019,-0.193,
-0.131,-0.097,-0.02,-0.377,
-0.052,-0.055,0.041,-0.132,
-0.14,-0.133,-0.002,-0.26,
-0.066,-0.061,-0.044,-0.107,
-0.093,-0.079,0.043,-0.163,
-0.164,-0.166,-0.069,-0.258,
-0.135,-0.132,-0.017,-0.308,
-0.088,-0.075,0.014,-0.2,
-0.097,-0.09,-0.051,-0.168,
-0.077,-0.069,-0.044,-0.133,
-0.097,-0.08,-0.048,-0.244,
-0.089,-0.073,0.105,-0.207,
-0.134,-0.088,-0.009,-0.283,
-0.149,-0.161,-0.018,-0.32,
-0.181,-0.178,-0.078,-0.35,
-0.138,-0.12,-0.031,-0.272,
-0.094,-0.073,-0.008,-0.286,
-0.069,-0.082,0.019,-0.158,
-0.076,-0.075,-0.061,-0.097,
-0.135,-0.119,-0.037,-0.299,
-0.135,-0.116,-0.051,-0.309,
-0.128,-0.132,-0.023,-0.204,
-0.108,-0.106,-0.045,-0.197,
-0.074,-0.081,0.148,-0.268,
-0.135,-0.132,-0.041,-0.235,
-0.121,-0.127,-0.019,-0.237,
-0.136,-0.115,0.025,-0.356,
-0.168,-0.183,0.038,-0.325,
-0.111,-0.099,-0.06,-0.234,
-0.118,-0.107,0.016,-0.272,
-0.134,-0.114,0.031,-0.31,
-0.065,-0.062,0.036,-0.181,
-0.066,-0.06,-0.04,-0.126,
-0.131,-0.15,0.024,-0.256,
0.004,-0.049,0.205,-0.158,
-0.091,-0.09,-0.019,-0.16,
-0.095,-0.11,0.101,-0.176,
-0.071,-0.063,-0.029,-0.168,
-0.149,-0.151,-0.066,-0.194,
-0.085,-0.067,-0.044,-0.165,
-0.14,-0.127,-0.025,-0.349,
-0.109,-0.125,-0.005,-0.197,
-0.102,-0.081,0.133,-0.404,
-0.123,-0.112,-0.029,-0.245,
-0.08,-0.092,0.118,-0.235,
-0.095,-0.079,-0.033,-0.225,
-0.099,-0.089,0.084,-0.237,
-0.086,-0.085,-0.044,-0.134,
-0.135,-0.108,-0.031,-0.33,
-0.116,-0.147,0.143,-0.297,
-0.124,-0.123,-0.039,-0.228,
-0.128,-0.139,0.012,-0.304,
-0.109,-0.087,0.042,-0.335,
-0.148,-0.137,0.04,-0.362,
-0.066,-0.076,0.195,-0.252,
-0.072,-0.057,-0.039,-0.129,
-0.068,-0.064,-0.021,-0.158,
-0.096,-0.098,0.1,-0.294,
-0.082,-0.084,0.037,-0.146,
-0.107,-0.084,-0.022,-0.306,
-0.142,-0.141,-0.028,-0.263,
-0.072,-0.058,0.116,-0.19,
-0.11,-0.119,0.04,-0.194,
-0.087,-0.069,0.056,-0.332,
-0.164,-0.171,0.179,-0.359,
-0.11,-0.112,-0.043,-0.176,
-0.079,-0.058,-0.013,-0.205,
-0.166,-0.149,-0.062,-0.299,
-0.142,-0.144,0.024,-0.319,
-0.104,-0.083,-0.042,-0.291,
-0.089,-0.119,0.07,-0.224,
-0.1,-0.085,-0.061,-0.18,
-0.076,-0.056,0.093,-0.275,
-0.095,-0.081,-0.058,-0.224,
-0.117,-0.114,-0.016,-0.198,
-0.144,-0.142,-0.04,-0.298,
-0.071,-0.053,0.043,-0.254,
-0.128,-0.149,0.063,-0.276,
-0.157,-0.165,0.007,-0.279,
-0.135,-0.168,0.023,-0.235,
-0.064,-0.106,0.125,-0.172,
-0.21,-0.19,-0.023,-0.46,
-0.062,-0.062,0.098,-0.202,
-0.102,-0.131,0.092,-0.195,
-0.101,-0.105,0.002,-0.276,
-0.121,-0.093,-0.044,-0.249,
-0.113,-0.121,0.069,-0.288,
-0.099,-0.09,-0.041,-0.189,
-0.114,-0.102,0.059,-0.322,
-0.186,-0.19,-0.075,-0.248,
-0.152,-0.179,-0.002,-0.245,
-0.076,-0.057,-0.028,-0.157,
-0.152,-0.167,-0.05,-0.188,
-0.093,-0.099,-0.047,-0.145,
-0.111,-0.14,0.045,-0.218,
-0.151,-0.146,-0.025,-0.304,
-0.115,-0.128,0.089,-0.206,
-0.126,-0.147,0.003,-0.274,
-0.154,-0.141,-0.053,-0.258,
-0.048,-0.054,0.084,-0.19,
-0.09,-0.068,-0.026,-0.203,
-0.103,-0.08,-0.011,-0.273,
-0.099,-0.085,-0.008,-0.24,
-0.076,-0.076,0.028,-0.274,
-0.062,-0.076,0.137,-0.172,
-0.086,-0.083,0.021,-0.229,
-0.148,-0.146,0.028,-0.31,
-0.086,-0.074,0.029,-0.182,
-0.068,-0.068,0.172,-0.166,
-0.123,-0.099,0.086,-0.409,
-0.142,-0.152,0.163,-0.359,
-0.155,-0.135,-0.034,-0.362,
-0.095,-0.104,0.147,-0.222,
-0.153,-0.16,-0.04,-0.275,
-0.093,-0.074,-0.023,-0.175,
-0.137,-0.119,0.022,-0.316,
-0.07,-0.072,0.106,-0.332,
-0.055,-0.09,0.16,-0.149,
-0.104,-0.091,-0.006,-0.281,
-0.1,-0.1,0.022,-0.213,
-0.139,-0.128,-0.049,-0.244,
-0.057,-0.051,-0.009,-0.115,
-0.136,-0.137,-0.044,-0.211,
-0.129,-0.157,-0.006,-0.23,
-0.107,-0.112,-0.014,-0.176,
-0.148,-0.173,0.035,-0.271,
-0.071,-0.069,-0.054,-0.093,
-0.121,-0.106,-0.034,-0.277,
-0.106,-0.122,0.02,-0.194,
-0.184,-0.185,-0.048,-0.383,
-0.082,-0.058,0.013,-0.206,
-0.057,-0.048,0.139,-0.202,
-0.078,-0.076,0.05,-0.203,
-0.03,-0.061,0.155,-0.111,
-0.116,-0.09,0.019,-0.305,
-0.121,-0.106,-0.026,-0.249,
-0.11,-0.102,0.033,-0.24,
-0.119,-0.137,0.025,-0.339,
-0.128,-0.113,0.005,-0.294,
-0.137,-0.133,-0.056,-0.252,
-0.12,-0.134,-0.015,-0.2,
-0.138,-0.133,-0.043,-0.236,
-0.149,-0.184,0.044,-0.262,
-0.076,-0.066,-0.046,-0.195,
-0.079,-0.078,-0.05,-0.148,
-0.145,-0.15,-0.013,-0.246,
-0.133,-0.1,-0.03,-0.285,
-0.085,-0.091,0.095,-0.212,
-0.052,-0.056,0.112,-0.143,
-0.127,-0.138,-0.012,-0.222,
-0.126,-0.155,0.098,-0.326,
-0.102,-0.096,-0.026,-0.204,
-0.116,-0.115,-0.017,-0.26,
-0.135,-0.153,0.072,-0.275,
-0.083,-0.091,0.034,-0.185,
-0.116,-0.096,-0.012,-0.34,
-0.131,-0.101,0.039,-0.364,
-0.103,-0.103,-0.036,-0.167,
-0.073,-0.064,0.05,-0.194,
-0.096,-0.104,0.161,-0.279,
-0.124,-0.135,0.047,-0.255,
-0.104,-0.1,0.045,-0.239,
-0.152,-0.123,-0.014,-0.412,
-0.098,-0.071,-0.03,-0.209,
-0.088,-0.09,0.243,-0.288,
-0.065,-0.075,0.099,-0.166,
-0.102,-0.067,-0.016,-0.302,
-0.107,-0.091,-0.032,-0.226,
-0.148,-0.149,-0.04,-0.274,
-0.193,-0.19,-0.047,-0.332,
-0.098,-0.115,0.101,-0.203,
-0.064,-0.07,-0.001,-0.216,
-0.072,-0.078,0.156,-0.208,
-0.173,-0.162,-0.063,-0.305,
-0.099,-0.11,0.03,-0.209,
-0.113,-0.108,-0.012,-0.214,
-0.125,-0.119,-0.059,-0.276,
-0.107,-0.123,0.118,-0.236,
-0.062,-0.042,0.039,-0.326,
-0.085,-0.085,0.11,-0.252,
-0.086,-0.062,0.05,-0.282,
-0.096,-0.08,-0.022,-0.245,
-0.144,-0.146,-0.017,-0.361,
-0.139,-0.122,0.009,-0.298,
-0.138,-0.13,0.035,-0.341,
-0.113,-0.122,-0.025,-0.176,
-0.068,-0.062,-0.007,-0.133,
-0.133,-0.112,-0.026,-0.254,
-0.169,-0.183,-0.051,-0.294,
-0.096,-0.096,0.061,-0.23,
-0.068,-0.069,0.046,-0.158,
-0.07,-0.063,0.038,-0.213,
-0.112,-0.092,-0.038,-0.217,
-0.155,-0.163,-0.044,-0.232,
-0.1,-0.092,0.02,-0.215,
-0.108,-0.088,-0.034,-0.221,
-0.074,-0.053,-0.029,-0.15,
-0.16,-0.13,0.048,-0.371,
-0.08,-0.072,-0.045,-0.157,
-0.102,-0.118,0.032,-0.254,
-0.128,-0.128,-0.014,-0.269,
-0.04,-0.046,0.08,-0.178,
-0.107,-0.076,0.065,-0.346,
-0.088,-0.081,-0.027,-0.182,
-0.126,-0.13,0.014,-0.336,
-0.121,-0.118,-0.058,-0.202,
-0.12,-0.144,0.136,-0.282,
-0.135,-0.13,-0.014,-0.264,
-0.147,-0.133,0.042,-0.316,
-0.124,-0.098,-0.002,-0.251,
-0.078,-0.058,0.166,-0.235,
-0.127,-0.123,0.013,-0.262,
-0.094,-0.123,0.029,-0.226,
-0.096,-0.065,-0.03,-0.226,
-0.116,-0.083,-0.065,-0.376,
-0.09,-0.068,0.119,-0.379,
