

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.18,-0.225,0,-0.326,
-0.092,-0.102,0.064,-0.203,
-0.197,-0.177,-0.088,-0.34,
-0.137,-0.157,-0.012,-0.271,
-0.152,-0.166,-0.032,-0.268,
-0.296,-0.282,-0.182,-0.45,
-0.217,-0.202,-0.129,-0.321,
-0.036,-0.028,0.084,-0.134,
-0.058,-0.041,0.174,-0.275,
-0.164,-0.145,-0.044,-0.364,
-0.032,-0.013,0.023,-0.143,
-0.155,-0.141,-0.032,-0.331,
-0.175,-0.206,0,-0.354,
-0.38,-0.392,-0.248,-0.478,
-0.183,-0.189,-0.113,-0.288,
-0.096,-0.089,-0.05,-0.18,
-0.134,-0.128,-0.04,-0.294,
-0.225,-0.242,-0.059,-0.286,
-0.302,-0.301,-0.207,-0.409,
-0.156,-0.146,-0.102,-0.198,
-0.126,-0.115,0.029,-0.274,
-0.09,-0.102,0.13,-0.302,
-0.208,-0.193,-0.042,-0.374,
-0.317,-0.374,0.07,-0.424,
-0.147,-0.118,-0.067,-0.274,
-0.143,-0.152,-0.011,-0.256,
-0.297,-0.302,-0.123,-0.403,
-0.127,-0.118,-0.013,-0.26,
-0.028,-0.013,0.039,-0.14,
-0.224,-0.234,-0.104,-0.334,
-0.09,-0.096,-0.015,-0.18,
-0.355,-0.355,-0.255,-0.441,
-0.369,-0.4,-0.172,-0.451,
-0.096,-0.13,0.07,-0.162,
-0.172,-0.167,-0.113,-0.284,
-0.232,-0.243,-0.11,-0.305,
-0.338,-0.349,-0.156,-0.455,
-0.236,-0.252,-0.069,-0.31,
-0.037,-0.034,0.081,-0.149,
-0.266,-0.272,-0.112,-0.448,
-0.181,-0.176,-0.115,-0.269,
-0.081,-0.052,-0.009,-0.24,
-0.327,-0.332,-0.193,-0.417,
-0.216,-0.231,-0.096,-0.302,
-0.24,-0.246,-0.092,-0.359,
-0.149,-0.158,-0.029,-0.219,
-0.184,-0.198,-0.06,-0.301,
-0.122,-0.122,0.058,-0.319,
-0.029,-0.06,0.131,-0.168,
-0.247,-0.268,-0.002,-0.405,
-0.099,-0.103,0.042,-0.24,
-0.125,-0.139,0.077,-0.215,
-0.142,-0.172,-0.007,-0.233,
-0.186,-0.182,-0.088,-0.254,
-0.184,-0.208,-0.014,-0.302,
-0.177,-0.179,-0.122,-0.236,
-0.281,-0.276,-0.169,-0.404,
-0.182,-0.219,-0.061,-0.266,
-0.12,-0.121,0.102,-0.306,
-0.062,-0.073,0.069,-0.163,
-0.232,-0.227,-0.09,-0.359,
-0.252,-0.253,-0.107,-0.368,
-0.201,-0.207,-0.069,-0.341,
-0.169,-0.173,-0.103,-0.251,
-0.144,-0.151,0.051,-0.267,
-0.327,-0.348,-0.166,-0.449,
-0.095,-0.113,0.035,-0.2,
-0.134,-0.15,-0.006,-0.241,
-0.179,-0.203,-0.013,-0.326,
-0.206,-0.211,-0.031,-0.334,
-0.096,-0.087,0.07,-0.202,
-0.108,-0.097,-0.047,-0.232,
-0.174,-0.204,0.048,-0.284,
-0.221,-0.229,-0.138,-0.366,
-0.079,-0.087,0.115,-0.227,
-0.163,-0.155,-0.048,-0.298,
-0.233,-0.236,-0.093,-0.296,
-0.142,-0.118,0.009,-0.327,
-0.156,-0.156,-0.079,-0.277,
-0.133,-0.132,-0.046,-0.237,
-0.161,-0.17,0.002,-0.229,
-0.172,-0.171,-0.057,-0.288,
-0.215,-0.226,-0.046,-0.343,
-0.171,-0.178,-0.11,-0.235,
-0.132,-0.122,-0.068,-0.207,
-0.132,-0.161,0.218,-0.305,
-0.085,-0.076,0.046,-0.265,
-0.27,-0.273,-0.156,-0.393,
-0.17,-0.173,-0.004,-0.315,
-0.088,-0.093,0.062,-0.223,
-0.096,-0.115,0.015,-0.179,
-0.2,-0.206,-0.102,-0.283,
0.003,-0.007,0.236,-0.099,
-0.249,-0.243,-0.148,-0.383,
-0.271,-0.277,-0.144,-0.38,
-0.18,-0.168,-0.054,-0.337,
-0.098,-0.075,-0.034,-0.187,
-0.15,-0.122,-0.059,-0.28,
-0.359,-0.389,-0.188,-0.473,
0.074,0.1,0.201,-0.102,
-0.2,-0.209,-0.066,-0.3,
-0.255,-0.268,-0.128,-0.356,
-0.297,-0.284,-0.16,-0.409,
-0.16,-0.185,0.14,-0.303,
-0.137,-0.158,-0.021,-0.218,
-0.157,-0.179,0.074,-0.273,
-0.263,-0.265,-0.154,-0.398,
-0.15,-0.156,0.016,-0.246,
-0.198,-0.191,-0.103,-0.252,
-0.16,-0.167,0.067,-0.314,
-0.218,-0.212,-0.129,-0.307,
-0.28,-0.281,-0.195,-0.37,
-0.295,-0.291,-0.186,-0.383,
-0.101,-0.11,0.059,-0.262,
-0.15,-0.144,-0.067,-0.313,
-0.148,-0.118,-0.046,-0.326,
-0.143,-0.134,0.01,-0.298,
-0.256,-0.258,-0.165,-0.328,
-0.339,-0.337,-0.269,-0.414,
-0.049,-0.08,0.138,-0.23,
-0.125,-0.132,0.016,-0.23,
