

Data analysis for each instance 
AVG,MED,MAX,MIN
0.127,0.124,0.387,-0.064,
0.34,0.409,0.456,-0.076,
0.407,0.417,0.495,0.293,
0.336,0.375,0.502,-0.06,
0.188,0.213,0.316,0.09,
0.197,0.247,0.345,-0.144,
0.259,0.263,0.455,0.077,
0.204,0.228,0.371,-0.186,
0.304,0.291,0.43,0.143,
0.334,0.347,0.399,0.148,
0.405,0.408,0.548,0.18,
0.382,0.394,0.547,0.223,
0.311,0.303,0.448,0.155,
0.362,0.426,0.51,-0.154,
0.314,0.382,0.534,-0.135,
0.053,0.054,0.178,-0.028,
0.32,0.311,0.419,0.233,
0.225,0.226,0.414,-0.008,
0.31,0.378,0.46,-0.09,
0.381,0.396,0.496,0.234,
0.385,0.442,0.582,-0.074,
0.16,0.188,0.274,-0.153,
0.214,0.209,0.354,0.036,
0.44,0.468,0.547,0.249,
0.252,0.274,0.418,-0.087,
0.386,0.437,0.486,0.039,
0.298,0.32,0.461,-0.015,
0.211,0.209,0.359,0.018,
0.367,0.403,0.478,-0.024,
0.409,0.465,0.533,0.108,
0.287,0.42,0.489,-0.353,
0.369,0.381,0.487,0.204,
-0.177,-0.187,0.234,-0.41,
0.308,0.337,0.446,0.104,
0.414,0.445,0.481,0.151,
0.187,0.181,0.468,-0.011,
0.307,0.343,0.418,0.094,
0.385,0.388,0.529,0.11,
0.136,0.165,0.327,-0.14,
0.131,0.134,0.248,0.029,
0.368,0.39,0.484,0.232,
0.209,0.244,0.332,-0.028,
0.189,0.19,0.308,0.036,
0.243,0.251,0.329,0.128,
0.127,0.098,0.313,-0.004,
0.154,0.166,0.444,-0.125,
0.292,0.297,0.395,0.144,
0.431,0.47,0.532,0.046,
0.246,0.237,0.501,0.03,
0.347,0.329,0.556,0.175,
0.201,0.253,0.3,-0.093,
0.089,0.11,0.247,-0.101,
0.21,0.22,0.414,-0.053,
0.373,0.364,0.504,0.196,
0.072,0.096,0.199,-0.137,
0.323,0.349,0.442,0.147,
0.117,0.094,0.254,-0.028,
0.187,0.276,0.446,-0.28,
0.232,0.235,0.354,0.128,
0.349,0.329,0.463,0.194,
0.331,0.351,0.459,0.096,
0.025,0.036,0.244,-0.284,
0.178,0.206,0.414,-0.292,
0.376,0.391,0.468,0.201,
0.44,0.456,0.521,0.15,
0.126,0.21,0.36,-0.383,
0.378,0.401,0.494,0.197,
0.252,0.273,0.46,0.01,
0.351,0.415,0.51,-0.033,
-0.006,0.03,0.245,-0.305,
-0.056,-0.065,0.149,-0.218,
0.42,0.419,0.539,0.209,
0.286,0.271,0.394,0.235,
0.337,0.368,0.458,-0.002,
0.285,0.308,0.375,0.194,
0.334,0.357,0.43,0.18,
0.427,0.492,0.522,-0.083,
0.039,0.055,0.301,-0.256,
0.254,0.262,0.345,0.134,
0.404,0.42,0.515,0.222,
0.317,0.332,0.532,0.164,
0.018,0.115,0.255,-0.378,
0.207,0.214,0.333,-0.013,
0.266,0.294,0.35,-0.026,
0.349,0.387,0.484,0.132,
0.443,0.476,0.531,0.093,
0.201,0.234,0.428,-0.36,
0.243,0.263,0.306,0.063,
0.05,0.065,0.222,-0.129,
0.217,0.191,0.365,0.038,
0.453,0.506,0.614,-0.078,
0.369,0.4,0.49,0.177,
0.266,0.28,0.37,0.064,
0.305,0.317,0.402,0.163,
0.445,0.486,0.531,0.114,
0.249,0.293,0.418,-0.22,
0.256,0.286,0.381,0.072,
0.088,0.101,0.282,-0.141,
0.14,0.173,0.246,-0.093,
0.317,0.349,0.432,-0.127,
0.214,0.175,0.379,0.026,
0.363,0.357,0.506,0.216,
0.372,0.4,0.573,-0.015,
0.333,0.33,0.481,0.158,
0.338,0.354,0.444,0.166,
0.405,0.412,0.589,0.216,
0.288,0.229,0.595,0.15,
0.257,0.258,0.396,0.129,
0.438,0.45,0.522,0.275,
0.106,0.068,0.294,-0.088,
0.245,0.246,0.357,0.094,
0.236,0.24,0.373,0.074,
0.445,0.506,0.559,0.175,
0.334,0.346,0.467,0.182,
0.251,0.27,0.438,0.043,
0.432,0.454,0.533,0.164,
0.182,0.178,0.402,-0.211,
0.313,0.306,0.448,0.17,
0.289,0.287,0.442,0.138,
0.347,0.386,0.48,-0.148,
0.385,0.395,0.488,0.282,
0.443,0.473,0.533,0.251,
0.291,0.378,0.433,-0.115,
0.305,0.303,0.452,0.144,
0.234,0.219,0.48,0.028,
0.406,0.408,0.513,0.275,
0.27,0.269,0.4,0.091,
0.212,0.248,0.388,-0.29,
0.246,0.243,0.347,0.133,
0.432,0.469,0.519,0.272,
0.212,0.217,0.393,0.013,
0.335,0.342,0.425,0.153,
0.236,0.22,0.422,0.096,
0.223,0.223,0.32,0.058,
0.139,0.158,0.39,-0.312,
0.247,0.248,0.382,0.151,
0.29,0.263,0.549,0.132,
0.13,0.119,0.23,-0.004,
0.411,0.478,0.517,-0.092,
0.092,0.141,0.248,-0.086,
0.194,0.187,0.328,0.069,
0.328,0.342,0.459,0.125,
0.376,0.386,0.528,0.125,
0.225,0.299,0.384,-0.316,
0.219,0.244,0.328,0.097,
0.121,0.115,0.338,-0.097,
0.316,0.406,0.531,-0.221,
0.191,0.162,0.348,0.047,
0.283,0.297,0.437,0.109,
0.33,0.34,0.465,0.061,
0.486,0.554,0.642,-0.055,
0.299,0.32,0.47,0.07,
0.45,0.494,0.579,-0.016,
0.141,0.225,0.337,-0.371,
0.118,0.2,0.262,-0.41,
0.356,0.413,0.491,0.145,
0.337,0.372,0.441,0.036,
0.26,0.238,0.379,0.135,
0.255,0.237,0.388,0.178,
-0.006,-0.096,0.331,-0.227,
0.226,0.241,0.368,-0.005,
0.315,0.342,0.395,0.026,
0.36,0.379,0.462,0.219,
0.26,0.275,0.312,0.182,
0.181,0.245,0.44,-0.385,
0.467,0.479,0.55,0.399,
0.388,0.403,0.488,0.263,
0.405,0.443,0.544,-0.048,
0.459,0.483,0.547,0.309,
0.433,0.477,0.518,0.073,
0.287,0.287,0.387,0.176,
0.481,0.492,0.576,0.337,
0.264,0.26,0.398,0.129,
0.245,0.296,0.389,-0.223,
0.293,0.349,0.46,-0.021,
0.082,0.073,0.421,-0.211,
0.281,0.318,0.377,-0.051,
0.338,0.406,0.496,-0.015,
0.219,0.243,0.36,-0.004,
0.287,0.278,0.38,0.123,
0.355,0.352,0.503,0.259,
0.18,0.223,0.342,-0.147,
0.326,0.328,0.491,0.204,
0.435,0.481,0.531,0.158,
0.129,0.089,0.32,-0.178,
0.283,0.254,0.422,0.185,
0.397,0.432,0.545,0.059,
0.34,0.363,0.511,-0.029,
0.398,0.393,0.489,0.277,
0.238,0.259,0.357,0.018,
0.487,0.533,0.573,0.109,
0.141,0.149,0.349,-0.216,
0.189,0.248,0.449,-0.265,
0.392,0.436,0.47,0.147,
0.294,0.336,0.49,-0.043,
0.089,0.142,0.333,-0.234,
0.455,0.488,0.58,-0.018,
0.45,0.468,0.547,0.184,
0.212,0.178,0.446,0.1,
0.084,0.081,0.231,-0.1,
0.381,0.403,0.465,0.178,
0.388,0.42,0.524,0.125,
0.179,0.135,0.629,-0.115,
0.45,0.549,0.584,-0.154,
0.284,0.324,0.41,-0.169,
0.142,0.106,0.427,-0.094,
0.212,0.199,0.334,0.072,
0.364,0.372,0.467,0.243,
0.37,0.366,0.538,-0.026,
0.391,0.39,0.523,0.242,
0.212,0.209,0.425,0.029,
