

Data analysis for each instance 
AVG,MED,MAX,MIN
0.664,0.637,1,0.525,
0.817,0.812,0.924,0.739,
0.711,0.684,1,0.594,
0.724,0.702,0.94,0.667,
0.685,0.649,1,0.607,
0.579,0.526,1,0.461,
0.565,0.52,1,0.462,
0.7,0.706,0.814,0.584,
0.737,0.702,1,0.663,
0.71,0.681,1,0.632,
0.607,0.571,1,0.479,
0.572,0.523,1,0.455,
0.703,0.669,1,0.59,
0.766,0.768,0.846,0.67,
0.804,0.796,0.948,0.72,
0.815,0.812,0.972,0.707,
0.735,0.709,1,0.642,
0.787,0.74,1,0.687,
0.771,0.74,1,0.671,
0.762,0.73,1,0.703,
0.731,0.668,0.926,0.62,
0.584,0.565,0.847,0.46,
0.631,0.596,1,0.529,
0.654,0.606,1,0.583,
0.769,0.745,0.913,0.694,
0.689,0.656,1,0.6,
0.6,0.558,1,0.525,
0.827,0.823,1,0.731,
0.926,0.95,1,0.805,
0.698,0.71,1,0.543,
0.713,0.722,0.771,0.625,
0.599,0.558,1,0.514,
0.513,0.44,1,0.389,
0.792,0.756,1,0.695,
0.822,0.815,1,0.73,
0.567,0.526,1,0.456,
0.741,0.746,1,0.55,
0.863,0.855,1,0.793,
0.702,0.684,0.953,0.531,
0.801,0.8,1,0.712,
0.707,0.678,1,0.633,
0.551,0.512,1,0.46,
0.773,0.757,1,0.688,
0.722,0.714,1,0.583,
0.816,0.814,1,0.711,
0.623,0.591,1,0.522,
0.726,0.706,1,0.645,
0.914,0.915,1,0.841,
0.502,0.436,1,0.413,
0.638,0.614,1,0.535,
0.617,0.579,1,0.532,
0.767,0.752,0.932,0.702,
0.516,0.477,1,0.391,
0.653,0.609,1,0.576,
0.709,0.679,0.93,0.632,
0.754,0.738,1,0.655,
0.676,0.609,1,0.569,
0.595,0.583,0.72,0.513,
0.613,0.575,1,0.505,
0.72,0.7,1,0.622,
0.729,0.706,1,0.659,
0.58,0.559,0.828,0.495,
0.606,0.599,0.708,0.558,
0.748,0.725,1,0.661,
0.81,0.796,1,0.71,
0.732,0.736,0.819,0.648,
0.807,0.804,1,0.724,
0.692,0.655,1,0.552,
0.802,0.793,0.967,0.706,
0.628,0.618,0.726,0.561,
0.604,0.55,0.921,0.52,
0.741,0.71,1,0.675,
0.544,0.496,1,0.459,
0.902,0.901,0.998,0.822,
0.716,0.682,1,0.616,
0.803,0.778,1,0.743,
0.787,0.775,0.92,0.733,
0.633,0.591,1,0.538,
0.683,0.653,1,0.584,
0.549,0.51,1,0.431,
0.844,0.834,1,0.734,
0.683,0.679,0.743,0.634,
0.763,0.744,0.987,0.685,
0.911,0.905,0.974,0.837,
0.738,0.734,1,0.641,
0.79,0.756,1,0.738,
0.635,0.639,0.682,0.577,
0.744,0.726,1,0.629,
0.687,0.703,0.871,0.554,
0.78,0.752,1,0.703,
0.847,0.839,0.921,0.786,
0.654,0.625,1,0.558,
0.846,0.844,1,0.722,
0.69,0.659,1,0.601,
0.941,0.935,1,0.885,
0.782,0.784,0.817,0.742,
0.609,0.585,1,0.493,
0.855,0.843,1,0.728,
0.814,0.823,1,0.69,
0.771,0.764,0.873,0.661,
0.876,0.859,1,0.789,
0.56,0.512,1,0.476,
